,mintty/mintty,microsoft/terminal,alacritty/alacritty
2017-08-11,0,1.0,6
2017-08-12,0,3.6,1
2017-08-13,0,1.2800000000000002,0
2017-08-14,0,9.256,0
2017-08-15,0,-1.057599999999999,0
2017-08-16,2,-3.3083519999999993,0
2017-08-17,0,-1.4515712,0
2017-08-18,0,0.08632063999999945,0
2017-08-19,0,-1.0533995520000001,0
2017-08-20,0,-0.6209358848000001,1
2017-08-21,0,-0.45458872319999993,1
2017-08-22,0,-0.3201895423999999,2
2017-08-23,0,0.7686454272000001,0
2017-08-24,0,-0.47415582719999994,0
2017-08-25,0,-0.13837055999999998,0
2017-08-26,0,-0.07915571199999999,0
2017-08-27,0,-0.05439815680000004,0
2017-08-28,0,1.970048,1
2017-08-29,0,-0.8229631999999998,8
2017-08-30,0,-0.25837055999999997,0
2017-08-31,0,-0.143155712,0
2017-09-01,0,-0.0959981568000001,0
2017-09-02,0,-0.059904000000000034,2
2017-09-03,0,-0.04592640000000001,0
2017-09-04,1,-0.03674111999999999,0
2017-09-05,1,-0.030311423999999986,6
2017-09-06,1,-0.025596313599999993,0
2017-09-07,0,0.0,0
2017-09-08,0,0.0,0
2017-09-09,0,0.0,0
2017-09-10,0,0.0,0
2017-09-11,1,3.0,1
2017-09-12,0,-1.1999999999999997,0
2017-09-13,0,-0.36,0
2017-09-14,0,-0.192,0
2017-09-15,0,-0.12480000000000013,0
2017-09-16,3,-0.08985600000000005,0
2017-09-17,0,-0.06888960000000002,0
2017-09-18,0,-0.05511167999999998,0
2017-09-19,3,-0.04546713599999998,0
2017-09-20,0,-0.03839447039999999,0
2017-09-21,1,0.0,0
2017-09-22,0,0.0,0
2017-09-23,1,0.0,0
2017-09-24,1,0.0,0
2017-09-25,0,0.0,0
2017-09-26,2,0.0,0
2017-09-27,1,0.0,0
2017-09-28,0,0.0,1
2017-09-29,0,0.0,0
2017-09-30,0,0.0,2
2017-10-01,0,0.0,0
2017-10-02,7,0.0,0
2017-10-03,1,0.0,0
2017-10-04,2,0.0,1
2017-10-05,1,0.0,0
2017-10-06,0,0.0,2
2017-10-07,0,0.0,1
2017-10-08,1,2.0,0
2017-10-09,0,-0.7999999999999998,11
2017-10-10,0,-0.24,0
2017-10-11,4,-0.128,0
2017-10-12,1,-0.0832000000000001,0
2017-10-13,0,1.940096,0
2017-10-14,2,-0.8459263999999999,2
2017-10-15,0,-0.27674111999999995,2
2017-10-16,0,-0.15831142399999998,1
2017-10-17,0,-0.10879631360000008,3
2017-10-18,0,-0.059904000000000034,0
2017-10-19,0,-0.04592640000000001,0
2017-10-20,0,-0.03674111999999999,1
2017-10-21,0,-0.030311423999999986,4
2017-10-22,2,-0.025596313599999993,4
2017-10-23,3,1.0,0
2017-10-24,1,-0.3999999999999999,0
2017-10-25,1,-0.12,0
2017-10-26,2,-0.064,0
2017-10-27,0,-0.04160000000000005,2
2017-10-28,1,-0.029952000000000017,0
2017-10-29,3,-0.022963200000000007,0
2017-10-30,3,-0.018370559999999994,2
2017-10-31,3,-0.015155711999999993,1
2017-11-01,1,-0.012798156799999997,0
2017-11-02,4,0.0,0
2017-11-03,1,0.0,0
2017-11-04,0,0.0,0
2017-11-05,2,0.0,0
2017-11-06,0,0.0,0
2017-11-07,0,0.0,0
2017-11-08,0,0.0,0
2017-11-09,3,0.0,0
2017-11-10,0,0.0,0
2017-11-11,0,0.0,9
2017-11-12,0,0.0,2
2017-11-13,3,0.0,0
2017-11-14,0,0.0,0
