,gnome-terminator/terminator,eugeny/tabby,alacritty/alacritty
2017-02-23,-0.48202752000000015,0,2
2017-02-24,-0.27370803200000016,0,0
2017-02-25,-0.1963393024,0,1
2017-02-26,3.8571565056,0,0
2017-02-27,0.0942799872000003,0,2
2017-02-28,1.4132484095999998,0,0
2017-03-01,0.282297856,0,1
2017-03-02,-0.5817264128,0,10
2017-03-03,0.6757866495999998,0,1
2017-03-04,-0.4224512000000001,0,1
2017-03-05,-0.2528076800000002,2,0
2017-03-06,-0.18887116799999984,0,10
2017-03-07,0.8478526464000001,0,1
2017-03-08,-0.2837074943999998,0,2
2017-03-09,0.8602447872000001,0,0
2017-03-10,-0.27739607039999997,0,0
2017-03-11,-0.12798771200000003,0,0
2017-03-12,-0.08600535040000001,0,0
2017-03-13,1.9459712,0,0
2017-03-14,-0.4424627199999999,0,0
2017-03-15,-0.1948165120000001,0,0
2017-03-16,-0.12539607040000006,0,0
2017-03-17,-0.08158771199999997,0,0
2017-03-18,-0.06354135039999999,2,0
2017-03-19,-0.04085760000000002,0,0
2017-03-20,-0.03385344000000002,1,0
2017-03-21,-0.02877542399999988,1,0
2017-03-22,0.9750612992000001,1,0
2017-03-23,-0.19999999999999996,3,0
2017-03-24,-0.08000000000000007,2,0
2017-03-25,-0.048000000000000036,2,0
2017-03-26,-0.03360000000000001,1,0
2017-03-27,-0.025536000000000014,0,1
2017-03-28,-0.02042880000000001,0,0
2017-03-29,-0.01692672000000001,2,0
2017-03-30,-0.01438771199999994,1,0
2017-03-31,-0.012469350399999964,0,0
2017-04-01,0.0,0,0
2017-04-02,0.0,1,0
2017-04-03,0.0,0,0
2017-04-04,0.0,1,9
2017-04-05,1.0,1,0
2017-04-06,-0.19999999999999996,3,0
2017-04-07,-0.08000000000000007,0,0
2017-04-08,-0.048000000000000036,4,0
2017-04-09,-0.03360000000000001,0,0
2017-04-10,-0.025536000000000014,0,0
2017-04-11,-0.02042880000000001,3,0
2017-04-12,-0.01692672000000001,1,0
2017-04-13,-0.01438771199999994,0,0
2017-04-14,0.9875306496,4,0
2017-04-15,0.8,2,0
2017-04-16,-0.28,5,0
2017-04-17,-0.1280000000000001,4,0
2017-04-18,-0.08160000000000005,0,0
2017-04-19,0.9408639999999999,0,7
2017-04-20,-0.24596479999999998,2,6
2017-04-21,-0.11735552000000009,0,1
2017-04-22,-0.07931443199999999,0,0
2017-04-23,-0.060457062399999914,3,2
2017-04-24,-0.03800535039999998,1,0
2017-04-25,-0.02042880000000001,0,0
2017-04-26,-0.01692672000000001,0,0
2017-04-27,-0.01438771199999994,1,0
2017-04-28,-0.012469350399999964,4,0
2017-04-29,0.0,1,0
2017-04-30,0.0,3,0
2017-05-01,0.0,5,10
2017-05-02,0.0,0,0
2017-05-03,0.0,0,3
2017-05-04,0.0,0,0
2017-05-05,0.0,0,0
2017-05-06,0.0,0,3
2017-05-07,0.0,0,3
2017-05-08,0.0,0,1
2017-05-09,0.0,0,0
2017-05-10,0.0,0,3
2017-05-11,0.0,1,0
2017-05-12,1.0,0,1
2017-05-13,-0.19999999999999996,2,0
2017-05-14,-0.08000000000000007,1,0
2017-05-15,-0.048000000000000036,0,0
2017-05-16,-0.03360000000000001,0,0
2017-05-17,-0.025536000000000014,0,0
2017-05-18,-0.02042880000000001,0,0
2017-05-19,-0.01692672000000001,0,0
2017-05-20,-0.01438771199999994,0,0
2017-05-21,-0.012469350399999964,0,0
2017-05-22,0.0,0,0
2017-05-23,0.0,0,0
2017-05-24,0.0,0,5
2017-05-25,0.0,0,2
2017-05-26,1.0,0,0
2017-05-27,-0.19999999999999996,0,0
2017-05-28,-0.08000000000000007,0,6
2017-05-29,-0.048000000000000036,0,3
2017-05-30,-0.03360000000000001,0,0
2017-05-31,-0.025536000000000014,0,4
2017-06-01,-0.02042880000000001,1,2
2017-06-02,0.9830732799999999,0,0
2017-06-03,-0.2143877119999999,5,0
2017-06-04,-0.09246935040000004,1,1
2017-06-05,-0.048000000000000036,0,0
2017-06-06,-0.03360000000000001,0,2
2017-06-07,-0.025536000000000014,0,1
2017-06-08,-0.02042880000000001,0,0
2017-06-09,-0.01692672000000001,1,0
2017-06-10,0.9856122880000001,0,0
2017-06-11,-0.21246935039999992,0,1
2017-06-12,-0.08000000000000007,0,0
2017-06-13,-0.048000000000000036,0,0
2017-06-14,-0.03360000000000001,0,2
2017-06-15,-0.025536000000000014,0,0
2017-06-16,0.9795712,0,0
2017-06-17,-0.21692671999999996,0,0
2017-06-18,-0.09438771200000001,0,0
2017-06-19,-0.060469350399999997,0,3
2017-06-20,0.9664,3,6
2017-06-21,-0.22553599999999996,2,0
2017-06-22,-0.10042880000000008,0,0
2017-06-23,-0.06492672000000005,1,1
2017-06-24,0.952012288,26,0
2017-06-25,-0.23800535039999993,0,0
2017-06-26,-0.10042880000000008,2,0
2017-06-27,-0.06492672000000005,4,2
2017-06-28,-0.04798771199999995,1,0
2017-06-29,-0.03800535039999998,1,0
2017-06-30,-0.02042880000000001,14,0
2017-07-01,0.9830732799999999,5,2
2017-07-02,-0.2143877119999999,0,1
2017-07-03,-0.09246935040000004,9,0
2017-07-04,0.952,8,1
2017-07-05,-0.23359999999999997,18,0
2017-07-06,-0.10553600000000009,3,0
2017-07-07,-0.06842880000000004,0,0
2017-07-08,-0.050526720000000025,1,2
2017-07-09,-0.03992371199999995,0,0
2017-07-10,-0.03289815039999998,9,0
2017-07-11,-0.01692672000000001,0,0
2017-07-12,0.9856122880000001,2,0
2017-07-13,-0.21246935039999992,0,0
2017-07-14,-0.08000000000000007,0,0
2017-07-15,-0.048000000000000036,8,0
2017-07-16,-0.03360000000000001,0,0
2017-07-17,-0.025536000000000014,0,0
2017-07-18,-0.02042880000000001,0,0
2017-07-19,-0.01692672000000001,0,1
2017-07-20,-0.01438771199999994,2,2
2017-07-21,-0.012469350399999964,0,1
2017-07-22,0.0,0,0
2017-07-23,0.0,1,0
2017-07-24,0.0,3,0
2017-07-25,1.0,2,1
2017-07-26,-0.19999999999999996,4,0
2017-07-27,-0.08000000000000007,1,0
2017-07-28,-0.048000000000000036,1,5
2017-07-29,-0.03360000000000001,1,0
2017-07-30,-0.025536000000000014,4,0
2017-07-31,-0.02042880000000001,1,1
2017-08-01,-0.01692672000000001,0,0
2017-08-02,0.9856122880000001,5,0
2017-08-03,-0.21246935039999992,0,0
2017-08-04,-0.08000000000000007,9,0
2017-08-05,-0.048000000000000036,4,0
2017-08-06,-0.03360000000000001,0,0
2017-08-07,-0.025536000000000014,2,0
2017-08-08,-0.02042880000000001,0,1
2017-08-09,-0.01692672000000001,0,0
2017-08-10,-0.01438771199999994,0,0
2017-08-11,-0.012469350399999964,5,6
2017-08-12,0.0,0,1
2017-08-13,0.0,1,0
2017-08-14,0.0,0,0
2017-08-15,0.0,0,0
2017-08-16,0.0,0,0
2017-08-17,0.0,0,0
2017-08-18,0.0,1,0
2017-08-19,0.0,0,0
2017-08-20,0.0,2,1
2017-08-21,0.0,0,1
2017-08-22,0.0,0,2
2017-08-23,0.0,0,0
2017-08-24,0.0,0,0
2017-08-25,0.0,0,0
2017-08-26,0.0,1,0
2017-08-27,0.0,0,0
2017-08-28,0.0,0,1
2017-08-29,0.0,0,8
2017-08-30,0.0,3,0
2017-08-31,1.0,0,0
2017-09-01,-0.19999999999999996,0,0
2017-09-02,-0.08000000000000007,0,2
2017-09-03,-0.048000000000000036,0,0
2017-09-04,-0.03360000000000001,0,0
2017-09-05,-0.025536000000000014,0,6
2017-09-06,-0.02042880000000001,1,0
2017-09-07,-0.01692672000000001,0,0
2017-09-08,-0.01438771199999994,0,0
2017-09-09,-0.012469350399999964,8,0
2017-09-10,0.0,1,0
2017-09-11,0.0,0,1
2017-09-12,0.0,0,0
2017-09-13,0.0,0,0
2017-09-14,0.0,0,0
2017-09-15,0.0,0,0
2017-09-16,0.0,0,0
2017-09-17,0.0,0,0
2017-09-18,1.0,0,0
2017-09-19,0.8,0,0
2017-09-20,-0.28,0,0
2017-09-21,-0.1280000000000001,0,0
2017-09-22,-0.08160000000000005,0,0
2017-09-23,-0.05913600000000002,0,0
2017-09-24,0.9540352,0,0
2017-09-25,0.7626444800000001,0,0
2017-09-26,-0.311314432,0,0
2017-09-27,-0.15485706240000002,0,0
2017-09-28,-0.0940693504,3,1
2017-09-29,-0.05913600000000002,0,0
2017-09-30,-0.04596480000000003,0,2
2017-10-01,-0.03735552000000002,0,0
2017-10-02,-0.03131443199999995,0,0
2017-10-03,-0.026857062399999902,0,0
2017-10-04,-0.012469350399999964,0,1
2017-10-05,0.0,0,0
2017-10-06,0.0,0,2
2017-10-07,0.0,5,1
2017-10-08,0.0,3,0
2017-10-09,0.0,0,11
2017-10-10,0.0,0,0
2017-10-11,0.0,0,0
2017-10-12,1.0,0,0
2017-10-13,-0.19999999999999996,1,0
2017-10-14,-0.08000000000000007,0,2
2017-10-15,-0.048000000000000036,0,2
2017-10-16,-0.03360000000000001,0,1
2017-10-17,-0.025536000000000014,0,3
2017-10-18,-0.02042880000000001,0,0
2017-10-19,-0.01692672000000001,0,0
2017-10-20,-0.01438771199999994,1,1
2017-10-21,-0.012469350399999964,1,4
2017-10-22,0.0,3,4
2017-10-23,0.0,2,0
2017-10-24,0.0,0,0
2017-10-25,0.0,0,0
2017-10-26,0.0,0,0
2017-10-27,0.0,0,2
2017-10-28,0.0,0,0
2017-10-29,0.0,0,0
2017-10-30,0.0,0,2
2017-10-31,1.0,1,1
2017-11-01,-0.19999999999999996,0,0
2017-11-02,-0.08000000000000007,0,0
2017-11-03,-0.048000000000000036,0,0
2017-11-04,-0.03360000000000001,1,0
2017-11-05,-0.025536000000000014,0,0
2017-11-06,-0.02042880000000001,0,0
2017-11-07,-0.01692672000000001,0,0
2017-11-08,-0.01438771199999994,0,0
2017-11-09,-0.012469350399999964,0,0
2017-11-10,0.0,0,0
2017-11-11,0.0,0,9
2017-11-12,0.0,0,2
2017-11-13,0.0,0,0
2017-11-14,1.0,0,0
2017-11-15,0.8,0,0
2017-11-16,0.72,4,0
2017-11-17,-0.32800000000000007,0,0
2017-11-18,-0.16160000000000013,3,0
2017-11-19,-0.10713600000000006,0,2
2017-11-20,-0.07956480000000005,0,1
2017-11-21,-0.06289152000000003,2,0
2017-11-22,-0.05174323199999996,0,0
2017-11-23,-0.043783782399999915,0,0
2017-11-24,-0.026857062399999902,0,0
2017-11-25,-0.012469350399999964,0,0
2017-11-26,0.0,2,0
2017-11-27,0.0,5,0
2017-11-28,0.0,5,0
2017-11-29,0.0,0,0
2017-11-30,0.0,0,0
2017-12-01,0.0,3,0
2017-12-02,0.0,0,0
2017-12-03,0.0,0,8
2017-12-04,0.0,0,0
2017-12-05,0.0,5,0
2017-12-06,0.0,0,0
2017-12-07,0.0,3,0
2017-12-08,0.0,0,0
2017-12-09,0.0,0,0
2017-12-10,0.0,0,0
2017-12-11,0.0,0,0
2017-12-12,0.0,0,0
2017-12-13,0.0,0,2
2017-12-14,0.0,6,0
2017-12-15,0.0,2,0
2017-12-16,0.0,0,0
2017-12-17,0.0,0,1
2017-12-18,0.0,0,0
2017-12-19,0.0,0,0
2017-12-20,0.0,0,0
2017-12-21,0.0,0,0
2017-12-22,0.0,0,17
2017-12-23,0.0,0,4
2017-12-24,0.0,0,23
2017-12-25,0.0,0,0
2017-12-26,0.0,0,0
2017-12-27,0.0,2,0
2017-12-28,0.0,0,0
2017-12-29,0.0,0,1
2017-12-30,0.0,0,0
2017-12-31,0.0,0,0
2018-01-01,0.0,0,0
2018-01-02,0.0,0,4
2018-01-03,0.0,0,7
2018-01-04,0.0,6,0
2018-01-05,0.0,0,1
2018-01-06,0.0,0,4
2018-01-07,0.0,0,2
2018-01-08,0.0,0,3
2018-01-09,0.0,0,0
2018-01-10,0.0,0,2
2018-01-11,0.0,0,1
2018-01-12,0.0,0,0
2018-01-13,0.0,0,0
2018-01-14,0.0,0,0
2018-01-15,0.0,0,1
2018-01-16,0.0,0,1
2018-01-17,0.0,0,0
2018-01-18,0.0,0,1
2018-01-19,0.0,5,0
2018-01-20,0.0,0,0
2018-01-21,0.0,0,1
2018-01-22,0.0,0,0
2018-01-23,0.0,0,0
2018-01-24,0.0,4,0
2018-01-25,0.0,0,0
2018-01-26,0.0,0,1
2018-01-27,0.0,0,0
2018-01-28,0.0,0,0
2018-01-29,1.0,0,0
2018-01-30,-0.19999999999999996,0,1
2018-01-31,-0.08000000000000007,0,1
2018-02-01,-0.048000000000000036,0,0
2018-02-02,-0.03360000000000001,1,0
2018-02-03,0.974464,1,0
2018-02-04,-0.22042879999999998,0,0
2018-02-05,-0.09692672000000008,0,0
2018-02-06,-0.06238771199999998,0,0
2018-02-07,-0.04606935039999997,0,1
2018-02-08,-0.025536000000000014,0,0
2018-02-09,-0.02042880000000001,0,0
2018-02-10,-0.01692672000000001,0,0
2018-02-11,0.9856122880000001,0,1
2018-02-12,0.7875306496000001,3,0
2018-02-13,-0.28,0,2
2018-02-14,-0.1280000000000001,0,0
2018-02-15,-0.08160000000000005,0,0
2018-02-16,-0.05913600000000002,0,0
2018-02-17,-0.04596480000000003,0,0
2018-02-18,-0.03735552000000002,0,0
2018-02-19,-0.03131443199999995,0,0
2018-02-20,-0.026857062399999902,0,0
2018-02-21,-0.012469350399999964,0,0
2018-02-22,0.0,0,0
2018-02-23,1.0,0,0
2018-02-24,-0.19999999999999996,0,0
2018-02-25,-0.08000000000000007,0,0
2018-02-26,-0.048000000000000036,0,0
2018-02-27,-0.03360000000000001,0,0
2018-02-28,-0.025536000000000014,0,3
2018-03-01,0.9795712,0,0
2018-03-02,0.78307328,0,0
2018-03-03,0.705612288,0,0
2018-03-04,-0.34046935040000004,0,1
2018-03-05,-0.16160000000000013,0,0
2018-03-06,0.8928639999999999,0,0
2018-03-07,0.7204352,0,1
2018-03-08,-0.34289152000000006,0,0
2018-03-09,-0.17974323200000006,0,2
2018-03-10,-0.12538378239999998,0,1
2018-03-11,-0.08599306239999993,5,0
2018-03-12,-0.058434150399999996,0,0
2018-03-13,-0.03735552000000002,1,11
2018-03-14,-0.03131443199999995,0,0
2018-03-15,-0.026857062399999902,0,0
2018-03-16,-0.012469350399999964,0,0
2018-03-17,0.0,0,0
2018-03-18,0.0,3,0
2018-03-19,0.0,0,0
2018-03-20,0.0,0,0
2018-03-21,0.0,0,0
2018-03-22,0.0,0,0
2018-03-23,0.0,3,2
2018-03-24,0.0,3,0
2018-03-25,0.0,0,0
2018-03-26,0.0,0,0
2018-03-27,0.0,0,1
2018-03-28,0.0,1,0
2018-03-29,0.0,1,0
2018-03-30,0.0,3,2
2018-03-31,0.0,1,0
2018-04-01,0.0,3,0
2018-04-02,0.0,0,0
2018-04-03,0.0,1,0
2018-04-04,0.0,0,0
2018-04-05,0.0,0,0
2018-04-06,0.0,0,0
2018-04-07,0.0,0,0
2018-04-08,0.0,0,0
2018-04-09,0.0,0,0
2018-04-10,0.0,0,0
2018-04-11,0.0,0,0
2018-04-12,0.0,0,0
2018-04-13,0.0,0,0
2018-04-14,1.0,0,1
2018-04-15,0.8,0,0
2018-04-16,-0.28,0,0
2018-04-17,-0.1280000000000001,0,0
2018-04-18,-0.08160000000000005,0,0
2018-04-19,-0.05913600000000002,0,0
2018-04-20,-0.04596480000000003,0,0
2018-04-21,-0.03735552000000002,0,0
2018-04-22,-0.03131443199999995,0,0
2018-04-23,-0.026857062399999902,0,0
2018-04-24,-0.012469350399999964,4,0
2018-04-25,0.0,0,0
2018-04-26,1.0,0,0
2018-04-27,0.8,0,0
2018-04-28,-0.28,0,1
2018-04-29,-0.1280000000000001,0,0
2018-04-30,-0.08160000000000005,0,0
2018-05-01,-0.05913600000000002,0,1
2018-05-02,-0.04596480000000003,0,0
2018-05-03,-0.03735552000000002,0,0
2018-05-04,-0.03131443199999995,0,0
2018-05-05,-0.026857062399999902,0,1
2018-05-06,-0.012469350399999964,0,0
2018-05-07,0.0,0,0
2018-05-08,0.0,0,0
2018-05-09,0.0,0,0
2018-05-10,0.0,1,0
2018-05-11,0.0,0,2
2018-05-12,0.0,0,0
2018-05-13,1.0,0,0
2018-05-14,-0.19999999999999996,0,4
2018-05-15,-0.08000000000000007,3,0
2018-05-16,-0.048000000000000036,0,0
2018-05-17,0.9664,0,0
2018-05-18,0.774464,0,0
2018-05-19,-0.30042880000000005,0,0
2018-05-20,-0.14492672000000012,6,0
2018-05-21,-0.09598771199999999,1,0
2018-05-22,-0.07160535039999999,0,0
2018-05-23,-0.04596480000000003,0,0
2018-05-24,-0.03735552000000002,0,0
2018-05-25,-0.03131443199999995,0,2
2018-05-26,-0.026857062399999902,0,0
2018-05-27,-0.012469350399999964,0,0
2018-05-28,0.0,1,0
2018-05-29,0.0,0,1
2018-05-30,0.0,0,1
2018-05-31,0.0,0,0
2018-06-01,0.0,0,0
2018-06-02,0.0,0,74
2018-06-03,0.0,1,0
2018-06-04,0.0,0,0
2018-06-05,0.0,0,0
2018-06-06,0.0,0,0
2018-06-07,0.0,0,2
2018-06-08,0.0,0,1
2018-06-09,0.0,0,0
2018-06-10,0.0,0,0
2018-06-11,0.0,0,0
2018-06-12,0.0,0,0
2018-06-13,0.0,0,0
2018-06-14,1.0,0,0
2018-06-15,-0.19999999999999996,0,0
2018-06-16,-0.08000000000000007,0,2
2018-06-17,-0.048000000000000036,0,1
2018-06-18,-0.03360000000000001,0,1
2018-06-19,-0.025536000000000014,0,1
2018-06-20,-0.02042880000000001,0,0
2018-06-21,-0.01692672000000001,0,0
2018-06-22,-0.01438771199999994,0,0
2018-06-23,-0.012469350399999964,1,1
2018-06-24,0.0,0,0
2018-06-25,0.0,0,0
2018-06-26,0.0,0,1
2018-06-27,0.0,0,0
2018-06-28,0.0,0,0
2018-06-29,0.0,0,0
2018-06-30,0.0,1,0
2018-07-01,0.0,0,4
2018-07-02,0.0,4,2
2018-07-03,0.0,0,1
2018-07-04,0.0,1,0
2018-07-05,0.0,0,1
2018-07-06,0.0,0,1
2018-07-07,0.0,0,0
2018-07-08,0.0,0,0
2018-07-09,0.0,0,1
2018-07-10,0.0,0,0
2018-07-11,0.0,0,0
2018-07-12,0.0,0,0
2018-07-13,0.0,0,0
2018-07-14,0.0,0,0
2018-07-15,0.0,0,4
2018-07-16,0.0,0,1
2018-07-17,0.0,0,0
2018-07-18,0.0,0,1
2018-07-19,0.0,0,1
2018-07-20,0.0,0,1
2018-07-21,0.0,0,4
2018-07-22,0.0,2,2
2018-07-23,0.0,0,1
2018-07-24,0.0,0,0
2018-07-25,0.0,0,2
2018-07-26,1.0,2,2
2018-07-27,-0.19999999999999996,0,0
2018-07-28,-0.08000000000000007,0,2
2018-07-29,-0.048000000000000036,0,4
2018-07-30,-0.03360000000000001,0,0
2018-07-31,-0.025536000000000014,0,0
2018-08-01,-0.02042880000000001,0,0
2018-08-02,-0.01692672000000001,2,0
2018-08-03,-0.01438771199999994,0,1
2018-08-04,-0.012469350399999964,0,0
2018-08-05,0.0,0,2
2018-08-06,0.0,0,0
2018-08-07,0.0,1,0
2018-08-08,0.0,3,0
2018-08-09,0.0,10,0
2018-08-10,0.0,2,0
2018-08-11,0.0,5,0
2018-08-12,0.0,0,0
2018-08-13,0.0,0,0
2018-08-14,0.0,0,0
2018-08-15,0.0,0,1
2018-08-16,0.0,0,0
2018-08-17,0.0,2,0
2018-08-18,0.0,3,0
2018-08-19,0.0,0,0
2018-08-20,0.0,2,0
2018-08-21,0.0,3,0
2018-08-22,0.0,0,0
2018-08-23,1.0,2,0
2018-08-24,0.8,6,0
2018-08-25,-0.28,3,0
2018-08-26,-0.1280000000000001,8,0
2018-08-27,-0.08160000000000005,1,0
2018-08-28,-0.05913600000000002,0,0
2018-08-29,-0.04596480000000003,4,0
2018-08-30,-0.03735552000000002,0,0
2018-08-31,-0.03131443199999995,3,0
2018-09-01,-0.026857062399999902,0,0
2018-09-02,-0.012469350399999964,0,1
2018-09-03,0.0,0,0
2018-09-04,0.0,7,0
2018-09-05,0.0,2,2
2018-09-06,0.0,2,0
2018-09-07,0.0,0,0
2018-09-08,0.0,0,0
2018-09-09,0.0,0,0
2018-09-10,0.0,3,0
2018-09-11,0.0,4,0
2018-09-12,0.0,5,0
2018-09-13,0.0,1,0
2018-09-14,0.0,0,0
2018-09-15,0.0,0,0
2018-09-16,0.0,2,0
2018-09-17,0.0,0,11
2018-09-18,0.0,0,3
2018-09-19,0.0,0,3
2018-09-20,0.0,14,9
2018-09-21,0.0,0,0
2018-09-22,0.0,8,1
2018-09-23,0.0,7,2
2018-09-24,0.0,0,3
2018-09-25,0.0,2,1
2018-09-26,0.0,0,2
2018-09-27,0.0,0,1
2018-09-28,0.0,0,3
2018-09-29,0.0,0,1
2018-09-30,0.0,0,2
2018-10-01,0.0,0,0
2018-10-02,0.0,0,0
2018-10-03,0.0,3,3
2018-10-04,0.0,0,0
2018-10-05,0.0,10,0
2018-10-06,0.0,2,0
2018-10-07,0.0,0,2
2018-10-08,1.0,9,0
2018-10-09,-0.19999999999999996,4,0
2018-10-10,0.9199999999999999,7,0
2018-10-11,-0.248,4,0
2018-10-12,-0.11360000000000009,7,0
2018-10-13,-0.07353600000000005,6,0
2018-10-14,-0.05402880000000002,0,2
2018-10-15,-0.04246272000000002,0,0
2018-10-16,-0.03481651199999995,3,3
2018-10-17,-0.029396070399999974,0,1
2018-10-18,-0.01438771199999994,0,1
2018-10-19,-0.012469350399999964,0,0
2018-10-20,0.0,0,2
2018-10-21,0.0,0,0
2018-10-22,0.0,3,2
2018-10-23,0.0,5,0
2018-10-24,0.0,0,0
2018-10-25,0.0,6,0
2018-10-26,0.0,5,0
2018-10-27,0.0,4,5
2018-10-28,0.0,0,0
2018-10-29,0.0,4,2
2018-10-30,0.0,0,2
2018-10-31,0.0,5,3
2018-11-01,1.0,0,5
2018-11-02,0.8,0,1
2018-11-03,-0.28,0,2
2018-11-04,-0.1280000000000001,0,2
2018-11-05,-0.08160000000000005,0,0
2018-11-06,-0.05913600000000002,0,1
2018-11-07,-0.04596480000000003,0,2
2018-11-08,-0.03735552000000002,0,0
2018-11-09,-0.03131443199999995,0,0
2018-11-10,0.9731429376000001,4,2
2018-11-11,-0.21246935039999992,3,3
2018-11-12,-0.08000000000000007,0,3
2018-11-13,-0.048000000000000036,0,3
2018-11-14,-0.03360000000000001,0,4
2018-11-15,-0.025536000000000014,2,2
2018-11-16,-0.02042880000000001,0,1
2018-11-17,-0.01692672000000001,0,2
2018-11-18,-0.01438771199999994,0,3
2018-11-19,-0.012469350399999964,0,3
2018-11-20,0.0,0,0
2018-11-21,0.0,0,0
2018-11-22,0.0,1,0
2018-11-23,0.0,0,2
2018-11-24,1.0,0,1
2018-11-25,-0.19999999999999996,0,0
2018-11-26,-0.08000000000000007,0,0
2018-11-27,-0.048000000000000036,0,0
2018-11-28,0.9664,4,0
2018-11-29,-0.22553599999999996,0,0
2018-11-30,-0.10042880000000008,0,0
2018-12-01,-0.06492672000000005,0,0
2018-12-02,-0.04798771199999995,3,3
2018-12-03,-0.03800535039999998,0,1
2018-12-04,-0.02042880000000001,5,0
2018-12-05,-0.01692672000000001,7,0
2018-12-06,-0.01438771199999994,2,3
2018-12-07,-0.012469350399999964,4,1
2018-12-08,0.0,0,3
2018-12-09,0.0,0,3
2018-12-10,0.0,9,1
2018-12-11,0.0,0,0
2018-12-12,0.0,0,1
2018-12-13,0.0,2,0
2018-12-14,0.0,3,2
2018-12-15,0.0,6,2
2018-12-16,0.0,7,0
2018-12-17,0.0,1,1
2018-12-18,0.0,1,1
2018-12-19,0.0,3,0
2018-12-20,0.0,0,2
2018-12-21,0.0,12,0
2018-12-22,0.0,4,1
