,friendica/friendica,mastodon/mastodon,diaspora/diaspora
2020-02-20,10,0,1
2020-02-21,0,0,0
2020-02-22,4,3,0
2020-02-23,5,0,0
2020-02-24,7,4,0
2020-02-25,5,0,0
2020-02-26,2,0,0
2020-02-27,1,2,0
2020-02-28,8,1,0
2020-02-29,20,2,0
2020-03-01,13,1,0
2020-03-02,12,0,0
2020-03-03,13,0,0
2020-03-04,6,0,1
2020-03-05,11,3,0
2020-03-06,4,3,0
2020-03-07,13,0,0
2020-03-08,10,17,0
2020-03-09,24,4,0
2020-03-10,12,4,0
2020-03-11,11,0,0
2020-03-12,6,3,0
2020-03-13,2,0,0
2020-03-14,2,0,0
2020-03-15,0,0,0
2020-03-16,2,0,0
2020-03-17,0,1,0
2020-03-18,1,0,0
2020-03-19,2,0,0
2020-03-20,5,0,71
2020-03-21,10,6,2
2020-03-22,18,2,0
2020-03-23,8,0,0
2020-03-24,3,0,0
2020-03-25,12,4,0
2020-03-26,3,2,0
2020-03-27,0,1,0
2020-03-28,9,1,2
2020-03-29,14,0,0
2020-03-30,7,1,0
2020-03-31,2,6,0
2020-04-01,15,0,0
2020-04-02,1,4,0
2020-04-03,2,1,0
2020-04-04,9,4,0
2020-04-05,16,8,0
2020-04-06,2,3,0
2020-04-07,0,1,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,1,0
2020-04-11,0,0,0
2020-04-12,0,4,0
2020-04-13,4,1,0
2020-04-14,5,0,0
2020-04-15,19,3,0
2020-04-16,3,3,0
2020-04-17,6,3,0
2020-04-18,7,2,0
2020-04-19,5,1,0
2020-04-20,7,1,0
2020-04-21,4,1,0
2020-04-22,3,0,0
2020-04-23,5,2,0
2020-04-24,19,0,0
2020-04-25,8,3,0
2020-04-26,17,1,0
2020-04-27,7,3,0
2020-04-28,23,7,0
2020-04-29,7,0,0
2020-04-30,3,1,0
2020-05-01,14,2,0
2020-05-02,10,0,0
2020-05-03,3,4,0
2020-05-04,11,2,0
2020-05-05,29,0,0
2020-05-06,18,0,0
2020-05-07,12,0,0
2020-05-08,6,5,0
2020-05-09,16,2,0
2020-05-10,8,12,0
2020-05-11,8,0,0
2020-05-12,4,5,0
2020-05-13,4,3,0
2020-05-14,10,5,0
2020-05-15,28,5,0
2020-05-16,20,0,0
2020-05-17,17,1,0
2020-05-18,15,0,0
2020-05-19,6,0,0
2020-05-20,5,0,0
2020-05-21,6,0,0
2020-05-22,9,0,0
2020-05-23,0,3,0
2020-05-24,4,1,0
2020-05-25,0,1,0
2020-05-26,6,0,0
2020-05-27,18,0,0
2020-05-28,5,1,0
2020-05-29,8,2,0
2020-05-30,4,0,0
2020-05-31,3,3,0
2020-06-01,3,1,0
2020-06-02,3,3,0
2020-06-03,12,6,0
2020-06-04,7,1,0
2020-06-05,8,3,0
2020-06-06,13,2,0
2020-06-07,14,0,0
2020-06-08,10,4,0
2020-06-09,13,8,0
2020-06-10,17,3,0
2020-06-11,2,0,1
2020-06-12,5,0,0
2020-06-13,3,0,6
2020-06-14,10,2,8
2020-06-15,9,1,0
2020-06-16,7,0,0
2020-06-17,7,2,0
2020-06-18,9,0,0
2020-06-19,4,1,0
2020-06-20,3,3,0
2020-06-21,3,2,0
2020-06-22,1,1,0
2020-06-23,9,4,0
2020-06-24,5,4,2
2020-06-25,10,11,0
2020-06-26,5,2,0
2020-06-27,11,1,0
2020-06-28,14,1,0
2020-06-29,2,6,0
2020-06-30,9,2,0
2020-07-01,4,7,0
2020-07-02,2,1,0
2020-07-03,0,5,0
2020-07-04,3,0,0
2020-07-05,1,1,0
2020-07-06,5,5,0
2020-07-07,3,9,0
2020-07-08,7,6,2
2020-07-09,11,4,0
2020-07-10,7,7,0
2020-07-11,14,1,0
2020-07-12,13,3,0
2020-07-13,10,1,0
2020-07-14,9,4,0
2020-07-15,6,8,0
2020-07-16,15,1,0
2020-07-17,11,3,0
2020-07-18,4,4,0
2020-07-19,18,4,0
2020-07-20,7,3,0
2020-07-21,29,0,0
2020-07-22,8,5,0
