,apache/tomee,spring-projects/spring-boot,dropwizard/dropwizard
2020-10-21,1,27,1
2020-10-22,0,8,1
2020-10-23,2,23,1
2020-10-24,0,4,0
2020-10-25,0,3,0
2020-10-26,3,95,1
2020-10-27,0,31,2
2020-10-28,0,59,1
2020-10-29,0,62,3
2020-10-30,1,3,1
2020-10-31,0,0,0
2020-11-01,0,4,0
2020-11-02,2,9,3
2020-11-03,0,34,0
2020-11-04,0,19,0
2020-11-05,0,19,0
2020-11-06,0,6,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,5,18,0
2020-11-10,0,25,0
2020-11-11,1,26,0
2020-11-12,0,13,0
2020-11-13,0,0,1
2020-11-14,0,0,0
2020-11-15,2,0,0
2020-11-16,3,3,1
2020-11-17,9,16,0
2020-11-18,3,19,0
2020-11-19,4,0,0
2020-11-20,1,11,0
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,4,0
2020-11-24,0,0,0
2020-11-25,1,10,0
2020-11-26,2,3,4
2020-11-27,0,2,0
2020-11-28,1,0,0
2020-11-29,0,0,0
2020-11-30,0,8,0
2020-12-01,5,1,0
2020-12-02,5,4,0
2020-12-03,5,2,0
2020-12-04,0,8,0
2020-12-05,0,14,0
2020-12-06,0,0,0
2020-12-07,1,44,0
2020-12-08,7,36,1
2020-12-09,8,44,1
2020-12-10,5,60,1
2020-12-11,8,27,0
2020-12-12,0,0,1
2020-12-13,0,0,0
2020-12-14,1,15,0
2020-12-15,8,24,1
2020-12-16,3,26,0
2020-12-17,0,6,0
2020-12-18,3,20,0
2020-12-19,0,10,0
2020-12-20,0,0,4
2020-12-21,1,26,0
2020-12-22,0,19,0
2020-12-23,5,17,0
2020-12-24,0,2,0
2020-12-25,0,0,0
2020-12-26,0,0,3
2020-12-27,0,0,3
2020-12-28,0,0,1
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,1
2021-01-01,0,4,1
2021-01-02,0,0,2
2021-01-03,0,4,0
2021-01-04,1,7,1
2021-01-05,1,17,0
2021-01-06,0,23,1
2021-01-07,0,27,0
2021-01-08,1,13,0
2021-01-09,5,0,6
2021-01-10,0,1,0
2021-01-11,3,39,1
2021-01-12,2,64,1
2021-01-13,5,21,0
2021-01-14,3,37,0
2021-01-15,1,26,0
2021-01-16,1,0,0
2021-01-17,0,3,0
2021-01-18,3,20,2
2021-01-19,0,10,0
2021-01-20,1,54,0
2021-01-21,0,22,0
2021-01-22,4,13,0
2021-01-23,1,1,0
2021-01-24,1,0,2
2021-01-25,6,0,1
2021-01-26,0,13,1
2021-01-27,0,12,0
2021-01-28,2,19,1
2021-01-29,0,21,0
2021-01-30,0,4,0
2021-01-31,1,9,0
2021-02-01,3,6,4
2021-02-02,5,18,0
2021-02-03,0,2,0
2021-02-04,0,10,0
2021-02-05,1,3,0
2021-02-06,0,0,4
2021-02-07,0,0,1
2021-02-08,0,0,0
2021-02-09,0,28,0
2021-02-10,0,36,0
2021-02-11,0,13,0
2021-02-12,2,74,1
2021-02-13,0,0,0
2021-02-14,0,6,0
2021-02-15,0,31,0
2021-02-16,0,38,0
2021-02-17,0,54,0
2021-02-18,0,38,0
2021-02-19,0,8,0
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,0,13,0
2021-02-23,1,5,0
2021-02-24,0,9,1
2021-02-25,0,29,0
2021-02-26,0,13,0
2021-02-27,2,6,4
2021-02-28,0,0,2
2021-03-01,1,19,0
2021-03-02,1,0,0
2021-03-03,0,13,0
2021-03-04,5,12,0
2021-03-05,2,35,0
2021-03-06,0,7,0
2021-03-07,0,0,4
2021-03-08,8,6,0
2021-03-09,3,17,1
2021-03-10,0,23,0
2021-03-11,2,21,1
2021-03-12,6,4,0
2021-03-13,3,4,0
2021-03-14,2,3,1
2021-03-15,1,31,0
2021-03-16,2,70,0
2021-03-17,0,43,5
2021-03-18,1,16,1
2021-03-19,0,9,0
2021-03-20,1,0,1
2021-03-21,0,0,2
2021-03-22,1,8,0
2021-03-23,3,22,0
2021-03-24,1,23,0
2021-03-25,2,3,0
2021-03-26,2,8,0
2021-03-27,1,4,0
2021-03-28,3,0,0
2021-03-29,0,20,0
2021-03-30,0,20,0
2021-03-31,0,8,0
2021-04-01,0,20,0
2021-04-02,4,0,0
2021-04-03,13,0,1
2021-04-04,1,4,0
2021-04-05,3,4,1
2021-04-06,2,20,0
2021-04-07,8,25,0
2021-04-08,2,24,0
2021-04-09,0,78,0
2021-04-10,1,11,2
2021-04-11,0,1,0
2021-04-12,1,37,0
2021-04-13,2,65,0
2021-04-14,1,54,0
2021-04-15,0,33,0
2021-04-16,2,10,0
2021-04-17,2,0,0
2021-04-18,4,0,0
2021-04-19,1,17,0
2021-04-20,6,22,0
2021-04-21,7,8,0
2021-04-22,7,16,0
2021-04-23,0,1,0
2021-04-24,2,3,2
2021-04-25,3,1,4
2021-04-26,6,7,0
2021-04-27,3,23,0
2021-04-28,1,28,0
2021-04-29,2,23,0
2021-04-30,6,26,1
2021-05-01,2,3,0
