,elastic/elasticsearch,meilisearch/meilisearch,typesense/typesense
2018-04-22,0,1.0,0.0
2018-04-23,2,0.0,1.0
2018-04-24,8,0.0,0.8
2018-04-25,16,0.0,0.72
2018-04-26,31,0.0,-0.32800000000000007
2018-04-27,23,0.0,-0.16160000000000013
2018-04-28,3,0.0,-0.10713600000000006
2018-04-29,1,0.0,-0.07956480000000003
2018-04-30,15,0.0,0.93710848
2018-05-01,40,0.0,-0.25174323199999993
2018-05-02,37,0.0,-0.12378378239999999
2018-05-03,19,0.0,-0.07485706239999994
2018-05-04,21,0.0,1.9539306496
2018-05-05,3,2.0,0.5744640000000001
2018-05-06,5,0.0,-0.3804288000000001
2018-05-07,19,0.0,-0.19292672000000016
2018-05-08,33,0.0,2.870412288
2018-05-09,21,0.0,-0.6971413503999999
2018-05-10,22,0.0,-0.30639360000000027
2018-05-11,15,0.0,-0.19828224000000014
2018-05-12,3,8.0,0.853497856
2018-05-13,3,0.0,1.6840655872
2018-05-14,29,0.0,0.4462442496000001
2018-05-15,29,0.0,-0.45878016000000016
2018-05-16,40,0.0,-0.252763136
2018-05-17,24,0.0,-0.1781440512
2018-05-18,20,0.0,-0.10510080000000005
2018-05-19,3,0.0,-0.08332032000000004
2018-05-20,2,0.0,-0.06866995199999998
2018-05-21,12,0.0,-0.05817149439999986
2018-05-22,32,0.0,1.9606735872
2018-05-23,28,0.0,-0.4124693503999999
2018-05-24,20,0.0,1.8399999999999999
2018-05-25,17,0.0,-0.496
2018-05-26,3,0.0,-0.22720000000000018
2018-05-27,1,0.0,-0.1470720000000001
2018-05-28,7,0.0,-0.10805760000000005
2018-05-29,17,0.0,0.91507456
2018-05-30,34,0.0,-0.2696330239999999
2018-05-31,24,0.0,-0.13879214080000002
2018-06-01,25,0.0,-0.07677542399999991
2018-06-02,5,0.0,-0.05853870079999994
2018-06-03,1,0.0,-0.025536000000000014
2018-06-04,38,0.0,0.9795712
2018-06-05,30,0.0,-0.21692671999999996
2018-06-06,28,0.0,-0.09438771200000001
2018-06-07,28,0.0,-0.060469350399999997
2018-06-08,17,0.0,0.9664
2018-06-09,6,0.0,0.774464
2018-06-10,2,0.0,-0.30042880000000005
2018-06-11,18,0.0,-0.14492672000000012
2018-06-12,30,0.0,-0.09598771199999999
2018-06-13,37,0.0,-0.07160535039999999
2018-06-14,22,0.0,-0.04596480000000003
2018-06-15,36,0.0,-0.03735552000000002
2018-06-16,2,0.0,-0.03131443199999995
2018-06-17,2,0.0,-0.026857062399999902
2018-06-18,18,0.0,-0.012469350399999964
2018-06-19,20,0.0,0.0
2018-06-20,21,0.0,0.0
2018-06-21,20,0.0,0.0
2018-06-22,19,0.0,0.0
2018-06-23,5,0.0,0.0
2018-06-24,3,1.0,0.0
2018-06-25,18,0.0,0.0
2018-06-26,16,0.0,0.0
2018-06-27,14,0.0,0.0
2018-06-28,27,0.0,0.0
2018-06-29,22,0.0,0.0
2018-06-30,1,0.0,0.0
2018-07-01,3,0.0,0.0
2018-07-02,10,0.0,0.0
2018-07-03,20,0.0,0.0
2018-07-04,11,0.0,0.0
2018-07-05,20,0.0,0.0
2018-07-06,18,0.0,0.0
2018-07-07,2,0.0,0.0
2018-07-08,3,0.0,0.0
2018-07-09,14,0.0,0.0
2018-07-10,16,0.0,0.0
2018-07-11,21,0.0,0.0
2018-07-12,23,0.0,0.0
2018-07-13,30,0.0,0.0
2018-07-14,3,0.0,0.0
2018-07-15,0,0.0,0.0
2018-07-16,28,0.0,0.0
2018-07-17,25,0.0,0.0
2018-07-18,23,0.0,0.0
2018-07-19,15,0.0,0.0
2018-07-20,30,0.0,0.0
2018-07-21,4,0.0,0.0
2018-07-22,2,0.0,0.0
2018-07-23,21,0.0,0.0
2018-07-24,23,0.0,0.0
2018-07-25,26,0.0,0.0
2018-07-26,24,0.0,0.0
2018-07-27,15,0.0,0.0
2018-07-28,5,0.0,0.0
2018-07-29,0,0.0,0.0
2018-07-30,19,0.0,3.0
2018-07-31,28,0.0,-0.5999999999999999
2018-08-01,24,0.0,-0.2400000000000002
2018-08-02,19,0.0,-0.1440000000000001
2018-08-03,29,0.0,0.8992
2018-08-04,1,0.0,-0.27660799999999997
2018-08-05,1,0.0,-0.1412864000000001
2018-08-06,23,0.0,-0.09878016000000006
2018-08-07,24,0.0,-0.07676313599999983
