,vercel/next.js,remix-run/react-router,tanstack/router
2019-01-14,5,0,6
2019-01-15,1,0,13
2019-01-16,3,0,9
2019-01-17,4,0,0
2019-01-18,6,1,0
2019-01-19,4,0,0
2019-01-20,2,0,0
2019-01-21,6,0,0
2019-01-22,2,0,0
2019-01-23,2,0,0
2019-01-24,6,0,0
2019-01-25,6,0,0
2019-01-26,7,0,0
2019-01-27,4,0,0
2019-01-28,1,0,0
2019-01-29,4,0,0
2019-01-30,1,0,0
2019-01-31,3,1,1
2019-02-01,2,0,0
2019-02-02,0,0,0
2019-02-03,5,0,0
2019-02-04,1,0,0
2019-02-05,0,0,0
2019-02-06,0,0,0
2019-02-07,1,0,0
2019-02-08,3,0,0
2019-02-09,0,0,0
2019-02-10,12,0,0
2019-02-11,16,0,0
2019-02-12,3,0,0
2019-02-13,7,0,0
2019-02-14,5,0,0
2019-02-15,2,0,2
2019-02-16,4,0,0
2019-02-17,8,0,0
2019-02-18,3,0,0
2019-02-19,6,0,0
2019-02-20,15,1,3
2019-02-21,8,1,2
2019-02-22,14,3,0
2019-02-23,3,0,0
2019-02-24,2,0,0
2019-02-25,6,1,0
2019-02-26,6,4,0
2019-02-27,10,1,0
2019-02-28,9,1,0
2019-03-01,9,2,0
2019-03-02,4,1,0
2019-03-03,3,1,0
2019-03-04,1,1,0
2019-03-05,7,0,0
2019-03-06,3,1,0
2019-03-07,11,0,0
2019-03-08,7,0,0
2019-03-09,1,1,0
2019-03-10,6,0,0
2019-03-11,9,0,0
2019-03-12,11,0,3
2019-03-13,3,0,0
2019-03-14,4,0,0
2019-03-15,8,2,0
2019-03-16,6,2,0
2019-03-17,3,0,0
2019-03-18,7,2,0
2019-03-19,9,1,0
2019-03-20,12,0,0
2019-03-21,0,3,0
2019-03-22,3,2,0
2019-03-23,6,0,0
2019-03-24,4,1,0
2019-03-25,10,0,0
2019-03-26,5,3,0
2019-03-27,14,0,0
2019-03-28,3,0,0
2019-03-29,5,2,0
2019-03-30,8,0,0
2019-03-31,2,0,0
2019-04-01,4,1,0
2019-04-02,10,1,0
2019-04-03,20,1,0
2019-04-04,12,0,0
2019-04-05,16,0,0
2019-04-06,6,1,0
2019-04-07,9,1,0
2019-04-08,7,0,0
2019-04-09,19,2,0
2019-04-10,17,0,0
2019-04-11,12,0,0
2019-04-12,0,0,0
2019-04-13,6,0,0
2019-04-14,0,1,0
2019-04-15,8,0,0
2019-04-16,7,1,0
2019-04-17,6,0,0
2019-04-18,3,0,0
2019-04-19,4,0,0
2019-04-20,2,2,0
2019-04-21,7,0,0
2019-04-22,9,0,0
2019-04-23,8,0,0
2019-04-24,23,0,0
2019-04-25,13,0,1
2019-04-26,10,0,0
2019-04-27,0,0,0
2019-04-28,9,0,0
2019-04-29,1,0,2
2019-04-30,4,0,0
2019-05-01,9,0,0
2019-05-02,4,0,0
2019-05-03,4,0,0
2019-05-04,2,0,0
2019-05-05,4,0,0
2019-05-06,7,0,0
2019-05-07,4,0,0
2019-05-08,5,0,0
2019-05-09,6,0,0
2019-05-10,4,0,2
2019-05-11,5,2,0
2019-05-12,1,0,0
2019-05-13,2,0,0
2019-05-14,4,0,0
2019-05-15,4,2,0
2019-05-16,7,1,0
2019-05-17,7,0,0
2019-05-18,3,0,0
2019-05-19,2,0,0
2019-05-20,1,0,0
2019-05-21,1,0,0
2019-05-22,5,0,0
2019-05-23,10,0,0
2019-05-24,2,0,0
2019-05-25,0,0,0
2019-05-26,1,0,0
2019-05-27,9,0,0
2019-05-28,7,0,0
2019-05-29,6,2,0
2019-05-30,11,0,0
2019-05-31,4,1,0
2019-06-01,1,0,0
2019-06-02,2,1,0
2019-06-03,0,0,0
2019-06-04,3,2,0
2019-06-05,8,0,0
2019-06-06,8,0,0
2019-06-07,2,0,0
2019-06-08,2,0,0
2019-06-09,2,0,0
2019-06-10,12,0,0
2019-06-11,2,2,0
2019-06-12,0,1,0
2019-06-13,3,1,0
2019-06-14,2,1,0
2019-06-15,0,1,0
2019-06-16,0,1,0
2019-06-17,1,0,0
2019-06-18,5,1,0
2019-06-19,7,0,0
2019-06-20,2,0,0
2019-06-21,4,0,0
2019-06-22,1,0,0
2019-06-23,1,0,0
2019-06-24,9,1,0
2019-06-25,5,1,0
2019-06-26,8,0,0
2019-06-27,4,0,0
2019-06-28,11,0,0
2019-06-29,4,0,0
2019-06-30,0,0,0
2019-07-01,9,0,0
2019-07-02,2,0,2
2019-07-03,11,1,2
2019-07-04,3,0,0
2019-07-05,7,0,0
2019-07-06,0,0,0
2019-07-07,2,0,0
2019-07-08,20,0,0
2019-07-09,15,0,0
2019-07-10,14,1,0
2019-07-11,9,0,0
2019-07-12,4,0,0
2019-07-13,1,0,0
2019-07-14,1,0,0
2019-07-15,11,0,0
2019-07-16,16,0,0
2019-07-17,5,0,0
2019-07-18,6,0,0
2019-07-19,3,0,0
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,5,0,0
2019-07-23,1,1,0
2019-07-24,1,0,4
2019-07-25,16,1,2
2019-07-26,4,0,0
2019-07-27,6,0,0
2019-07-28,1,0,0
2019-07-29,11,0,0
2019-07-30,7,0,0
2019-07-31,5,0,0
2019-08-01,6,3,0
2019-08-02,1,1,0
2019-08-03,4,0,0
2019-08-04,2,1,0
2019-08-05,4,0,0
2019-08-06,5,0,0
2019-08-07,3,0,0
2019-08-08,6,1,0
2019-08-09,4,0,0
2019-08-10,1,0,0
2019-08-11,9,0,0
2019-08-12,13,0,0
2019-08-13,8,0,0
2019-08-14,11,0,0
2019-08-15,6,0,0
2019-08-16,6,0,0
2019-08-17,0,0,0
2019-08-18,5,0,0
2019-08-19,9,0,0
2019-08-20,16,0,0
2019-08-21,5,0,0
2019-08-22,6,2,0
2019-08-23,12,0,0
2019-08-24,5,0,0
2019-08-25,2,0,0
2019-08-26,2,1,0
2019-08-27,5,0,0
2019-08-28,2,1,0
2019-08-29,6,0,0
2019-08-30,3,0,0
2019-08-31,2,0,0
2019-09-01,1,0,0
2019-09-02,6,0,0
2019-09-03,6,0,0
2019-09-04,6,1,0
2019-09-05,5,0,0
2019-09-06,7,1,0
2019-09-07,3,0,0
2019-09-08,1,0,0
2019-09-09,3,0,0
2019-09-10,7,1,0
2019-09-11,9,2,0
2019-09-12,4,0,0
2019-09-13,8,2,0
2019-09-14,5,1,0
2019-09-15,2,0,0
2019-09-16,9,1,0
2019-09-17,9,1,0
2019-09-18,10,6,0
2019-09-19,9,3,0
2019-09-20,2,2,0
2019-09-21,1,0,0
2019-09-22,0,1,0
2019-09-23,1,7,0
2019-09-24,6,3,0
2019-09-25,2,3,0
2019-09-26,4,0,0
2019-09-27,5,15,3
2019-09-28,7,1,0
2019-09-29,1,1,0
2019-09-30,2,5,0
2019-10-01,4,3,0
2019-10-02,10,1,0
2019-10-03,7,2,0
2019-10-04,5,5,0
2019-10-05,3,2,0
2019-10-06,4,2,0
2019-10-07,7,2,0
2019-10-08,13,4,0
2019-10-09,4,2,0
2019-10-10,7,1,0
2019-10-11,7,0,0
2019-10-12,1,0,0
2019-10-13,1,0,0
2019-10-14,4,0,0
2019-10-15,4,2,0
2019-10-16,13,1,0
2019-10-17,4,4,0
2019-10-18,10,6,0
2019-10-19,1,0,0
2019-10-20,1,0,0
2019-10-21,3,3,0
2019-10-22,2,2,0
2019-10-23,10,0,0
2019-10-24,1,1,0
2019-10-25,2,0,0
2019-10-26,6,0,0
2019-10-27,2,0,0
2019-10-28,3,0,0
2019-10-29,8,0,0
2019-10-30,15,0,0
2019-10-31,9,0,0
2019-11-01,3,0,0
2019-11-02,5,0,0
2019-11-03,0,0,0
2019-11-04,4,0,0
2019-11-05,6,0,0
2019-11-06,1,0,0
2019-11-07,3,0,0
2019-11-08,6,1,0
2019-11-09,5,0,0
2019-11-10,10,0,0
2019-11-11,10,0,0
2019-11-12,1,0,0
2019-11-13,10,0,0
2019-11-14,3,0,0
2019-11-15,12,0,0
2019-11-16,2,0,0
2019-11-17,0,0,0
2019-11-18,3,0,0
2019-11-19,6,0,0
2019-11-20,4,0,0
2019-11-21,5,0,0
2019-11-22,3,0,0
2019-11-23,2,0,0
2019-11-24,0,0,0
2019-11-25,14,0,0
2019-11-26,11,0,0
2019-11-27,15,0,0
2019-11-28,4,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,2,0,0
2019-12-02,4,0,0
2019-12-03,7,0,0
2019-12-04,3,0,0
2019-12-05,15,0,0
2019-12-06,4,0,0
2019-12-07,9,0,0
2019-12-08,4,0,0
2019-12-09,5,0,0
2019-12-10,7,0,0
2019-12-11,16,0,0
2019-12-12,8,0,0
2019-12-13,7,0,0
2019-12-14,9,0,0
2019-12-15,0,0,0
2019-12-16,4,0,0
2019-12-17,3,0,0
2019-12-18,4,0,0
2019-12-19,2,0,0
2019-12-20,5,0,0
2019-12-21,2,0,0
2019-12-22,2,0,0
2019-12-23,6,0,0
2019-12-24,7,0,0
2019-12-25,0,0,0
2019-12-26,6,0,0
2019-12-27,4,0,0
2019-12-28,2,0,0
2019-12-29,4,0,0
2019-12-30,13,0,2
2019-12-31,5,0,0
2020-01-01,1,0,0
2020-01-02,4,0,0
2020-01-03,25,0,0
2020-01-04,9,0,0
2020-01-05,0,0,0
2020-01-06,9,0,0
2020-01-07,6,0,0
2020-01-08,7,0,0
2020-01-09,17,0,0
2020-01-10,15,0,0
2020-01-11,1,0,0
2020-01-12,4,0,0
2020-01-13,3,0,0
2020-01-14,13,0,0
2020-01-15,10,0,0
2020-01-16,5,0,0
2020-01-17,10,0,0
2020-01-18,1,0,0
2020-01-19,3,0,0
2020-01-20,23,0,0
2020-01-21,8,0,0
2020-01-22,14,0,0
2020-01-23,23,0,0
2020-01-24,3,0,0
2020-01-25,2,0,0
2020-01-26,2,0,0
2020-01-27,14,0,0
2020-01-28,10,0,0
2020-01-29,6,0,0
2020-01-30,10,7,0
2020-01-31,1,7,0
2020-02-01,6,16,0
2020-02-02,4,0,0
2020-02-03,14,6,0
2020-02-04,8,5,0
2020-02-05,8,1,0
2020-02-06,1,0,0
2020-02-07,7,2,0
2020-02-08,4,0,0
2020-02-09,0,0,0
2020-02-10,3,0,0
2020-02-11,5,0,0
2020-02-12,6,0,0
2020-02-13,12,0,0
2020-02-14,5,5,0
2020-02-15,2,0,0
2020-02-16,1,0,0
2020-02-17,3,0,0
2020-02-18,15,1,0
2020-02-19,19,2,0
2020-02-20,9,0,0
2020-02-21,8,3,0
2020-02-22,5,6,0
2020-02-23,0,0,0
2020-02-24,11,1,0
2020-02-25,8,0,0
2020-02-26,6,0,0
2020-02-27,8,0,0
2020-02-28,8,0,0
2020-02-29,3,0,0
2020-03-01,6,0,0
2020-03-02,8,2,0
2020-03-03,4,3,0
2020-03-04,8,0,0
2020-03-05,10,5,0
2020-03-06,9,2,0
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,13,3,0
2020-03-10,4,0,0
2020-03-11,7,0,0
2020-03-12,11,0,0
2020-03-13,13,3,0
2020-03-14,2,0,0
2020-03-15,4,0,0
2020-03-16,4,0,0
2020-03-17,6,0,0
2020-03-18,13,0,0
2020-03-19,6,0,0
2020-03-20,8,0,0
2020-03-21,1,1,0
2020-03-22,0,0,0
2020-03-23,6,0,0
2020-03-24,9,0,0
2020-03-25,9,0,0
2020-03-26,11,4,0
2020-03-27,3,0,0
2020-03-28,7,0,0
2020-03-29,0,0,0
2020-03-30,58,1,0
2020-03-31,7,0,0
2020-04-01,10,0,0
2020-04-02,9,0,0
2020-04-03,8,1,0
2020-04-04,1,2,0
2020-04-05,5,0,0
2020-04-06,24,0,0
2020-04-07,17,1,0
2020-04-08,5,0,0
2020-04-09,10,0,0
2020-04-10,7,0,0
2020-04-11,5,1,0
2020-04-12,0,0,0
2020-04-13,15,0,0
2020-04-14,15,0,0
2020-04-15,12,0,0
2020-04-16,2,0,0
2020-04-17,13,0,0
2020-04-18,3,0,0
2020-04-19,4,0,0
2020-04-20,15,0,0
2020-04-21,13,1,0
2020-04-22,15,3,0
2020-04-23,5,0,0
2020-04-24,11,0,0
2020-04-25,2,2,0
2020-04-26,4,0,0
2020-04-27,4,0,0
2020-04-28,9,0,0
2020-04-29,7,2,0
2020-04-30,12,0,0
2020-05-01,2,0,0
2020-05-02,36,1,0
2020-05-03,6,0,0
2020-05-04,16,2,0
2020-05-05,10,4,0
2020-05-06,16,0,0
2020-05-07,9,7,0
2020-05-08,9,0,0
2020-05-09,8,1,0
2020-05-10,9,0,0
2020-05-11,19,1,0
2020-05-12,6,2,0
2020-05-13,11,0,0
2020-05-14,10,2,0
2020-05-15,18,6,0
2020-05-16,9,0,0
2020-05-17,5,0,0
2020-05-18,26,0,0
2020-05-19,20,0,0
2020-05-20,27,0,0
2020-05-21,4,2,0
2020-05-22,23,0,0
2020-05-23,13,0,0
2020-05-24,4,0,0
2020-05-25,11,0,0
2020-05-26,13,2,0
2020-05-27,21,1,0
2020-05-28,19,0,0
2020-05-29,10,0,0
2020-05-30,5,0,0
2020-05-31,8,0,0
2020-06-01,15,0,0
2020-06-02,13,0,0
2020-06-03,8,0,0
2020-06-04,13,0,0
2020-06-05,16,0,1
2020-06-06,6,0,0
2020-06-07,2,0,2
2020-06-08,9,0,0
2020-06-09,13,0,0
2020-06-10,18,0,0
2020-06-11,15,1,0
2020-06-12,9,0,0
2020-06-13,4,4,0
2020-06-14,2,0,0
2020-06-15,6,0,0
2020-06-16,7,0,0
2020-06-17,9,0,0
2020-06-18,5,4,0
2020-06-19,3,7,0
2020-06-20,3,0,0
2020-06-21,2,0,0
2020-06-22,10,0,0
2020-06-23,10,0,0
2020-06-24,5,0,0
2020-06-25,6,1,0
2020-06-26,4,0,0
2020-06-27,7,0,0
2020-06-28,5,0,0
2020-06-29,11,1,0
2020-06-30,10,0,0
2020-07-01,5,0,0
2020-07-02,4,0,0
2020-07-03,3,0,0
2020-07-04,1,0,0
2020-07-05,2,0,0
2020-07-06,3,1,0
2020-07-07,14,0,0
2020-07-08,8,0,0
2020-07-09,11,0,0
2020-07-10,5,0,0
2020-07-11,2,0,0
2020-07-12,7,1,0
2020-07-13,10,0,0
2020-07-14,8,0,0
2020-07-15,10,0,0
2020-07-16,9,0,0
2020-07-17,11,0,1
2020-07-18,7,0,0
2020-07-19,8,0,0
2020-07-20,13,0,0
2020-07-21,8,0,0
2020-07-22,1,0,0
2020-07-23,3,0,0
2020-07-24,5,0,0
2020-07-25,6,0,0
2020-07-26,3,0,0
2020-07-27,10,1,0
2020-07-28,19,0,0
2020-07-29,17,0,0
2020-07-30,13,0,0
2020-07-31,9,0,0
2020-08-01,3,0,0
2020-08-02,3,0,0
2020-08-03,8,0,0
2020-08-04,16,0,0
2020-08-05,26,0,0
2020-08-06,13,0,0
2020-08-07,6,0,0
2020-08-08,5,0,0
2020-08-09,0,0,0
2020-08-10,24,0,0
2020-08-11,5,0,0
2020-08-12,4,0,0
2020-08-13,15,0,0
2020-08-14,8,0,0
2020-08-15,2,0,0
2020-08-16,2,0,0
2020-08-17,8,0,0
2020-08-18,18,0,0
2020-08-19,8,0,0
2020-08-20,14,0,0
2020-08-21,7,0,0
2020-08-22,8,0,0
2020-08-23,2,0,0
2020-08-24,11,1,0
2020-08-25,7,0,0
2020-08-26,3,0,0
2020-08-27,4,0,0
2020-08-28,3,0,0
2020-08-29,1,0,0
2020-08-30,11,0,0
2020-08-31,1,0,0
2020-09-01,12,0,0
2020-09-02,8,0,0
2020-09-03,7,0,0
2020-09-04,4,0,0
2020-09-05,5,0,0
2020-09-06,2,0,0
2020-09-07,6,0,0
2020-09-08,6,0,0
2020-09-09,6,0,0
2020-09-10,10,0,0
2020-09-11,6,0,0
2020-09-12,12,0,0
2020-09-13,2,0,0
2020-09-14,8,0,0
2020-09-15,6,0,0
2020-09-16,2,0,0
2020-09-17,0,0,0
2020-09-18,3,0,0
2020-09-19,1,0,0
2020-09-20,1,0,0
2020-09-21,11,0,0
2020-09-22,3,0,0
2020-09-23,1,0,0
2020-09-24,5,0,0
2020-09-25,4,0,0
2020-09-26,0,0,0
2020-09-27,1,0,0
2020-09-28,2,0,0
2020-09-29,2,0,0
2020-09-30,1,0,0
2020-10-01,2,0,0
2020-10-02,4,0,0
2020-10-03,2,0,0
2020-10-04,1,0,0
2020-10-05,9,0,0
2020-10-06,2,0,0
2020-10-07,4,0,0
2020-10-08,5,0,0
2020-10-09,2,0,0
2020-10-10,2,0,0
2020-10-11,3,0,0
2020-10-12,3,0,0
2020-10-13,3,0,0
2020-10-14,8,0,0
2020-10-15,9,0,0
2020-10-16,13,0,0
2020-10-17,4,0,0
2020-10-18,2,0,0
2020-10-19,6,0,0
2020-10-20,10,0,0
2020-10-21,15,1,0
2020-10-22,7,0,0
2020-10-23,4,0,0
2020-10-24,8,0,0
2020-10-25,2,0,0
2020-10-26,9,0,0
2020-10-27,31,0,0
2020-10-28,3,0,0
2020-10-29,11,0,0
2020-10-30,6,0,0
2020-10-31,2,0,0
2020-11-01,9,0,0
2020-11-02,14,0,0
2020-11-03,14,0,0
2020-11-04,14,0,0
2020-11-05,15,0,0
2020-11-06,15,0,0
2020-11-07,7,0,0
2020-11-08,1,0,0
2020-11-09,15,0,0
2020-11-10,12,0,0
2020-11-11,16,0,0
2020-11-12,23,0,0
2020-11-13,13,0,0
2020-11-14,7,0,0
2020-11-15,3,0,0
2020-11-16,5,0,0
2020-11-17,6,0,0
2020-11-18,6,0,0
2020-11-19,5,0,0
2020-11-20,11,0,0
2020-11-21,1,0,0
2020-11-22,1,0,0
2020-11-23,4,0,0
2020-11-24,12,0,0
2020-11-25,8,0,0
2020-11-26,1,0,0
2020-11-27,0,0,0
2020-11-28,1,0,0
2020-11-29,0,0,0
2020-11-30,4,0,0
2020-12-01,8,0,0
2020-12-02,5,1,0
2020-12-03,1,0,0
2020-12-04,6,0,0
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,5,0,0
2020-12-08,5,0,0
2020-12-09,5,0,0
2020-12-10,3,0,0
2020-12-11,1,0,0
2020-12-12,4,0,0
2020-12-13,0,0,0
2020-12-14,5,0,0
2020-12-15,0,0,0
2020-12-16,6,0,0
2020-12-17,5,0,0
2020-12-18,4,0,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,3,0,0
2020-12-22,11,0,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,1,0,0
2020-12-26,0,0,0
2020-12-27,2,0,0
2020-12-28,19,0,0
2020-12-29,13,0,0
2020-12-30,19,0,0
2020-12-31,13,0,0
2021-01-01,7,0,0
2021-01-02,2,0,0
2021-01-03,4,0,0
2021-01-04,36,0,0
2021-01-05,11,0,0
2021-01-06,19,0,0
2021-01-07,7,0,0
2021-01-08,0,0,0
2021-01-09,0,0,0
2021-01-10,1,0,0
2021-01-11,20,0,0
2021-01-12,2,0,0
2021-01-13,7,0,0
