,apache/tomcat,spring-projects/spring-framework,apache/struts
2020-07-10,2,3,0
2020-07-11,2,1,2
2020-07-12,0,0,0
2020-07-13,3,5,0
2020-07-14,1,1,3
2020-07-15,0,2,0
2020-07-16,0,7,1
2020-07-17,1,10,2
2020-07-18,0,0,0
2020-07-19,0,7,0
2020-07-20,2,14,0
2020-07-21,4,4,0
2020-07-22,4,21,0
2020-07-23,2,2,0
2020-07-24,0,0,0
2020-07-25,0,3,0
2020-07-26,0,1,1
2020-07-27,1,6,0
2020-07-28,0,10,1
2020-07-29,0,4,0
2020-07-30,1,5,1
2020-07-31,0,0,0
2020-08-01,0,10,0
2020-08-02,0,0,0
2020-08-03,0,8,1
2020-08-04,3,7,0
2020-08-05,0,7,0
2020-08-06,1,13,0
2020-08-07,0,20,0
2020-08-08,0,8,0
2020-08-09,0,0,0
2020-08-10,2,18,0
2020-08-11,4,6,2
2020-08-12,8,1,0
2020-08-13,3,0,0
2020-08-14,3,3,0
2020-08-15,0,0,1
2020-08-16,3,2,0
2020-08-17,10,4,3
2020-08-18,7,0,4
2020-08-19,8,9,0
2020-08-20,1,1,1
2020-08-21,9,0,1
2020-08-22,0,3,2
2020-08-23,0,0,0
2020-08-24,2,2,0
2020-08-25,3,8,0
2020-08-26,5,4,0
2020-08-27,17,14,0
2020-08-28,2,14,1
2020-08-29,0,0,0
2020-08-30,0,4,1
2020-08-31,1,7,1
2020-09-01,5,12,0
2020-09-02,1,6,0
2020-09-03,0,6,0
2020-09-04,0,0,1
2020-09-05,2,6,0
2020-09-06,0,0,0
2020-09-07,3,21,1
2020-09-08,8,11,0
2020-09-09,5,1,0
2020-09-10,6,1,2
2020-09-11,3,5,1
2020-09-12,0,2,0
2020-09-13,0,6,0
2020-09-14,3,16,0
2020-09-15,12,15,0
2020-09-16,19,1,0
2020-09-17,12,1,2
2020-09-18,9,11,0
2020-09-19,0,1,0
2020-09-20,0,0,0
2020-09-21,4,2,1
2020-09-22,1,1,0
2020-09-23,4,1,0
2020-09-24,11,3,0
2020-09-25,10,36,0
2020-09-26,0,3,0
2020-09-27,0,0,0
2020-09-28,2,1,0
2020-09-29,7,2,0
2020-09-30,3,4,0
2020-10-01,6,2,0
2020-10-02,3,6,0
2020-10-03,4,0,0
2020-10-04,0,0,0
2020-10-05,7,0,0
2020-10-06,5,17,0
2020-10-07,1,9,0
2020-10-08,2,2,0
2020-10-09,8,5,1
2020-10-10,3,1,0
2020-10-11,1,0,0
2020-10-12,4,28,0
2020-10-13,1,13,2
2020-10-14,1,4,4
2020-10-15,9,11,0
2020-10-16,12,11,0
2020-10-17,0,0,4
2020-10-18,3,0,0
2020-10-19,3,5,0
2020-10-20,1,3,0
2020-10-21,3,5,0
2020-10-22,1,8,0
2020-10-23,0,15,0
2020-10-24,0,5,0
2020-10-25,0,2,0
2020-10-26,4,35,0
2020-10-27,1,16,0
2020-10-28,1,0,0
2020-10-29,3,4,0
2020-10-30,6,3,0
2020-10-31,0,0,0
2020-11-01,0,0,0
