,libbitcoin/libbitcoin-system,bitcoin/bitcoin,bitcoinj/bitcoinj
2019-07-19,2,11,0
2019-07-20,0,0,3
2019-07-21,0,1,0
2019-07-22,0,7,0
2019-07-23,0,8,0
2019-07-24,0,25,0
2019-07-25,1,7,0
2019-07-26,1,6,4
2019-07-27,0,18,0
2019-07-28,0,4,0
2019-07-29,0,15,0
2019-07-30,7,16,0
2019-07-31,0,15,0
2019-08-01,0,12,0
2019-08-02,0,11,0
2019-08-03,0,1,0
2019-08-04,0,1,0
2019-08-05,1,6,0
2019-08-06,0,8,0
2019-08-07,0,3,0
2019-08-08,0,2,1
2019-08-09,2,8,2
2019-08-10,0,1,0
2019-08-11,0,6,0
2019-08-12,0,5,0
2019-08-13,0,6,0
2019-08-14,0,31,0
2019-08-15,4,20,0
2019-08-16,5,23,0
2019-08-17,0,1,0
2019-08-18,2,4,0
2019-08-19,1,20,0
2019-08-20,0,8,0
2019-08-21,0,6,0
2019-08-22,0,7,0
2019-08-23,0,12,0
2019-08-24,0,11,0
2019-08-25,0,5,0
2019-08-26,0,9,0
2019-08-27,0,9,1
2019-08-28,0,11,0
2019-08-29,0,21,0
2019-08-30,6,9,0
2019-08-31,0,5,3
2019-09-01,0,1,0
2019-09-02,11,4,0
2019-09-03,2,13,0
2019-09-04,2,11,0
2019-09-05,11,14,0
2019-09-06,0,8,0
2019-09-07,0,5,0
2019-09-08,0,10,0
2019-09-09,0,9,0
2019-09-10,0,10,0
2019-09-11,0,5,3
2019-09-12,0,8,0
2019-09-13,0,7,0
2019-09-14,0,4,0
2019-09-15,0,4,0
2019-09-16,0,16,0
2019-09-17,0,13,0
2019-09-18,0,13,1
2019-09-19,0,16,0
2019-09-20,0,9,0
2019-09-21,1,4,0
2019-09-22,0,5,0
2019-09-23,1,7,0
2019-09-24,0,7,0
2019-09-25,1,11,0
2019-09-26,0,12,0
2019-09-27,3,4,0
2019-09-28,0,2,0
2019-09-29,0,1,0
2019-09-30,1,26,0
2019-10-01,0,23,3
2019-10-02,0,27,0
2019-10-03,0,11,0
2019-10-04,0,7,0
2019-10-05,0,1,0
2019-10-06,0,3,0
2019-10-07,0,6,0
2019-10-08,0,19,1
2019-10-09,0,25,0
2019-10-10,0,20,0
2019-10-11,1,7,0
2019-10-12,0,4,0
2019-10-13,1,6,1
2019-10-14,0,16,0
2019-10-15,0,20,0
2019-10-16,1,10,0
2019-10-17,0,11,0
2019-10-18,0,17,0
2019-10-19,0,1,0
2019-10-20,1,4,0
2019-10-21,2,18,3
2019-10-22,0,7,4
2019-10-23,0,15,0
2019-10-24,0,26,0
2019-10-25,0,17,0
2019-10-26,2,11,0
2019-10-27,0,1,0
2019-10-28,7,21,0
2019-10-29,7,20,0
2019-10-30,4,32,0
2019-10-31,0,10,0
2019-11-01,4,19,0
2019-11-02,0,23,0
2019-11-03,0,6,0
2019-11-04,0,29,0
2019-11-05,0,41,0
2019-11-06,0,25,2
2019-11-07,5,17,0
2019-11-08,0,17,0
2019-11-09,0,3,0
2019-11-10,0,8,5
2019-11-11,0,11,0
2019-11-12,0,18,0
2019-11-13,0,16,0
2019-11-14,0,7,0
2019-11-15,1,11,0
2019-11-16,0,3,0
2019-11-17,0,3,0
2019-11-18,0,26,0
2019-11-19,0,19,0
2019-11-20,0,16,4
2019-11-21,0,18,1
2019-11-22,0,18,0
2019-11-23,0,9,0
2019-11-24,0,14,0
2019-11-25,0,14,0
2019-11-26,0,13,5
2019-11-27,0,3,0
2019-11-28,10,3,0
2019-11-29,0,3,1
2019-11-30,0,2,0
2019-12-01,0,3,0
2019-12-02,0,6,0
2019-12-03,0,9,0
2019-12-04,0,10,0
2019-12-05,0,15,0
2019-12-06,0,27,0
2019-12-07,0,4,0
2019-12-08,0,4,3
2019-12-09,0,19,0
2019-12-10,0,18,0
2019-12-11,0,13,0
2019-12-12,0,15,0
2019-12-13,0,12,0
2019-12-14,0,1,1
2019-12-15,0,8,0
2019-12-16,0,19,0
2019-12-17,0,13,0
2019-12-18,0,7,0
2019-12-19,0,7,0
2019-12-20,0,2,0
2019-12-21,0,0,0
2019-12-22,0,1,0
2019-12-23,0,3,0
2019-12-24,0,0,0
2019-12-25,0,1,0
2019-12-26,0,1,0
2019-12-27,0,2,0
2019-12-28,0,4,0
2019-12-29,0,2,0
2019-12-30,0,3,0
2019-12-31,0,4,0
2020-01-01,0,0,0
2020-01-02,0,13,0
2020-01-03,0,19,0
2020-01-04,0,7,0
2020-01-05,0,4,0
2020-01-06,0,5,0
2020-01-07,0,12,0
2020-01-08,0,13,0
2020-01-09,0,7,0
2020-01-10,0,4,0
2020-01-11,0,3,0
2020-01-12,0,1,1
2020-01-13,0,8,0
2020-01-14,0,13,0
2020-01-15,0,9,0
2020-01-16,0,12,0
2020-01-17,0,8,0
2020-01-18,0,3,0
2020-01-19,0,2,0
2020-01-20,0,4,0
2020-01-21,0,1,0
2020-01-22,0,16,0
2020-01-23,0,26,4
2020-01-24,0,2,0
2020-01-25,0,3,0
2020-01-26,0,3,0
2020-01-27,0,10,0
2020-01-28,0,18,0
2020-01-29,0,12,0
2020-01-30,0,18,1
2020-01-31,0,14,0
2020-02-01,0,4,0
2020-02-02,0,2,0
2020-02-03,0,8,0
2020-02-04,0,6,0
2020-02-05,0,12,0
2020-02-06,0,8,0
2020-02-07,0,4,0
2020-02-08,0,0,0
2020-02-09,0,7,0
2020-02-10,0,19,0
2020-02-11,0,11,0
2020-02-12,0,11,0
2020-02-13,0,12,0
2020-02-14,0,5,0
2020-02-15,0,2,0
2020-02-16,0,6,3
2020-02-17,0,6,0
2020-02-18,0,4,0
2020-02-19,0,11,0
2020-02-20,0,3,0
2020-02-21,0,9,0
2020-02-22,0,2,0
2020-02-23,0,0,0
2020-02-24,0,1,0
2020-02-25,0,13,0
2020-02-26,0,4,0
2020-02-27,0,6,4
2020-02-28,0,23,3
2020-02-29,0,2,2
2020-03-01,0,2,0
2020-03-02,0,15,0
2020-03-03,0,2,0
2020-03-04,0,17,9
2020-03-05,0,18,2
2020-03-06,0,13,1
2020-03-07,0,21,4
2020-03-08,0,4,1
2020-03-09,0,26,0
2020-03-10,0,16,0
2020-03-11,0,43,2
2020-03-12,0,9,1
2020-03-13,0,6,5
2020-03-14,0,4,0
2020-03-15,0,9,0
2020-03-16,0,14,0
2020-03-17,0,19,0
2020-03-18,0,11,0
2020-03-19,0,13,1
2020-03-20,0,1,0
2020-03-21,0,7,0
2020-03-22,0,8,0
2020-03-23,0,7,0
2020-03-24,0,15,0
2020-03-25,0,13,0
2020-03-26,0,19,0
2020-03-27,0,23,0
2020-03-28,0,6,0
2020-03-29,0,9,0
2020-03-30,0,13,0
2020-03-31,0,26,0
2020-04-01,0,10,0
2020-04-02,0,36,0
2020-04-03,0,16,0
2020-04-04,0,11,0
2020-04-05,0,7,0
2020-04-06,0,34,0
2020-04-07,0,10,0
2020-04-08,0,30,1
2020-04-09,0,10,0
2020-04-10,0,21,0
2020-04-11,0,9,0
2020-04-12,0,16,0
2020-04-13,0,17,1
2020-04-14,0,11,0
2020-04-15,0,28,0
2020-04-16,0,22,2
2020-04-17,0,23,0
2020-04-18,0,4,0
2020-04-19,0,12,0
2020-04-20,0,11,0
2020-04-21,0,15,0
2020-04-22,0,18,1
2020-04-23,0,61,2
2020-04-24,0,14,0
2020-04-25,0,9,2
2020-04-26,0,14,1
2020-04-27,0,12,0
2020-04-28,0,20,0
2020-04-29,0,22,0
2020-04-30,0,26,0
2020-05-01,0,24,0
2020-05-02,0,3,0
2020-05-03,0,6,2
2020-05-04,0,15,0
2020-05-05,0,26,0
2020-05-06,0,11,0
2020-05-07,0,17,0
2020-05-08,0,14,0
2020-05-09,0,5,1
2020-05-10,1,10,0
2020-05-11,0,8,0
2020-05-12,1,24,4
2020-05-13,0,21,0
2020-05-14,0,15,0
2020-05-15,0,9,0
2020-05-16,0,3,0
2020-05-17,0,6,2
2020-05-18,0,13,0
