,gatsbyjs/gatsby,vercel/next.js,gohugoio/hugo
2020-12-05,0.0,0,1
2020-12-06,0.0,0,0
2020-12-07,5.0,5,0
2020-12-08,6.5,5,0
2020-12-09,16.075,5,1
2020-12-10,7.842499999999998,3,0
2020-12-11,2.9321874999999986,1,0
2020-12-12,-1.6597212500000005,4,0
2020-12-13,-1.0398898124999985,0,0
2020-12-14,2.229287681250002,5,0
2020-12-15,13.086268348671876,0,0
2020-12-16,10.955230834960938,6,4
2020-12-17,13.586299685982812,5,3
2020-12-18,3.0600803954828115,4,1
2020-12-19,-1.1599553404374996,0,2
2020-12-20,-1.4017273001796862,0,0
2020-12-21,2.0263329862500026,3,0
2020-12-22,3.934534150953127,11,1
2020-12-23,-0.2663261910765611,0,1
2020-12-24,0.07494003029375118,0,0
2020-12-25,-0.6914897812171866,1,0
2020-12-26,-0.428047964918749,0,0
2020-12-27,-0.22919371573124941,2,0
2020-12-28,-0.14426925378593705,19,1
2020-12-29,6.886547817203125,13,0
2020-12-30,0.2027061685640621,19,2
2020-12-31,-0.4776562719453127,13,8
2021-01-01,-0.26246716555156263,7,1
2021-01-02,-0.18153635253593697,2,1
2021-01-03,-0.13347974999999956,4,1
2021-01-04,15.8917491625,36,0
2021-01-05,8.30918211375,11,0
2021-01-06,0.20192811264062382,19,0
2021-01-07,2.8256397192328118,7,0
2021-01-08,10.886001147464063,0,3
2021-01-09,-0.9014929999999997,0,0
2021-01-10,-1.1670846999999993,1,0
2021-01-11,12.188997235,20,0
2021-01-12,7.068729004250001,2,0
2021-01-13,-0.003963713231249777,7,0
2021-01-14,10.702939163609376,6,0
2021-01-15,4.983530175365625,10,0
2021-01-16,-1.8519891125812493,1,0
2021-01-17,-1.124836455946874,5,0
2021-01-18,9.249241483714064,4,1
2021-01-19,5.411406139546876,11,1
2021-01-20,5.361751307392188,5,2
2021-01-21,1.3800152586453125,3,1
2021-01-22,3.769601664990626,8,4
2021-01-23,-1.3080694215406243,4,1
2021-01-24,-0.7583668427515613,3,0
2021-01-25,9.479624200000002,14,0
2021-01-26,4.58286415859375,16,0
2021-01-27,6.60130762228125,2,0
2021-01-28,7.420138689889062,2,0
2021-01-29,0.2194096119515625,9,0
2021-01-30,-1.191180622685937,2,0
2021-01-31,-0.7821148876796864,0,0
2021-02-01,-0.5618055374999983,5,4
2021-02-02,3.5460828423437514,4,0
2021-02-03,3.2191604140468755,7,0
2021-02-04,4.166893089409375,5,3
2021-02-05,5.030506970071875,6,0
2021-02-06,-0.1163762988546877,1,3
2021-02-07,-0.6764147050718747,5,0
2021-02-08,7.563572450000001,0,2
2021-02-09,13.869918415,5,3
2021-02-10,7.874178900437499,0,0
2021-02-11,7.874574031543749,5,0
2021-02-12,7.796038834778124,4,0
2021-02-13,-2.284369337023437,0,0
2021-02-14,-0.3486337782312485,0,1
2021-02-15,6.952628889964064,2,2
2021-02-16,3.4126354271250015,6,4
2021-02-17,9.497059896978126,3,0
2021-02-18,5.9621144943046875,7,18
2021-02-19,20.090474631984375,6,5
2021-02-20,-1.2985801680156261,1,1
2021-02-21,2.0737504283906256,1,0
2021-02-22,18.376287804484377,5,1
2021-02-23,11.894295024589063,3,4
2021-02-24,7.747747355884375,10,1
2021-02-25,12.014556949148439,6,1
2021-02-26,12.660463775479688,2,0
2021-02-27,1.426698350868751,3,0
2021-02-28,-0.6280651668218735,0,1
2021-03-01,21.157403180365627,7,0
2021-03-02,17.358999498293752,9,0
2021-03-03,3.815856907796876,8,3
2021-03-04,0.8693593750390627,5,1
2021-03-05,9.654807724370315,4,0
2021-03-06,-2.77346605253906,0,0
2021-03-07,-1.664888635653122,1,0
2021-03-08,7.853727835039065,11,0
2021-03-09,6.2124503743187525,7,1
2021-03-10,5.066093198345314,3,0
2021-03-11,5.228258657620312,3,1
2021-03-12,-1.6675509273499998,6,0
2021-03-13,-0.9732659163312489,0,2
2021-03-14,-0.6923158429312486,1,4
2021-03-15,7.537405883750002,8,0
2021-03-16,1.8201842753593753,9,0
2021-03-17,3.018073861801563,5,0
2021-03-18,5.025175114853125,11,0
2021-03-19,2.843429841139063,10,0
2021-03-20,-0.033713467751562254,2,3
2021-03-21,-0.6872963499999996,0,11
2021-03-22,4.524322392500001,8,0
2021-03-23,6.129673857125001,11,0
2021-03-24,0.770627880665625,10,0
2021-03-25,5.143703212829688,1,0
2021-03-26,5.8586454142625,6,0
2021-03-27,-1.3519813135281247,0,0
2021-03-28,-0.7491160356593745,3,1
2021-03-29,4.488290078714064,12,1
2021-03-30,12.106840536171877,3,2
2021-03-31,-1.8479491712890628,4,0
2021-04-01,3.0358751412171876,7,2
2021-04-02,2.9743240430843754,7,0
2021-04-03,-1.046567556324999,0,0
2021-04-04,-0.6281197802515617,2,0
2021-04-05,3.5767753562500006,4,0
2021-04-06,8.260823383671875,6,1
2021-04-07,5.636502618117188,4,1
2021-04-08,3.574792082032812,8,0
2021-04-09,10.763201962937499,3,2
2021-04-10,-1.9467981622062505,0,0
2021-04-11,0.9415682898562507,2,0
2021-04-12,11.0790373525,10,2
2021-04-13,4.1512156441875,5,0
2021-04-14,2.346422836465625,5,0
2021-04-15,1.5906945048171879,7,3
2021-04-16,3.8290586121703134,4,1
2021-04-17,-0.24951404386718656,6,0
2021-04-18,-0.8707682729312489,6,0
2021-04-19,6.454812443968751,11,0
2021-04-20,12.869009561240626,34,13
2021-04-21,3.9416968189749992,8,2
2021-04-22,12.366625731471874,9,2
2021-04-23,6.655431657059374,5,3
2021-04-24,-2.1872240689359375,1,0
2021-04-25,-1.2973061631953116,3,3
2021-04-26,6.087201598714064,3,1
2021-04-27,1.5871409863906267,3,1
2021-04-28,5.796370547529689,8,0
2021-04-29,6.516736326403125,3,2
2021-04-30,7.370669736315625,7,3
2021-05-01,3.1619964973562498,1,11
2021-05-02,-1.4937115103234373,0,5
2021-05-03,8.12324083875,2,2
2021-05-04,4.450210132640626,1,1
2021-05-05,4.4761878694515636,10,0
2021-05-06,15.493533818782813,5,0
2021-05-07,0.37204569937343734,14,0
2021-05-08,-1.7137998686781244,0,1
2021-05-09,-1.0820648504015615,0,1
2021-05-10,1.2457273960703148,14,1
2021-05-11,11.232378680359377,6,0
2021-05-12,5.238333809082812,6,0
2021-05-13,4.367118132940625,9,0
2021-05-14,-1.5446605252312502,10,1
2021-05-15,-0.9211689321578114,1,0
2021-05-16,-0.5605590826078113,5,0
2021-05-17,9.583076207500001,5,3
2021-05-18,6.65890443146875,8,0
2021-05-19,7.461754589990624,15,3
