,saltstack/salt,ansible/ansible,cfengine/core
2020-04-05,0,0,0
2020-04-06,16,8,3
2020-04-07,87,3,1
2020-04-08,15,9,3
2020-04-09,35,11,5
2020-04-10,29,5,1
2020-04-11,50,0,0
2020-04-12,35,0,0
2020-04-13,61,3,0
2020-04-14,60,7,3
2020-04-15,49,6,1
2020-04-16,32,8,2
2020-04-17,55,6,5
2020-04-18,60,1,0
2020-04-19,15,0,0
2020-04-20,66,1,10
2020-04-21,150,7,0
2020-04-22,154,3,2
2020-04-23,105,10,5
2020-04-24,41,3,3
2020-04-25,1,0,0
2020-04-26,28,0,0
2020-04-27,20,4,26
2020-04-28,11,8,7
2020-04-29,60,1,2
2020-04-30,5,8,0
2020-05-01,9,1,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,18,9,1
2020-05-05,9,12,3
2020-05-06,22,5,0
2020-05-07,119,5,0
2020-05-08,25,4,3
2020-05-09,10,0,0
2020-05-10,44,0,0
2020-05-11,8,5,1
2020-05-12,16,8,4
2020-05-13,4,7,0
2020-05-14,15,16,0
2020-05-15,15,10,1
2020-05-16,11,6,0
2020-05-17,7,0,0
2020-05-18,71,2,4
2020-05-19,42,5,8
2020-05-20,30,8,0
2020-05-21,31,6,0
2020-05-22,60,4,0
2020-05-23,9,0,1
2020-05-24,0,0,0
2020-05-25,4,0,0
2020-05-26,0,8,4
2020-05-27,1,8,0
2020-05-28,0,13,1
2020-05-29,0,22,0
2020-05-30,0,1,0
2020-05-31,0,1,0
2020-06-01,0,5,1
2020-06-02,0,5,1
2020-06-03,0,4,0
2020-06-04,17,10,1
2020-06-05,10,8,3
2020-06-06,0,3,0
2020-06-07,6,0,0
2020-06-08,0,7,8
2020-06-09,37,10,10
2020-06-10,0,15,33
2020-06-11,0,18,2
2020-06-12,0,5,1
2020-06-13,0,1,0
2020-06-14,0,0,0
2020-06-15,0,9,4
2020-06-16,0,15,0
2020-06-17,0,6,7
2020-06-18,0,8,8
2020-06-19,0,12,6
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,6,12
2020-06-23,0,13,5
2020-06-24,0,5,0
2020-06-25,0,8,2
2020-06-26,0,3,3
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,0,12,2
2020-06-30,0,11,0
2020-07-01,0,11,0
2020-07-02,0,12,0
2020-07-03,0,5,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,3,0
2020-07-07,0,9,0
2020-07-08,0,4,0
2020-07-09,0,7,0
2020-07-10,0,11,0
2020-07-11,0,3,0
2020-07-12,0,0,0
2020-07-13,98,8,0
2020-07-14,32,12,0
2020-07-15,24,9,1
2020-07-16,0,4,0
2020-07-17,0,6,0
2020-07-18,0,0,0
2020-07-19,0,1,0
2020-07-20,0,15,1
2020-07-21,0,9,0
2020-07-22,14,9,5
2020-07-23,6,6,0
2020-07-24,6,5,4
2020-07-25,0,1,0
2020-07-26,0,0,0
2020-07-27,0,3,4
2020-07-28,25,10,7
2020-07-29,64,9,4
2020-07-30,30,15,1
2020-07-31,11,5,3
2020-08-01,0,1,0
2020-08-02,0,0,0
2020-08-03,2,15,10
2020-08-04,1,16,7
2020-08-05,0,4,5
2020-08-06,1,6,5
2020-08-07,3,10,10
2020-08-08,0,2,0
2020-08-09,0,0,0
2020-08-10,1,9,1
2020-08-11,2,2,0
