,getsentry/sentry,grafana/grafana,elastic/kibana
2021-07-22,40,23,43
2021-07-23,31,11,4
2021-07-24,1,1,0
2021-07-25,0,0,2
2021-07-26,15,18,41
2021-07-27,28,10,38
2021-07-28,28,5,48
2021-07-29,33,22,41
2021-07-30,23,13,33
2021-07-31,0,0,1
2021-08-01,0,0,0
2021-08-02,18,9,40
2021-08-03,24,13,46
2021-08-04,23,26,26
2021-08-05,25,15,29
2021-08-06,33,10,5
2021-08-07,2,0,1
2021-08-08,0,0,0
2021-08-09,4,15,32
2021-08-10,1,16,56
2021-08-11,2,11,46
2021-08-12,1,12,45
2021-08-13,0,18,47
2021-08-14,1,2,9
2021-08-15,3,2,4
2021-08-16,0,11,61
2021-08-17,15,20,78
2021-08-18,17,23,44
2021-08-19,15,20,44
2021-08-20,9,11,36
2021-08-21,0,0,2
2021-08-22,0,0,4
2021-08-23,16,21,48
2021-08-24,17,19,47
2021-08-25,23,15,47
2021-08-26,32,15,55
2021-08-27,20,23,15
2021-08-28,0,1,0
2021-08-29,0,2,0
2021-08-30,26,9,38
2021-08-31,42,16,44
2021-09-01,30,25,47
2021-09-02,24,17,26
2021-09-03,2,5,46
2021-09-04,0,0,0
2021-09-05,0,0,1
2021-09-06,0,12,19
2021-09-07,28,20,41
2021-09-08,17,19,53
2021-09-09,23,23,43
2021-09-10,16,21,26
2021-09-11,0,0,0
2021-09-12,0,1,1
2021-09-13,31,26,41
2021-09-14,25,18,41
2021-09-15,29,25,46
2021-09-16,20,17,31
2021-09-17,18,22,6
2021-09-18,0,0,3
2021-09-19,0,1,5
2021-09-20,31,23,25
2021-09-21,33,15,31
2021-09-22,34,14,39
2021-09-23,29,24,45
2021-09-24,18,2,3
2021-09-25,0,2,0
2021-09-26,0,0,3
2021-09-27,26,17,35
2021-09-28,35,18,39
2021-09-29,38,26,41
2021-09-30,25,21,32
2021-10-01,18,21,28
2021-10-02,3,0,2
2021-10-03,0,0,1
2021-10-04,28,14,58
2021-10-05,20,12,59
2021-10-06,44,22,61
2021-10-07,31,19,51
2021-10-08,52,15,12
2021-10-09,0,0,2
2021-10-10,0,0,2
2021-10-11,14,18,42
2021-10-12,33,27,64
2021-10-13,25,15,57
2021-10-14,25,23,56
2021-10-15,24,15,51
2021-10-16,0,1,6
2021-10-17,0,0,5
2021-10-18,34,21,57
2021-10-19,27,22,80
2021-10-20,25,27,69
2021-10-21,22,22,68
2021-10-22,30,18,5
2021-10-23,1,0,1
2021-10-24,0,0,0
2021-10-25,20,15,48
2021-10-26,22,26,75
2021-10-27,26,24,33
2021-10-28,24,18,39
2021-10-29,28,21,46
2021-10-30,0,0,8
2021-10-31,0,0,0
2021-11-01,19,16,38
2021-11-02,16,36,70
2021-11-03,30,21,53
2021-11-04,41,17,44
2021-11-05,21,20,41
2021-11-06,1,2,2
2021-11-07,0,1,2
2021-11-08,18,16,36
2021-11-09,31,28,54
2021-11-10,32,25,43
2021-11-11,29,27,69
2021-11-12,19,20,8
2021-11-13,3,1,1
2021-11-14,0,2,0
2021-11-15,31,26,47
2021-11-16,16,23,60
2021-11-17,13,36,35
2021-11-18,18,31,39
2021-11-19,14,36,40
2021-11-20,1,2,1
2021-11-21,0,0,2
2021-11-22,19,17,36
2021-11-23,31,25,49
2021-11-24,34,36,45
2021-11-25,14,16,25
2021-11-26,9,20,6
2021-11-27,0,0,2
2021-11-28,0,0,1
2021-11-29,21,31,40
2021-11-30,26,16,48
2021-12-01,30,25,49
2021-12-02,35,21,38
2021-12-03,21,14,40
2021-12-04,0,0,3
2021-12-05,0,0,0
2021-12-06,37,14,36
2021-12-07,14,10,59
2021-12-08,13,10,47
2021-12-09,36,10,40
2021-12-10,21,4,10
2021-12-11,1,0,0
2021-12-12,0,0,0
2021-12-13,9,18,40
2021-12-14,45,27,37
2021-12-15,39,20,37
2021-12-16,45,18,34
2021-12-17,17,17,35
2021-12-18,0,2,1
2021-12-19,0,1,0
2021-12-20,12,23,31
2021-12-21,13,20,49
2021-12-22,11,11,36
2021-12-23,14,9,25
2021-12-24,0,2,3
2021-12-25,0,0,0
2021-12-26,0,0,2
2021-12-27,0,4,12
2021-12-28,1,6,13
2021-12-29,4,1,4
2021-12-30,1,4,5
2021-12-31,0,0,2
2022-01-01,0,0,2
2022-01-02,0,0,0
2022-01-03,18,8,4
2022-01-04,24,24,25
2022-01-05,26,19,28
2022-01-06,24,14,23
2022-01-07,21,26,4
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,32,21,36
2022-01-11,25,18,37
2022-01-12,27,15,45
2022-01-13,26,19,29
2022-01-14,18,14,27
2022-01-15,1,0,2
2022-01-16,0,0,0
2022-01-17,14,19,24
2022-01-18,19,15,44
2022-01-19,28,19,28
2022-01-20,27,19,45
2022-01-21,24,22,3
2022-01-22,1,1,0
2022-01-23,0,1,3
2022-01-24,17,17,28
2022-01-25,39,17,45
2022-01-26,27,15,27
2022-01-27,43,21,41
2022-01-28,25,17,35
2022-01-29,0,1,0
2022-01-30,0,0,1
2022-01-31,22,30,57
2022-02-01,26,22,65
2022-02-02,27,25,36
2022-02-03,23,33,33
2022-02-04,21,26,34
2022-02-05,2,1,2
2022-02-06,0,0,0
2022-02-07,22,25,32
2022-02-08,25,39,34
2022-02-09,19,40,35
2022-02-10,20,36,49
2022-02-11,18,33,41
2022-02-12,0,0,2
2022-02-13,0,0,0
2022-02-14,31,1,35
2022-02-15,38,27,43
2022-02-16,28,25,48
2022-02-17,21,30,43
2022-02-18,17,28,2
2022-02-19,0,2,0
2022-02-20,0,0,0
2022-02-21,9,17,14
2022-02-22,24,13,22
2022-02-23,50,20,37
2022-02-24,27,25,34
2022-02-25,25,22,4
2022-02-26,1,1,0
2022-02-27,0,0,1
2022-02-28,27,17,30
2022-03-01,40,18,34
2022-03-02,43,27,24
2022-03-03,41,33,40
2022-03-04,38,23,32
2022-03-05,3,0,0
2022-03-06,0,0,1
2022-03-07,46,8,39
2022-03-08,30,11,41
2022-03-09,29,11,59
2022-03-10,23,12,46
2022-03-11,28,11,3
2022-03-12,3,1,0
2022-03-13,0,0,0
2022-03-14,36,17,37
2022-03-15,44,18,61
2022-03-16,32,21,56
2022-03-17,34,19,38
2022-03-18,32,17,42
2022-03-19,0,1,2
2022-03-20,0,0,1
2022-03-21,21,25,51
2022-03-22,23,19,36
2022-03-23,28,22,39
2022-03-24,29,18,64
2022-03-25,22,12,9
2022-03-26,1,4,0
2022-03-27,0,0,3
2022-03-28,31,0,59
2022-03-29,53,23,79
2022-03-30,60,26,58
2022-03-31,28,31,50
2022-04-01,32,24,40
2022-04-02,1,2,3
2022-04-03,0,0,0
2022-04-04,42,28,37
2022-04-05,48,32,27
2022-04-06,29,35,32
2022-04-07,52,19,44
2022-04-08,28,22,6
2022-04-09,0,0,1
2022-04-10,0,0,1
2022-04-11,27,15,41
2022-04-12,33,33,39
2022-04-13,32,27,46
2022-04-14,30,23,52
2022-04-15,17,13,21
2022-04-16,1,0,5
2022-04-17,0,0,2
2022-04-18,28,4,28
2022-04-19,46,13,63
2022-04-20,43,41,39
2022-04-21,31,35,29
2022-04-22,24,22,5
2022-04-23,0,2,0
2022-04-24,0,2,1
2022-04-25,47,19,16
2022-04-26,35,22,33
2022-04-27,42,24,36
2022-04-28,39,38,29
2022-04-29,38,28,28
2022-04-30,0,0,1
2022-05-01,0,0,1
2022-05-02,16,22,25
2022-05-03,45,26,36
2022-05-04,33,31,55
2022-05-05,44,36,27
2022-05-06,23,24,34
2022-05-07,3,0,0
2022-05-08,1,1,1
2022-05-09,40,6,27
2022-05-10,47,4,35
2022-05-11,42,8,48
2022-05-12,38,13,46
