,saltstack/salt,cfengine/core,ansible/ansible
2020-05-05,9,3,12
2020-05-06,22,0,5
2020-05-07,119,0,5
2020-05-08,25,3,4
2020-05-09,10,0,0
2020-05-10,44,0,0
2020-05-11,8,1,5
2020-05-12,16,4,8
2020-05-13,4,0,7
2020-05-14,15,0,16
2020-05-15,15,1,10
2020-05-16,11,0,6
2020-05-17,7,0,0
2020-05-18,71,4,2
2020-05-19,42,8,5
2020-05-20,30,0,8
2020-05-21,31,0,6
2020-05-22,60,0,4
2020-05-23,9,1,0
2020-05-24,0,0,0
2020-05-25,4,0,0
2020-05-26,0,4,8
2020-05-27,1,0,8
2020-05-28,0,1,13
2020-05-29,0,0,22
2020-05-30,0,0,1
2020-05-31,0,0,1
2020-06-01,0,1,5
2020-06-02,0,1,5
2020-06-03,0,0,4
2020-06-04,17,1,10
2020-06-05,10,3,8
2020-06-06,0,0,3
2020-06-07,6,0,0
2020-06-08,0,8,7
2020-06-09,37,10,10
2020-06-10,0,33,15
2020-06-11,0,2,18
2020-06-12,0,1,5
2020-06-13,0,0,1
2020-06-14,0,0,0
2020-06-15,0,4,9
2020-06-16,0,0,15
2020-06-17,0,7,6
2020-06-18,0,8,8
2020-06-19,0,6,12
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,12,6
2020-06-23,0,5,13
2020-06-24,0,0,5
2020-06-25,0,2,8
2020-06-26,0,3,3
2020-06-27,1,0,1
2020-06-28,0,0,0
2020-06-29,0,2,12
2020-06-30,0,0,11
2020-07-01,0,0,11
2020-07-02,0,0,12
2020-07-03,0,0,5
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,3
2020-07-07,0,0,9
2020-07-08,0,0,4
2020-07-09,0,0,7
2020-07-10,0,0,11
2020-07-11,0,0,3
2020-07-12,0,0,0
2020-07-13,98,0,8
2020-07-14,32,0,12
2020-07-15,24,1,9
2020-07-16,0,0,4
2020-07-17,0,0,6
2020-07-18,0,0,0
2020-07-19,0,0,1
2020-07-20,0,1,15
2020-07-21,0,0,9
2020-07-22,14,5,9
2020-07-23,6,0,6
2020-07-24,6,4,5
2020-07-25,0,0,1
2020-07-26,0,0,0
2020-07-27,0,4,3
2020-07-28,25,7,10
2020-07-29,64,4,9
2020-07-30,30,1,15
2020-07-31,11,3,5
2020-08-01,0,0,1
2020-08-02,0,0,0
2020-08-03,2,10,15
2020-08-04,1,7,16
2020-08-05,0,5,4
2020-08-06,1,5,6
2020-08-07,3,10,10
2020-08-08,0,0,2
2020-08-09,0,0,0
2020-08-10,1,1,9
2020-08-11,2,0,2
2020-08-12,2,1,8
2020-08-13,27,0,3
2020-08-14,3,0,3
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,0,6,16
2020-08-18,5,12,16
2020-08-19,2,3,7
2020-08-20,3,2,5
2020-08-21,11,27,9
2020-08-22,0,0,1
2020-08-23,0,1,0
2020-08-24,118,1,4
2020-08-25,6,1,6
2020-08-26,23,3,6
2020-08-27,4,7,8
2020-08-28,2,3,1
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,6,0,7
2020-09-01,8,0,8
2020-09-02,14,4,10
2020-09-03,5,2,5
2020-09-04,29,0,2
2020-09-05,0,0,2
2020-09-06,0,0,0
2020-09-07,0,22,0
2020-09-08,28,17,1
2020-09-09,57,1,5
2020-09-10,8,2,4
