,apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot
2017-01-21,0,0,0
2017-01-22,0,0,6
2017-01-23,0,6,15
2017-01-24,0,1,70
2017-01-25,1,0,27
2017-01-26,6,0,40
2017-01-27,1,5,3
2017-01-28,0,0,6
2017-01-29,0,0,0
2017-01-30,1,4,20
2017-01-31,2,0,3
2017-02-01,0,3,13
2017-02-02,2,6,6
2017-02-03,0,0,2
2017-02-04,0,0,0
2017-02-05,0,0,6
2017-02-06,0,3,21
2017-02-07,0,3,23
2017-02-08,2,1,34
2017-02-09,1,2,15
2017-02-10,2,2,2
2017-02-11,0,2,0
2017-02-12,0,0,6
2017-02-13,1,4,10
2017-02-14,1,3,16
2017-02-15,0,0,11
2017-02-16,0,0,4
2017-02-17,0,0,4
2017-02-18,0,1,0
2017-02-19,0,0,3
2017-02-20,1,1,9
2017-02-21,1,1,8
2017-02-22,0,0,44
2017-02-23,0,0,0
2017-02-24,0,2,15
2017-02-25,0,0,0
2017-02-26,0,0,2
2017-02-27,0,3,8
2017-02-28,0,0,20
2017-03-01,1,0,43
2017-03-02,1,0,53
2017-03-03,2,0,27
2017-03-04,0,0,0
2017-03-05,0,0,0
2017-03-06,0,2,16
2017-03-07,1,3,11
2017-03-08,1,8,6
2017-03-09,5,0,12
2017-03-10,0,0,21
2017-03-11,1,0,2
2017-03-12,0,1,3
2017-03-13,1,1,12
2017-03-14,1,3,12
2017-03-15,0,4,21
2017-03-16,0,0,10
2017-03-17,4,0,11
2017-03-18,1,0,3
2017-03-19,0,0,0
2017-03-20,0,2,0
2017-03-21,0,5,0
2017-03-22,0,1,4
2017-03-23,0,2,8
2017-03-24,0,2,43
2017-03-25,0,0,13
2017-03-26,0,0,6
2017-03-27,0,13,1
2017-03-28,0,1,18
2017-03-29,2,1,4
2017-03-30,4,0,0
2017-03-31,0,0,7
2017-04-01,0,0,2
2017-04-02,0,0,3
2017-04-03,0,1,5
2017-04-04,0,0,59
2017-04-05,0,0,8
2017-04-06,0,0,15
2017-04-07,1,2,31
2017-04-08,0,0,3
2017-04-09,0,0,0
2017-04-10,1,0,35
2017-04-11,0,2,22
2017-04-12,0,2,31
2017-04-13,0,0,6
2017-04-14,0,2,13
2017-04-15,0,0,0
2017-04-16,0,0,0
2017-04-17,0,0,7
2017-04-18,1,2,17
2017-04-19,1,0,32
2017-04-20,0,0,31
2017-04-21,0,1,7
2017-04-22,0,12,0
2017-04-23,0,0,0
2017-04-24,1,1,13
2017-04-25,0,2,11
2017-04-26,0,2,7
2017-04-27,0,6,47
2017-04-28,0,8,34
2017-04-29,0,0,2
