,eslint/eslint,prettier/prettier,standard/standard
2016-12-29,0,0,0
2016-12-30,1,10,0
2016-12-31,0,8,0
2017-01-01,1,0,0
2017-01-02,4,2,0
2017-01-03,1,0,0
2017-01-04,7,7,0
2017-01-05,1,11,0
2017-01-06,8,0,0
2017-01-07,0,2,1
2017-01-08,0,6,1
2017-01-09,4,9,0
2017-01-10,1,44,1
2017-01-11,1,53,0
2017-01-12,3,19,0
2017-01-13,3,26,1
2017-01-14,1,10,7
2017-01-15,1,9,0
2017-01-16,0,15,1
2017-01-17,0,10,0
2017-01-18,2,24,0
2017-01-19,2,19,0
2017-01-20,8,8,4
2017-01-21,0,4,2
2017-01-22,0,20,0
2017-01-23,3,26,2
2017-01-24,1,11,5
2017-01-25,3,8,1
2017-01-26,0,9,1
2017-01-27,4,8,6
2017-01-28,4,4,0
2017-01-29,1,1,3
2017-01-30,0,10,1
2017-01-31,1,10,1
2017-02-01,1,3,0
2017-02-02,2,6,0
2017-02-03,4,9,0
2017-02-04,0,1,0
2017-02-05,0,8,0
2017-02-06,0,1,1
2017-02-07,6,10,1
2017-02-08,1,0,1
2017-02-09,2,4,11
2017-02-10,0,0,0
2017-02-11,4,0,2
2017-02-12,1,0,1
2017-02-13,2,13,0
2017-02-14,0,8,0
2017-02-15,0,5,2
2017-02-16,2,9,0
2017-02-17,1,1,0
2017-02-18,6,2,0
2017-02-19,1,2,0
2017-02-20,6,7,0
2017-02-21,1,3,0
2017-02-22,6,3,0
2017-02-23,3,15,0
2017-02-24,5,5,0
2017-02-25,0,1,0
2017-02-26,3,0,0
2017-02-27,8,5,0
2017-02-28,1,7,5
2017-03-01,2,3,2
2017-03-02,1,0,8
2017-03-03,6,16,0
2017-03-04,2,2,5
2017-03-05,0,3,8
2017-03-06,5,6,4
2017-03-07,0,6,5
2017-03-08,1,6,0
2017-03-09,2,10,0
2017-03-10,1,0,1
2017-03-11,0,1,0
2017-03-12,1,0,0
2017-03-13,2,1,1
2017-03-14,1,0,0
2017-03-15,1,6,0
2017-03-16,6,7,0
2017-03-17,12,7,0
2017-03-18,1,1,10
2017-03-19,0,3,1
2017-03-20,4,7,1
2017-03-21,1,5,4
2017-03-22,4,9,0
2017-03-23,1,1,0
2017-03-24,0,0,0
2017-03-25,1,2,0
2017-03-26,0,0,0
2017-03-27,6,0,0
2017-03-28,6,0,0
2017-03-29,0,1,0
2017-03-30,6,0,1
2017-03-31,7,0,0
2017-04-01,0,0,1
2017-04-02,0,1,1
2017-04-03,10,2,1
2017-04-04,4,4,12
2017-04-05,0,11,10
2017-04-06,4,1,9
2017-04-07,10,6,4
2017-04-08,1,2,0
2017-04-09,1,1,0
2017-04-10,0,14,1
2017-04-11,2,8,3
2017-04-12,1,6,1
2017-04-13,1,20,6
2017-04-14,0,10,4
2017-04-15,3,2,0
2017-04-16,0,2,0
2017-04-17,0,4,0
2017-04-18,0,8,0
2017-04-19,1,13,0
2017-04-20,5,1,1
2017-04-21,5,6,2
2017-04-22,0,1,6
2017-04-23,1,6,0
2017-04-24,2,2,0
2017-04-25,1,3,0
2017-04-26,0,3,3
2017-04-27,1,5,4
2017-04-28,2,0,0
2017-04-29,2,0,0
2017-04-30,0,0,0
2017-05-01,0,17,0
2017-05-02,0,6,4
2017-05-03,0,6,0
2017-05-04,2,7,0
2017-05-05,7,5,0
2017-05-06,0,16,7
2017-05-07,0,8,0
2017-05-08,2,2,7
2017-05-09,2,9,18
2017-05-10,2,7,0
2017-05-11,1,4,0
2017-05-12,1,7,1
2017-05-13,3,1,0
2017-05-14,1,3,0
2017-05-15,1,0,0
2017-05-16,2,0,0
2017-05-17,4,0,0
2017-05-18,0,2,0
2017-05-19,8,1,0
2017-05-20,0,2,0
2017-05-21,3,18,0
2017-05-22,1,7,0
2017-05-23,1,21,0
2017-05-24,2,23,1
2017-05-25,1,9,0
2017-05-26,0,25,1
2017-05-27,1,20,0
2017-05-28,0,10,0
2017-05-29,0,17,1
2017-05-30,1,3,2
2017-05-31,2,8,0
2017-06-01,0,6,0
