,apache/solr,elastic/elasticsearch,blevesearch/bleve
2018-05-17,6,24,6
2018-05-18,14,20,0
2018-05-19,0,3,0
2018-05-20,1,2,1
2018-05-21,10,12,3
2018-05-22,5,32,0
2018-05-23,8,28,0
2018-05-24,2,20,0
2018-05-25,12,17,2
2018-05-26,0,3,0
2018-05-27,1,1,0
2018-05-28,12,7,0
2018-05-29,6,17,0
2018-05-30,14,34,3
2018-05-31,4,24,0
2018-06-01,3,25,0
2018-06-02,3,5,0
2018-06-03,1,1,0
2018-06-04,7,38,0
2018-06-05,15,30,0
2018-06-06,10,28,0
2018-06-07,12,28,0
2018-06-08,11,17,0
2018-06-09,4,6,0
2018-06-10,1,2,0
2018-06-11,15,18,1
2018-06-12,6,30,0
2018-06-13,13,37,0
2018-06-14,9,22,0
2018-06-15,7,36,0
2018-06-16,0,2,0
2018-06-17,1,2,0
2018-06-18,7,18,0
2018-06-19,5,20,0
2018-06-20,5,21,0
2018-06-21,8,20,0
2018-06-22,3,19,0
2018-06-23,0,5,0
2018-06-24,0,3,0
2018-06-25,5,18,0
2018-06-26,6,16,2
2018-06-27,8,14,3
2018-06-28,6,27,0
2018-06-29,5,22,0
2018-06-30,2,1,0
2018-07-01,0,3,0
2018-07-02,2,10,0
2018-07-03,4,20,0
2018-07-04,8,11,0
2018-07-05,11,20,0
2018-07-06,2,18,0
2018-07-07,1,2,0
2018-07-08,1,3,0
2018-07-09,4,14,0
2018-07-10,6,16,0
2018-07-11,1,21,0
2018-07-12,5,23,2
2018-07-13,2,30,1
2018-07-14,6,3,0
2018-07-15,3,0,0
2018-07-16,10,28,4
2018-07-17,7,25,1
2018-07-18,10,23,1
2018-07-19,2,15,3
2018-07-20,7,30,0
2018-07-21,2,4,0
2018-07-22,2,2,0
2018-07-23,6,21,0
2018-07-24,8,23,0
2018-07-25,6,26,1
2018-07-26,2,24,1
2018-07-27,9,15,0
2018-07-28,0,5,1
2018-07-29,2,0,1
2018-07-30,6,19,3
2018-07-31,13,28,1
2018-08-01,14,24,0
2018-08-02,6,19,1
2018-08-03,7,29,0
2018-08-04,3,1,0
2018-08-05,3,1,0
2018-08-06,5,23,0
