,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2016-12-18,5,0,0
2016-12-19,28,2,3
2016-12-20,23,2,5
2016-12-21,18,0,6
2016-12-22,2,0,7
2016-12-23,10,0,0
2016-12-24,0,0,0
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,1,0,0
2016-12-28,8,0,2
2016-12-29,6,0,3
2016-12-30,5,0,3
2016-12-31,0,1,0
2017-01-01,9,0,1
2017-01-02,35,4,0
2017-01-03,22,11,3
2017-01-04,39,1,10
2017-01-05,12,4,0
2017-01-06,28,1,5
2017-01-07,0,0,1
2017-01-08,0,1,0
2017-01-09,31,0,0
2017-01-10,77,4,2
2017-01-11,40,0,0
2017-01-12,14,2,0
2017-01-13,62,0,0
2017-01-14,12,3,0
2017-01-15,19,0,0
2017-01-16,42,6,3
2017-01-17,65,2,3
2017-01-18,21,0,5
2017-01-19,9,4,5
2017-01-20,3,2,3
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,0,0,0
2017-01-24,11,0,0
2017-01-25,39,0,6
2017-01-26,2,2,3
2017-01-27,12,0,3
2017-01-28,3,0,0
2017-01-29,3,10,0
2017-01-30,38,1,4
2017-01-31,10,0,0
2017-02-01,6,0,1
2017-02-02,0,4,0
2017-02-03,12,3,0
2017-02-04,11,13,0
2017-02-05,6,0,0
2017-02-06,37,0,1
2017-02-07,9,0,0
2017-02-08,5,2,3
2017-02-09,0,2,4
2017-02-10,14,0,5
2017-02-11,0,9,0
2017-02-12,0,4,0
2017-02-13,10,3,1
2017-02-14,14,3,4
2017-02-15,9,5,3
2017-02-16,9,6,3
2017-02-17,15,10,7
2017-02-18,0,4,0
2017-02-19,0,0,0
2017-02-20,45,6,1
2017-02-21,14,0,3
2017-02-22,18,7,3
2017-02-23,0,1,8
2017-02-24,41,1,5
2017-02-25,2,7,0
2017-02-26,5,2,0
2017-02-27,13,2,1
2017-02-28,14,0,5
2017-03-01,35,0,0
2017-03-02,6,4,3
2017-03-03,21,0,0
2017-03-04,7,4,0
2017-03-05,2,3,0
2017-03-06,35,3,9
2017-03-07,7,0,3
2017-03-08,31,0,7
2017-03-09,1,1,3
2017-03-10,23,0,4
2017-03-11,0,1,0
2017-03-12,1,4,0
2017-03-13,30,1,6
2017-03-14,0,0,4
2017-03-15,1,3,0
2017-03-16,7,3,0
2017-03-17,17,0,2
2017-03-18,1,4,0
2017-03-19,1,2,0
2017-03-20,4,0,1
2017-03-21,2,0,5
2017-03-22,0,0,4
2017-03-23,2,0,4
2017-03-24,3,1,1
2017-03-25,1,0,0
2017-03-26,3,0,0
2017-03-27,1,0,4
2017-03-28,4,0,5
2017-03-29,6,13,0
2017-03-30,6,1,1
2017-03-31,16,0,6
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,17,0,7
2017-04-04,8,0,4
2017-04-05,16,0,3
2017-04-06,0,0,3
2017-04-07,0,0,12
2017-04-08,10,0,0
2017-04-09,4,0,0
2017-04-10,28,2,2
2017-04-11,34,0,8
2017-04-12,46,0,14
2017-04-13,17,0,0
2017-04-14,1,0,2
2017-04-15,10,0,0
2017-04-16,15,0,0
2017-04-17,33,0,0
2017-04-18,27,0,3
2017-04-19,24,0,7
2017-04-20,7,0,3
2017-04-21,26,0,5
2017-04-22,13,9,0
2017-04-23,1,2,0
2017-04-24,37,4,1
2017-04-25,33,4,2
2017-04-26,56,0,8
2017-04-27,10,0,2
2017-04-28,41,0,9
2017-04-29,0,0,0
2017-04-30,4,0,0
2017-05-01,29,0,0
2017-05-02,34,6,4
2017-05-03,47,0,0
2017-05-04,6,0,0
2017-05-05,16,0,10
2017-05-06,10,0,0
2017-05-07,1,1,0
2017-05-08,37,0,0
2017-05-09,23,1,3
2017-05-10,0,0,0
2017-05-11,12,3,7
2017-05-12,10,3,3
2017-05-13,5,0,0
2017-05-14,8,0,0
2017-05-15,27,43,3
2017-05-16,16,0,8
2017-05-17,2,0,3
2017-05-18,14,16,6
2017-05-19,19,6,0
2017-05-20,23,0,0
2017-05-21,22,0,1
2017-05-22,23,0,3
2017-05-23,9,0,5
2017-05-24,30,9,5
2017-05-25,2,4,4
2017-05-26,0,3,0
2017-05-27,0,0,0
2017-05-28,0,1,0
2017-05-29,21,5,0
2017-05-30,43,5,3
2017-05-31,10,0,4
2017-06-01,0,7,4
2017-06-02,32,0,3
2017-06-03,4,0,0
2017-06-04,0,4,0
2017-06-05,39,1,4
2017-06-06,30,1,4
2017-06-07,22,4,3
2017-06-08,9,1,5
2017-06-09,37,1,4
2017-06-10,1,4,0
2017-06-11,0,0,0
2017-06-12,22,0,4
2017-06-13,18,3,3
2017-06-14,13,13,4
2017-06-15,5,6,0
2017-06-16,14,0,12
2017-06-17,0,0,0
2017-06-18,3,1,1
2017-06-19,13,4,6
2017-06-20,39,12,3
2017-06-21,8,0,4
2017-06-22,5,0,4
2017-06-23,9,1,3
2017-06-24,3,0,0
2017-06-25,17,2,0
2017-06-26,34,8,0
2017-06-27,33,2,1
2017-06-28,10,1,3
2017-06-29,0,3,3
2017-06-30,10,5,3
2017-07-01,0,0,0
2017-07-02,0,0,0
2017-07-03,43,2,0
2017-07-04,57,1,0
