,seleniumhq/selenium,puppeteer/puppeteer,gocolly/colly
2021-10-28,1,1,0
2021-10-29,3,1,0
2021-10-30,0,0,0
2021-10-31,1,0,0
2021-11-01,0,0,0
2021-11-02,2,1,0
2021-11-03,8,1,0
2021-11-04,4,0,0
2021-11-05,8,0,0
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,2,0,0
2021-11-09,6,1,0
2021-11-10,0,1,0
2021-11-11,0,2,0
2021-11-12,0,0,0
2021-11-13,0,0,0
2021-11-14,0,0,0
2021-11-15,3,2,0
2021-11-16,10,1,0
2021-11-17,17,0,0
2021-11-18,12,0,0
2021-11-19,5,1,0
2021-11-20,0,0,0
2021-11-21,0,0,0
2021-11-22,9,0,0
2021-11-23,6,1,0
2021-11-24,3,0,0
2021-11-25,0,0,0
2021-11-26,7,2,0
2021-11-27,4,0,0
2021-11-28,1,0,0
2021-11-29,6,4,0
2021-11-30,7,0,0
2021-12-01,21,0,0
2021-12-02,3,0,0
2021-12-03,3,1,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,0,0,0
2021-12-07,0,2,0
2021-12-08,2,0,0
2021-12-09,2,4,0
2021-12-10,3,3,0
2021-12-11,0,0,0
2021-12-12,4,0,0
2021-12-13,6,1,0
2021-12-14,3,0,0
2021-12-15,1,2,0
2021-12-16,3,0,0
2021-12-17,4,0,2
2021-12-18,0,0,1
2021-12-19,0,0,0
2021-12-20,4,0,0
2021-12-21,0,1,0
2021-12-22,0,2,0
2021-12-23,1,0,0
2021-12-24,14,0,0
2021-12-25,1,0,1
2021-12-26,9,0,0
2021-12-27,4,0,0
2021-12-28,0,0,0
2021-12-29,3,0,2
2021-12-30,4,0,0
2021-12-31,5,0,0
2022-01-01,7,0,0
2022-01-02,0,0,0
2022-01-03,1,0,0
2022-01-04,8,0,0
2022-01-05,3,0,0
2022-01-06,3,0,0
2022-01-07,1,0,0
2022-01-08,2,0,0
2022-01-09,2,0,0
2022-01-10,5,0,0
2022-01-11,2,0,0
2022-01-12,2,0,1
2022-01-13,2,0,0
2022-01-14,0,0,0
2022-01-15,1,0,0
2022-01-16,1,0,1
2022-01-17,4,6,0
2022-01-18,0,3,0
2022-01-19,5,0,0
2022-01-20,4,1,0
2022-01-21,4,1,0
2022-01-22,1,0,0
2022-01-23,1,0,0
2022-01-24,11,1,0
2022-01-25,0,2,0
2022-01-26,0,2,0
2022-01-27,3,1,0
2022-01-28,2,5,2
2022-01-29,2,0,0
2022-01-30,3,0,0
2022-01-31,3,3,0
2022-02-01,2,1,4
2022-02-02,6,1,0
2022-02-03,15,0,0
2022-02-04,7,2,0
2022-02-05,0,0,0
2022-02-06,1,0,0
2022-02-07,0,4,0
2022-02-08,0,0,0
2022-02-09,5,4,0
2022-02-10,2,5,0
2022-02-11,3,4,0
2022-02-12,0,0,0
2022-02-13,0,0,0
2022-02-14,2,6,0
2022-02-15,0,6,0
2022-02-16,0,1,0
2022-02-17,0,2,0
2022-02-18,2,2,0
2022-02-19,4,0,0
2022-02-20,0,0,0
2022-02-21,5,2,0
2022-02-22,6,3,0
2022-02-23,3,1,0
2022-02-24,3,0,0
2022-02-25,4,1,0
2022-02-26,1,0,0
2022-02-27,0,0,0
2022-02-28,3,2,0
2022-03-01,11,3,0
2022-03-02,2,0,0
2022-03-03,8,2,0
2022-03-04,6,1,0
2022-03-05,0,0,1
2022-03-06,0,0,1
2022-03-07,0,5,0
2022-03-08,2,0,4
2022-03-09,5,4,0
2022-03-10,2,0,1
2022-03-11,1,0,0
2022-03-12,1,0,0
2022-03-13,0,0,0
2022-03-14,0,0,0
2022-03-15,0,0,0
2022-03-16,0,0,0
2022-03-17,2,0,0
2022-03-18,0,1,0
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,1,0,0
2022-03-22,2,0,0
2022-03-23,5,0,0
2022-03-24,5,0,0
2022-03-25,5,0,0
2022-03-26,4,0,0
2022-03-27,2,0,0
2022-03-28,3,2,0
2022-03-29,4,0,0
2022-03-30,10,0,0
2022-03-31,0,3,0
2022-04-01,11,0,0
2022-04-02,1,0,0
2022-04-03,0,0,0
2022-04-04,2,0,0
2022-04-05,3,1,0
2022-04-06,9,2,0
2022-04-07,12,2,0
2022-04-08,7,3,0
2022-04-09,1,0,0
2022-04-10,1,0,0
2022-04-11,3,0,0
2022-04-12,0,0,0
2022-04-13,9,0,0
2022-04-14,13,0,0
2022-04-15,0,0,0
2022-04-16,0,0,0
2022-04-17,1,0,0
2022-04-18,2,0,0
2022-04-19,1,5,0
2022-04-20,7,3,0
2022-04-21,5,0,0
2022-04-22,1,2,0
2022-04-23,2,0,0
2022-04-24,0,0,2
2022-04-25,1,1,0
2022-04-26,0,0,0
2022-04-27,8,2,0
2022-04-28,13,3,0
2022-04-29,1,1,0
2022-04-30,0,0,0
2022-05-01,2,0,0
2022-05-02,7,3,0
2022-05-03,5,1,0
2022-05-04,1,1,0
2022-05-05,8,4,0
2022-05-06,0,1,0
2022-05-07,12,0,0
2022-05-08,0,0,0
2022-05-09,15,5,0
2022-05-10,10,2,0
2022-05-11,5,2,0
2022-05-12,8,1,0
2022-05-13,3,8,0
2022-05-14,3,0,0
2022-05-15,1,0,0
2022-05-16,1,2,0
2022-05-17,0,2,0
2022-05-18,3,1,0
2022-05-19,2,13,0
2022-05-20,1,1,0
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,7,1,0
2022-05-24,19,4,0
2022-05-25,27,2,0
2022-05-26,1,0,0
2022-05-27,21,0,0
2022-05-28,0,0,0
2022-05-29,1,0,0
2022-05-30,10,17,0
2022-05-31,8,17,0
2022-06-01,3,9,0
2022-06-02,1,5,0
2022-06-03,2,1,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,0,0,0
2022-06-07,2,8,0
2022-06-08,11,0,0
2022-06-09,14,3,0
2022-06-10,5,8,0
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,9,4,0
2022-06-14,3,5,0
2022-06-15,1,4,0
2022-06-16,2,0,0
2022-06-17,4,1,0
2022-06-18,1,0,0
2022-06-19,3,0,0
2022-06-20,2,3,0
2022-06-21,1,0,0
2022-06-22,16,3,0
2022-06-23,30,8,0
2022-06-24,3,7,0
2022-06-25,0,2,0
2022-06-26,0,0,0
2022-06-27,4,5,0
2022-06-28,2,1,0
2022-06-29,5,1,0
2022-06-30,0,0,0
2022-07-01,0,9,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,2,0,0
2022-07-05,9,5,1
2022-07-06,10,4,4
