,ramda/ramda,lodash/lodash,jashkenas/underscore
2013-10-16,1,1,0
2013-10-17,0,2,0
2013-10-18,0,3,0
2013-10-19,0,7,0
2013-10-20,0,1,0
2013-10-21,0,8,0
2013-10-22,0,4,0
2013-10-23,0,2,0
2013-10-24,0,5,0
2013-10-25,0,4,0
2013-10-26,0,3,0
2013-10-27,0,1,0
2013-10-28,0,11,0
2013-10-29,0,9,2
2013-10-30,0,8,0
2013-10-31,0,8,0
2013-11-01,0,1,0
2013-11-02,0,14,0
2013-11-03,0,12,0
2013-11-04,0,7,0
2013-11-05,0,10,0
2013-11-06,0,14,10
2013-11-07,0,7,6
2013-11-08,0,8,0
2013-11-09,0,2,0
2013-11-10,0,5,0
2013-11-11,0,5,0
2013-11-12,0,5,0
2013-11-13,0,6,0
2013-11-14,0,5,0
2013-11-15,0,3,0
2013-11-16,0,8,0
2013-11-17,0,1,0
2013-11-18,0,3,8
2013-11-19,0,3,6
2013-11-20,0,5,3
2013-11-21,0,5,0
2013-11-22,0,4,0
2013-11-23,0,3,0
2013-11-24,0,4,0
2013-11-25,0,1,0
2013-11-26,0,3,0
2013-11-27,0,3,0
2013-11-28,0,1,0
2013-11-29,0,4,0
2013-11-30,0,11,0
2013-12-01,0,4,0
2013-12-02,0,5,0
2013-12-03,0,3,2
2013-12-04,0,3,0
2013-12-05,2,7,0
2013-12-06,0,3,0
2013-12-07,0,4,0
2013-12-08,0,7,0
2013-12-09,0,3,0
2013-12-10,0,0,0
2013-12-11,0,4,0
2013-12-12,1,1,0
2013-12-13,0,3,0
2013-12-14,2,8,0
2013-12-15,0,1,0
2013-12-16,1,16,0
2013-12-17,0,7,0
2013-12-18,0,0,3
2013-12-19,0,6,0
2013-12-20,0,4,0
2013-12-21,3,7,2
2013-12-22,0,1,1
2013-12-23,0,4,0
2013-12-24,1,1,0
2013-12-25,0,1,0
2013-12-26,0,1,0
2013-12-27,2,1,0
2013-12-28,1,0,0
2013-12-29,0,2,0
2013-12-30,0,0,0
2013-12-31,0,2,0
2014-01-01,2,3,1
2014-01-02,0,1,1
2014-01-03,0,5,4
2014-01-04,0,0,0
2014-01-05,0,5,0
2014-01-06,0,0,0
2014-01-07,0,2,0
2014-01-08,0,0,0
2014-01-09,0,5,0
2014-01-10,1,2,0
2014-01-11,1,1,0
2014-01-12,0,5,0
2014-01-13,0,3,0
2014-01-14,0,2,0
2014-01-15,0,1,1
2014-01-16,0,4,2
2014-01-17,0,6,0
2014-01-18,0,1,0
2014-01-19,0,5,0
2014-01-20,0,6,2
2014-01-21,0,0,7
2014-01-22,0,9,2
2014-01-23,0,8,1
2014-01-24,0,4,2
2014-01-25,0,6,0
2014-01-26,0,9,2
2014-01-27,0,0,7
2014-01-28,0,5,0
2014-01-29,0,16,1
2014-01-30,0,6,1
2014-01-31,0,3,7
2014-02-01,0,0,9
2014-02-02,0,1,13
2014-02-03,0,2,16
2014-02-04,0,3,0
2014-02-05,0,5,0
2014-02-06,0,5,0
2014-02-07,0,0,3
2014-02-08,0,1,3
2014-02-09,0,4,0
2014-02-10,0,1,17
2014-02-11,0,4,4
2014-02-12,2,9,3
2014-02-13,4,2,4
2014-02-14,0,5,6
2014-02-15,3,7,2
2014-02-16,0,4,3
2014-02-17,0,1,5
2014-02-18,1,0,0
2014-02-19,0,2,2
2014-02-20,0,0,3
2014-02-21,6,4,1
2014-02-22,0,5,2
2014-02-23,2,10,0
2014-02-24,1,3,0
2014-02-25,0,3,0
2014-02-26,0,1,0
2014-02-27,2,1,0
2014-02-28,0,0,0
2014-03-01,0,2,2
2014-03-02,0,1,2
2014-03-03,0,3,6
2014-03-04,2,6,2
2014-03-05,4,2,8
2014-03-06,0,3,1
2014-03-07,2,0,1
2014-03-08,0,5,0
2014-03-09,2,6,1
2014-03-10,1,9,2
2014-03-11,1,6,1
2014-03-12,0,5,0
2014-03-13,2,7,2
2014-03-14,0,6,0
2014-03-15,0,6,0
2014-03-16,0,9,0
2014-03-17,0,9,0
2014-03-18,2,0,0
2014-03-19,0,2,0
2014-03-20,0,2,6
2014-03-21,0,3,1
2014-03-22,0,1,2
2014-03-23,2,6,0
2014-03-24,0,1,7
2014-03-25,0,12,0
2014-03-26,0,8,6
2014-03-27,0,3,2
2014-03-28,0,4,3
2014-03-29,0,3,0
2014-03-30,0,5,0
2014-03-31,0,0,0
2014-04-01,0,4,0
2014-04-02,0,6,4
2014-04-03,0,2,0
2014-04-04,0,4,0
2014-04-05,0,2,0
2014-04-06,0,5,1
2014-04-07,3,4,7
2014-04-08,1,5,0
2014-04-09,0,1,0
2014-04-10,0,3,5
2014-04-11,0,0,3
2014-04-12,0,12,0
2014-04-13,0,8,0
2014-04-14,0,4,1
2014-04-15,0,13,5
2014-04-16,0,12,0
2014-04-17,0,5,0
2014-04-18,0,5,5
2014-04-19,0,7,1
2014-04-20,0,6,4
2014-04-21,0,0,1
2014-04-22,0,1,0
2014-04-23,0,0,8
2014-04-24,0,3,4
2014-04-25,0,3,2
2014-04-26,0,2,0
2014-04-27,0,5,0
2014-04-28,0,13,1
2014-04-29,0,8,0
2014-04-30,0,10,0
2014-05-01,0,9,0
2014-05-02,0,6,2
2014-05-03,2,12,2
2014-05-04,0,25,0
2014-05-05,0,1,0
2014-05-06,4,8,3
2014-05-07,2,5,5
2014-05-08,0,0,0
2014-05-09,0,5,0
2014-05-10,0,0,0
2014-05-11,0,2,0
2014-05-12,0,5,0
2014-05-13,0,8,1
2014-05-14,0,0,0
2014-05-15,0,0,0
2014-05-16,1,14,4
2014-05-17,2,0,4
2014-05-18,13,0,5
2014-05-19,0,8,1
2014-05-20,2,0,10
2014-05-21,0,11,0
2014-05-22,0,0,0
2014-05-23,0,3,0
2014-05-24,7,2,0
2014-05-25,0,6,2
2014-05-26,0,5,0
2014-05-27,2,0,0
2014-05-28,1,6,0
2014-05-29,0,0,0
2014-05-30,0,8,0
2014-05-31,1,0,0
2014-06-01,5,6,0
2014-06-02,2,7,0
2014-06-03,1,0,3
2014-06-04,0,4,2
2014-06-05,1,3,2
2014-06-06,5,1,2
2014-06-07,0,1,1
2014-06-08,0,0,6
2014-06-09,4,5,1
2014-06-10,0,3,6
2014-06-11,4,8,2
2014-06-12,0,9,3
2014-06-13,1,3,8
2014-06-14,3,3,0
2014-06-15,10,7,1
2014-06-16,2,6,4
2014-06-17,0,5,2
2014-06-18,7,0,3
2014-06-19,0,9,2
2014-06-20,1,0,9
2014-06-21,17,11,5
2014-06-22,12,16,0
2014-06-23,11,2,2
2014-06-24,6,0,5
2014-06-25,5,0,3
2014-06-26,14,11,2
2014-06-27,9,0,3
2014-06-28,14,0,7
2014-06-29,5,6,0
2014-06-30,24,4,1
2014-07-01,11,6,6
2014-07-02,10,3,0
2014-07-03,2,6,0
2014-07-04,11,2,0
2014-07-05,2,6,0
2014-07-06,5,2,0
2014-07-07,4,7,7
2014-07-08,4,5,5
2014-07-09,6,15,3
2014-07-10,8,2,1
2014-07-11,18,8,1
2014-07-12,27,1,4
2014-07-13,15,4,0
2014-07-14,9,7,7
2014-07-15,5,0,4
2014-07-16,4,15,0
2014-07-17,0,3,0
2014-07-18,1,3,2
2014-07-19,2,2,0
2014-07-20,2,6,0
2014-07-21,6,7,5
2014-07-22,1,8,2
2014-07-23,23,2,0
2014-07-24,4,2,0
2014-07-25,15,9,0
2014-07-26,2,0,0
2014-07-27,1,0,0
2014-07-28,4,11,0
2014-07-29,2,5,0
2014-07-30,1,2,0
2014-07-31,2,0,7
2014-08-01,5,4,1
2014-08-02,0,1,8
2014-08-03,0,4,0
2014-08-04,0,2,6
2014-08-05,0,0,2
2014-08-06,4,0,0
2014-08-07,0,1,0
2014-08-08,0,3,0
2014-08-09,20,2,0
2014-08-10,17,0,0
2014-08-11,4,3,0
2014-08-12,0,2,0
2014-08-13,5,0,0
2014-08-14,2,0,0
2014-08-15,2,5,0
2014-08-16,2,0,0
2014-08-17,0,0,0
2014-08-18,5,10,0
2014-08-19,3,0,1
2014-08-20,12,3,0
2014-08-21,13,8,0
2014-08-22,5,1,1
2014-08-23,7,4,0
2014-08-24,13,6,0
2014-08-25,8,8,0
2014-08-26,6,5,10
2014-08-27,2,5,21
2014-08-28,5,1,2
2014-08-29,3,0,3
2014-08-30,7,0,3
2014-08-31,39,0,1
2014-09-01,14,2,2
2014-09-02,20,12,11
2014-09-03,6,1,14
2014-09-04,6,2,0
2014-09-05,12,4,0
2014-09-06,7,4,0
2014-09-07,7,1,0
2014-09-08,0,3,3
2014-09-09,6,2,3
2014-09-10,2,2,0
2014-09-11,4,1,3
2014-09-12,4,6,0
2014-09-13,4,2,0
2014-09-14,6,1,0
2014-09-15,6,7,2
2014-09-16,12,3,2
2014-09-17,8,7,1
2014-09-18,8,3,0
2014-09-19,1,3,5
2014-09-20,8,6,3
2014-09-21,5,1,0
2014-09-22,2,7,0
2014-09-23,6,0,4
2014-09-24,5,9,0
2014-09-25,4,3,0
2014-09-26,3,1,6
2014-09-27,12,0,0
2014-09-28,8,2,0
2014-09-29,0,0,0
2014-09-30,0,1,0
2014-10-01,1,0,0
2014-10-02,0,8,0
2014-10-03,0,3,1
2014-10-04,5,2,0
2014-10-05,0,0,0
2014-10-06,1,3,0
2014-10-07,3,0,0
2014-10-08,8,1,1
2014-10-09,6,5,2
2014-10-10,0,1,0
2014-10-11,0,0,0
2014-10-12,0,2,0
2014-10-13,0,0,0
2014-10-14,3,0,0
2014-10-15,1,0,0
2014-10-16,3,0,0
2014-10-17,9,0,0
2014-10-18,5,19,3
2014-10-19,7,3,1
2014-10-20,3,5,0
2014-10-21,6,6,2
2014-10-22,9,0,10
2014-10-23,2,4,3
2014-10-24,5,8,0
2014-10-25,4,7,0
2014-10-26,5,0,0
2014-10-27,3,1,0
2014-10-28,2,0,0
2014-10-29,1,1,0
2014-10-30,2,2,0
2014-10-31,0,7,1
2014-11-01,2,2,0
2014-11-02,0,5,0
2014-11-03,1,1,0
2014-11-04,5,0,3
2014-11-05,2,3,1
2014-11-06,2,1,0
2014-11-07,0,9,2
2014-11-08,1,11,2
2014-11-09,11,7,0
2014-11-10,5,5,0
2014-11-11,6,2,2
2014-11-12,0,3,2
2014-11-13,7,3,0
2014-11-14,11,8,1
2014-11-15,3,4,0
2014-11-16,3,1,1
2014-11-17,2,1,2
2014-11-18,8,1,1
2014-11-19,14,0,0
2014-11-20,8,0,0
2014-11-21,2,7,1
2014-11-22,2,6,0
2014-11-23,10,3,1
2014-11-24,20,3,0
2014-11-25,11,6,0
2014-11-26,4,0,0
2014-11-27,1,1,0
2014-11-28,5,7,0
2014-11-29,8,1,1
2014-11-30,5,0,0
2014-12-01,4,5,1
2014-12-02,4,2,2
2014-12-03,15,2,1
2014-12-04,6,0,5
2014-12-05,14,2,0
2014-12-06,17,8,0
2014-12-07,3,3,0
2014-12-08,9,2,1
2014-12-09,2,4,0
2014-12-10,3,4,3
2014-12-11,2,5,2
2014-12-12,2,0,0
2014-12-13,4,1,3
2014-12-14,1,6,0
2014-12-15,2,2,3
2014-12-16,0,7,2
2014-12-17,0,1,1
2014-12-18,0,6,1
2014-12-19,0,0,0
2014-12-20,0,11,3
2014-12-21,0,2,0
2014-12-22,0,15,0
2014-12-23,0,2,0
2014-12-24,0,1,0
2014-12-25,0,0,0
2014-12-26,0,0,2
2014-12-27,0,8,0
2014-12-28,0,9,2
2014-12-29,2,4,7
2014-12-30,2,1,0
2014-12-31,0,12,0
2015-01-01,0,1,1
2015-01-02,8,8,0
2015-01-03,2,6,0
2015-01-04,0,4,0
2015-01-05,0,0,2
2015-01-06,0,9,1
2015-01-07,0,1,0
2015-01-08,1,6,0
2015-01-09,5,2,0
2015-01-10,0,3,0
2015-01-11,6,0,0
2015-01-12,4,0,0
2015-01-13,0,0,0
2015-01-14,2,0,0
2015-01-15,0,0,0
2015-01-16,0,0,0
2015-01-17,0,0,0
2015-01-18,2,0,0
2015-01-19,1,0,3
2015-01-20,1,0,2
2015-01-21,2,0,4
2015-01-22,2,0,1
2015-01-23,1,0,2
2015-01-24,8,0,0
2015-01-25,5,0,2
2015-01-26,6,0,9
2015-01-27,4,0,1
2015-01-28,3,0,0
2015-01-29,3,0,0
2015-01-30,1,0,1
2015-01-31,0,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,2,87,0
2015-02-04,0,0,0
2015-02-05,0,33,0
2015-02-06,2,0,6
2015-02-07,2,7,1
2015-02-08,1,0,11
2015-02-09,7,21,5
2015-02-10,8,3,3
2015-02-11,8,9,0
2015-02-12,4,11,2
2015-02-13,4,6,0
2015-02-14,5,0,0
2015-02-15,9,3,0
2015-02-16,0,7,0
2015-02-17,2,1,5
2015-02-18,5,5,0
2015-02-19,4,7,11
2015-02-20,1,0,43
2015-02-21,3,1,2
2015-02-22,0,0,3
2015-02-23,1,12,4
2015-02-24,4,4,0
2015-02-25,3,2,0
2015-02-26,0,5,0
2015-02-27,0,4,2
2015-02-28,0,5,0
2015-03-01,6,6,0
2015-03-02,8,2,0
2015-03-03,11,11,0
2015-03-04,3,6,0
2015-03-05,3,2,0
2015-03-06,7,5,0
2015-03-07,3,4,0
2015-03-08,15,3,0
2015-03-09,4,4,1
2015-03-10,1,3,1
2015-03-11,7,2,0
2015-03-12,11,3,0
2015-03-13,20,11,6
2015-03-14,5,1,2
2015-03-15,4,5,0
2015-03-16,4,3,0
2015-03-17,4,11,0
2015-03-18,0,2,0
2015-03-19,10,2,1
2015-03-20,17,7,1
2015-03-21,8,6,0
2015-03-22,13,4,0
2015-03-23,5,5,0
2015-03-24,1,5,0
2015-03-25,2,4,4
2015-03-26,2,5,0
2015-03-27,2,0,1
2015-03-28,1,4,0
2015-03-29,4,6,1
2015-03-30,7,5,0
2015-03-31,3,6,0
2015-04-01,0,6,4
2015-04-02,1,2,9
2015-04-03,0,15,3
2015-04-04,1,2,0
2015-04-05,1,11,0
2015-04-06,10,8,0
2015-04-07,1,14,0
2015-04-08,0,10,7
2015-04-09,0,4,2
2015-04-10,5,4,0
2015-04-11,5,5,0
2015-04-12,2,7,0
2015-04-13,2,5,0
2015-04-14,1,7,0
2015-04-15,0,7,0
2015-04-16,2,3,0
2015-04-17,0,5,0
2015-04-18,2,2,0
2015-04-19,0,3,0
2015-04-20,0,5,0
2015-04-21,2,5,0
2015-04-22,1,2,2
2015-04-23,4,7,1
2015-04-24,2,0,0
2015-04-25,0,0,0
2015-04-26,0,3,0
2015-04-27,0,0,3
2015-04-28,0,0,3
2015-04-29,0,4,0
2015-04-30,0,3,0
2015-05-01,1,4,0
2015-05-02,0,2,0
2015-05-03,0,2,0
2015-05-04,3,4,0
2015-05-05,2,1,0
2015-05-06,0,4,0
2015-05-07,1,3,2
2015-05-08,3,6,3
2015-05-09,2,4,1
2015-05-10,1,1,0
2015-05-11,3,6,0
2015-05-12,1,3,0
2015-05-13,2,5,0
2015-05-14,3,6,2
2015-05-15,1,7,4
2015-05-16,1,5,0
2015-05-17,0,8,0
2015-05-18,1,2,0
2015-05-19,0,3,0
2015-05-20,4,2,0
2015-05-21,12,0,0
2015-05-22,2,3,7
2015-05-23,2,8,0
2015-05-24,2,6,1
2015-05-25,1,6,3
2015-05-26,10,9,5
2015-05-27,2,3,1
2015-05-28,3,3,1
2015-05-29,0,4,1
2015-05-30,0,1,0
2015-05-31,1,1,0
2015-06-01,3,0,2
2015-06-02,2,8,0
2015-06-03,7,7,0
2015-06-04,1,3,1
2015-06-05,1,5,0
2015-06-06,3,4,0
2015-06-07,2,5,0
2015-06-08,3,3,0
2015-06-09,4,0,0
2015-06-10,2,4,2
2015-06-11,0,3,1
2015-06-12,8,2,0
2015-06-13,3,2,0
2015-06-14,10,2,0
2015-06-15,5,3,0
2015-06-16,1,0,0
2015-06-17,3,0,0
2015-06-18,2,3,0
2015-06-19,3,0,0
2015-06-20,0,0,0
2015-06-21,10,0,0
2015-06-22,8,8,0
2015-06-23,0,0,0
2015-06-24,2,5,0
2015-06-25,3,5,0
2015-06-26,3,4,2
2015-06-27,0,0,0
2015-06-28,5,3,0
2015-06-29,0,1,0
2015-06-30,0,4,0
2015-07-01,1,0,1
2015-07-02,0,0,0
2015-07-03,1,0,0
2015-07-04,1,0,0
2015-07-05,6,0,0
2015-07-06,3,0,5
2015-07-07,1,0,0
2015-07-08,5,0,0
2015-07-09,2,0,1
2015-07-10,4,0,1
2015-07-11,4,0,0
2015-07-12,19,0,0
2015-07-13,3,0,2
2015-07-14,0,0,0
2015-07-15,0,0,1
2015-07-16,0,0,0
2015-07-17,2,0,0
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,3,121,0
