,friendica/friendica,mastodon/mastodon,diaspora/diaspora
2016-03-20,4,2,2
2016-03-21,5,13,6
2016-03-22,3,6,10
2016-03-23,7,0,2
2016-03-24,5,6,0
2016-03-25,0,8,0
2016-03-26,0,6,0
2016-03-27,3,3,1
2016-03-28,5,0,0
2016-03-29,1,0,0
2016-03-30,7,0,14
2016-03-31,3,0,3
2016-04-01,5,0,0
2016-04-02,9,0,0
2016-04-03,16,0,2
2016-04-04,2,0,3
2016-04-05,2,0,1
2016-04-06,5,0,0
2016-04-07,3,0,2
2016-04-08,1,0,1
2016-04-09,1,0,0
2016-04-10,3,0,0
2016-04-11,1,0,1
2016-04-12,1,0,0
2016-04-13,7,0,7
2016-04-14,9,0,0
2016-04-15,5,0,0
2016-04-16,12,0,0
2016-04-17,16,0,0
2016-04-18,8,0,1
2016-04-19,13,0,1
2016-04-20,32,0,0
2016-04-21,11,0,4
2016-04-22,4,0,0
2016-04-23,6,0,0
2016-04-24,4,0,0
2016-04-25,22,0,2
2016-04-26,6,0,0
2016-04-27,6,0,2
2016-04-28,11,0,1
2016-04-29,11,0,0
2016-04-30,2,0,0
2016-05-01,210,0,0
2016-05-02,6,0,0
2016-05-03,5,0,1
2016-05-04,6,0,1
2016-05-05,8,0,3
2016-05-06,17,0,5
2016-05-07,3,0,2
2016-05-08,0,0,2
2016-05-09,2,0,0
2016-05-10,2,0,0
2016-05-11,5,0,1
2016-05-12,5,0,62
2016-05-13,3,0,1
2016-05-14,0,0,0
2016-05-15,5,0,0
2016-05-16,5,0,0
2016-05-17,0,0,3
2016-05-18,6,0,0
2016-05-19,6,0,0
2016-05-20,5,0,0
2016-05-21,2,0,3
2016-05-22,5,0,0
2016-05-23,8,0,0
2016-05-24,2,0,0
2016-05-25,6,0,0
2016-05-26,6,0,0
2016-05-27,5,0,1
2016-05-28,7,0,0
2016-05-29,14,0,0
2016-05-30,12,0,0
2016-05-31,4,0,3
2016-06-01,23,0,0
2016-06-02,5,0,0
2016-06-03,4,0,0
2016-06-04,8,0,0
2016-06-05,9,0,0
2016-06-06,20,0,1
2016-06-07,15,0,8
2016-06-08,9,0,2
2016-06-09,7,0,2
2016-06-10,15,0,0
2016-06-11,15,0,0
2016-06-12,24,0,3
2016-06-13,14,0,0
2016-06-14,4,0,1
2016-06-15,5,0,0
2016-06-16,4,0,24
2016-06-17,11,0,1
2016-06-18,7,0,10
2016-06-19,5,0,20
2016-06-20,13,0,9
2016-06-21,5,0,0
2016-06-22,4,0,0
2016-06-23,5,0,0
2016-06-24,3,0,0
2016-06-25,12,0,0
2016-06-26,4,0,115
2016-06-27,4,0,15
2016-06-28,2,0,7
2016-06-29,7,0,2
2016-06-30,11,0,1
2016-07-01,3,0,0
2016-07-02,19,0,0
2016-07-03,7,0,4
2016-07-04,4,0,1
2016-07-05,5,0,8
2016-07-06,0,0,1
2016-07-07,7,0,1
2016-07-08,5,0,2
2016-07-09,4,0,5
2016-07-10,11,0,0
2016-07-11,7,0,4
2016-07-12,2,0,1
2016-07-13,8,0,0
2016-07-14,5,0,0
2016-07-15,11,0,3
2016-07-16,1,0,3
2016-07-17,2,0,5
2016-07-18,1,0,2
2016-07-19,2,0,0
2016-07-20,0,0,2
2016-07-21,5,0,0
2016-07-22,2,0,0
2016-07-23,1,0,0
2016-07-24,3,0,0
2016-07-25,2,0,0
2016-07-26,9,0,0
2016-07-27,2,0,0
2016-07-28,7,0,0
2016-07-29,0,0,0
2016-07-30,3,0,0
2016-07-31,0,0,1
2016-08-01,12,0,4
2016-08-02,8,0,0
2016-08-03,9,0,0
2016-08-04,19,0,0
2016-08-05,3,0,1
2016-08-06,6,0,0
2016-08-07,2,0,6
2016-08-08,14,0,43
2016-08-09,6,0,15
2016-08-10,12,0,20
2016-08-11,7,0,30
2016-08-12,2,0,14
2016-08-13,9,0,11
2016-08-14,16,0,40
2016-08-15,0,0,7
2016-08-16,2,0,3
2016-08-17,5,1,3
2016-08-18,1,6,16
2016-08-19,2,0,0
2016-08-20,1,0,2
2016-08-21,0,0,22
2016-08-22,0,0,9
2016-08-23,8,0,0
2016-08-24,0,6,0
2016-08-25,0,1,0
2016-08-26,1,1,3
2016-08-27,5,0,0
2016-08-28,0,0,0
2016-08-29,2,0,0
2016-08-30,0,0,0
2016-08-31,3,5,0
2016-09-01,4,4,8
2016-09-02,1,1,0
2016-09-03,4,3,5
2016-09-04,2,9,37
2016-09-05,3,13,2
2016-09-06,10,1,4
2016-09-07,2,3,0
2016-09-08,0,4,4
2016-09-09,5,3,0
2016-09-10,0,9,12
2016-09-11,1,0,8
2016-09-12,1,4,8
2016-09-13,10,1,0
2016-09-14,2,0,0
2016-09-15,0,2,0
2016-09-16,0,1,0
2016-09-17,0,7,0
2016-09-18,3,10,12
2016-09-19,1,6,6
2016-09-20,5,6,10
2016-09-21,4,7,0
2016-09-22,9,5,0
2016-09-23,10,3,0
2016-09-24,15,7,0
2016-09-25,16,4,17
2016-09-26,1,4,0
2016-09-27,3,6,0
2016-09-28,8,0,8
2016-09-29,10,5,8
2016-09-30,8,3,6
2016-10-01,20,0,7
2016-10-02,17,11,0
2016-10-03,7,9,0
2016-10-04,9,0,0
2016-10-05,11,5,0
2016-10-06,2,20,0
2016-10-07,9,7,0
2016-10-08,2,1,0
2016-10-09,5,6,0
2016-10-10,1,19,0
2016-10-11,2,2,0
2016-10-12,0,14,0
2016-10-13,0,3,0
2016-10-14,1,8,0
2016-10-15,0,17,0
2016-10-16,2,11,0
2016-10-17,14,13,2
2016-10-18,0,8,29
2016-10-19,1,1,0
2016-10-20,4,4,0
2016-10-21,12,0,0
2016-10-22,12,1,0
2016-10-23,11,3,4
2016-10-24,11,3,0
2016-10-25,7,2,2
2016-10-26,3,0,2
2016-10-27,2,3,19
2016-10-28,10,5,0
2016-10-29,7,0,5
2016-10-30,0,5,0
2016-10-31,5,4,0
2016-11-01,4,2,0
2016-11-02,3,14,7
2016-11-03,4,12,3
2016-11-04,9,7,0
2016-11-05,7,5,0
2016-11-06,6,6,14
2016-11-07,4,9,0
2016-11-08,0,10,0
2016-11-09,6,6,0
2016-11-10,6,6,0
2016-11-11,0,0,0
2016-11-12,8,4,2
2016-11-13,13,13,8
2016-11-14,8,1,3
2016-11-15,33,7,6
2016-11-16,10,4,0
2016-11-17,5,4,4
2016-11-18,4,19,8
2016-11-19,31,9,3
2016-11-20,29,3,0
2016-11-21,5,27,0
2016-11-22,18,13,8
2016-11-23,5,18,6
2016-11-24,3,13,2
2016-11-25,4,26,6
2016-11-26,1,9,5
2016-11-27,10,1,2
2016-11-28,18,15,5
2016-11-29,17,8,5
2016-11-30,3,9,0
2016-12-01,13,9,4
2016-12-02,4,7,2
2016-12-03,4,9,0
2016-12-04,7,10,5
2016-12-05,2,5,0
2016-12-06,12,6,0
2016-12-07,0,6,0
2016-12-08,5,3,3
2016-12-09,11,3,0
2016-12-10,10,0,0
2016-12-11,4,8,0
2016-12-12,5,3,0
2016-12-13,7,1,7
2016-12-14,26,6,0
2016-12-15,20,1,0
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,7,4,0
2016-12-19,16,2,0
2016-12-20,116,6,0
2016-12-21,21,4,0
2016-12-22,33,13,0
2016-12-23,22,1,0
2016-12-24,4,5,0
2016-12-25,4,0,0
2016-12-26,4,7,0
2016-12-27,4,2,0
2016-12-28,4,1,0
2016-12-29,10,5,0
2016-12-30,10,0,0
2016-12-31,3,2,0
2017-01-01,7,2,0
2017-01-02,8,6,0
2017-01-03,5,7,2
2017-01-04,8,3,3
2017-01-05,14,40,0
2017-01-06,7,7,0
2017-01-07,17,12,4
2017-01-08,5,18,0
2017-01-09,11,8,0
2017-01-10,6,7,5
2017-01-11,14,4,3
2017-01-12,6,6,0
