,apache/solr,elastic/elasticsearch,blevesearch/bleve
2022-05-17,2,28,0
2022-05-18,8,12,0
2022-05-19,5,10,0
2022-05-20,2,36,0
2022-05-21,0,1,0
2022-05-22,0,1,0
2022-05-23,1,29,0
2022-05-24,0,33,1
2022-05-25,1,18,0
2022-05-26,2,16,0
2022-05-27,4,2,1
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,1,9,1
2022-05-31,0,17,3
2022-06-01,2,11,3
2022-06-02,0,12,0
2022-06-03,2,18,0
2022-06-04,0,5,0
2022-06-05,3,1,0
2022-06-06,2,10,2
2022-06-07,0,29,0
2022-06-08,2,25,0
2022-06-09,1,22,1
2022-06-10,2,0,0
2022-06-11,0,1,0
2022-06-12,0,0,0
2022-06-13,1,17,0
2022-06-14,0,20,0
2022-06-15,1,12,0
2022-06-16,0,28,2
2022-06-17,0,26,0
2022-06-18,0,2,0
2022-06-19,0,1,0
2022-06-20,1,23,0
2022-06-21,3,21,0
2022-06-22,2,20,0
2022-06-23,1,31,0
2022-06-24,2,15,0
2022-06-25,0,2,0
2022-06-26,0,0,0
2022-06-27,4,23,0
2022-06-28,1,29,0
2022-06-29,0,25,0
2022-06-30,4,18,0
2022-07-01,3,2,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,0,13,0
2022-07-05,2,23,0
2022-07-06,3,13,0
2022-07-07,4,18,1
2022-07-08,2,15,0
2022-07-09,3,1,0
2022-07-10,0,0,0
2022-07-11,1,11,0
2022-07-12,0,28,0
2022-07-13,1,16,1
2022-07-14,1,20,0
2022-07-15,0,4,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,23,0
2022-07-19,3,13,0
2022-07-20,4,13,1
2022-07-21,0,20,0
2022-07-22,0,28,1
2022-07-23,0,1,0
2022-07-24,0,0,0
2022-07-25,1,29,0
2022-07-26,0,30,0
2022-07-27,0,26,0
2022-07-28,0,17,0
2022-07-29,2,17,0
2022-07-30,0,1,0
2022-07-31,0,1,0
2022-08-01,3,27,0
2022-08-02,3,24,0
2022-08-03,2,31,0
2022-08-04,2,25,0
2022-08-05,2,3,0
2022-08-06,0,0,0
2022-08-07,0,1,0
2022-08-08,3,20,0
2022-08-09,0,17,0
2022-08-10,1,10,1
2022-08-11,0,16,0
2022-08-12,0,13,0
2022-08-13,0,2,0
2022-08-14,0,0,0
2022-08-15,2,15,0
2022-08-16,1,16,0
2022-08-17,0,32,0
2022-08-18,2,15,1
2022-08-19,2,0,0
2022-08-20,0,0,1
2022-08-21,0,0,0
2022-08-22,1,20,0
2022-08-23,0,16,0
2022-08-24,3,14,0
2022-08-25,1,11,0
2022-08-26,0,21,0
2022-08-27,0,1,0
2022-08-28,0,0,0
2022-08-29,2,15,0
2022-08-30,3,19,0
2022-08-31,1,12,0
2022-09-01,1,22,0
2022-09-02,2,3,0
2022-09-03,0,0,0
2022-09-04,1,0,0
2022-09-05,0,7,0
2022-09-06,4,17,0
2022-09-07,6,37,0
2022-09-08,0,34,0
2022-09-09,2,23,0
2022-09-10,0,1,0
2022-09-11,1,0,0
2022-09-12,2,25,0
2022-09-13,4,22,1
2022-09-14,3,16,0
2022-09-15,2,22,0
2022-09-16,3,1,0
2022-09-17,1,0,0
2022-09-18,0,0,0
2022-09-19,6,18,0
2022-09-20,5,28,0
2022-09-21,8,18,0
2022-09-22,4,15,0
2022-09-23,6,13,0
2022-09-24,0,1,0
2022-09-25,1,1,0
2022-09-26,0,33,0
2022-09-27,2,28,0
2022-09-28,2,18,0
2022-09-29,1,23,0
2022-09-30,0,17,0
2022-10-01,0,1,0
