,highcharts/highcharts,d3/d3,plotly/plotly.js
2012-07-19,0,2,2
2012-07-20,0,0,0
2012-07-21,0,1,1
2012-07-22,0,0,0
2012-07-23,0,2,0
2012-07-24,0,4,0
2012-07-25,0,11,0
2012-07-26,0,2,0
2012-07-27,0,0,0
2012-07-28,0,0,0
2012-07-29,0,0,0
2012-07-30,5,0,1
2012-07-31,6,30,0
2012-08-01,1,5,1
2012-08-02,3,0,0
2012-08-03,2,2,0
2012-08-04,0,2,0
2012-08-05,0,10,0
2012-08-06,2,0,1
2012-08-07,1,2,0
2012-08-08,3,0,0
2012-08-09,12,12,1
2012-08-10,6,2,0
2012-08-11,0,0,0
2012-08-12,0,7,0
2012-08-13,3,5,0
2012-08-14,0,0,0
2012-08-15,3,5,0
2012-08-16,1,3,3
2012-08-17,2,0,5
2012-08-18,0,0,0
2012-08-19,0,0,1
2012-08-20,4,2,2
2012-08-21,2,1,2
2012-08-22,1,0,1
2012-08-23,4,0,0
2012-08-24,6,0,0
2012-08-25,0,0,3
2012-08-26,0,0,0
2012-08-27,8,0,0
2012-08-28,6,0,2
2012-08-29,6,0,4
2012-08-30,11,0,2
2012-08-31,4,1,0
2012-09-01,0,0,3
2012-09-02,0,0,2
2012-09-03,2,0,1
2012-09-04,5,8,2
2012-09-05,1,3,1
2012-09-06,5,1,0
2012-09-07,2,0,0
2012-09-08,0,0,0
2012-09-09,0,0,4
2012-09-10,0,0,2
2012-09-11,3,0,1
2012-09-12,0,0,5
2012-09-13,1,0,3
2012-09-14,0,2,0
2012-09-15,1,0,0
2012-09-16,0,0,1
2012-09-17,11,1,0
2012-09-18,3,4,2
2012-09-19,1,13,0
2012-09-20,2,3,1
2012-09-21,2,0,0
2012-09-22,0,2,0
2012-09-23,2,1,0
2012-09-24,1,10,0
2012-09-25,6,15,0
2012-09-26,2,24,2
2012-09-27,1,10,6
2012-09-28,0,8,1
2012-09-29,0,12,0
2012-09-30,0,0,1
2012-10-01,4,1,1
2012-10-02,2,21,1
2012-10-03,1,3,3
2012-10-04,8,3,0
2012-10-05,5,16,0
2012-10-06,0,11,1
2012-10-07,0,0,1
2012-10-08,13,1,1
2012-10-09,2,0,1
2012-10-10,4,0,0
2012-10-11,7,4,1
2012-10-12,3,1,3
2012-10-13,1,0,6
2012-10-14,0,0,0
2012-10-15,9,1,0
2012-10-16,6,4,1
2012-10-17,6,2,2
2012-10-18,0,0,0
2012-10-19,0,1,1
2012-10-20,0,0,2
2012-10-21,0,0,1
2012-10-22,0,0,2
2012-10-23,0,0,0
2012-10-24,3,0,0
2012-10-25,3,2,1
2012-10-26,1,0,2
2012-10-27,0,1,2
2012-10-28,0,0,1
2012-10-29,5,6,7
2012-10-30,7,2,1
2012-10-31,8,2,0
2012-11-01,4,0,0
2012-11-02,2,2,0
2012-11-03,0,1,1
2012-11-04,0,0,0
2012-11-05,8,0,0
2012-11-06,1,0,0
2012-11-07,6,0,3
2012-11-08,4,0,0
2012-11-09,5,0,11
2012-11-10,0,4,0
2012-11-11,0,6,0
2012-11-12,4,0,0
2012-11-13,1,5,0
2012-11-14,3,7,0
2012-11-15,1,3,0
2012-11-16,6,2,1
2012-11-17,0,0,0
2012-11-18,0,13,0
2012-11-19,7,1,1
2012-11-20,0,1,0
2012-11-21,5,5,5
2012-11-22,4,0,0
2012-11-23,0,0,0
2012-11-24,0,0,0
2012-11-25,0,0,1
2012-11-26,6,1,1
2012-11-27,6,0,4
2012-11-28,4,0,0
2012-11-29,5,0,0
2012-11-30,7,1,2
2012-12-01,0,0,2
2012-12-02,0,0,0
2012-12-03,2,0,0
2012-12-04,8,2,0
2012-12-05,2,13,3
2012-12-06,7,9,2
2012-12-07,2,2,0
2012-12-08,0,2,3
2012-12-09,0,6,1
2012-12-10,4,7,1
2012-12-11,3,8,0
2012-12-12,5,34,0
2012-12-13,1,28,0
2012-12-14,2,5,0
2012-12-15,0,10,0
2012-12-16,0,0,0
2012-12-17,6,3,0
2012-12-18,1,4,0
2012-12-19,5,71,0
2012-12-20,1,26,0
2012-12-21,1,3,2
2012-12-22,0,0,1
2012-12-23,0,0,0
2012-12-24,0,0,0
2012-12-25,0,1,0
2012-12-26,1,0,3
2012-12-27,3,2,4
2012-12-28,0,5,0
2012-12-29,0,1,0
2012-12-30,0,0,0
2012-12-31,0,0,1
2013-01-01,0,3,0
2013-01-02,2,0,0
2013-01-03,5,0,0
2013-01-04,4,1,0
2013-01-05,0,1,0
2013-01-06,0,0,1
2013-01-07,7,1,0
2013-01-08,4,3,2
2013-01-09,1,0,1
2013-01-10,6,0,0
2013-01-11,3,3,4
2013-01-12,0,0,1
2013-01-13,0,1,0
2013-01-14,4,0,0
2013-01-15,2,2,0
2013-01-16,3,1,0
2013-01-17,1,0,1
2013-01-18,2,0,0
2013-01-19,0,0,1
2013-01-20,0,1,0
2013-01-21,4,0,6
2013-01-22,4,1,2
2013-01-23,3,3,3
2013-01-24,6,1,0
2013-01-25,6,0,0
2013-01-26,0,0,0
2013-01-27,2,0,0
2013-01-28,2,0,1
2013-01-29,1,0,0
2013-01-30,0,0,0
2013-01-31,8,3,0
2013-02-01,6,6,7
2013-02-02,0,0,0
2013-02-03,0,0,1
2013-02-04,3,0,0
2013-02-05,3,2,3
2013-02-06,6,16,11
2013-02-07,5,2,0
2013-02-08,11,0,3
2013-02-09,0,1,0
2013-02-10,0,1,7
2013-02-11,11,2,2
2013-02-12,9,0,0
2013-02-13,7,0,0
2013-02-14,7,3,4
2013-02-15,2,0,2
2013-02-16,1,0,0
2013-02-17,2,0,0
2013-02-18,5,1,0
2013-02-19,12,1,0
2013-02-20,11,0,0
2013-02-21,8,0,0
2013-02-22,3,3,1
2013-02-23,0,1,0
2013-02-24,0,0,0
2013-02-25,11,0,0
2013-02-26,1,2,0
2013-02-27,5,0,0
2013-02-28,5,0,1
2013-03-01,5,2,0
2013-03-02,0,7,0
2013-03-03,0,7,0
2013-03-04,6,3,0
2013-03-05,7,4,0
2013-03-06,12,18,0
2013-03-07,6,10,3
2013-03-08,5,0,1
2013-03-09,2,0,3
2013-03-10,0,0,2
2013-03-11,3,9,0
2013-03-12,4,1,0
2013-03-13,1,20,0
2013-03-14,7,35,0
2013-03-15,6,5,0
2013-03-16,0,6,0
2013-03-17,0,0,1
2013-03-18,0,0,0
2013-03-19,1,22,0
2013-03-20,1,1,0
2013-03-21,5,10,0
2013-03-22,8,2,0
2013-03-23,1,0,0
2013-03-24,3,2,0
2013-03-25,4,2,0
2013-03-26,0,3,0
2013-03-27,0,1,0
2013-03-28,0,0,0
2013-03-29,0,0,0
2013-03-30,0,1,0
2013-03-31,0,2,0
2013-04-01,0,0,0
2013-04-02,11,5,0
2013-04-03,5,6,0
2013-04-04,3,0,0
2013-04-05,9,1,2
2013-04-06,0,0,0
2013-04-07,0,5,0
2013-04-08,3,0,3
2013-04-09,11,0,0
2013-04-10,1,0,1
2013-04-11,9,4,0
2013-04-12,2,0,2
2013-04-13,0,0,0
2013-04-14,0,0,0
2013-04-15,2,1,0
2013-04-16,1,0,0
2013-04-17,3,5,0
2013-04-18,2,2,1
2013-04-19,7,3,5
2013-04-20,0,1,3
2013-04-21,0,0,1
2013-04-22,3,0,4
2013-04-23,0,0,0
2013-04-24,2,0,0
2013-04-25,6,2,3
2013-04-26,0,0,0
2013-04-27,0,0,0
2013-04-28,0,0,0
2013-04-29,2,0,1
2013-04-30,0,12,2
2013-05-01,3,1,0
2013-05-02,1,0,0
2013-05-03,3,0,0
2013-05-04,0,1,2
2013-05-05,0,1,0
2013-05-06,2,0,0
2013-05-07,5,1,6
2013-05-08,2,2,2
2013-05-09,0,0,3
2013-05-10,0,0,0
2013-05-11,4,0,4
2013-05-12,0,0,1
2013-05-13,0,1,1
2013-05-14,0,0,9
2013-05-15,3,8,0
2013-05-16,1,0,0
2013-05-17,3,1,0
2013-05-18,0,0,0
2013-05-19,0,6,2
2013-05-20,1,16,1
2013-05-21,8,1,3
2013-05-22,2,2,2
2013-05-23,9,1,0
2013-05-24,5,3,0
2013-05-25,0,2,0
2013-05-26,3,1,2
2013-05-27,4,0,1
2013-05-28,0,21,2
2013-05-29,4,9,3
2013-05-30,2,25,2
2013-05-31,4,0,0
2013-06-01,0,2,2
2013-06-02,0,1,4
2013-06-03,2,2,0
2013-06-04,2,3,2
2013-06-05,4,0,2
2013-06-06,4,0,0
2013-06-07,2,0,2
2013-06-08,1,5,0
2013-06-09,0,0,4
2013-06-10,7,0,7
2013-06-11,6,5,3
2013-06-12,10,4,22
2013-06-13,19,5,1
2013-06-14,11,2,4
2013-06-15,0,0,7
2013-06-16,0,0,1
2013-06-17,8,0,4
2013-06-18,8,4,3
2013-06-19,16,5,0
2013-06-20,6,2,4
2013-06-21,15,3,0
2013-06-22,1,0,1
2013-06-23,0,0,0
2013-06-24,10,3,2
2013-06-25,3,5,0
2013-06-26,8,5,1
2013-06-27,4,6,5
2013-06-28,0,2,5
2013-06-29,0,6,0
2013-06-30,0,5,0
2013-07-01,4,7,0
2013-07-02,3,4,0
2013-07-03,3,5,3
2013-07-04,1,2,2
2013-07-05,1,11,0
2013-07-06,0,3,0
2013-07-07,0,0,0
2013-07-08,0,0,0
2013-07-09,0,0,7
2013-07-10,0,3,3
2013-07-11,0,10,3
2013-07-12,0,2,0
2013-07-13,0,0,3
2013-07-14,0,0,4
2013-07-15,0,0,5
2013-07-16,0,1,1
2013-07-17,0,0,0
2013-07-18,0,3,2
2013-07-19,0,9,0
2013-07-20,0,0,0
2013-07-21,0,1,0
2013-07-22,4,1,0
2013-07-23,7,2,6
2013-07-24,7,7,0
2013-07-25,3,0,0
2013-07-26,12,0,0
2013-07-27,0,0,1
2013-07-28,0,0,0
2013-07-29,8,3,0
2013-07-30,5,0,0
2013-07-31,6,5,1
2013-08-01,7,11,2
2013-08-02,17,1,0
2013-08-03,2,0,0
2013-08-04,0,0,2
2013-08-05,0,2,0
2013-08-06,2,0,0
2013-08-07,3,0,1
2013-08-08,7,0,4
2013-08-09,13,0,8
2013-08-10,1,6,0
2013-08-11,0,0,3
2013-08-12,7,8,8
2013-08-13,4,11,7
2013-08-14,3,3,7
2013-08-15,6,11,7
2013-08-16,0,3,9
2013-08-17,0,0,5
2013-08-18,0,0,5
2013-08-19,1,3,3
2013-08-20,6,0,10
2013-08-21,2,4,6
2013-08-22,0,6,1
2013-08-23,4,7,0
2013-08-24,0,0,0
2013-08-25,0,0,0
2013-08-26,6,0,6
2013-08-27,3,1,2
2013-08-28,7,1,2
2013-08-29,5,0,2
2013-08-30,18,2,0
2013-08-31,0,5,4
2013-09-01,2,0,1
2013-09-02,11,0,5
2013-09-03,9,0,4
2013-09-04,35,0,2
2013-09-05,9,8,5
2013-09-06,3,0,2
2013-09-07,3,0,2
2013-09-08,0,0,2
2013-09-09,0,0,5
2013-09-10,1,0,6
2013-09-11,5,0,21
2013-09-12,3,0,18
2013-09-13,2,0,12
2013-09-14,0,0,17
2013-09-15,0,0,9
2013-09-16,5,1,6
2013-09-17,7,0,7
2013-09-18,1,0,12
2013-09-19,2,6,32
2013-09-20,4,0,18
2013-09-21,0,2,1
2013-09-22,1,0,4
2013-09-23,4,0,4
2013-09-24,11,3,0
2013-09-25,5,9,0
2013-09-26,1,5,3
2013-09-27,4,0,14
2013-09-28,0,0,12
2013-09-29,0,0,4
2013-09-30,6,0,15
2013-10-01,5,0,10
2013-10-02,5,0,10
2013-10-03,6,4,2
2013-10-04,14,0,7
2013-10-05,0,46,5
2013-10-06,2,0,4
2013-10-07,5,3,17
2013-10-08,7,0,18
2013-10-09,7,16,8
2013-10-10,8,6,8
2013-10-11,5,7,8
2013-10-12,0,3,8
2013-10-13,0,0,3
2013-10-14,0,3,5
2013-10-15,1,1,17
2013-10-16,2,3,5
2013-10-17,16,4,12
2013-10-18,6,0,12
2013-10-19,0,0,7
2013-10-20,0,0,1
2013-10-21,1,0,4
2013-10-22,3,0,8
2013-10-23,1,0,7
2013-10-24,5,0,8
2013-10-25,2,4,26
2013-10-26,0,0,9
2013-10-27,0,0,2
