,scala/scala,jetbrains/kotlin,apache/groovy
2023-08-22,0,43,3
2023-08-23,5,33,1
2023-08-24,0,40,1
2023-08-25,2,51,3
2023-08-26,2,1,2
2023-08-27,1,0,0
2023-08-28,13,29,1
2023-08-29,1,74,1
2023-08-30,4,70,0
2023-08-31,2,41,3
2023-09-01,3,20,0
2023-09-02,1,1,2
2023-09-03,1,3,0
2023-09-04,1,27,0
2023-09-05,1,66,0
2023-09-06,1,55,0
2023-09-07,1,17,1
2023-09-08,2,48,2
2023-09-09,2,2,0
2023-09-10,0,0,4
2023-09-11,0,17,12
2023-09-12,0,15,0
2023-09-13,1,72,2
2023-09-14,0,51,0
2023-09-15,0,42,2
2023-09-16,1,0,1
2023-09-17,0,0,0
2023-09-18,0,40,4
2023-09-19,5,118,1
2023-09-20,5,44,2
2023-09-21,7,48,0
2023-09-22,0,47,0
2023-09-23,0,7,1
2023-09-24,0,6,0
2023-09-25,1,1,0
2023-09-26,9,4,0
2023-09-27,5,1,0
2023-09-28,1,4,4
2023-09-29,0,1,1
2023-09-30,0,0,2
2023-10-01,0,0,0
2023-10-02,0,29,0
2023-10-03,0,21,7
2023-10-04,0,19,2
2023-10-05,1,41,1
2023-10-06,0,29,0
2023-10-07,0,0,0
2023-10-08,2,1,0
2023-10-09,0,21,0
2023-10-10,0,41,0
2023-10-11,1,16,0
2023-10-12,0,69,0
2023-10-13,0,47,0
2023-10-14,1,0,0
2023-10-15,0,0,0
2023-10-16,2,48,1
2023-10-17,3,51,6
2023-10-18,10,72,1
2023-10-19,0,61,1
2023-10-20,0,47,0
2023-10-21,0,0,1
2023-10-22,0,0,0
2023-10-23,1,26,2
2023-10-24,1,51,0
2023-10-25,0,40,4
2023-10-26,1,36,2
2023-10-27,3,29,0
2023-10-28,2,0,2
2023-10-29,0,0,0
2023-10-30,1,25,0
2023-10-31,0,15,1
2023-11-01,4,22,0
2023-11-02,4,39,1
2023-11-03,0,9,2
2023-11-04,1,0,1
2023-11-05,3,6,0
2023-11-06,9,52,11
2023-11-07,6,38,3
2023-11-08,2,36,0
2023-11-09,2,45,0
2023-11-10,0,41,0
2023-11-11,1,2,0
2023-11-12,0,0,0
2023-11-13,0,31,4
2023-11-14,5,56,1
2023-11-15,7,49,1
2023-11-16,0,87,0
2023-11-17,0,28,0
2023-11-18,0,2,10
2023-11-19,0,0,1
2023-11-20,0,69,0
2023-11-21,0,40,5
2023-11-22,2,42,1
2023-11-23,6,42,3
2023-11-24,3,32,4
2023-11-25,0,1,0
2023-11-26,0,7,5
2023-11-27,4,29,0
2023-11-28,0,53,3
2023-11-29,6,28,5
2023-11-30,2,37,0
2023-12-01,2,41,2
2023-12-02,0,0,0
2023-12-03,0,0,0
