,AvaloniaUI/Avalonia,electron/electron,nwjs/nw.js
2022-01-05,9,3,1
2022-01-06,3,7,2
2022-01-07,7,4,0
2022-01-08,0,0,10
2022-01-09,0,0,2
2022-01-10,2,7,2
2022-01-11,10,3,0
2022-01-12,5,5,0
2022-01-13,9,7,0
2022-01-14,5,1,0
2022-01-15,1,0,0
2022-01-16,20,0,0
2022-01-17,14,5,0
2022-01-18,10,4,0
2022-01-19,13,3,0
2022-01-20,20,4,0
2022-01-21,8,4,0
2022-01-22,19,0,0
2022-01-23,13,0,0
2022-01-24,20,5,0
2022-01-25,17,6,0
2022-01-26,22,6,0
2022-01-27,25,4,0
2022-01-28,21,2,0
2022-01-29,5,0,0
2022-01-30,13,0,0
2022-01-31,18,6,0
2022-02-01,13,6,3
2022-02-02,15,7,0
2022-02-03,25,3,0
2022-02-04,7,1,0
2022-02-05,7,0,0
2022-02-06,0,0,0
2022-02-07,11,2,2
2022-02-08,14,5,0
2022-02-09,3,4,0
2022-02-10,6,2,0
2022-02-11,5,5,1
2022-02-12,7,0,0
2022-02-13,3,0,0
2022-02-14,6,2,0
2022-02-15,25,3,0
2022-02-16,17,2,0
2022-02-17,5,5,0
2022-02-18,1,2,0
2022-02-19,2,0,0
2022-02-20,15,0,7
2022-02-21,7,6,3
2022-02-22,5,2,2
2022-02-23,7,5,0
2022-02-24,13,3,0
2022-02-25,12,2,0
2022-02-26,1,0,0
2022-02-27,0,0,0
2022-02-28,16,3,1
2022-03-01,9,3,0
2022-03-02,22,3,0
2022-03-03,2,4,0
2022-03-04,0,1,0
2022-03-05,7,1,2
2022-03-06,10,0,2
2022-03-07,11,7,0
2022-03-08,8,8,0
2022-03-09,6,5,0
2022-03-10,55,1,1
2022-03-11,19,3,0
2022-03-12,9,1,0
2022-03-13,0,0,2
2022-03-14,12,2,0
2022-03-15,19,5,0
2022-03-16,9,9,0
2022-03-17,10,4,0
2022-03-18,6,1,0
2022-03-19,12,2,0
2022-03-20,3,0,1
2022-03-21,38,13,2
2022-03-22,17,9,3
2022-03-23,20,10,0
2022-03-24,2,4,0
2022-03-25,7,5,0
2022-03-26,2,0,1
2022-03-27,20,0,2
2022-03-28,18,8,0
2022-03-29,11,13,14
2022-03-30,15,9,6
2022-03-31,8,3,1
2022-04-01,3,2,0
2022-04-02,4,0,0
2022-04-03,9,0,0
2022-04-04,23,17,0
2022-04-05,8,5,0
2022-04-06,11,4,0
2022-04-07,7,4,0
2022-04-08,7,2,0
2022-04-09,23,0,0
2022-04-10,25,0,2
2022-04-11,18,8,0
2022-04-12,20,12,1
2022-04-13,15,8,1
2022-04-14,44,5,1
2022-04-15,32,5,0
2022-04-16,29,0,0
2022-04-17,15,0,0
2022-04-18,8,7,2
2022-04-19,3,1,0
2022-04-20,16,4,0
2022-04-21,20,4,1
2022-04-22,5,6,0
2022-04-23,3,0,0
2022-04-24,0,0,0
2022-04-25,3,5,0
2022-04-26,9,2,0
2022-04-27,11,5,4
2022-04-28,23,4,2
2022-04-29,11,3,0
2022-04-30,0,1,0
2022-05-01,0,0,1
2022-05-02,4,5,3
2022-05-03,10,6,0
2022-05-04,20,5,0
2022-05-05,20,5,0
2022-05-06,23,8,1
2022-05-07,1,0,0
2022-05-08,3,0,0
2022-05-09,12,5,0
2022-05-10,32,9,0
2022-05-11,6,10,0
2022-05-12,6,4,0
2022-05-13,10,2,0
2022-05-14,2,0,1
2022-05-15,13,0,2
2022-05-16,11,3,0
2022-05-17,37,5,0
2022-05-18,34,2,0
2022-05-19,9,4,0
2022-05-20,5,1,0
2022-05-21,1,0,0
2022-05-22,1,1,0
2022-05-23,2,10,0
2022-05-24,19,4,0
2022-05-25,40,6,0
2022-05-26,19,1,0
2022-05-27,26,1,0
2022-05-28,22,0,0
2022-05-29,5,0,0
2022-05-30,28,3,11
2022-05-31,40,3,1
2022-06-01,29,7,1
2022-06-02,30,7,1
2022-06-03,64,3,0
2022-06-04,11,0,0
2022-06-05,12,0,0
2022-06-06,8,4,1
2022-06-07,2,8,0
2022-06-08,17,3,0
2022-06-09,11,3,2
2022-06-10,22,2,2
2022-06-11,8,0,0
2022-06-12,2,0,0
2022-06-13,1,8,0
2022-06-14,0,5,0
