,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2019-04-13,3,6,0
2019-04-14,0,32,0
2019-04-15,8,68,0
2019-04-16,15,49,0
2019-04-17,25,29,0
2019-04-18,34,18,0
2019-04-19,16,17,2
2019-04-20,0,4,0
2019-04-21,0,6,2
2019-04-22,4,13,2
2019-04-23,20,19,0
2019-04-24,22,12,0
2019-04-25,26,12,0
2019-04-26,12,40,1
2019-04-27,9,2,0
2019-04-28,5,2,0
2019-04-29,29,44,0
2019-04-30,23,14,0
2019-05-01,19,27,0
2019-05-02,14,13,0
2019-05-03,6,20,0
2019-05-04,0,9,0
2019-05-05,3,1,0
2019-05-06,6,25,0
2019-05-07,10,15,1
2019-05-08,10,11,0
2019-05-09,4,12,0
2019-05-10,7,4,0
2019-05-11,4,0,0
2019-05-12,2,0,4
2019-05-13,11,58,0
2019-05-14,7,67,0
2019-05-15,7,34,3
2019-05-16,4,17,0
2019-05-17,5,14,0
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,11,37,0
2019-05-21,13,16,0
2019-05-22,17,21,0
2019-05-23,15,2,0
2019-05-24,14,38,0
2019-05-25,0,1,0
2019-05-26,0,0,3
2019-05-27,1,1,0
2019-05-28,6,56,0
2019-05-29,5,0,0
2019-05-30,14,32,0
2019-05-31,33,19,0
2019-06-01,4,0,0
2019-06-02,3,0,0
2019-06-03,7,15,0
2019-06-04,6,30,0
2019-06-05,18,25,0
2019-06-06,22,14,0
2019-06-07,9,4,1
2019-06-08,2,12,0
2019-06-09,7,0,0
2019-06-10,3,12,0
2019-06-11,7,18,0
2019-06-12,6,22,0
2019-06-13,4,16,0
2019-06-14,32,14,2
2019-06-15,1,0,0
2019-06-16,0,27,0
2019-06-17,9,16,0
2019-06-18,8,8,0
2019-06-19,23,29,0
2019-06-20,20,9,0
2019-06-21,19,21,0
2019-06-22,6,4,0
2019-06-23,5,0,0
2019-06-24,8,31,0
2019-06-25,15,3,0
2019-06-26,19,43,0
2019-06-27,17,35,0
2019-06-28,18,33,0
2019-06-29,7,3,0
2019-06-30,8,0,0
2019-07-01,27,58,0
2019-07-02,7,18,0
2019-07-03,14,30,1
2019-07-04,2,0,0
2019-07-05,9,2,4
2019-07-06,0,0,0
2019-07-07,1,0,0
2019-07-08,15,41,0
2019-07-09,5,29,0
2019-07-10,11,41,0
2019-07-11,16,30,0
2019-07-12,17,9,0
2019-07-13,2,1,0
2019-07-14,0,0,0
2019-07-15,11,26,0
2019-07-16,14,25,0
2019-07-17,19,27,0
2019-07-18,11,18,0
2019-07-19,8,18,0
2019-07-20,6,0,0
2019-07-21,1,0,0
2019-07-22,5,44,0
2019-07-23,7,20,0
2019-07-24,5,17,0
2019-07-25,14,18,0
2019-07-26,9,14,1
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,14,15,0
2019-07-30,9,20,0
2019-07-31,7,24,0
2019-08-01,10,25,0
2019-08-02,16,24,0
2019-08-03,5,0,5
2019-08-04,6,0,0
2019-08-05,9,46,0
2019-08-06,22,22,0
2019-08-07,10,23,0
2019-08-08,11,26,0
