,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system,bitcoin/bitcoin
2023-07-19,0.0,0,21
2023-07-20,1.0,0,16
2023-07-21,-0.19999999999999996,0,11
2023-07-22,-0.08000000000000007,0,6
2023-07-23,-0.048000000000000036,0,1
2023-07-24,-0.03360000000000001,0,19
2023-07-25,-0.025536000000000014,0,26
2023-07-26,-0.02042880000000001,0,17
2023-07-27,3.98307328,0,10
2023-07-28,1.1856122880000002,0,3
2023-07-29,-0.7324693504000002,0,0
2023-07-30,-0.3520000000000003,0,3
2023-07-31,0.7695999999999998,0,7
2023-08-01,3.630656,0,14
2023-08-02,-1.0127872,0,7
2023-08-03,-0.4765644800000004,0,25
2023-08-04,-0.3170042879999999,0,6
2023-08-05,-0.2385888255999998,0,15
2023-08-06,-0.1475115008,0,1
2023-08-07,-0.09864192000000005,0,14
2023-08-08,24.917905408,0,7
2023-08-09,5.929979801600001,0,8
2023-08-10,5.750122598399999,0,7
2023-08-11,-3.080000000000002,0,3
2023-08-12,-2.368000000000001,0,0
2023-08-13,-1.568000000000001,0,1
2023-08-14,-1.1756160000000007,0,15
2023-08-15,-0.9368448000000005,0,9
2023-08-16,-0.7757107199999987,0,6
2023-08-17,-0.6596945919999985,4,26
2023-08-18,-0.297966694399999,0,14
2023-08-19,-0.1390812159999996,0,0
2023-08-20,-0.012469350399999964,1,0
2023-08-21,0.0,0,5
2023-08-22,0.0,0,17
2023-08-23,15.0,0,30
2023-08-24,-2.999999999999999,0,30
2023-08-25,8.799999999999999,0,11
2023-08-26,-2.72,0,2
2023-08-27,-1.304000000000001,0,8
2023-08-28,-0.8630400000000006,0,8
2023-08-29,-0.6424320000000003,0,9
2023-08-30,-0.5092608000000003,0,10
2023-08-31,-0.4201036799999992,0,7
2023-09-01,8.643692544,0,8
2023-09-02,3.056122880000001,0,1
2023-09-03,-1.844693504,0,1
2023-09-04,-0.8320000000000007,0,5
2023-09-05,2.4576,0,14
2023-09-06,0.0021759999999999557,0,9
2023-09-07,5.2484608,0,19
2023-09-08,-1.67848448,0,7
2023-09-09,-0.842923008,0,2
2023-09-10,-0.5823707135999996,0,5
2023-09-11,-0.3507691519999999,0,3
2023-09-12,22.77557504,0,23
2023-09-13,-4.7826626559999985,0,28
2023-09-14,6.006643916799998,0,21
2023-09-15,-2.8027956223999997,0,16
2023-09-16,7.5123838975999995,0,2
2023-09-17,-2.7713280000000005,0,0
2023-09-18,-1.458662400000001,0,1
2023-09-19,-0.025602560000000718,0,16
2023-09-20,-0.9967477759999988,0,16
2023-09-21,6.2679671808,0,6
2023-09-22,-1.7469608959999994,0,3
2023-09-23,-0.8456952832000003,0,2
2023-09-24,-0.4910254079999997,0,1
2023-09-25,6.6321470464,0,1
2023-09-26,-1.5956787199999998,0,2
2023-09-27,-0.7173893120000006,0,13
2023-09-28,-0.46695639040000025,0,6
2023-09-29,-0.33591398399999967,0,10
2023-09-30,5.7339625472,0,24
2023-10-01,4.6569984,0,0
2023-10-02,6.20151296,0,32
2023-10-03,-1.4687139839999999,0,29
2023-10-04,-1.4168854528000006,0,31
2023-10-05,0.18118399999999957,0,29
2023-10-06,-0.7925888000000003,0,14
2023-10-07,-0.5420211200000002,0,2
2023-10-08,-0.4248529919999998,0,31
2023-10-09,0.6494150656000004,0,18
2023-10-10,-0.43238051839999925,0,12
2023-10-11,0.7854286848000003,0,8
2023-10-12,0.7226039296,0,15
2023-10-13,-0.327987712,0,27
2023-10-14,-0.16600535040000008,0,0
2023-10-15,0.8979712,0,3
2023-10-16,-0.27606272,0,10
2023-10-17,-0.14035251200000004,0,11
2023-10-18,-0.09782487040000001,0,7
2023-10-19,-0.06491443199999997,0,14
2023-10-20,-0.05239306239999991,0,25
2023-10-21,-0.03289815039999998,0,0
2023-10-22,-0.01692672000000001,0,0
2023-10-23,-0.01438771199999994,0,17
2023-10-24,12.9875306496,0,18
2023-10-25,-2.5999999999999996,0,8
2023-10-26,-1.040000000000001,0,10
2023-10-27,-0.6240000000000004,0,2
2023-10-28,-0.43680000000000013,0,0
2023-10-29,-0.33196800000000015,0,3
2023-10-30,-0.26557440000000015,0,18
2023-10-31,-0.22004736000000014,0,11
2023-11-01,-0.1870402559999992,0,12
2023-11-02,-0.16210155519999953,0,11
2023-11-03,0.0,0,21
2023-11-04,0.0,0,1
2023-11-05,0.0,0,6
2023-11-06,0.0,0,7
2023-11-07,0.0,0,16
2023-11-08,0.0,0,17
2023-11-09,0.0,0,15
2023-11-10,2.0,0,18
2023-11-11,-0.3999999999999999,0,1
2023-11-12,-0.16000000000000014,0,0
2023-11-13,-0.09600000000000007,0,25
2023-11-14,-0.06720000000000002,0,11
2023-11-15,-0.05107200000000003,0,6
2023-11-16,1.9591424,0,20
2023-11-17,-0.4338534399999999,0,17
2023-11-18,-0.18877542400000002,0,0
2023-11-19,2.8790612992,0,1
2023-11-20,-0.6671999999999999,0,6
2023-11-21,0.7089279999999998,0,4
2023-11-22,-0.3848576000000001,0,23
2023-11-23,-0.2146534400000001,0,10
2023-11-24,-0.15338342399999996,0,6
2023-11-25,-0.11982510079999997,0,4
2023-11-26,-0.07631616000000005,0,2
2023-11-27,-0.06359193599999982,0,2
2023-11-28,-0.054334771199999896,0,21
2023-11-29,-0.01438771199999994,0,13
2023-11-30,-0.012469350399999964,0,14
2023-12-01,0.0,0,7
2023-12-02,0.0,0,1
2023-12-03,0.0,0,1
2023-12-04,0.0,0,20
2023-12-05,1.0,0,14
2023-12-06,-0.19999999999999996,0,11
2023-12-07,-0.08000000000000007,0,15
2023-12-08,0.952,0,22
2023-12-09,-0.23359999999999997,0,6
2023-12-10,-0.10553600000000009,0,1
2023-12-11,-0.06842880000000004,0,20
2023-12-12,-0.050526720000000025,0,14
2023-12-13,-0.03992371199999995,0,10
2023-12-14,-0.03289815039999998,0,12
2023-12-15,-0.01692672000000001,0,13
2023-12-16,-0.01438771199999994,0,0
2023-12-17,-0.012469350399999964,0,1
2023-12-18,4.0,0,6
2023-12-19,1.2000000000000002,0,3
2023-12-20,2.28,0,4
2023-12-21,-0.9520000000000002,0,9
2023-12-22,-0.4704000000000003,0,4
2023-12-23,-0.3133440000000002,0,1
2023-12-24,-0.2335872000000001,0,0
2023-12-25,-0.18517248000000008,0,0
2023-12-26,-0.1526906879999998,0,0
2023-12-27,-0.12943298559999977,0,4
2023-12-28,-0.06810183679999975,0,0
2023-12-29,-0.03740805119999989,0,0
2023-12-30,0.0,0,0
2023-12-31,0.0,0,1
2024-01-01,0.0,0,0
2024-01-02,0.0,0,7
2024-01-03,0.0,0,2
2024-01-04,0.0,0,9
2024-01-05,0.0,0,14
2024-01-06,0.0,0,2
2024-01-07,0.0,0,2
2024-01-08,0.0,0,12
2024-01-09,0.0,0,12
2024-01-10,1.0,0,7
2024-01-11,-0.19999999999999996,0,22
2024-01-12,-0.08000000000000007,0,9
2024-01-13,-0.048000000000000036,0,1
2024-01-14,-0.03360000000000001,0,0
2024-01-15,-0.025536000000000014,0,11
2024-01-16,1.9795712,0,20
2024-01-17,-0.4169267199999999,0,7
2024-01-18,-0.17438771200000008,0,10
2024-01-19,-0.10846935040000004,0,9
2024-01-20,-0.06720000000000002,0,2
2024-01-21,-0.05107200000000003,0,0
2024-01-22,-0.04085760000000002,0,6
2024-01-23,-0.03385344000000002,0,16
2024-01-24,-0.02877542399999988,0,6
2024-01-25,-0.02493870079999993,0,23
2024-01-26,0.0,0,11
2024-01-27,0.0,3,0
2024-01-28,0.0,0,0
2024-01-29,0.0,10,11
2024-01-30,0.0,0,10
2024-01-31,4.0,0,13
2024-02-01,-0.7999999999999998,0,18
2024-02-02,-0.3200000000000003,0,3
2024-02-03,-0.19200000000000014,0,3
2024-02-04,-0.13440000000000005,0,0
2024-02-05,-0.10214400000000005,0,8
2024-02-06,-0.08171520000000004,0,11
2024-02-07,0.93229312,0,15
2024-02-08,-0.2575508479999997,2,15
2024-02-09,0.8701225984000001,1,21
2024-02-10,-0.248,0,3
2024-02-11,-0.11360000000000009,0,4
2024-02-12,-0.07353600000000005,3,14
2024-02-13,-0.05402880000000002,1,18
2024-02-14,-0.04246272000000002,5,1
2024-02-15,-0.03481651199999995,0,10
2024-02-16,-0.029396070399999974,0,11
2024-02-17,-0.01438771199999994,4,1
2024-02-18,-0.012469350399999964,5,1
2024-02-19,0.0,1,4
2024-02-20,0.0,2,14
2024-02-21,0.0,1,14
2024-02-22,0.0,1,2
2024-02-23,0.0,0,3
2024-02-24,1.0,8,0
2024-02-25,-0.19999999999999996,1,0
2024-02-26,-0.08000000000000007,2,15
2024-02-27,-0.048000000000000036,5,19
2024-02-28,-0.03360000000000001,0,24
2024-02-29,-0.025536000000000014,2,17
2024-03-01,-0.02042880000000001,1,25
2024-03-02,-0.01692672000000001,0,3
2024-03-03,-0.01438771199999994,0,1
2024-03-04,-0.012469350399999964,0,11
2024-03-05,0.0,2,16
2024-03-06,0.0,1,6
2024-03-07,0.0,0,9
2024-03-08,0.0,0,11
2024-03-09,0.0,0,3
2024-03-10,1.0,0,2
2024-03-11,1.8,8,20
2024-03-12,-0.48,3,28
2024-03-13,-0.20800000000000018,0,10
2024-03-14,0.8704,1,12
2024-03-15,0.707264,1,7
2024-03-16,-0.35150080000000006,3,0
2024-03-17,-0.18578432000000014,4,5
2024-03-18,-0.12984115200000002,0,28
2024-03-19,-0.10038077439999987,0,10
2024-03-20,-0.07090350079999995,0,18
2024-03-21,-0.03735552000000002,0,12
2024-03-22,-0.03131443199999995,1,11
2024-03-23,-0.026857062399999902,2,3
2024-03-24,-0.012469350399999964,2,0
2024-03-25,0.0,0,13
2024-03-26,0.0,0,29
2024-03-27,0.0,0,14
2024-03-28,0.0,8,6
2024-03-29,0.0,9,7
2024-03-30,0.0,0,1
2024-03-31,0.0,0,1
2024-04-01,0.0,0,9
2024-04-02,0.0,0,15
2024-04-03,0.0,0,4
2024-04-04,0.0,0,12
2024-04-05,0.0,2,8
2024-04-06,0.0,0,9
2024-04-07,3.0,0,6
2024-04-08,-0.5999999999999999,0,5
2024-04-09,-0.2400000000000002,0,16
2024-04-10,0.8559999999999999,3,10
2024-04-11,-0.30079999999999996,5,5
2024-04-12,-0.1566080000000001,1,5
2024-04-13,-0.10928640000000006,0,0
2024-04-14,-0.08438016000000004,2,1
2024-04-15,-0.06869913599999983,0,13
2024-04-16,-0.0578368511999999,2,22
2024-04-17,-0.01692672000000001,0,12
2024-04-18,-0.01438771199999994,0,12
2024-04-19,-0.012469350399999964,0,12
2024-04-20,0.0,1,0
2024-04-21,1.0,0,1
2024-04-22,-0.19999999999999996,0,14
2024-04-23,9.92,0,7
2024-04-24,-2.0479999999999996,0,20
2024-04-25,-0.8336000000000007,0,20
2024-04-26,-0.5055360000000004,0,16
2024-04-27,6.6435712,0,2
2024-04-28,-1.6722867199999998,4,9
2024-04-29,7.221324288,11,11
2024-04-30,-2.1177365504,0,15
2024-05-01,-1.01907712,5,15
2024-05-02,-0.687445504,0,10
2024-05-03,-0.41180160000000016,0,23
2024-05-04,-0.3227750400000002,0,6
2024-05-05,0.7358556160000003,0,4
2024-05-06,-0.4226992127999998,0,11
2024-05-07,-0.1951016959999996,0,8
2024-05-08,0.8522451968000002,2,10
2024-05-09,-0.23359999999999997,3,14
2024-05-10,-0.10553600000000009,0,6
2024-05-11,-0.06842880000000004,0,6
2024-05-12,-0.050526720000000025,0,4
2024-05-13,-0.03992371199999995,0,12
2024-05-14,3.9671018496,0,26
