,mobxjs/mobx,reduxjs/redux-toolkit,reduxjs/redux
2018-05-03,5,0.0,0
2018-05-04,3,0.0,2
2018-05-05,0,0.0,0
2018-05-06,0,0.0,1
2018-05-07,0,0.0,0
2018-05-08,3,0.0,0
2018-05-09,2,0.0,0
2018-05-10,0,0.0,0
2018-05-11,0,0.0,1
2018-05-12,0,0.0,1
2018-05-13,0,0.0,0
2018-05-14,4,0.0,0
2018-05-15,0,0.0,0
2018-05-16,0,0.0,0
2018-05-17,0,0.0,0
2018-05-18,1,0.0,0
2018-05-19,0,0.0,0
2018-05-20,0,0.0,1
2018-05-21,0,0.0,0
2018-05-22,10,0.0,2
2018-05-23,5,0.0,0
2018-05-24,15,0.0,0
2018-05-25,12,0.0,0
2018-05-26,1,0.0,1
2018-05-27,1,0.0,1
2018-05-28,4,0.0,0
2018-05-29,0,0.0,0
2018-05-30,0,0.0,1
2018-05-31,0,0.0,0
2018-06-01,0,0.0,2
2018-06-02,0,0.0,0
2018-06-03,0,0.0,0
2018-06-04,8,0.0,0
2018-06-05,16,0.0,0
2018-06-06,0,0.0,0
2018-06-07,8,0.0,1
2018-06-08,6,0.0,0
2018-06-09,1,0.0,1
2018-06-10,0,0.0,0
2018-06-11,7,0.0,0
2018-06-12,0,0.0,0
2018-06-13,0,0.0,1
2018-06-14,1,0.0,0
2018-06-15,0,0.0,0
2018-06-16,0,0.0,0
2018-06-17,0,0.0,0
2018-06-18,2,0.0,0
2018-06-19,2,0.0,1
2018-06-20,2,0.0,0
2018-06-21,1,0.0,1
2018-06-22,0,0.0,2
2018-06-23,0,0.0,0
2018-06-24,0,0.0,0
2018-06-25,0,0.0,1
2018-06-26,0,0.0,0
2018-06-27,0,0.0,0
2018-06-28,0,0.0,1
2018-06-29,0,0.0,0
2018-06-30,0,0.0,0
2018-07-01,0,0.0,0
2018-07-02,0,0.0,2
2018-07-03,0,0.0,2
2018-07-04,0,0.0,0
2018-07-05,1,0.0,1
2018-07-06,0,0.0,0
2018-07-07,0,0.0,0
2018-07-08,0,0.0,0
2018-07-09,0,0.0,1
2018-07-10,0,0.0,1
2018-07-11,0,0.0,0
2018-07-12,0,0.0,0
2018-07-13,0,0.0,0
2018-07-14,1,0.0,0
2018-07-15,1,0.0,0
2018-07-16,0,0.0,0
2018-07-17,0,0.0,2
2018-07-18,0,0.0,0
2018-07-19,0,0.0,0
2018-07-20,0,0.0,0
2018-07-21,0,0.0,0
2018-07-22,0,0.0,0
2018-07-23,0,0.0,0
2018-07-24,0,0.0,0
2018-07-25,0,0.0,0
2018-07-26,1,0.0,0
2018-07-27,1,0.0,0
2018-07-28,0,0.0,1
2018-07-29,0,0.0,0
2018-07-30,0,0.0,0
2018-07-31,0,0.0,1
2018-08-01,0,0.0,0
2018-08-02,0,0.0,0
2018-08-03,0,0.0,0
2018-08-04,0,0.0,0
2018-08-05,0,0.0,0
2018-08-06,0,0.0,0
2018-08-07,0,0.0,0
2018-08-08,0,0.0,0
2018-08-09,1,0.0,0
2018-08-10,0,0.0,0
2018-08-11,0,0.0,0
2018-08-12,0,0.0,0
2018-08-13,1,0.0,0
2018-08-14,2,0.0,1
2018-08-15,1,0.0,1
2018-08-16,0,0.0,0
2018-08-17,3,0.0,2
2018-08-18,0,0.0,0
2018-08-19,0,1.0,0
2018-08-20,0,-0.10000000000000009,1
2018-08-21,4,-0.04500000000000003,0
2018-08-22,0,-0.028500000000000022,0
2018-08-23,0,-0.020662499999999924,0
2018-08-24,0,-0.016116749999999947,0
2018-08-25,2,-0.01316201249999996,2
2018-08-26,0,-0.011093696249999967,0
2018-08-27,4,-0.009568313015624975,0
2018-08-28,0,-0.008398852535937478,1
2018-08-29,0,0.0,0
2018-08-30,0,1.0,0
2018-08-31,1,-0.10000000000000009,0
2018-09-01,0,-0.04500000000000003,0
2018-09-02,1,-0.028500000000000022,6
2018-09-03,0,-0.020662499999999924,0
2018-09-04,0,-0.016116749999999947,0
2018-09-05,0,-0.01316201249999996,0
2018-09-06,0,3.98890630375,1
2018-09-07,0,-0.40956831301562535,0
2018-09-08,0,-0.1883988525359376,0
2018-09-09,0,-0.11400000000000009,1
2018-09-10,2,-0.0826499999999997,0
2018-09-11,0,-0.06446699999999979,6
2018-09-12,0,-0.05264804999999984,1
2018-09-13,2,-0.04437478499999987,0
2018-09-14,6,-0.0382732520624999,0
2018-09-15,0,-0.033595410143749914,0
2018-09-16,0,0.0,0
2018-09-17,0,0.0,0
2018-09-18,5,0.0,0
2018-09-19,0,0.0,0
2018-09-20,2,0.0,2
2018-09-21,1,0.0,0
2018-09-22,0,0.0,0
2018-09-23,0,0.0,1
2018-09-24,3,0.0,0
2018-09-25,1,0.0,7
2018-09-26,2,0.0,1
2018-09-27,6,0.0,2
2018-09-28,1,0.0,0
2018-09-29,0,0.0,0
2018-09-30,1,0.0,0
2018-10-01,0,0.0,1
2018-10-02,1,0.0,0
2018-10-03,0,0.0,1
2018-10-04,0,0.0,1
2018-10-05,0,0.0,1
2018-10-06,0,0.0,1
2018-10-07,0,0.0,0
2018-10-08,0,0.0,0
2018-10-09,1,0.0,0
2018-10-10,1,0.0,0
2018-10-11,2,0.0,0
2018-10-12,0,0.0,0
2018-10-13,0,0.0,1
2018-10-14,0,9.0,0
2018-10-15,0,-0.9000000000000008,0
2018-10-16,1,-0.4050000000000003,1
2018-10-17,0,-0.2565000000000002,0
2018-10-18,1,3.814037500000001,0
2018-10-19,2,-0.5450507499999999,1
2018-10-20,0,-0.29845811249999976,0
2018-10-21,0,-0.21384326624999977,0
2018-10-22,3,-0.16876481714062447,0
2018-10-23,2,0.8599433271765629,2
2018-10-24,0,-0.15264804999999992,1
2018-10-25,0,-0.0893747849999999,1
2018-10-26,0,-0.06677325206249993,3
2018-10-27,3,-0.05425791014374984,1
2018-10-28,0,-0.016116749999999947,0
2018-10-29,0,-0.01316201249999996,0
2018-10-30,0,-0.011093696249999967,0
2018-10-31,1,-0.009568313015624975,0
2018-11-01,0,-0.008398852535937478,0
2018-11-02,0,0.0,0
2018-11-03,0,0.0,0
2018-11-04,0,0.0,0
2018-11-05,2,0.0,1
2018-11-06,9,0.0,0
2018-11-07,0,0.0,0
2018-11-08,0,0.0,1
2018-11-09,0,0.0,0
2018-11-10,0,0.0,2
2018-11-11,0,0.0,0
2018-11-12,0,0.0,0
2018-11-13,0,0.0,0
2018-11-14,0,0.0,0
2018-11-15,0,0.0,0
2018-11-16,0,0.0,0
2018-11-17,0,0.0,0
2018-11-18,0,0.0,0
2018-11-19,0,0.0,0
2018-11-20,0,0.0,0
2018-11-21,0,0.0,1
2018-11-22,0,0.0,0
2018-11-23,0,0.0,0
2018-11-24,0,0.0,1
2018-11-25,0,0.0,1
2018-11-26,0,0.0,0
2018-11-27,0,0.0,2
2018-11-28,0,0.0,7
2018-11-29,0,0.0,0
2018-11-30,3,0.0,2
2018-12-01,0,0.0,1
2018-12-02,0,3.0,1
2018-12-03,4,-0.30000000000000027,3
2018-12-04,3,-0.1350000000000001,3
2018-12-05,0,-0.08550000000000006,0
2018-12-06,1,0.9380125000000002,0
2018-12-07,3,-0.14835024999999993,1
2018-12-08,2,-0.08448603749999992,5
2018-12-09,0,1.9382189112500001,6
2018-12-10,0,2.750632560953125,1
2018-12-11,10,1.5686866923921872,12
2018-12-12,3,1.5948379874999996,5
2018-12-13,3,0.5720813037499999,4
2018-12-14,0,0.6492106869843752,0
2018-12-15,0,-0.3263981275359372,1
2018-12-16,0,5.79126807,6
2018-12-17,0,-0.7601377397812501,2
2018-12-18,1,-0.40079331161874976,3
2018-12-19,1,-0.26679933863906236,1
2018-12-20,1,-0.18416503985312438,1
2018-12-21,0,-0.13416021433749958,0
2018-12-22,0,-0.09693924055156222,0
2018-12-23,0,1.9250389699640627,1
2018-12-24,6,9.74259012190625,0
2018-12-25,0,-1.140393115215626,0
2018-12-26,0,-0.5070000000000003,0
2018-12-27,0,-0.32632500000000003,0
2018-12-28,0,-0.2388584999999991,0
2018-12-29,0,-0.18749152499999938,1
2018-12-30,0,-0.15380751749999955,2
2018-12-31,0,-0.13007358853124962,0
2019-01-01,0,-0.11248083522812471,0
2019-01-02,0,0.9160114746406252,2
2019-01-03,0,-0.10000000000000009,0
2019-01-04,0,-0.04500000000000003,0
2019-01-05,0,0.9715,0
2019-01-06,1,3.8793375,0
2019-01-07,0,-0.46111675000000035,0
2019-01-08,0,-0.22166201250000012,0
2019-01-09,0,-0.14575619624999997,0
2019-01-10,0,1.8916649369843754,1
2019-01-11,0,4.713972134964062,0
2019-01-12,0,-0.6537417462500004,1
2019-01-13,0,0.664056901984375,0
2019-01-14,0,-0.3304971045984374,1
2019-01-15,2,-0.21414141014374946,1
2019-01-16,0,-0.13540777499999967,0
2019-01-17,0,-0.10865995499999967,0
2019-01-18,1,1.9092781427187502,1
2019-01-19,0,5.72219871735,0
2019-01-20,0,0.25691204107031207,2
2019-01-21,16,1.5634316869843747,3
2019-01-22,4,2.5342761474640625,0
2019-01-23,0,-0.5747084999999998,0
2019-01-24,0,-0.3356870249999997,0
2019-01-25,1,2.7558987825000005,0
2019-01-26,0,1.5069181839687502,0
2019-01-27,0,1.5050244455843753,6
2019-01-28,0,-0.49713485823125,1
2019-01-29,0,-0.2698040673171872,1
2019-01-30,0,-0.19217789411874964,1
2019-01-31,0,-0.13824109510781207,0
2019-02-01,0,-0.09183861374999971,0
2019-02-02,0,0.9227836434531252,0
2019-02-03,0,-0.1665205761390624,0
2019-02-04,1,-0.08093433110312495,0
2019-02-05,0,0.954702294928125,0
2019-02-06,0,-0.1206625,0
2019-02-07,0,-0.061116749999999984,0
2019-02-08,0,-0.041662012499999984,0
2019-02-09,8,-0.03175619624999989,0
2019-02-10,0,0.9743149369843751,0
2019-02-11,0,-0.12156086503593752,0
2019-02-12,0,-0.05609369625,0
2019-02-13,0,-0.038068313015624994,0
2019-02-14,1,-0.029061352535937404,0
2019-02-15,1,-0.016116749999999947,0
2019-02-16,0,-0.01316201249999996,0
2019-02-17,0,-0.011093696249999967,0
2019-02-18,0,-0.009568313015624975,1
2019-02-19,1,-0.008398852535937478,0
2019-02-20,0,0.0,0
2019-02-21,0,1.0,0
2019-02-22,0,-0.10000000000000009,0
2019-02-23,0,0.955,0
2019-02-24,0,-0.12850000000000011,1
2019-02-25,0,-0.06566249999999996,0
2019-02-26,0,-0.04461674999999997,0
2019-02-27,0,-0.03382451249999988,0
2019-02-28,0,-0.027210446249999916,0
2019-03-01,5,-0.022730325515624934,0
2019-03-02,0,-0.019492548785937445,0
2019-03-03,0,-0.009568313015624975,0
2019-03-04,0,-0.008398852535937478,0
2019-03-05,0,0.0,1
2019-03-06,0,0.0,0
2019-03-07,0,1.0,0
2019-03-08,0,-0.10000000000000009,0
2019-03-09,0,-0.04500000000000003,1
2019-03-10,0,-0.028500000000000022,0
2019-03-11,0,-0.020662499999999924,1
2019-03-12,0,-0.016116749999999947,0
2019-03-13,0,-0.01316201249999996,0
2019-03-14,4,-0.011093696249999967,0
2019-03-15,0,-0.009568313015624975,0
2019-03-16,0,-0.008398852535937478,0
2019-03-17,0,0.0,0
2019-03-18,1,0.0,0
2019-03-19,0,0.0,2
2019-03-20,0,0.0,0
2019-03-21,0,0.0,0
2019-03-22,0,0.0,0
2019-03-23,0,0.0,0
2019-03-24,0,0.0,0
2019-03-25,0,0.0,0
2019-03-26,0,0.0,0
2019-03-27,1,0.0,0
2019-03-28,0,0.0,0
2019-03-29,0,0.0,0
2019-03-30,4,0.0,0
2019-03-31,0,0.0,0
2019-04-01,0,0.0,0
2019-04-02,1,0.0,1
2019-04-03,0,0.0,0
2019-04-04,0,0.0,1
2019-04-05,0,0.0,0
2019-04-06,0,0.0,0
2019-04-07,0,0.0,0
2019-04-08,0,0.0,0
2019-04-09,0,0.0,0
2019-04-10,0,0.0,1
2019-04-11,0,0.0,0
2019-04-12,4,0.0,2
2019-04-13,0,0.0,0
2019-04-14,0,0.0,0
2019-04-15,2,0.0,0
2019-04-16,0,0.0,0
2019-04-17,1,0.0,0
2019-04-18,0,0.0,1
2019-04-19,0,0.0,1
2019-04-20,0,0.0,0
2019-04-21,0,0.0,0
2019-04-22,0,0.0,0
2019-04-23,0,0.0,6
2019-04-24,0,0.0,0
2019-04-25,0,0.0,0
2019-04-26,0,0.0,0
2019-04-27,0,0.0,0
2019-04-28,0,5.0,0
2019-04-29,0,-0.5000000000000004,1
2019-04-30,0,1.775,1
2019-05-01,2,-0.34250000000000025,0
2019-05-02,0,-0.19331249999999967,0
