,containerd/containerd,canonical/lxd,moby/moby
2024-01-05,6,0,13.0
2024-01-06,1,0,2.0
2024-01-07,1,0,0.0
2024-01-08,3,16,9.0
2024-01-09,5,14,8.0
2024-01-10,6,1,5.0
2024-01-11,10,2,2.0
2024-01-12,5,0,10.0
2024-01-13,0,0,0.0
2024-01-14,0,0,0.0
2024-01-15,2,1,11.0
2024-01-16,6,3,18.0
2024-01-17,57,14,30.0
2024-01-18,8,84,11.0
2024-01-19,6,48,29.0
2024-01-20,5,0,14.0
2024-01-21,0,0,7.0
2024-01-22,0,6,26.0
2024-01-23,8,34,23.0
2024-01-24,7,4,15.0
2024-01-25,9,3,14.0
2024-01-26,11,1,11.0
2024-01-27,1,0,1.0
2024-01-28,4,0,1.0
2024-01-29,9,9,8.0
2024-01-30,10,32,6.0
2024-01-31,7,1,20.0
2024-02-01,4,12,17.0
2024-02-02,7,4,13.0
2024-02-03,10,4,4.0
2024-02-04,3,0,3.0
2024-02-05,7,13,5.0
2024-02-06,9,22,37.0
2024-02-07,21,64,5.0
2024-02-08,5,40,4.0
2024-02-09,9,23,4.0
2024-02-10,4,13,0.0
2024-02-11,8,0,0.0
2024-02-12,6,67,9.0
2024-02-13,9,41,1.0
2024-02-14,6,52,10.0
2024-02-15,8,51,1.0
2024-02-16,13,5,2.0
2024-02-17,2,0,0.0
2024-02-18,1,0,0.0
2024-02-19,3,24,0.0
2024-02-20,9,96,4.0
2024-02-21,9,47,3.0
2024-02-22,13,34,12.0
2024-02-23,3,5,8.0
2024-02-24,2,2,0.0
2024-02-25,1,0,0.0
2024-02-26,4,27,5.0
2024-02-27,8,56,26.0
2024-02-28,4,28,11.0
2024-02-29,4,7,13.0
2024-03-01,6,24,8.0
2024-03-02,1,2,0.0
2024-03-03,0,0,0.0
2024-03-04,5,24,3.0
2024-03-05,8,37,8.0
2024-03-06,4,114,12.0
2024-03-07,6,47,26.0
2024-03-08,7,62,2.0
2024-03-09,1,1,1.0
2024-03-10,0,0,0.0
2024-03-11,0,21,1.0
2024-03-12,5,22,3.0
2024-03-13,4,21,11.0
2024-03-14,1,49,11.0
2024-03-15,1,18,7.0
2024-03-16,0,2,5.0
2024-03-17,1,1,1.0
2024-03-18,3,15,16.0
2024-03-19,7,6,8.0
2024-03-20,3,4,6.0
2024-03-21,1,11,8.0
2024-03-22,2,23,5.0
2024-03-23,0,2,0.0
2024-03-24,0,0,0.0
2024-03-25,2,15,1.0
2024-03-26,5,6,0.0
2024-03-27,5,29,4.0
2024-03-28,1,28,5.0
2024-03-29,2,0,1.0
2024-03-30,1,1,1.0
2024-03-31,1,0,0.0
2024-04-01,1,7,1.0
2024-04-02,7,22,2.0
2024-04-03,1,14,5.0
2024-04-04,1,18,4.0
2024-04-05,2,27,4.0
2024-04-06,0,2,0.0
2024-04-07,1,0,0.0
2024-04-08,1,5,4.0
2024-04-09,4,13,2.0
2024-04-10,6,15,7.0
2024-04-11,3,18,0.0
