,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2023-05-16,1,25,7
2023-05-17,0,23,4
2023-05-18,0,16,5
2023-05-19,0,30,2
2023-05-20,0,3,0
2023-05-21,0,0,0
2023-05-22,0,14,1
2023-05-23,0,27,1
2023-05-24,0,20,9
2023-05-25,1,24,4
2023-05-26,0,32,1
2023-05-27,0,6,0
2023-05-28,0,5,0
2023-05-29,0,7,0
2023-05-30,0,18,5
2023-05-31,0,29,3
2023-06-01,0,30,5
2023-06-02,0,20,0
2023-06-03,0,3,0
2023-06-04,0,0,0
2023-06-05,0,11,1
2023-06-06,2,22,6
2023-06-07,0,19,9
2023-06-08,0,20,5
2023-06-09,0,27,0
2023-06-10,0,4,0
2023-06-11,0,10,0
2023-06-12,0,13,0
2023-06-13,6,18,0
2023-06-14,2,14,4
2023-06-15,1,13,8
2023-06-16,0,13,0
2023-06-17,2,1,0
2023-06-18,0,0,0
2023-06-19,5,9,0
2023-06-20,0,25,5
2023-06-21,2,20,6
2023-06-22,4,21,0
2023-06-23,5,22,1
2023-06-24,0,12,0
2023-06-25,0,4,0
2023-06-26,0,16,4
2023-06-27,0,18,3
2023-06-28,0,18,3
2023-06-29,0,15,1
2023-06-30,0,20,1
2023-07-01,0,2,0
2023-07-02,0,0,0
2023-07-03,0,3,0
2023-07-04,0,2,0
2023-07-05,0,13,2
2023-07-06,0,14,5
2023-07-07,0,18,3
2023-07-08,0,10,0
2023-07-09,0,5,0
2023-07-10,2,19,1
2023-07-11,0,30,1
2023-07-12,0,22,5
2023-07-13,0,30,4
2023-07-14,0,34,2
2023-07-15,0,5,0
2023-07-16,0,1,0
2023-07-17,1,29,1
2023-07-18,1,33,2
2023-07-19,0,22,9
2023-07-20,0,32,2
2023-07-21,0,17,0
2023-07-22,0,10,0
2023-07-23,0,6,0
2023-07-24,3,21,0
2023-07-25,0,18,0
2023-07-26,0,23,5
2023-07-27,1,17,0
2023-07-28,0,24,0
2023-07-29,0,10,0
