,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2023-06-20,0,6,3
2023-06-21,2,1,3
2023-06-22,1,0,1
2023-06-23,4,6,1
2023-06-24,0,0,1
2023-06-25,0,0,0
2023-06-26,2,0,6
2023-06-27,2,15,1
2023-06-28,1,16,6
2023-06-29,1,4,5
2023-06-30,3,0,9
2023-07-01,0,2,0
2023-07-02,0,6,0
2023-07-03,3,1,0
2023-07-04,2,3,0
2023-07-05,0,1,3
2023-07-06,2,1,2
2023-07-07,1,0,4
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,0,3,2
2023-07-11,0,3,1
2023-07-12,4,12,5
2023-07-13,2,4,2
2023-07-14,1,2,1
2023-07-15,0,0,0
2023-07-16,0,1,0
2023-07-17,1,2,4
2023-07-18,1,0,5
2023-07-19,0,5,4
2023-07-20,1,2,2
2023-07-21,1,16,2
2023-07-22,0,1,0
2023-07-23,0,3,0
2023-07-24,2,27,1
2023-07-25,0,11,5
2023-07-26,0,6,3
2023-07-27,1,9,3
2023-07-28,0,3,0
2023-07-29,2,3,0
2023-07-30,0,4,0
2023-07-31,1,13,3
2023-08-01,0,23,2
2023-08-02,3,5,0
2023-08-03,2,3,0
2023-08-04,0,3,5
2023-08-05,0,8,0
2023-08-06,0,1,1
2023-08-07,4,8,5
2023-08-08,1,13,3
2023-08-09,0,10,1
2023-08-10,0,4,4
2023-08-11,0,10,9
2023-08-12,0,2,0
2023-08-13,0,0,0
2023-08-14,4,20,9
2023-08-15,0,9,13
2023-08-16,3,12,5
2023-08-17,4,0,2
2023-08-18,6,1,4
2023-08-19,0,1,0
2023-08-20,1,0,1
2023-08-21,3,2,7
2023-08-22,6,4,9
2023-08-23,2,11,1
2023-08-24,0,3,4
2023-08-25,3,2,12
2023-08-26,0,8,2
2023-08-27,0,7,1
2023-08-28,0,10,28
2023-08-29,1,11,23
2023-08-30,2,6,3
2023-08-31,4,17,6
2023-09-01,0,7,0
2023-09-02,0,3,0
2023-09-03,0,0,0
2023-09-04,0,12,0
2023-09-05,1,8,1
2023-09-06,1,3,2
2023-09-07,0,2,6
2023-09-08,0,3,1
2023-09-09,0,1,0
2023-09-10,0,1,0
2023-09-11,4,7,2
2023-09-12,5,1,3
2023-09-13,2,4,0
2023-09-14,1,1,1
2023-09-15,0,3,4
2023-09-16,0,13,0
2023-09-17,0,17,0
2023-09-18,0,6,0
2023-09-19,1,4,2
2023-09-20,0,3,4
2023-09-21,0,1,3
2023-09-22,1,3,1
2023-09-23,0,6,0
2023-09-24,0,6,0
2023-09-25,0,16,3
2023-09-26,0,16,0
2023-09-27,0,8,3
2023-09-28,0,0,1
2023-09-29,0,1,1
2023-09-30,0,4,0
2023-10-01,0,0,0
2023-10-02,0,2,2
2023-10-03,0,4,2
2023-10-04,0,5,3
2023-10-05,0,10,2
2023-10-06,0,11,2
2023-10-07,0,6,0
2023-10-08,0,3,0
2023-10-09,0,12,1
2023-10-10,0,19,2
2023-10-11,0,15,5
2023-10-12,3,7,0
2023-10-13,0,1,1
2023-10-14,0,2,0
2023-10-15,0,1,0
2023-10-16,3,9,4
2023-10-17,1,17,2
2023-10-18,0,3,3
2023-10-19,0,3,0
2023-10-20,1,2,0
2023-10-21,0,0,0
2023-10-22,0,3,0
2023-10-23,0,16,2
2023-10-24,1,4,4
2023-10-25,0,4,1
2023-10-26,1,8,4
2023-10-27,2,12,5
2023-10-28,0,0,0
2023-10-29,0,0,0
2023-10-30,1,10,1
2023-10-31,1,16,2
2023-11-01,0,24,1
2023-11-02,1,10,2
2023-11-03,0,10,3
2023-11-04,0,1,0
2023-11-05,0,3,0
2023-11-06,0,6,4
2023-11-07,0,0,5
2023-11-08,0,4,1
2023-11-09,4,9,0
2023-11-10,1,22,0
2023-11-11,0,0,0
2023-11-12,0,2,0
2023-11-13,0,10,2
2023-11-14,0,7,3
2023-11-15,0,1,0
2023-11-16,1,2,5
2023-11-17,0,2,0
2023-11-18,0,0,0
2023-11-19,0,0,0
2023-11-20,1,1,4
2023-11-21,1,3,4
2023-11-22,1,2,4
