,facebookresearch/fairseq,pytorch/text,facebookresearch/pytext
2019-03-11,2,0,1
2019-03-12,3,0,2
2019-03-13,1,0,3
2019-03-14,2,0,4
2019-03-15,1,0,4
2019-03-16,1,0,3
2019-03-17,0,0,0
2019-03-18,0,0,4
2019-03-19,2,0,5
2019-03-20,0,0,3
2019-03-21,0,0,4
2019-03-22,0,0,1
2019-03-23,0,0,0
2019-03-24,0,0,0
2019-03-25,0,0,1
2019-03-26,1,0,4
2019-03-27,0,0,0
2019-03-28,0,0,1
2019-03-29,5,0,6
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,0,1
2019-04-02,3,0,4
2019-04-03,2,2,2
2019-04-04,1,0,4
2019-04-05,3,0,3
2019-04-06,0,0,0
2019-04-07,1,0,0
2019-04-08,0,0,4
2019-04-09,2,0,1
2019-04-10,4,0,0
2019-04-11,0,0,2
2019-04-12,1,0,3
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,3,0,3
2019-04-16,1,0,1
2019-04-17,3,0,3
2019-04-18,0,0,0
2019-04-19,0,0,4
2019-04-20,0,0,1
2019-04-21,0,0,5
2019-04-22,2,0,4
2019-04-23,0,0,2
2019-04-24,1,0,6
2019-04-25,6,0,4
2019-04-26,1,0,6
2019-04-27,2,0,0
2019-04-28,0,0,0
2019-04-29,2,0,5
2019-04-30,6,0,5
2019-05-01,5,0,6
2019-05-02,5,0,4
2019-05-03,2,0,1
2019-05-04,4,0,1
2019-05-05,3,0,0
2019-05-06,5,0,2
2019-05-07,5,4,8
2019-05-08,7,1,9
2019-05-09,5,0,2
2019-05-10,2,1,3
2019-05-11,2,0,0
2019-05-12,2,0,0
2019-05-13,4,0,6
2019-05-14,3,0,2
2019-05-15,7,0,7
2019-05-16,5,0,2
2019-05-17,2,0,1
2019-05-18,0,0,0
2019-05-19,1,0,2
2019-05-20,4,0,4
2019-05-21,3,0,1
2019-05-22,2,0,1
2019-05-23,3,0,3
2019-05-24,2,0,11
2019-05-25,0,0,2
2019-05-26,0,0,0
2019-05-27,0,0,0
2019-05-28,1,0,2
2019-05-29,7,0,6
2019-05-30,7,0,8
2019-05-31,1,0,4
2019-06-01,1,0,1
2019-06-02,2,0,0
2019-06-03,2,0,3
2019-06-04,4,0,3
2019-06-05,0,0,5
2019-06-06,1,0,7
2019-06-07,1,0,3
2019-06-08,0,0,2
2019-06-09,0,0,2
2019-06-10,2,0,2
2019-06-11,7,0,4
2019-06-12,3,0,4
2019-06-13,1,0,3
2019-06-14,0,0,3
2019-06-15,1,0,1
2019-06-16,0,0,0
2019-06-17,0,0,0
2019-06-18,0,0,2
2019-06-19,4,0,1
2019-06-20,6,0,3
2019-06-21,2,0,3
2019-06-22,0,0,1
2019-06-23,3,0,2
2019-06-24,1,0,2
2019-06-25,1,0,5
2019-06-26,3,0,4
2019-06-27,2,0,4
2019-06-28,0,0,2
2019-06-29,0,1,1
2019-06-30,4,0,0
2019-07-01,3,1,0
2019-07-02,1,0,3
2019-07-03,0,0,1
2019-07-04,1,0,3
2019-07-05,0,0,1
2019-07-06,2,0,0
2019-07-07,0,0,0
2019-07-08,1,0,1
2019-07-09,1,0,2
2019-07-10,1,0,3
2019-07-11,2,0,6
2019-07-12,0,1,4
2019-07-13,0,0,0
2019-07-14,1,0,0
2019-07-15,0,0,4
2019-07-16,0,0,2
2019-07-17,5,0,6
2019-07-18,0,0,1
2019-07-19,7,0,0
2019-07-20,0,0,2
2019-07-21,4,0,0
2019-07-22,8,0,3
2019-07-23,3,1,5
2019-07-24,1,3,3
2019-07-25,2,0,5
2019-07-26,0,4,8
2019-07-27,2,1,0
