,scala/scala,apache/groovy,jetbrains/kotlin
2012-04-11,6,1,25
2012-04-12,28,0,16
2012-04-13,38,0,63
2012-04-14,42,0,7
2012-04-15,14,3,3
2012-04-16,8,8,14
2012-04-17,8,2,15
2012-04-18,3,1,13
2012-04-19,3,0,59
2012-04-20,6,1,37
2012-04-21,1,1,3
2012-04-22,5,1,3
2012-04-23,20,0,10
2012-04-24,9,2,19
2012-04-25,19,0,21
2012-04-26,11,1,10
2012-04-27,10,0,22
2012-04-28,7,0,20
2012-04-29,2,0,5
2012-04-30,10,2,23
2012-05-01,9,0,20
2012-05-02,39,3,20
2012-05-03,15,0,38
2012-05-04,17,2,44
2012-05-05,13,1,13
2012-05-06,9,0,6
2012-05-07,22,2,15
2012-05-08,27,0,7
2012-05-09,12,6,2
2012-05-10,23,0,12
2012-05-11,16,7,33
2012-05-12,14,2,14
2012-05-13,6,0,1
2012-05-14,14,4,1
2012-05-15,12,2,21
2012-05-16,12,1,11
2012-05-17,9,0,2
2012-05-18,19,10,18
2012-05-19,10,1,2
2012-05-20,5,0,0
2012-05-21,9,13,16
2012-05-22,20,9,28
2012-05-23,20,3,25
2012-05-24,12,18,17
2012-05-25,14,12,21
2012-05-26,10,3,3
2012-05-27,3,13,1
2012-05-28,8,1,36
2012-05-29,0,7,19
2012-05-30,5,5,32
2012-05-31,2,1,42
2012-06-01,15,5,42
2012-06-02,4,0,10
2012-06-03,13,0,0
2012-06-04,2,3,24
2012-06-05,4,0,45
2012-06-06,11,2,14
2012-06-07,5,0,33
2012-06-08,51,4,41
2012-06-09,14,0,63
2012-06-10,3,7,0
2012-06-11,6,10,0
2012-06-12,2,6,6
2012-06-13,15,1,37
2012-06-14,14,3,36
2012-06-15,13,0,55
2012-06-16,0,2,57
2012-06-17,5,0,7
2012-06-18,19,8,17
2012-06-19,19,12,28
2012-06-20,3,8,22
2012-06-21,7,0,9
2012-06-22,5,4,16
2012-06-23,4,0,3
2012-06-24,10,0,0
2012-06-25,6,5,20
2012-06-26,19,0,48
2012-06-27,22,0,7
2012-06-28,8,1,27
2012-06-29,2,0,7
2012-06-30,3,0,1
2012-07-01,6,0,0
2012-07-02,23,1,16
2012-07-03,7,0,46
2012-07-04,8,2,23
2012-07-05,14,8,29
2012-07-06,23,3,5
2012-07-07,7,0,35
2012-07-08,6,0,0
2012-07-09,8,4,31
2012-07-10,10,7,35
2012-07-11,20,8,25
2012-07-12,15,11,4
2012-07-13,17,20,10
2012-07-14,19,1,4
2012-07-15,1,0,1
2012-07-16,31,3,5
2012-07-17,19,4,0
2012-07-18,23,5,21
2012-07-19,28,6,47
2012-07-20,30,8,94
2012-07-21,13,0,3
2012-07-22,7,0,5
2012-07-23,11,3,53
2012-07-24,15,7,11
2012-07-25,16,4,33
2012-07-26,8,3,23
2012-07-27,13,0,18
2012-07-28,6,4,4
2012-07-29,14,0,3
2012-07-30,18,3,13
2012-07-31,12,0,36
2012-08-01,3,0,17
2012-08-02,19,0,15
2012-08-03,5,3,10
2012-08-04,15,0,15
2012-08-05,6,0,0
2012-08-06,24,0,28
2012-08-07,22,1,9
2012-08-08,29,0,20
2012-08-09,19,0,29
2012-08-10,14,0,7
2012-08-11,10,0,0
2012-08-12,7,0,0
2012-08-13,12,1,5
2012-08-14,11,3,76
2012-08-15,10,1,18
2012-08-16,15,0,37
2012-08-17,12,0,33
2012-08-18,8,0,0
2012-08-19,6,2,0
2012-08-20,48,1,8
2012-08-21,10,4,31
2012-08-22,8,5,26
2012-08-23,16,0,34
2012-08-24,7,0,24
2012-08-25,4,0,0
2012-08-26,1,0,0
2012-08-27,13,1,24
2012-08-28,10,2,20
2012-08-29,14,9,27
2012-08-30,11,4,34
2012-08-31,16,2,24
2012-09-01,13,0,0
2012-09-02,13,0,0
2012-09-03,2,3,1
2012-09-04,24,1,11
2012-09-05,5,4,57
2012-09-06,14,5,12
2012-09-07,6,4,43
2012-09-08,4,0,1
2012-09-09,7,0,0
2012-09-10,11,1,10
2012-09-11,16,2,16
2012-09-12,17,3,13
2012-09-13,15,6,85
2012-09-14,31,3,19
2012-09-15,5,0,7
2012-09-16,11,0,2
2012-09-17,25,4,33
2012-09-18,23,6,33
2012-09-19,25,0,19
2012-09-20,32,5,39
2012-09-21,12,3,15
2012-09-22,5,0,1
2012-09-23,2,0,13
2012-09-24,5,0,8
2012-09-25,14,2,4
2012-09-26,38,1,12
2012-09-27,32,0,27
2012-09-28,16,2,6
2012-09-29,13,1,0
2012-09-30,6,1,6
2012-10-01,9,0,11
2012-10-02,18,3,2
2012-10-03,24,0,24
2012-10-04,22,1,6
2012-10-05,10,0,17
2012-10-06,5,2,23
2012-10-07,9,0,0
2012-10-08,13,1,29
2012-10-09,14,2,7
2012-10-10,13,1,6
2012-10-11,30,0,4
2012-10-12,3,2,2
2012-10-13,3,0,0
2012-10-14,1,0,3
2012-10-15,4,0,28
2012-10-16,2,1,22
2012-10-17,2,0,20
2012-10-18,10,0,12
2012-10-19,9,0,16
2012-10-20,0,0,2
2012-10-21,5,0,0
2012-10-22,7,1,2
2012-10-23,14,4,9
2012-10-24,3,2,4
2012-10-25,0,3,37
2012-10-26,4,0,2
2012-10-27,0,0,0
2012-10-28,3,0,0
2012-10-29,3,0,25
2012-10-30,8,3,20
2012-10-31,17,0,32
2012-11-01,13,0,5
2012-11-02,19,2,3
2012-11-03,14,1,0
2012-11-04,11,0,0
2012-11-05,5,1,0
2012-11-06,8,1,24
2012-11-07,5,5,44
2012-11-08,6,0,13
2012-11-09,17,4,19
2012-11-10,7,0,0
2012-11-11,1,1,0
2012-11-12,4,3,26
2012-11-13,10,4,20
2012-11-14,16,2,6
2012-11-15,11,4,1
2012-11-16,14,10,40
2012-11-17,4,1,1
2012-11-18,5,2,1
2012-11-19,19,0,7
2012-11-20,5,16,37
2012-11-21,16,11,42
2012-11-22,1,20,11
2012-11-23,2,5,6
2012-11-24,7,0,15
2012-11-25,9,0,0
2012-11-26,8,5,9
2012-11-27,5,8,15
2012-11-28,5,6,29
2012-11-29,3,2,2
2012-11-30,1,5,0
2012-12-01,2,0,0
2012-12-02,8,2,0
2012-12-03,5,1,11
2012-12-04,11,6,5
2012-12-05,16,2,5
2012-12-06,26,3,2
2012-12-07,14,8,24
2012-12-08,5,1,0
2012-12-09,3,0,0
2012-12-10,24,0,13
2012-12-11,14,7,1
2012-12-12,14,0,1
2012-12-13,9,1,9
2012-12-14,6,6,14
2012-12-15,1,3,0
2012-12-16,3,3,0
2012-12-17,5,16,29
2012-12-18,4,16,39
2012-12-19,11,7,0
2012-12-20,19,12,12
2012-12-21,4,3,0
2012-12-22,2,0,0
2012-12-23,4,2,0
2012-12-24,6,0,0
2012-12-25,8,1,16
2012-12-26,5,0,10
2012-12-27,17,0,59
2012-12-28,9,0,10
2012-12-29,14,0,6
2012-12-30,0,4,0
2012-12-31,9,5,0
2013-01-01,0,3,0
2013-01-02,1,8,0
2013-01-03,3,0,0
2013-01-04,17,9,0
2013-01-05,3,0,0
2013-01-06,7,2,0
2013-01-07,5,6,0
2013-01-08,9,8,0
2013-01-09,34,6,4
2013-01-10,4,2,5
2013-01-11,7,1,43
2013-01-12,10,0,1
2013-01-13,6,1,0
2013-01-14,24,2,68
2013-01-15,16,9,30
2013-01-16,14,7,30
2013-01-17,18,17,9
2013-01-18,2,8,4
2013-01-19,7,0,1
2013-01-20,6,5,1
2013-01-21,4,9,17
2013-01-22,7,1,8
2013-01-23,4,4,32
2013-01-24,9,4,10
2013-01-25,28,4,20
2013-01-26,39,1,0
2013-01-27,6,1,0
2013-01-28,11,8,18
2013-01-29,17,2,43
2013-01-30,26,4,22
2013-01-31,30,0,18
2013-02-01,25,5,1
2013-02-02,28,1,0
2013-02-03,11,6,0
2013-02-04,13,7,40
2013-02-05,20,5,16
2013-02-06,10,4,17
2013-02-07,12,2,21
2013-02-08,26,2,53
2013-02-09,4,0,0
2013-02-10,20,1,19
2013-02-11,25,4,25
2013-02-12,7,4,12
2013-02-13,20,4,57
2013-02-14,4,2,0
2013-02-15,2,4,4
2013-02-16,4,0,0
2013-02-17,2,0,0
2013-02-18,2,1,17
2013-02-19,28,3,27
2013-02-20,7,1,12
2013-02-21,12,0,12
2013-02-22,15,1,10
2013-02-23,8,1,1
2013-02-24,11,0,5
2013-02-25,11,0,9
2013-02-26,16,1,6
2013-02-27,9,0,6
2013-02-28,3,0,3
2013-03-01,8,3,2
2013-03-02,13,4,4
2013-03-03,4,2,0
2013-03-04,11,0,11
2013-03-05,22,2,12
2013-03-06,10,4,22
2013-03-07,1,0,13
2013-03-08,8,0,1
2013-03-09,18,0,1
2013-03-10,7,0,0
2013-03-11,5,1,4
2013-03-12,22,1,33
2013-03-13,26,6,6
2013-03-14,2,1,52
2013-03-15,6,2,15
2013-03-16,7,0,0
2013-03-17,0,2,0
2013-03-18,6,0,8
2013-03-19,2,1,20
2013-03-20,9,5,20
2013-03-21,3,4,3
2013-03-22,9,2,37
2013-03-23,15,2,0
2013-03-24,3,3,0
2013-03-25,22,0,4
2013-03-26,14,1,18
2013-03-27,13,0,50
2013-03-28,3,4,13
2013-03-29,12,3,19
2013-03-30,2,2,3
2013-03-31,0,2,0
2013-04-01,4,0,9
2013-04-02,19,2,14
2013-04-03,20,2,11
2013-04-04,9,3,10
2013-04-05,6,6,0
2013-04-06,5,4,0
2013-04-07,2,0,0
2013-04-08,6,9,1
2013-04-09,11,3,15
2013-04-10,5,10,16
2013-04-11,0,8,19
2013-04-12,1,5,22
2013-04-13,1,2,0
2013-04-14,2,1,0
2013-04-15,4,1,0
2013-04-16,5,5,1
2013-04-17,5,3,38
2013-04-18,5,3,23
2013-04-19,7,0,2
2013-04-20,8,0,0
2013-04-21,30,0,0
2013-04-22,8,0,32
2013-04-23,12,0,2
2013-04-24,20,1,10
2013-04-25,15,6,4
2013-04-26,19,2,20
2013-04-27,13,0,0
2013-04-28,3,2,0
2013-04-29,6,4,16
2013-04-30,21,3,25
2013-05-01,1,0,9
2013-05-02,4,54,0
2013-05-03,6,2,0
2013-05-04,3,1,0
2013-05-05,1,0,0
2013-05-06,1,1,4
2013-05-07,4,2,12
2013-05-08,2,0,2
2013-05-09,5,4,1
2013-05-10,10,0,0
2013-05-11,26,3,0
2013-05-12,15,4,0
2013-05-13,3,2,108
2013-05-14,2,0,11
2013-05-15,13,3,44
2013-05-16,13,8,1
2013-05-17,41,0,1
2013-05-18,4,11,0
2013-05-19,6,4,0
2013-05-20,26,6,18
2013-05-21,5,13,14
2013-05-22,3,17,4
2013-05-23,12,7,0
2013-05-24,7,1,0
2013-05-25,2,3,0
2013-05-26,8,0,0
2013-05-27,26,7,4
2013-05-28,12,7,17
2013-05-29,7,5,23
2013-05-30,5,1,66
2013-05-31,14,5,9
2013-06-01,2,0,0
2013-06-02,4,0,0
2013-06-03,2,5,5
2013-06-04,15,1,9
2013-06-05,7,6,17
2013-06-06,8,0,11
2013-06-07,5,2,18
2013-06-08,8,2,0
2013-06-09,14,1,1
2013-06-10,4,7,13
2013-06-11,0,8,15
2013-06-12,3,4,0
2013-06-13,5,1,11
2013-06-14,1,0,3
2013-06-15,2,0,2
2013-06-16,4,2,0
2013-06-17,2,4,10
2013-06-18,4,0,5
2013-06-19,10,2,1
2013-06-20,6,0,22
2013-06-21,3,4,16
2013-06-22,1,0,0
2013-06-23,7,2,0
2013-06-24,5,5,0
2013-06-25,5,4,41
2013-06-26,11,1,1
2013-06-27,13,1,19
2013-06-28,6,1,1
2013-06-29,1,1,0
2013-06-30,1,8,0
2013-07-01,9,5,1
2013-07-02,2,4,6
2013-07-03,2,1,1
2013-07-04,5,14,10
2013-07-05,7,0,13
2013-07-06,5,2,3
2013-07-07,1,5,2
2013-07-08,11,8,2
2013-07-09,4,4,4
2013-07-10,13,1,5
2013-07-11,4,0,1
2013-07-12,13,1,29
2013-07-13,1,1,1
2013-07-14,2,5,0
2013-07-15,0,6,4
2013-07-16,12,11,3
2013-07-17,4,3,0
2013-07-18,2,8,4
2013-07-19,3,8,4
2013-07-20,5,2,0
2013-07-21,0,2,3
2013-07-22,1,3,1
2013-07-23,4,2,33
2013-07-24,5,8,2
2013-07-25,3,9,10
2013-07-26,0,9,29
2013-07-27,12,1,0
2013-07-28,17,1,0
2013-07-29,8,13,10
2013-07-30,5,8,3
2013-07-31,5,7,8
2013-08-01,3,5,3
2013-08-02,1,12,4
2013-08-03,0,3,0
2013-08-04,0,1,0
2013-08-05,0,3,1
2013-08-06,6,6,2
2013-08-07,0,4,14
2013-08-08,21,7,10
2013-08-09,2,13,42
2013-08-10,5,2,0
2013-08-11,1,4,0
2013-08-12,9,5,6
2013-08-13,10,2,13
2013-08-14,12,2,13
2013-08-15,17,1,3
2013-08-16,26,0,3
2013-08-17,34,0,0
2013-08-18,12,0,1
2013-08-19,9,2,11
2013-08-20,6,2,2
2013-08-21,9,16,17
2013-08-22,10,0,7
2013-08-23,7,1,164
2013-08-24,4,2,0
2013-08-25,3,2,0
2013-08-26,3,1,56
2013-08-27,9,2,9
2013-08-28,5,0,12
2013-08-29,16,2,31
2013-08-30,10,0,7
2013-08-31,2,0,0
2013-09-01,0,0,0
2013-09-02,1,0,36
2013-09-03,7,2,66
2013-09-04,11,0,96
2013-09-05,27,3,11
2013-09-06,7,1,18
2013-09-07,2,0,0
2013-09-08,5,3,0
2013-09-09,17,2,0
2013-09-10,9,7,8
2013-09-11,19,0,14
2013-09-12,13,0,13
2013-09-13,6,0,34
2013-09-14,1,5,1
2013-09-15,7,8,0
2013-09-16,6,2,11
2013-09-17,8,0,50
2013-09-18,16,4,36
2013-09-19,10,4,5
2013-09-20,3,12,25
2013-09-21,7,4,0
2013-09-22,2,5,1
2013-09-23,15,6,3
2013-09-24,9,6,48
2013-09-25,2,2,17
2013-09-26,4,80,11
2013-09-27,24,0,7
2013-09-28,1,7,0
2013-09-29,1,4,0
2013-09-30,1,1,39
2013-10-01,3,0,22
2013-10-02,9,3,11
2013-10-03,12,5,41
2013-10-04,5,20,38
2013-10-05,1,1,12
2013-10-06,1,9,37
2013-10-07,2,6,8
2013-10-08,1,1,25
2013-10-09,10,4,6
2013-10-10,1,8,25
2013-10-11,3,8,3
2013-10-12,10,2,8
2013-10-13,4,4,6
2013-10-14,10,8,25
2013-10-15,2,17,16
2013-10-16,2,3,62
2013-10-17,5,8,18
2013-10-18,46,5,3
2013-10-19,6,0,0
2013-10-20,7,0,0
2013-10-21,4,0,16
