,commaai/openpilot,carla-simulator/carla,apolloauto/apollo
2021-09-04,4,0,1.0
2021-09-05,0,0,-0.3999999999999999
2021-09-06,11,0,0.88
2021-09-07,20,0,-0.4639999999999999
2021-09-08,9,0,-0.16160000000000005
2021-09-09,6,6,0.906048
2021-09-10,8,0,0.5354368
2021-09-11,4,0,0.4316774400000001
2021-09-12,8,0,-0.6221189119999999
2021-09-13,6,0,-0.2567687168
2021-09-14,19,0,0.849292288
2021-09-15,9,1,-0.5073133568
2021-09-16,11,20,-0.19128576000000003
2021-09-17,10,0,-0.120489472
2021-09-18,5,0,-0.08792442880000004
2021-09-19,10,0,-0.05790586880000001
2021-09-20,4,2,-0.035761356800000005
2021-09-21,10,0,-0.018370559999999994
2021-09-22,7,0,-0.015155711999999993
2021-09-23,15,0,-0.012798156799999997
2021-09-24,14,0,0.0
2021-09-25,4,0,0.0
2021-09-26,0,0,0.0
2021-09-27,4,0,0.0
2021-09-28,12,3,0.0
2021-09-29,13,0,0.0
2021-09-30,7,0,0.0
2021-10-01,8,0,0.0
2021-10-02,2,0,0.0
2021-10-03,2,0,0.0
2021-10-04,20,1,0.0
2021-10-05,7,5,0.0
2021-10-06,7,0,0.0
2021-10-07,24,0,0.0
2021-10-08,11,0,0.0
2021-10-09,4,0,1.0
2021-10-10,10,0,-0.3999999999999999
2021-10-11,10,1,-0.12
2021-10-12,11,0,0.9359999999999999
2021-10-13,8,0,-0.44159999999999994
2021-10-14,13,0,-0.149952
2021-10-15,11,0,-0.0869632
2021-10-16,9,0,-0.05997056000000004
2021-10-17,2,0,-0.04510771200000001
2021-10-18,15,6,0.9642386432
2021-10-19,10,0,-0.4183705599999999
2021-10-20,12,0,-0.13515571199999998
2021-10-21,12,0,-0.0767981568
2021-10-22,4,0,-0.04160000000000005
2021-10-23,8,0,-0.029952000000000017
2021-10-24,1,0,-0.022963200000000007
2021-10-25,10,0,0.98162944
2021-10-26,13,4,-0.4151557119999999
2021-10-27,11,1,1.8672018432
2021-10-28,14,1,-0.8639999999999999
2021-10-29,18,0,-0.2816
2021-10-30,7,0,-0.157952
2021-10-31,3,0,-0.1061632000000001
2021-11-01,12,0,0.92172544
2021-11-02,11,0,0.5389178880000001
2021-11-03,1,1,-0.5695392767999998
2021-11-04,14,0,0.7856885760000001
2021-11-05,7,17,-0.5311963136
2021-11-06,0,0,-0.19155200000000006
2021-11-07,1,0,-0.11691520000000002
2021-11-08,13,9,0.9170662399999999
2021-11-09,10,11,-0.4634782719999999
2021-11-10,14,3,-0.1709170688
2021-11-11,11,1,0.9048312832000001
2021-11-12,16,0,-0.456755712
2021-11-13,7,0,-0.16275015680000002
2021-11-14,5,0,-0.0869632
2021-11-15,6,3,-0.05997056000000004
2021-11-16,19,0,0.954892288
2021-11-17,29,0,-0.43576135679999994
2021-11-18,22,0,-0.13837055999999998
2021-11-19,15,2,0.9208442880000001
2021-11-20,5,0,0.5456018432
2021-11-21,7,0,-0.5499519999999999
2021-11-22,5,0,3.7930368
2021-11-23,5,0,-1.7239705599999997
2021-11-24,13,0,-0.566707712
2021-11-25,2,0,0.6782866432
2021-11-26,10,0,1.3922662399999999
2021-11-27,3,0,-1.0733342719999999
2021-11-28,6,0,-0.4238066688
2021-11-29,18,0,0.7441196031999999
2021-11-30,11,0,0.426225152
2021-12-01,10,0,0.3459401728
2021-12-02,15,0,3.3517030400000003
2021-12-03,7,0,-1.8774968319999996
2021-12-04,6,0,-0.6586615808
2021-12-05,12,0,-0.37611151360000006
2021-12-06,10,0,-0.2376857600000002
2021-12-07,11,0,-0.17629747200000007
2021-12-08,15,0,-0.1381772288
2021-12-09,11,0,-0.10143610879999997
2021-12-10,2,0,-0.07342100479999997
2021-12-11,8,0,1.9488073728
2021-12-12,5,0,-0.7999999999999998
2021-12-13,7,0,-0.24
2021-12-14,20,0,-0.128
2021-12-15,15,0,-0.0832000000000001
2021-12-16,9,0,-0.059904000000000034
2021-12-17,4,0,5.9540736
2021-12-18,3,0,-2.4367411199999993
2021-12-19,1,0,-0.750311424
2021-12-20,2,0,-0.4095963136
2021-12-21,6,0,-0.24960000000000027
2021-12-22,3,0,-0.1797120000000001
2021-12-23,2,0,-0.13777920000000005
2021-12-24,4,0,2.88977664
2021-12-25,0,0,-1.2909342719999997
2021-12-26,0,0,-0.43678894079999997
2021-12-27,5,0,2.808
2021-12-28,6,0,-0.32479999999999976
2021-12-29,1,0,-0.849856
2021-12-30,0,0,-0.38088960000000005
2021-12-31,1,0,-0.24391168000000013
2022-01-01,5,0,-0.17692313600000006
2022-01-02,8,0,-0.13723607040000002
2022-01-03,11,0,-0.07807487999999999
2022-01-04,40,0,-0.06383769599999997
2022-01-05,13,0,-0.053550182399999986
2022-01-06,8,0,-0.012798156799999997
2022-01-07,8,0,0.0
2022-01-08,2,0,0.0
2022-01-09,2,0,0.0
2022-01-10,16,0,0.0
2022-01-11,7,7,0.0
2022-01-12,11,0,0.0
2022-01-13,13,0,0.0
2022-01-14,22,0,1.0
2022-01-15,3,0,-0.3999999999999999
2022-01-16,2,0,-0.12
2022-01-17,8,0,-0.064
2022-01-18,9,0,-0.04160000000000005
2022-01-19,8,0,-0.029952000000000017
2022-01-20,6,0,-0.022963200000000007
2022-01-21,5,0,-0.018370559999999994
2022-01-22,6,0,-0.015155711999999993
2022-01-23,0,0,-0.012798156799999997
2022-01-24,7,0,0.0
2022-01-25,12,0,0.0
2022-01-26,8,0,0.0
2022-01-27,16,0,0.0
2022-01-28,15,0,0.0
2022-01-29,3,0,0.0
2022-01-30,7,0,0.0
2022-01-31,5,0,0.0
2022-02-01,4,0,0.0
2022-02-02,2,0,0.0
2022-02-03,5,7,0.0
2022-02-04,1,0,0.0
2022-02-05,5,0,0.0
2022-02-06,5,0,0.0
2022-02-07,4,0,0.0
2022-02-08,4,16,0.0
2022-02-09,6,0,0.0
2022-02-10,9,0,0.0
2022-02-11,11,0,0.0
2022-02-12,1,0,0.0
2022-02-13,1,0,0.0
2022-02-14,3,0,1.0
2022-02-15,5,0,-0.3999999999999999
2022-02-16,6,0,-0.12
2022-02-17,4,0,0.9359999999999999
2022-02-18,2,3,2.5584000000000002
2022-02-19,4,0,-1.3499519999999998
2022-02-20,5,0,-0.4469632
2022-02-21,9,0,5.74802944
2022-02-22,10,0,-0.5699077119999996
2022-02-23,13,0,2.3543826432
2022-02-24,4,0,-2.31126016
2022-02-25,3,0,0.07213260799999976
2022-02-26,1,0,-0.9771772928000001
2022-02-27,2,0,1.4775223295999997
2022-02-28,8,0,-1.13995776
2022-03-01,2,0,0.4988718080000001
2022-03-02,8,0,-0.7385346047999999
2022-03-03,5,1,-0.31238236160000005
2022-03-04,1,0,-0.19346718720000003
2022-03-05,3,0,-0.10268211200000005
2022-03-06,1,0,0.9205087232
2022-03-07,9,1,1.5467253760000002
2022-03-08,5,1,-0.9639668735999998
2022-03-09,5,0,1.680844288
2022-03-10,3,15,-0.9823981567999999
2022-03-11,6,0,0.6468479999999999
2022-03-12,2,0,0.38913280000000006
2022-03-13,2,0,4.33250304
2022-03-14,14,0,-1.2958008319999994
2022-03-15,2,0,5.8053640192
2022-03-16,6,2,-2.3738894335999996
2022-03-17,10,0,-1.5952266240000001
2022-03-18,7,0,-0.8262900736000002
2022-03-19,4,0,0.46650572799999956
2022-03-20,3,0,0.20596613119999996
2022-03-21,4,0,0.18235832320000012
2022-03-22,7,0,2.185296384
2022-03-23,6,0,-1.5628587007999997
2022-03-24,3,0,2.3997051903999997
2022-03-25,8,0,-1.4993133567999997
2022-03-26,8,0,0.4439142399999998
2022-03-27,4,0,-0.738345472
2022-03-28,5,2,0.6399859711999999
2022-03-29,2,0,-0.6369215488
2022-03-30,11,0,0.7112451071999999
2022-03-31,6,3,0.41254184960000007
2022-04-01,9,0,-0.6300303359999999
2022-04-02,3,0,-0.2707170304
2022-04-03,1,0,-0.14371891200000003
2022-04-04,6,1,-0.10272071680000006
2022-04-05,19,5,-0.06807091200000001
2022-04-06,12,2,3.9458680832
2022-04-07,13,0,2.3664737280000003
2022-04-08,2,0,-1.1079538687999997
2022-04-09,2,0,-1.1487981567999999
2022-04-10,1,0,-0.5424000000000002
2022-04-11,7,0,-0.35020800000000024
2022-04-12,6,2,0.7467391999999999
2022-04-13,8,1,3.4047129600000003
2022-04-14,6,5,-1.8770682879999996
2022-04-15,7,0,-0.6741860352
2022-04-16,4,0,-0.3639483392
2022-04-17,0,0,-0.2091501568000002
2022-04-18,8,0,-0.14277120000000007
2022-04-19,18,0,0.88977664
2022-04-20,19,1,1.511362048
2022-04-21,8,0,2.0065789952
2022-04-22,8,0,-1.5551926271999998
2022-04-23,2,0,0.47039999999999993
2022-04-24,4,0,4.294848
2022-04-25,7,0,0.6723328000000004
2022-04-26,9,16,-0.018152959999999663
2022-04-27,13,1,3.357613568
2022-04-28,7,0,-0.7681732607999998
2022-04-29,16,1,-1.8965866496000001
2022-04-30,4,0,-0.9046370304000002
2022-05-01,0,0,-0.5718021120000003
2022-05-02,9,1,0.5774252031999998
2022-05-03,10,0,0.27908096000000016
2022-05-04,12,1,0.27351490560000014
2022-05-05,6,4,0.2778840064000001
2022-05-06,15,0,-0.7199022079999999
2022-05-07,5,0,-0.28114831360000003
2022-05-08,1,0,-0.15851520000000008
2022-05-09,9,1,0.8871142399999999
2022-05-10,6,0,3.513558528
2022-05-11,5,0,1.2107123712000003
2022-05-12,20,0,-1.7903244287999998
2022-05-13,16,3,-0.6855538688
2022-05-14,5,0,-0.4011501568000002
2022-05-15,4,0,-0.26757120000000023
2022-05-16,20,1,0.79992064
2022-05-17,14,3,0.4424724480000001
