,freecodecamp/freecodecamp,exercism/exercism,ossu/computer-science
2022-09-13,3,0,0
2022-09-14,1,0,0
2022-09-15,8,0,0
2022-09-16,5,0,2
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,3,0,0
2022-09-20,6,0,0
2022-09-21,7,0,0
2022-09-22,6,0,0
2022-09-23,4,0,0
2022-09-24,0,0,0
2022-09-25,1,0,1
2022-09-26,3,0,0
2022-09-27,8,0,0
2022-09-28,8,0,0
2022-09-29,8,0,0
2022-09-30,7,0,0
2022-10-01,6,0,0
2022-10-02,1,0,1
2022-10-03,7,0,0
2022-10-04,12,0,0
2022-10-05,12,0,0
2022-10-06,8,0,0
2022-10-07,6,0,0
2022-10-08,3,0,0
2022-10-09,3,0,0
2022-10-10,11,0,0
2022-10-11,17,0,0
2022-10-12,12,0,1
2022-10-13,4,0,1
2022-10-14,7,0,0
2022-10-15,4,0,0
2022-10-16,0,0,0
2022-10-17,8,0,0
2022-10-18,7,0,0
2022-10-19,12,0,0
2022-10-20,6,0,0
2022-10-21,12,0,0
2022-10-22,3,0,0
2022-10-23,2,0,0
2022-10-24,7,0,0
2022-10-25,4,0,0
2022-10-26,10,1,1
2022-10-27,11,0,0
2022-10-28,5,0,0
2022-10-29,8,0,0
2022-10-30,0,1,0
2022-10-31,8,0,0
2022-11-01,6,0,0
2022-11-02,3,0,0
2022-11-03,4,0,0
2022-11-04,8,0,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,5,0,0
2022-11-08,5,0,0
2022-11-09,7,0,0
2022-11-10,5,0,0
2022-11-11,8,0,0
2022-11-12,0,0,0
2022-11-13,0,0,2
2022-11-14,9,0,0
2022-11-15,3,0,0
2022-11-16,3,0,0
2022-11-17,3,0,0
2022-11-18,2,0,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,2,0,0
2022-11-22,3,0,1
2022-11-23,1,1,0
2022-11-24,3,0,0
2022-11-25,9,0,0
2022-11-26,0,0,0
2022-11-27,1,0,2
2022-11-28,5,0,0
2022-11-29,1,0,0
2022-11-30,5,0,4
2022-12-01,3,0,0
2022-12-02,9,1,0
2022-12-03,0,0,2
2022-12-04,0,0,0
2022-12-05,7,0,0
2022-12-06,7,0,0
2022-12-07,4,0,0
2022-12-08,3,0,2
2022-12-09,7,0,0
2022-12-10,2,0,0
2022-12-11,1,0,0
2022-12-12,10,0,0
2022-12-13,2,1,1
2022-12-14,8,0,0
2022-12-15,4,0,0
2022-12-16,7,0,0
2022-12-17,0,0,0
2022-12-18,0,0,4
2022-12-19,7,0,2
2022-12-20,8,0,0
2022-12-21,4,0,0
2022-12-22,7,0,0
2022-12-23,6,0,0
2022-12-24,1,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,1,0,0
2022-12-29,0,0,0
2022-12-30,1,0,0
2022-12-31,3,0,0
2023-01-01,0,0,0
2023-01-02,12,0,0
2023-01-03,10,0,0
2023-01-04,7,0,0
2023-01-05,5,0,0
2023-01-06,7,0,0
2023-01-07,6,0,0
2023-01-08,3,0,0
2023-01-09,6,0,0
2023-01-10,9,0,0
2023-01-11,8,0,2
2023-01-12,3,0,0
2023-01-13,3,0,0
2023-01-14,0,0,0
2023-01-15,0,0,2
2023-01-16,2,0,0
2023-01-17,6,0,0
2023-01-18,2,0,0
2023-01-19,8,0,0
2023-01-20,3,0,0
2023-01-21,1,0,2
2023-01-22,0,0,0
2023-01-23,11,0,0
2023-01-24,1,0,0
2023-01-25,10,0,0
2023-01-26,7,0,0
2023-01-27,6,0,0
2023-01-28,0,0,0
2023-01-29,1,0,0
2023-01-30,7,0,0
2023-01-31,3,0,0
2023-02-01,6,0,0
2023-02-02,7,0,0
2023-02-03,2,0,0
2023-02-04,0,0,0
2023-02-05,1,0,0
2023-02-06,2,0,1
2023-02-07,2,0,0
2023-02-08,8,0,0
2023-02-09,6,0,0
2023-02-10,11,1,0
2023-02-11,4,0,0
2023-02-12,0,0,0
2023-02-13,7,0,0
2023-02-14,3,0,0
2023-02-15,0,0,0
2023-02-16,7,0,0
2023-02-17,5,0,0
2023-02-18,15,0,0
2023-02-19,3,0,0
2023-02-20,6,0,0
2023-02-21,10,0,0
2023-02-22,4,0,0
2023-02-23,8,0,0
2023-02-24,9,0,0
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,5,0,0
2023-02-28,14,0,0
2023-03-01,2,0,0
2023-03-02,4,0,0
2023-03-03,2,0,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,11,0,0
2023-03-07,8,0,0
2023-03-08,8,0,0
2023-03-09,6,0,0
2023-03-10,12,0,0
2023-03-11,3,0,0
2023-03-12,1,0,0
2023-03-13,8,0,0
2023-03-14,6,0,0
2023-03-15,6,0,0
2023-03-16,9,0,0
2023-03-17,5,0,0
2023-03-18,5,0,0
2023-03-19,1,0,0
2023-03-20,5,0,0
2023-03-21,14,0,0
2023-03-22,3,0,0
2023-03-23,9,0,0
2023-03-24,13,0,0
2023-03-25,2,0,0
