,bitcoin/bitcoin,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system
2023-07-19,21,0.0,0
2023-07-20,16,1.0,0
2023-07-21,11,-0.19999999999999996,0
2023-07-22,6,-0.08000000000000007,0
2023-07-23,1,-0.048000000000000036,0
2023-07-24,19,-0.03360000000000001,0
2023-07-25,26,-0.025536000000000014,0
2023-07-26,17,-0.02042880000000001,0
2023-07-27,10,3.98307328,0
2023-07-28,3,1.1856122880000002,0
2023-07-29,0,-0.7324693504000002,0
2023-07-30,3,-0.3520000000000003,0
2023-07-31,7,0.7695999999999998,0
2023-08-01,14,3.630656,0
2023-08-02,7,-1.0127872,0
2023-08-03,25,-0.4765644800000004,0
2023-08-04,6,-0.3170042879999999,0
2023-08-05,15,-0.2385888255999998,0
2023-08-06,1,-0.1475115008,0
2023-08-07,14,-0.09864192000000005,0
2023-08-08,7,24.917905408,0
2023-08-09,8,5.929979801600001,0
2023-08-10,7,5.750122598399999,0
2023-08-11,3,-3.080000000000002,0
2023-08-12,0,-2.368000000000001,0
2023-08-13,1,-1.568000000000001,0
2023-08-14,15,-1.1756160000000007,0
2023-08-15,9,-0.9368448000000005,0
2023-08-16,6,-0.7757107199999987,0
2023-08-17,26,-0.6596945919999985,4
2023-08-18,14,-0.297966694399999,0
2023-08-19,0,-0.1390812159999996,0
2023-08-20,0,-0.012469350399999964,1
2023-08-21,5,0.0,0
2023-08-22,17,0.0,0
2023-08-23,30,15.0,0
2023-08-24,30,-2.999999999999999,0
2023-08-25,11,8.799999999999999,0
2023-08-26,2,-2.72,0
2023-08-27,8,-1.304000000000001,0
2023-08-28,8,-0.8630400000000006,0
2023-08-29,9,-0.6424320000000003,0
2023-08-30,10,-0.5092608000000003,0
2023-08-31,7,-0.4201036799999992,0
2023-09-01,8,8.643692544,0
2023-09-02,1,3.056122880000001,0
2023-09-03,1,-1.844693504,0
2023-09-04,5,-0.8320000000000007,0
2023-09-05,14,2.4576,0
2023-09-06,9,0.0021759999999999557,0
2023-09-07,19,5.2484608,0
2023-09-08,7,-1.67848448,0
2023-09-09,2,-0.842923008,0
2023-09-10,5,-0.5823707135999996,0
2023-09-11,3,-0.3507691519999999,0
2023-09-12,23,22.77557504,0
2023-09-13,28,-4.7826626559999985,0
2023-09-14,21,6.006643916799998,0
2023-09-15,16,-2.8027956223999997,0
2023-09-16,2,7.5123838975999995,0
2023-09-17,0,-2.7713280000000005,0
2023-09-18,1,-1.458662400000001,0
2023-09-19,16,-0.025602560000000718,0
2023-09-20,16,-0.9967477759999988,0
2023-09-21,6,6.2679671808,0
2023-09-22,3,-1.7469608959999994,0
2023-09-23,2,-0.8456952832000003,0
