,microsoft/vscode,neovim/neovim,pulsar-edit/pulsar
2016-07-25,49,2,24
2016-07-26,25,0,14
2016-07-27,29,2,33
2016-07-28,19,3,35
2016-07-29,3,3,34
2016-07-30,2,14,1
2016-07-31,0,2,1
2016-08-01,0,10,12
2016-08-02,20,0,41
2016-08-03,41,1,19
2016-08-04,34,6,15
2016-08-05,16,5,21
2016-08-06,2,2,10
2016-08-07,0,17,4
2016-08-08,44,7,33
2016-08-09,59,6,25
2016-08-10,12,5,15
2016-08-11,7,9,45
2016-08-12,53,0,43
2016-08-13,0,2,8
2016-08-14,2,13,1
2016-08-15,28,3,22
2016-08-16,48,0,23
2016-08-17,65,11,20
2016-08-18,56,4,8
2016-08-19,35,1,19
2016-08-20,9,4,1
2016-08-21,4,5,0
2016-08-22,49,10,1
2016-08-23,92,0,17
2016-08-24,51,8,0
2016-08-25,55,3,14
2016-08-26,64,16,14
2016-08-27,6,0,2
2016-08-28,11,0,6
2016-08-29,86,7,21
2016-08-30,16,0,21
2016-08-31,75,14,5
2016-09-01,47,2,9
2016-09-02,19,2,4
2016-09-03,12,5,0
2016-09-04,4,7,0
2016-09-05,57,6,0
2016-09-06,40,2,4
2016-09-07,60,0,25
2016-09-08,43,2,11
2016-09-09,36,0,15
2016-09-10,13,6,2
2016-09-11,18,5,4
2016-09-12,53,4,13
2016-09-13,43,7,5
2016-09-14,42,1,7
2016-09-15,54,8,13
2016-09-16,33,2,8
2016-09-17,3,3,3
2016-09-18,4,6,0
2016-09-19,35,2,3
2016-09-20,56,5,16
2016-09-21,71,5,17
2016-09-22,58,4,26
2016-09-23,74,5,1
2016-09-24,3,10,4
2016-09-25,5,7,0
2016-09-26,70,0,3
2016-09-27,41,8,2
2016-09-28,75,7,1
2016-09-29,48,1,37
2016-09-30,12,3,3
2016-10-01,3,4,2
2016-10-02,1,2,0
2016-10-03,28,0,2
2016-10-04,41,7,3
2016-10-05,38,0,3
2016-10-06,35,3,12
2016-10-07,41,9,35
2016-10-08,22,4,5
2016-10-09,3,3,0
2016-10-10,23,4,29
2016-10-11,18,4,14
2016-10-12,14,18,18
2016-10-13,44,4,0
2016-10-14,55,1,33
2016-10-15,1,14,8
2016-10-16,7,5,4
2016-10-17,54,1,18
2016-10-18,58,5,4
2016-10-19,50,6,5
2016-10-20,76,5,2
2016-10-21,150,3,5
2016-10-22,9,15,1
2016-10-23,17,1,0
2016-10-24,91,8,2
2016-10-25,51,6,7
2016-10-26,61,5,8
2016-10-27,36,0,10
2016-10-28,43,5,8
2016-10-29,6,3,10
2016-10-30,5,6,7
2016-10-31,46,4,9
2016-11-01,60,0,15
2016-11-02,38,9,6
2016-11-03,63,3,7
2016-11-04,52,1,6
2016-11-05,5,6,2
2016-11-06,2,0,3
2016-11-07,53,0,6
2016-11-08,50,13,1
2016-11-09,54,2,1
2016-11-10,58,2,6
2016-11-11,60,3,17
2016-11-12,2,4,2
2016-11-13,0,1,1
2016-11-14,39,4,4
2016-11-15,44,12,10
2016-11-16,38,15,15
2016-11-17,45,4,7
2016-11-18,46,1,5
2016-11-19,4,2,2
2016-11-20,1,2,3
2016-11-21,45,4,15
2016-11-22,51,0,1
2016-11-23,63,4,9
2016-11-24,37,10,9
2016-11-25,37,4,0
2016-11-26,3,4,0
2016-11-27,8,2,10
2016-11-28,35,1,17
2016-11-29,72,10,6
2016-11-30,62,1,24
2016-12-01,54,14,13
2016-12-02,73,1,6
2016-12-03,21,7,0
2016-12-04,11,5,2
2016-12-05,94,1,8
2016-12-06,28,3,11
2016-12-07,87,17,5
2016-12-08,50,5,5
2016-12-09,28,8,8
2016-12-10,11,8,5
2016-12-11,3,6,1
2016-12-12,52,39,10
2016-12-13,48,3,12
2016-12-14,33,5,15
2016-12-15,16,3,12
2016-12-16,25,3,5
2016-12-17,11,0,2
2016-12-18,3,1,0
2016-12-19,39,1,0
2016-12-20,39,0,8
2016-12-21,42,0,2
2016-12-22,10,5,9
2016-12-23,26,6,4
2016-12-24,2,4,0
2016-12-25,0,0,0
2016-12-26,1,4,2
2016-12-27,17,38,1
2016-12-28,21,17,7
2016-12-29,18,1,3
2016-12-30,25,0,1
2016-12-31,13,8,11
2017-01-01,3,6,2
2017-01-02,5,13,7
2017-01-03,29,35,5
2017-01-04,41,23,9
2017-01-05,30,9,7
2017-01-06,39,10,5
2017-01-07,14,16,9
2017-01-08,6,15,1
2017-01-09,63,6,9
2017-01-10,47,21,12
2017-01-11,61,6,10
2017-01-12,63,6,10
