,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2019-05-16,0,1,13
2019-05-17,1,2,10
2019-05-18,0,0,3
2019-05-19,0,0,2
2019-05-20,4,1,20
2019-05-21,8,6,22
2019-05-22,12,9,8
2019-05-23,2,1,8
2019-05-24,4,0,9
2019-05-25,0,0,3
2019-05-26,1,0,2
2019-05-27,0,0,2
2019-05-28,0,0,13
2019-05-29,5,0,15
2019-05-30,1,0,31
2019-05-31,1,3,14
2019-06-01,0,0,8
2019-06-02,0,0,1
2019-06-03,7,5,25
2019-06-04,0,2,23
2019-06-05,0,3,14
2019-06-06,0,4,23
2019-06-07,0,2,19
2019-06-08,0,0,13
2019-06-09,0,0,6
2019-06-10,7,1,19
2019-06-11,18,0,18
2019-06-12,10,1,15
2019-06-13,1,1,16
2019-06-14,0,0,16
2019-06-15,0,0,7
2019-06-16,0,0,4
2019-06-17,0,2,5
2019-06-18,0,2,16
2019-06-19,1,0,23
2019-06-20,1,1,19
2019-06-21,4,5,11
2019-06-22,0,0,7
2019-06-23,1,0,4
2019-06-24,1,3,9
2019-06-25,3,8,13
2019-06-26,5,8,14
2019-06-27,5,6,17
2019-06-28,5,9,26
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,6,1,8
2019-07-02,5,0,5
2019-07-03,3,5,13
2019-07-04,0,2,2
2019-07-05,3,0,1
2019-07-06,1,0,0
2019-07-07,0,0,0
2019-07-08,2,2,17
2019-07-09,7,5,16
2019-07-10,8,11,13
2019-07-11,1,1,15
2019-07-12,3,0,16
2019-07-13,0,0,5
2019-07-14,0,0,0
2019-07-15,1,1,7
2019-07-16,0,13,13
2019-07-17,3,11,27
2019-07-18,3,4,14
2019-07-19,1,5,23
2019-07-20,0,1,3
2019-07-21,0,0,6
2019-07-22,5,4,19
2019-07-23,6,0,16
2019-07-24,10,1,17
2019-07-25,6,4,11
2019-07-26,4,4,15
2019-07-27,0,0,9
2019-07-28,0,2,2
2019-07-29,1,1,11
2019-07-30,4,2,16
2019-07-31,1,3,15
2019-08-01,0,4,19
2019-08-02,1,9,19
2019-08-03,0,0,5
2019-08-04,0,0,3
2019-08-05,1,2,8
2019-08-06,9,0,25
2019-08-07,13,6,19
2019-08-08,9,2,18
2019-08-09,0,0,22
2019-08-10,0,0,5
2019-08-11,0,0,0
2019-08-12,2,2,13
2019-08-13,4,2,6
2019-08-14,0,5,23
2019-08-15,1,5,30
2019-08-16,2,1,28
2019-08-17,0,0,5
2019-08-18,0,2,3
2019-08-19,1,5,14
2019-08-20,4,4,32
2019-08-21,6,2,20
2019-08-22,3,4,19
2019-08-23,6,3,16
2019-08-24,0,0,3
2019-08-25,0,0,2
2019-08-26,4,1,14
2019-08-27,11,0,17
2019-08-28,3,4,31
2019-08-29,2,3,15
2019-08-30,3,2,15
2019-08-31,0,0,10
2019-09-01,0,0,0
2019-09-02,0,0,13
2019-09-03,2,0,25
2019-09-04,5,1,5
2019-09-05,4,0,21
2019-09-06,0,0,17
2019-09-07,0,0,5
2019-09-08,0,0,0
2019-09-09,1,0,2
2019-09-10,4,5,21
2019-09-11,2,1,21
2019-09-12,3,3,19
2019-09-13,0,3,16
2019-09-14,0,0,10
2019-09-15,0,0,0
2019-09-16,4,0,27
2019-09-17,0,2,12
2019-09-18,0,1,20
2019-09-19,0,3,20
2019-09-20,7,0,13
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,0,0,4
2019-09-24,4,1,25
2019-09-25,4,1,21
2019-09-26,3,0,27
2019-09-27,10,1,23
2019-09-28,0,1,7
2019-09-29,0,0,4
2019-09-30,1,1,18
2019-10-01,0,2,14
2019-10-02,7,6,23
2019-10-03,0,1,9
2019-10-04,2,3,28
2019-10-05,0,0,5
2019-10-06,0,0,2
2019-10-07,6,2,13
2019-10-08,8,5,14
2019-10-09,7,3,23
2019-10-10,21,6,35
2019-10-11,4,0,19
2019-10-12,0,0,0
2019-10-13,0,0,1
2019-10-14,10,2,16
2019-10-15,8,6,26
2019-10-16,1,6,11
2019-10-17,3,2,15
2019-10-18,3,0,24
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,6,2,13
2019-10-22,1,4,11
2019-10-23,0,3,12
