,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2023-06-20,3,0,6
2023-06-21,3,2,1
2023-06-22,1,1,0
2023-06-23,1,4,6
2023-06-24,1,0,0
2023-06-25,0,0,0
2023-06-26,6,2,0
2023-06-27,1,2,15
2023-06-28,6,1,16
2023-06-29,5,1,4
2023-06-30,9,3,0
2023-07-01,0,0,2
2023-07-02,0,0,6
2023-07-03,0,3,1
2023-07-04,0,2,3
2023-07-05,3,0,1
2023-07-06,2,2,1
2023-07-07,4,1,0
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,2,0,3
2023-07-11,1,0,3
2023-07-12,5,4,12
2023-07-13,2,2,4
2023-07-14,1,1,2
2023-07-15,0,0,0
2023-07-16,0,0,1
2023-07-17,4,1,2
2023-07-18,5,1,0
2023-07-19,4,0,5
2023-07-20,2,1,2
2023-07-21,2,1,16
2023-07-22,0,0,1
2023-07-23,0,0,3
2023-07-24,1,2,27
2023-07-25,5,0,11
2023-07-26,3,0,6
2023-07-27,3,1,9
2023-07-28,0,0,3
2023-07-29,0,2,3
2023-07-30,0,0,4
2023-07-31,3,1,13
2023-08-01,2,0,23
2023-08-02,0,3,5
2023-08-03,0,2,3
2023-08-04,5,0,3
2023-08-05,0,0,8
2023-08-06,1,0,1
2023-08-07,5,4,8
2023-08-08,3,1,13
2023-08-09,1,0,10
2023-08-10,4,0,4
2023-08-11,9,0,10
2023-08-12,0,0,2
2023-08-13,0,0,0
2023-08-14,9,4,20
2023-08-15,13,0,9
2023-08-16,5,3,12
2023-08-17,2,4,0
2023-08-18,4,6,1
2023-08-19,0,0,1
2023-08-20,1,1,0
2023-08-21,7,3,2
2023-08-22,9,6,4
2023-08-23,1,2,11
2023-08-24,4,0,3
2023-08-25,12,3,2
2023-08-26,2,0,8
2023-08-27,1,0,7
2023-08-28,28,0,10
2023-08-29,23,1,11
2023-08-30,3,2,6
2023-08-31,6,4,17
2023-09-01,0,0,7
2023-09-02,0,0,3
2023-09-03,0,0,0
2023-09-04,0,0,12
2023-09-05,1,1,8
2023-09-06,2,1,3
2023-09-07,6,0,2
2023-09-08,1,0,3
2023-09-09,0,0,1
2023-09-10,0,0,1
2023-09-11,2,4,7
2023-09-12,3,5,1
2023-09-13,0,2,4
2023-09-14,1,1,1
2023-09-15,4,0,3
2023-09-16,0,0,13
2023-09-17,0,0,17
2023-09-18,0,0,6
2023-09-19,2,1,4
2023-09-20,4,0,3
2023-09-21,3,0,1
2023-09-22,1,1,3
2023-09-23,0,0,6
2023-09-24,0,0,6
2023-09-25,3,0,16
2023-09-26,0,0,16
2023-09-27,3,0,8
2023-09-28,1,0,0
2023-09-29,1,0,1
2023-09-30,0,0,4
2023-10-01,0,0,0
2023-10-02,2,0,2
2023-10-03,2,0,4
2023-10-04,3,0,5
2023-10-05,2,0,10
2023-10-06,2,0,11
2023-10-07,0,0,6
2023-10-08,0,0,3
2023-10-09,1,0,12
2023-10-10,2,0,19
2023-10-11,5,0,15
2023-10-12,0,3,7
2023-10-13,1,0,1
2023-10-14,0,0,2
2023-10-15,0,0,1
2023-10-16,4,3,9
2023-10-17,2,1,17
2023-10-18,3,0,3
2023-10-19,0,0,3
2023-10-20,0,1,2
2023-10-21,0,0,0
2023-10-22,0,0,3
2023-10-23,2,0,16
2023-10-24,4,1,4
2023-10-25,1,0,4
2023-10-26,4,1,8
2023-10-27,5,2,12
2023-10-28,0,0,0
2023-10-29,0,0,0
2023-10-30,1,1,10
2023-10-31,2,1,16
2023-11-01,1,0,24
2023-11-02,2,1,10
2023-11-03,3,0,10
2023-11-04,0,0,1
2023-11-05,0,0,3
2023-11-06,4,0,6
2023-11-07,5,0,0
2023-11-08,1,0,4
2023-11-09,0,4,9
2023-11-10,0,1,22
2023-11-11,0,0,0
2023-11-12,0,0,2
2023-11-13,2,0,10
2023-11-14,3,0,7
2023-11-15,0,0,1
2023-11-16,5,1,2
2023-11-17,0,0,2
2023-11-18,0,0,0
2023-11-19,0,0,0
2023-11-20,4,1,1
2023-11-21,4,1,3
2023-11-22,4,1,2
2023-11-23,0,0,3
2023-11-24,0,1,2
2023-11-25,0,0,1
2023-11-26,0,0,8
2023-11-27,2,0,6
2023-11-28,2,0,0
2023-11-29,4,1,6
2023-11-30,1,0,0
2023-12-01,0,0,12
2023-12-02,0,0,1
2023-12-03,0,0,4
2023-12-04,0,0,5
2023-12-05,4,0,9
2023-12-06,0,2,17
2023-12-07,0,2,13
2023-12-08,0,0,11
2023-12-09,0,0,3
2023-12-10,0,0,0
2023-12-11,1,1,8
2023-12-12,1,0,4
2023-12-13,1,1,7
2023-12-14,3,0,4
2023-12-15,1,0,3
2023-12-16,0,0,2
2023-12-17,0,0,0
2023-12-18,0,0,12
2023-12-19,4,4,11
2023-12-20,0,1,11
2023-12-21,0,0,6
2023-12-22,2,2,15
2023-12-23,0,0,9
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,5,0,7
2023-12-27,0,1,11
2023-12-28,5,0,8
2023-12-29,4,0,1
2023-12-30,0,0,1
2023-12-31,0,0,2
2024-01-01,0,0,7
2024-01-02,3,0,1
2024-01-03,3,0,9
2024-01-04,1,0,3
2024-01-05,4,0,4
2024-01-06,1,0,2
2024-01-07,0,0,4
2024-01-08,1,1,4
2024-01-09,5,0,9
2024-01-10,5,1,8
2024-01-11,4,0,3
2024-01-12,6,1,5
2024-01-13,0,0,0
2024-01-14,0,0,1
2024-01-15,0,1,1
2024-01-16,4,0,2
2024-01-17,2,0,7
2024-01-18,3,0,13
2024-01-19,2,0,5
2024-01-20,0,0,9
2024-01-21,0,0,9
2024-01-22,5,0,7
2024-01-23,3,0,20
2024-01-24,2,0,5
2024-01-25,0,0,13
2024-01-26,0,0,7
2024-01-27,0,0,1
2024-01-28,0,0,0
2024-01-29,1,0,1
2024-01-30,4,0,5
2024-01-31,0,0,0
2024-02-01,2,0,1
2024-02-02,2,0,2
2024-02-03,0,0,0
2024-02-04,0,0,0
2024-02-05,2,0,2
2024-02-06,4,0,4
2024-02-07,0,0,9
2024-02-08,4,0,7
2024-02-09,4,0,0
2024-02-10,0,0,0
2024-02-11,0,0,1
2024-02-12,0,0,1
2024-02-13,1,0,8
2024-02-14,1,0,5
