,rails/rails,sinatra/sinatra,django/django
2023-11-08,24,0,2.0
2023-11-09,16,0,2.0
2023-11-10,14,0,0.0
2023-11-11,10,2,0.0
2023-11-12,5,0,0.0
2023-11-13,7,0,3.0
2023-11-14,15,0,5.0
2023-11-15,5,0,3.0
2023-11-16,8,0,1.0
2023-11-17,13,0,4.0
2023-11-18,3,0,5.0
2023-11-19,8,0,2.0
2023-11-20,13,0,2.0
2023-11-21,3,0,5.0
2023-11-22,25,2,4.0
2023-11-23,9,0,6.0
2023-11-24,16,1,4.0
2023-11-25,6,0,2.0
2023-11-26,3,0,0.0
2023-11-27,10,0,5.0
2023-11-28,13,0,9.0
2023-11-29,7,0,4.0
2023-11-30,18,0,6.0
2023-12-01,5,0,7.0
2023-12-02,14,0,0.0
2023-12-03,7,0,2.0
2023-12-04,6,1,5.0
2023-12-05,15,0,5.0
2023-12-06,4,0,5.0
2023-12-07,6,0,5.0
2023-12-08,13,1,3.0
2023-12-09,5,0,0.0
2023-12-10,2,1,0.0
2023-12-11,21,0,0.0
2023-12-12,9,0,5.0
2023-12-13,9,0,3.0
2023-12-14,14,0,6.0
2023-12-15,1,0,6.0
2023-12-16,7,0,2.0
2023-12-17,12,0,0.0
2023-12-18,3,0,1.0
2023-12-19,5,0,1.0
2023-12-20,5,0,3.0
2023-12-21,7,0,1.0
2023-12-22,3,3,4.0
2023-12-23,0,0,2.0
2023-12-24,1,0,0.0
2023-12-25,2,0,0.0
2023-12-26,1,0,1.0
2023-12-27,4,0,3.0
2023-12-28,4,2,4.0
2023-12-29,4,6,4.0
2023-12-30,7,0,3.0
2023-12-31,27,0,3.0
2024-01-01,20,0,4.0
2024-01-02,22,0,5.0
2024-01-03,40,0,2.0
2024-01-04,37,1,3.0
2024-01-05,39,6,5.0
2024-01-06,10,0,1.0
2024-01-07,37,0,1.0
2024-01-08,28,0,2.0
2024-01-09,30,0,4.0
2024-01-10,20,3,3.0
2024-01-11,13,0,2.0
2024-01-12,12,0,4.0
2024-01-13,0,0,0.0
2024-01-14,6,0,0.0
2024-01-15,27,6,4.0
2024-01-16,17,1,6.0
2024-01-17,17,0,1.0
2024-01-18,10,0,4.0
2024-01-19,17,1,2.0
2024-01-20,8,0,1.0
2024-01-21,6,0,0.0
2024-01-22,3,0,4.0
2024-01-23,6,0,4.0
2024-01-24,8,0,2.0
2024-01-25,24,0,1.0
2024-01-26,5,0,3.0
2024-01-27,1,0,1.0
2024-01-28,7,0,1.0
