,strapi/strapi,decaporg/decap-cms,TryGhost/Ghost
2020-04-25,0,0,0
2020-04-26,4,0,0
2020-04-27,23,1,34
2020-04-28,8,1,19
2020-04-29,40,1,18
2020-04-30,23,4,35
2020-05-01,0,0,39
2020-05-02,3,0,0
2020-05-03,4,0,0
2020-05-04,25,3,3
2020-05-05,21,1,7
2020-05-06,15,0,13
2020-05-07,19,0,14
2020-05-08,5,0,25
2020-05-09,1,0,0
2020-05-10,0,0,0
2020-05-11,0,4,6
2020-05-12,16,3,2
2020-05-13,19,3,3
2020-05-14,40,0,0
2020-05-15,10,0,1
2020-05-16,0,0,0
2020-05-17,2,4,2
2020-05-18,6,1,19
2020-05-19,7,4,18
2020-05-20,5,2,23
2020-05-21,1,0,9
2020-05-22,5,0,21
2020-05-23,0,0,0
2020-05-24,0,1,0
2020-05-25,24,6,11
2020-05-26,19,2,27
2020-05-27,6,3,10
2020-05-28,17,1,34
2020-05-29,21,0,3
2020-05-30,3,0,0
2020-05-31,2,0,0
2020-06-01,10,5,11
2020-06-02,11,1,29
2020-06-03,0,4,7
2020-06-04,0,1,17
2020-06-05,14,0,13
2020-06-06,0,0,8
2020-06-07,0,3,0
2020-06-08,5,0,29
2020-06-09,5,4,23
2020-06-10,0,0,20
2020-06-11,3,0,32
2020-06-12,0,0,35
2020-06-13,0,0,0
2020-06-14,2,0,0
2020-06-15,21,5,19
2020-06-16,4,0,14
2020-06-17,3,1,8
2020-06-18,7,7,35
2020-06-19,3,0,34
2020-06-20,0,0,0
2020-06-21,1,5,1
2020-06-22,0,0,8
2020-06-23,5,1,24
2020-06-24,7,1,22
2020-06-25,3,2,13
2020-06-26,1,0,2
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,3,1,20
2020-06-30,3,0,23
2020-07-01,2,3,24
2020-07-02,2,0,15
2020-07-03,1,0,14
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,3,4,25
2020-07-07,4,2,16
2020-07-08,540,0,47
2020-07-09,6,3,19
2020-07-10,3,0,13
2020-07-11,0,0,0
2020-07-12,0,1,0
2020-07-13,0,0,13
2020-07-14,1,2,4
2020-07-15,13,5,10
2020-07-16,41,4,16
2020-07-17,5,0,10
2020-07-18,7,0,0
2020-07-19,0,0,0
2020-07-20,16,0,20
2020-07-21,2,2,42
2020-07-22,11,0,29
2020-07-23,12,3,17
2020-07-24,8,0,27
2020-07-25,4,0,0
2020-07-26,3,4,4
2020-07-27,11,4,6
2020-07-28,9,2,11
2020-07-29,16,0,10
2020-07-30,4,0,11
2020-07-31,4,0,1
2020-08-01,0,0,0
2020-08-02,0,1,0
2020-08-03,13,0,13
2020-08-04,19,1,30
2020-08-05,8,0,8
2020-08-06,4,1,6
2020-08-07,21,0,13
2020-08-08,2,0,0
2020-08-09,0,0,6
2020-08-10,11,1,30
2020-08-11,10,0,56
2020-08-12,18,0,11
2020-08-13,7,1,20
2020-08-14,7,0,5
2020-08-15,1,0,0
2020-08-16,0,2,0
2020-08-17,4,1,16
2020-08-18,1,0,31
2020-08-19,1,0,8
2020-08-20,2,11,16
2020-08-21,1,0,17
