,kong/kong,traefik/traefik,haproxy/haproxy
2019-09-28,1,0,1.0
2019-09-29,3,0,0.0
2019-09-30,5,9,6.0
2019-10-01,1,1,4.0
2019-10-02,8,1,4.0
2019-10-03,0,0,1.0
2019-10-04,0,0,12.0
2019-10-05,0,0,0.0
2019-10-06,0,0,0.0
2019-10-07,5,13,3.0
2019-10-08,1,1,1.0
2019-10-09,3,9,11.0
2019-10-10,0,0,12.0
2019-10-11,0,2,26.0
2019-10-12,0,0,0.0
2019-10-13,0,0,0.0
2019-10-14,15,3,15.0
2019-10-15,4,3,3.0
2019-10-16,0,5,4.0
2019-10-17,0,0,10.0
2019-10-18,1,4,16.0
2019-10-19,0,0,0.0
2019-10-20,0,1,0.0
2019-10-21,0,0,5.0
2019-10-22,8,0,4.0
2019-10-23,1,2,20.0
2019-10-24,0,1,7.0
2019-10-25,0,6,3.0
2019-10-26,0,0,2.0
2019-10-27,0,0,0.0
2019-10-28,2,16,3.0
2019-10-29,1,3,14.0
2019-10-30,3,1,3.0
2019-10-31,3,2,12.0
2019-11-01,14,0,1.0
2019-11-02,0,0,0.0
2019-11-03,0,1,2.0
2019-11-04,2,0,4.0
2019-11-05,12,2,0.0
2019-11-06,2,1,8.0
2019-11-07,4,0,4.0
2019-11-08,1,3,1.0
2019-11-09,0,0,2.0
2019-11-10,0,0,0.0
2019-11-11,2,0,0.0
2019-11-12,1,7,0.0
2019-11-13,7,1,0.0
2019-11-14,3,7,2.0
2019-11-15,4,10,24.0
2019-11-16,1,0,0.0
2019-11-17,0,0,2.0
2019-11-18,0,0,2.0
2019-11-19,0,1,6.0
2019-11-20,3,4,11.0
2019-11-21,3,0,6.0
2019-11-22,1,0,1.0
2019-11-23,1,1,1.0
2019-11-24,0,0,1.0
2019-11-25,5,0,20.0
2019-11-26,4,1,1.0
2019-11-27,3,10,3.0
2019-11-28,1,2,5.0
2019-11-29,4,2,3.0
2019-11-30,0,0,0.0
2019-12-01,0,0,0.0
2019-12-02,3,6,2.0
2019-12-03,6,3,6.0
2019-12-04,6,2,3.0
2019-12-05,11,2,7.0
2019-12-06,1,0,2.0
2019-12-07,0,0,0.0
2019-12-08,1,0,0.0
2019-12-09,4,11,2.0
2019-12-10,8,5,11.0
2019-12-11,5,4,14.0
2019-12-12,7,5,0.0
2019-12-13,5,2,0.0
2019-12-14,1,0,0.0
2019-12-15,0,0,0.0
2019-12-16,2,1,0.0
2019-12-17,7,3,5.0
2019-12-18,9,2,2.0
2019-12-19,6,2,7.0
2019-12-20,31,0,9.0
2019-12-21,1,0,2.0
2019-12-22,0,1,0.0
2019-12-23,9,0,0.0
2019-12-24,0,1,0.0
2019-12-25,0,0,0.0
2019-12-26,2,0,1.0
2019-12-27,2,0,12.0
2019-12-28,0,0,0.0
2019-12-29,0,0,0.0
2019-12-30,0,0,2.0
2019-12-31,0,0,0.0
2020-01-01,0,1,0.0
2020-01-02,0,0,2.0
2020-01-03,0,0,0.0
2020-01-04,1,0,0.0
2020-01-05,1,0,1.0
2020-01-06,8,2,2.0
2020-01-07,4,8,3.0
2020-01-08,13,1,7.0
2020-01-09,27,1,3.0
2020-01-10,19,3,3.0
2020-01-11,0,0,0.0
2020-01-12,0,0,0.0
2020-01-13,3,1,1.0
2020-01-14,0,3,5.0
2020-01-15,7,0,4.0
2020-01-16,2,1,6.0
2020-01-17,19,2,19.0
2020-01-18,0,0,4.0
2020-01-19,0,1,0.0
2020-01-20,20,5,64.0
2020-01-21,11,3,6.0
2020-01-22,17,2,20.0
2020-01-23,4,1,20.0
2020-01-24,3,1,18.0
2020-01-25,0,0,0.0
2020-01-26,0,0,0.0
2020-01-27,0,1,1.0
2020-01-28,0,0,6.0
2020-01-29,17,0,2.0
2020-01-30,0,0,4.0
2020-01-31,1,0,7.0
2020-02-01,0,0,3.0
2020-02-02,0,1,0.0
2020-02-03,3,6,2.0
2020-02-04,11,2,2.0
2020-02-05,3,2,5.0
2020-02-06,10,1,35.0
2020-02-07,1,1,7.0
2020-02-08,0,0,0.0
2020-02-09,0,0,0.0
2020-02-10,2,7,2.0
2020-02-11,5,4,8.0
2020-02-12,4,4,9.0
2020-02-13,9,1,0.0
2020-02-14,1,0,13.0
2020-02-15,0,0,3.0
2020-02-16,0,0,2.0
2020-02-17,5,6,1.0
2020-02-18,0,2,10.0
2020-02-19,7,0,1.0
2020-02-20,1,1,0.0
2020-02-21,2,1,19.0
2020-02-22,1,0,0.0
2020-02-23,0,0,0.0
2020-02-24,2,3,2.0
2020-02-25,3,5,28.0
2020-02-26,3,9,8.0
2020-02-27,6,1,4.0
2020-02-28,3,4,12.0
2020-02-29,0,1,1.0
2020-03-01,0,0,0.0
2020-03-02,1,0,0.0
2020-03-03,1,3,11.0
2020-03-04,0,2,20.0
2020-03-05,0,10,16.0
2020-03-06,0,1,33.0
2020-03-07,0,0,10.0
2020-03-08,0,0,5.0
2020-03-09,5,3,7.0
2020-03-10,1,3,14.0
2020-03-11,11,4,7.0
2020-03-12,6,1,5.0
2020-03-13,4,3,6.0
2020-03-14,0,0,9.0
2020-03-15,0,0,0.0
2020-03-16,6,2,10.0
2020-03-17,4,4,8.0
2020-03-18,3,8,8.0
2020-03-19,1,4,14.0
2020-03-20,3,0,10.0
2020-03-21,0,1,0.0
2020-03-22,0,0,3.0
2020-03-23,5,5,6.0
2020-03-24,2,1,5.0
2020-03-25,7,3,2.0
2020-03-26,5,0,3.0
2020-03-27,0,0,0.0
2020-03-28,0,1,0.0
2020-03-29,0,0,4.0
2020-03-30,2,2,0.0
2020-03-31,9,1,18.0
2020-04-01,2,0,7.0
2020-04-02,2,1,8.0
2020-04-03,4,1,0.0
2020-04-04,0,0,0.0
2020-04-05,1,0,0.0
2020-04-06,3,0,2.0
2020-04-07,4,2,6.0
2020-04-08,2,1,7.0
2020-04-09,1,0,6.0
2020-04-10,0,0,6.0
2020-04-11,0,0,0.0
2020-04-12,1,0,0.0
2020-04-13,1,0,0.0
2020-04-14,0,4,1.0
2020-04-15,2,2,4.0
2020-04-16,1,1,4.0
2020-04-17,12,1,4.0
2020-04-18,0,0,1.0
2020-04-19,0,0,0.0
2020-04-20,1,0,0.0
2020-04-21,0,1,5.0
2020-04-22,16,1,4.0
2020-04-23,3,0,5.0
2020-04-24,6,1,1.0
2020-04-25,0,0,0.0
2020-04-26,0,0,1.0
2020-04-27,1,5,120.0
2020-04-28,1,1,15.0
2020-04-29,6,6,14.0
2020-04-30,7,2,2.0
2020-05-01,0,0,7.0
2020-05-02,0,0,4.0
2020-05-03,0,0,0.0
2020-05-04,3,1,3.0
2020-05-05,1,0,24.0
2020-05-06,2,0,12.0
2020-05-07,4,0,10.0
2020-05-08,4,0,3.0
2020-05-09,1,0,4.0
2020-05-10,0,0,0.0
2020-05-11,0,2,5.0
2020-05-12,6,1,8.0
2020-05-13,8,0,8.0
2020-05-14,5,4,5.0
2020-05-15,2,0,18.0
2020-05-16,0,0,3.0
2020-05-17,0,0,0.0
2020-05-18,7,4,9.0
2020-05-19,7,0,9.0
2020-05-20,6,0,27.0
2020-05-21,1,0,0.0
2020-05-22,11,0,4.0
2020-05-23,2,0,0.0
2020-05-24,0,0,0.0
2020-05-25,2,0,10.0
2020-05-26,4,2,9.0
2020-05-27,6,1,3.0
2020-05-28,4,1,10.0
2020-05-29,2,0,3.0
2020-05-30,0,0,1.0
2020-05-31,1,0,4.0
2020-06-01,0,0,0.0
2020-06-02,2,0,6.0
2020-06-03,7,2,5.0
2020-06-04,6,1,0.0
2020-06-05,1,0,5.0
2020-06-06,0,0,0.0
2020-06-07,0,0,0.0
2020-06-08,4,2,2.0
2020-06-09,3,1,1.0
2020-06-10,14,2,0.0
2020-06-11,0,0,153.0
2020-06-12,5,0,3.0
2020-06-13,0,0,1.0
2020-06-14,0,0,5.0
2020-06-15,21,2,4.0
2020-06-16,6,1,11.0
2020-06-17,8,2,10.0
2020-06-18,1,2,3.0
2020-06-19,2,0,20.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,3.0
2020-06-23,6,0,14.0
2020-06-24,8,0,8.0
2020-06-25,6,0,11.0
2020-06-26,4,0,13.0
2020-06-27,0,0,2.0
2020-06-28,0,0,6.0
2020-06-29,8,0,16.0
2020-06-30,3,0,8.0
2020-07-01,7,8,22.0
2020-07-02,0,6,11.0
2020-07-03,1,1,6.0
2020-07-04,0,0,4.0
2020-07-05,0,0,3.0
2020-07-06,1,0,2.0
2020-07-07,1,1,38.0
2020-07-08,3,4,1.0
2020-07-09,12,2,3.0
2020-07-10,7,3,4.0
2020-07-11,0,0,0.0
2020-07-12,0,0,1.0
2020-07-13,0,4,0.0
2020-07-14,1,0,0.0
2020-07-15,1,13,28.0
2020-07-16,6,3,2.0
2020-07-17,0,4,5.0
2020-07-18,0,0,0.0
2020-07-19,1,1,1.0
2020-07-20,0,2,0.0
2020-07-21,2,2,2.0
2020-07-22,0,1,10.0
2020-07-23,0,0,2.0
2020-07-24,1,0,1.0
2020-07-25,1,0,0.0
2020-07-26,0,0,1.0
2020-07-27,5,1,1.0
2020-07-28,0,7,0.0
2020-07-29,6,2,2.0
2020-07-30,0,0,15.0
2020-07-31,1,1,12.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,2,3,0.0
2020-08-04,3,0,0.0
2020-08-05,6,1,7.0
2020-08-06,0,0,2.0
2020-08-07,2,1,16.0
2020-08-08,0,0,0.0
2020-08-09,0,0,0.0
2020-08-10,0,1,3.0
2020-08-11,1,2,3.0
2020-08-12,3,0,2.0
2020-08-13,5,0,0.0
2020-08-14,1,2,4.0
2020-08-15,0,1,0.0
2020-08-16,0,0,0.0
2020-08-17,0,2,3.0
2020-08-18,4,0,3.0
2020-08-19,7,3,2.0
2020-08-20,19,0,1.0
2020-08-21,1,1,1.0
2020-08-22,0,0,0.0
2020-08-23,0,0,0.0
2020-08-24,0,1,0.0
2020-08-25,1,2,2.0
2020-08-26,2,1,10.0
2020-08-27,5,3,0.0
2020-08-28,0,1,20.0
2020-08-29,0,0,1.0
2020-08-30,0,0,0.0
2020-08-31,0,0,1.0
2020-09-01,2,3,9.0
2020-09-02,6,1,11.0
2020-09-03,5,0,0.0
2020-09-04,2,4,3.0
2020-09-05,0,0,1.0
2020-09-06,0,0,1.0
2020-09-07,0,7,0.0
2020-09-08,1,4,6.0
2020-09-09,4,0,1.0
2020-09-10,5,1,5.0
2020-09-11,4,1,10.0
2020-09-12,0,0,6.0
2020-09-13,0,0,0.0
2020-09-14,2,0,2.0
2020-09-15,0,8,4.0
2020-09-16,4,2,76.0
2020-09-17,0,1,3.0
2020-09-18,17,3,6.0
2020-09-19,0,0,0.0
2020-09-20,0,0,0.0
2020-09-21,5,0,0.0
2020-09-22,8,0,0.0
2020-09-23,4,7,3.0
2020-09-24,4,4,0.0
2020-09-25,0,2,4.0
2020-09-26,0,1,1.0
2020-09-27,2,0,3.0
