,apache/httpcomponents-client,square/okhttp,jetty/jetty.project
2023-08-22,0,-0.01913662603124995,12
2023-08-23,0,-0.016797705071874957,11
2023-08-24,0,0.0,29
2023-08-25,0,0.0,35
2023-08-26,0,0.0,3
2023-08-27,0,0.0,1
2023-08-28,0,0.0,4
2023-08-29,0,0.0,28
2023-08-30,0,0.0,0
2023-08-31,4,0.0,8
2023-09-01,0,0.0,3
2023-09-02,0,0.0,4
2023-09-03,0,0.0,3
2023-09-04,0,0.0,2
2023-09-05,0,0.0,0
2023-09-06,0,0.0,1
2023-09-07,0,0.0,1
2023-09-08,0,0.0,0
2023-09-09,0,0.0,0
2023-09-10,0,0.0,0
2023-09-11,0,0.0,5
2023-09-12,0,0.0,1
2023-09-13,0,0.0,3
2023-09-14,0,0.0,16
2023-09-15,0,1.0,11
2023-09-16,0,0.8999999999999999,2
2023-09-17,0,-0.14500000000000013,0
2023-09-18,0,-0.07350000000000005,9
2023-09-19,0,-0.04916249999999994,2
2023-09-20,0,-0.036779249999999875,7
2023-09-21,0,-0.02927876249999991,3
2023-09-22,1,-0.024255708749999928,4
2023-09-23,1,-0.02066200926562494,2
2023-09-24,0,-0.017967165551562456,0
2023-09-25,0,-0.008398852535937478,6
2023-09-26,1,0.0,10
2023-09-27,0,0.0,17
2023-09-28,0,0.0,10
2023-09-29,1,0.0,1
2023-09-30,0,0.0,0
2023-10-01,0,0.0,4
2023-10-02,0,3.0,1
2023-10-03,1,-0.30000000000000027,3
2023-10-04,0,-0.1350000000000001,2
2023-10-05,0,-0.08550000000000006,9
2023-10-06,0,-0.06198749999999977,4
2023-10-07,0,-0.048350249999999845,1
2023-10-08,0,-0.03948603749999988,1
2023-10-09,0,-0.0332810887499999,13
2023-10-10,0,-0.028704939046874926,15
2023-10-11,0,-0.025196557607812434,1
2023-10-12,1,0.0,5
2023-10-13,0,0.0,6
2023-10-14,0,0.0,0
2023-10-15,0,1.0,0
2023-10-16,0,-0.10000000000000009,11
2023-10-17,0,1.955,14
2023-10-18,0,2.7714999999999996,12
2023-10-19,0,-0.41066250000000026,5
2023-10-20,0,-0.20811675000000007,3
2023-10-21,0,-0.13998701249999987,1
2023-10-22,0,-0.10531469624999963,0
2023-10-23,0,-0.08424258801562474,1
2023-10-24,0,-0.0700722825359373,7
2023-10-25,0,-0.052417714781249854,20
2023-10-26,0,-0.04550264411874988,13
2023-10-27,0,-0.025196557607812434,17
2023-10-28,0,0.0,0
2023-10-29,0,0.0,0
2023-10-30,0,0.0,7
2023-10-31,0,0.0,2
2023-11-01,0,0.0,8
2023-11-02,2,0.0,0
2023-11-03,0,0.0,0
2023-11-04,0,0.0,0
2023-11-05,0,0.0,1
2023-11-06,0,0.0,1
2023-11-07,0,0.0,3
2023-11-08,0,0.0,3
2023-11-09,0,1.0,4
2023-11-10,0,-0.10000000000000009,0
2023-11-11,0,-0.04500000000000003,2
2023-11-12,0,-0.028500000000000022,0
2023-11-13,0,-0.020662499999999924,4
2023-11-14,0,-0.016116749999999947,2
2023-11-15,0,-0.01316201249999996,7
2023-11-16,0,-0.011093696249999967,1
2023-11-17,0,-0.009568313015624975,4
2023-11-18,0,-0.008398852535937478,2
2023-11-19,1,0.0,4
2023-11-20,0,2.0,4
2023-11-21,0,-0.20000000000000018,2
2023-11-22,0,-0.09000000000000007,1
2023-11-23,1,-0.057000000000000044,7
2023-11-24,0,-0.04132499999999985,0
2023-11-25,0,-0.032233499999999894,0
2023-11-26,0,-0.02632402499999992,0
2023-11-27,0,0.9778126075000001,6
2023-11-28,3,-0.11913662603125004,5
2023-11-29,1,-0.061797705071874987,15
2023-11-30,1,-0.028500000000000022,8
2023-12-01,0,-0.020662499999999924,19
2023-12-02,1,0.9838832500000001,0
2023-12-03,1,1.8868379874999999,0
2023-12-04,0,1.7439063037499998,5
2023-12-05,0,-0.3280683130156252,3
2023-12-06,4,-0.17606135253593752,13
2023-12-07,0,0.8855582500000001,2
2023-12-08,0,-0.1867205124999998,1
2023-12-09,0,-0.11465122124999982,4
2023-12-10,1,-0.08657973051562486,0
2023-12-11,1,0.9296146289328127,3
2023-12-12,0,-0.15205108110312493,8
2023-12-13,77,-0.07495971757187495,14
2023-12-14,0,-0.03959369624999999,9
2023-12-15,2,-0.0302308130156249,15
2023-12-16,0,-0.024515602535937424,0
2023-12-17,0,4.9868379875,3
2023-12-18,0,1.4889063037499994,2
2023-12-19,0,0.5654316869843747,4
2023-12-20,0,0.6591011474640622,4
2023-12-21,0,1.6946875000000001,0
2023-12-22,0,-0.3954087499999998,0
2023-12-23,5,1.7627939375000004,0
2023-12-24,4,4.62442824375,0
2023-12-25,0,-0.7306327200781251,0
2023-12-26,3,-0.3996200974609374,0
2023-12-27,0,-0.24760873933749977,0
2023-12-28,0,-0.1757005580515619,0
2023-12-29,1,-0.1344432535671871,1
2023-12-30,0,-0.1047951600718747,0
2023-12-31,0,-0.07460510728124978,0
2024-01-01,0,-0.06463927014999983,51
2024-01-02,0,-0.041994262679687394,11
2024-01-03,1,1.0,26
2024-01-04,0,1.9,0
2024-01-05,1,-0.24500000000000022,0
2024-01-06,1,0.8815,0
2024-01-07,1,1.8223375,1
2024-01-08,1,0.6975582499999999,5
2024-01-09,0,0.7361044875,3
2024-01-10,0,-0.26008022124999997,0
2024-01-11,0,-0.16269745551562476,5
2024-01-12,4,-0.12209349106718723,3
2024-01-13,0,-0.09099467632187472,0
2024-01-14,2,0.9389655319843752,0
2024-01-15,0,-0.15179118731718744,7
2024-01-16,2,-0.08245971433749993,8
2024-01-17,1,-0.04646716555156248,2
2024-01-18,2,-0.029061352535937404,2
2024-01-19,0,0.9838832500000001,0
2024-01-20,0,2.8868379875,0
2024-01-21,0,-0.35609369625000026,0
2024-01-22,1,1.8269316869843748,0
2024-01-23,0,0.6854386474640624,1
2024-01-24,0,-0.2681042499999999,9
2024-01-25,1,0.8364877375000002,14
2024-01-26,7,-0.2204047337499998,12
2024-01-27,0,-0.14074540176562472,1
2024-01-28,0,-0.1080445665828123,0
2024-01-29,4,0.9187915373921878,16
2024-01-30,0,1.8536529277187501,7
2024-01-31,2,-0.2845280305875001,3
2024-02-01,3,-0.13799254878593753,1
2024-02-02,0,-0.08723081301562494,3
2024-02-03,0,0.9341593974640627,0
2024-02-04,0,-0.14539551249999993,0
2024-02-05,1,-0.08241772124999992,1
2024-02-06,0,-0.06025570551562494,6
2024-02-07,0,-0.048197978567187355,1
2024-02-08,0,-0.032914455071874904,3
2024-02-09,0,-0.01316201249999996,1
2024-02-10,2,0.98890630375,1
2024-02-11,0,1.890431686984375,0
2024-02-12,0,-0.2533988525359377,0
2024-02-13,0,-0.11850000000000009,0
2024-02-14,1,-0.07766249999999997,4
2024-02-15,0,-0.05744174999999979,4
2024-02-16,0,-0.04539551249999985,1
2024-02-17,0,-0.03741772124999989,0
2024-02-18,0,-0.03175570551562491,0
2024-02-19,0,-0.02753547856718743,5
2024-02-20,0,-0.016797705071874957,4
2024-02-21,0,0.0,8
2024-02-22,0,0.0,4
2024-02-23,2,0.0,5
2024-02-24,0,0.0,0
2024-02-25,0,0.0,0
2024-02-26,0,0.0,9
2024-02-27,0,0.0,9
2024-02-28,0,0.0,7
2024-02-29,2,0.0,6
2024-03-01,0,0.0,9
2024-03-02,0,0.0,2
2024-03-03,0,0.0,0
2024-03-04,0,0.0,0
2024-03-05,0,0.0,1
2024-03-06,1,1.0,2
2024-03-07,0,-0.10000000000000009,0
2024-03-08,0,-0.04500000000000003,0
2024-03-09,0,-0.028500000000000022,0
2024-03-10,0,-0.020662499999999924,0
2024-03-11,1,-0.016116749999999947,0
2024-03-12,0,-0.01316201249999996,1
2024-03-13,0,-0.011093696249999967,8
2024-03-14,0,-0.009568313015624975,0
2024-03-15,0,-0.008398852535937478,1
2024-03-16,0,0.0,0
2024-03-17,0,1.0,0
2024-03-18,1,-0.10000000000000009,0
2024-03-19,0,-0.04500000000000003,5
2024-03-20,0,-0.028500000000000022,3
2024-03-21,0,-0.020662499999999924,2
2024-03-22,0,0.9838832500000001,3
2024-03-23,0,0.8868379875,0
2024-03-24,0,0.8439063037499999,5
2024-03-25,0,-0.18306831301562512,11
2024-03-26,0,-0.10256135253593746,4
2024-03-27,0,-0.0652792499999999,11
2024-03-28,0,-0.04994126249999983,4
2024-03-29,0,-0.040372458749999875,7
2024-03-30,0,-0.0338240217656249,3
2024-03-31,0,1.9709391381984376,0
2024-04-01,0,5.7820328344484375,10
2024-04-02,1,2.301601147464062,10
2024-04-03,1,1.3729999999999996,4
2024-04-04,0,0.4526749999999997,7
2024-04-05,0,1.5682915000000004,1
2024-04-06,0,8.512987975,0
2024-04-07,0,-1.2093347175000002,0
2024-04-08,0,-0.6400808410312497,0
2024-04-09,1,0.5522455530843754,1
2024-04-10,0,0.567356540737501,1
2024-04-11,0,1.628198345110938,2
2024-04-12,0,0.5594884769125003,1
2024-04-13,0,-0.36654124481718725,1
2024-04-14,0,1.7583082277875004,0
2024-04-15,0,3.6253065646765625,2
2024-04-16,0,-0.5671517087500002,2
2024-04-17,0,3.6998972157343752,9
2024-04-18,0,2.391358429448437,7
2024-04-19,0,-0.6335126748171874,5
2024-04-20,0,0.6338429569125001,0
2024-04-21,0,-0.3513842950359371,0
2024-04-22,0,-0.23496591103124945,7
2024-04-23,0,-0.18456925713437458,7
2024-04-24,0,0.8618812673562504,10
2024-04-25,1,-0.18767109081249983,2
2024-04-26,0,-0.12046236169062483,5
2024-04-27,0,-0.06479025385781242,0
2024-04-28,1,-0.0302308130156249,0
2024-04-29,0,0.9754843974640626,0
2024-04-30,0,-0.11316201250000005,3
2024-05-01,0,-0.05609369625,7
2024-05-02,0,-0.038068313015624994,11
2024-05-03,0,-0.029061352535937404,13
2024-05-04,0,-0.016116749999999947,6
2024-05-05,0,-0.01316201249999996,0
2024-05-06,0,-0.011093696249999967,2
2024-05-07,0,-0.009568313015624975,3
2024-05-08,0,-0.008398852535937478,0
2024-05-09,0,0.0,0
2024-05-10,0,0.0,3
2024-05-11,0,0.0,0
2024-05-12,0,0.0,2
2024-05-13,0,1.0,6
2024-05-14,0,0.8999999999999999,3
2024-05-15,0,-0.14500000000000013,0
2024-05-16,1,-0.07350000000000005,4
2024-05-17,0,-0.04916249999999994,1
2024-05-18,0,-0.036779249999999875,0
2024-05-19,0,-0.02927876249999991,1
2024-05-20,0,-0.024255708749999928,7
2024-05-21,0,-0.02066200926562494,2
2024-05-22,2,-0.017967165551562456,7
2024-05-23,0,-0.008398852535937478,10
2024-05-24,0,0.0,0
2024-05-25,0,0.0,1
2024-05-26,0,0.0,0
2024-05-27,0,0.0,14
2024-05-28,0,0.0,5
2024-05-29,0,0.0,1
2024-05-30,0,0.0,6
2024-05-31,0,0.0,0
2024-06-01,0,0.0,0
2024-06-02,0,0.0,1
2024-06-03,0,0.0,1
2024-06-04,0,0.0,8
2024-06-05,1,0.0,0
2024-06-06,1,0.0,1
2024-06-07,0,0.0,0
2024-06-08,0,0.0,0
2024-06-09,0,0.0,0
2024-06-10,2,0.0,1
2024-06-11,0,0.0,5
2024-06-12,0,0.0,10
2024-06-13,0,0.0,8
2024-06-14,0,0.0,2
2024-06-15,0,0.0,0
2024-06-16,0,0.0,0
2024-06-17,0,0.0,2
2024-06-18,0,0.0,5
2024-06-19,0,0.0,15
2024-06-20,1,1.0,10
2024-06-21,4,-0.10000000000000009,16
2024-06-22,2,1.955,1
2024-06-23,0,0.7714999999999999,1
2024-06-24,0,-0.21066250000000009,13
