,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2023-04-13,0,14,5
2023-04-14,0,10,6
2023-04-15,0,4,3
2023-04-16,0,4,2
2023-04-17,0,10,8
2023-04-18,0,30,8
2023-04-19,0,15,4
2023-04-20,0,17,10
2023-04-21,0,7,4
2023-04-22,0,0,1
2023-04-23,1,3,1
2023-04-24,0,4,2
2023-04-25,3,13,6
2023-04-26,0,19,6
2023-04-27,1,17,4
2023-04-28,3,10,2
2023-04-29,0,6,1
2023-04-30,0,1,1
2023-05-01,0,5,1
2023-05-02,2,11,8
2023-05-03,0,12,2
2023-05-04,1,13,2
2023-05-05,0,10,5
2023-05-06,0,4,1
2023-05-07,0,2,0
2023-05-08,0,11,2
2023-05-09,0,10,8
2023-05-10,0,9,1
2023-05-11,2,5,3
2023-05-12,0,4,4
2023-05-13,0,4,2
2023-05-14,0,2,1
2023-05-15,0,7,4
2023-05-16,0,8,3
2023-05-17,1,9,3
2023-05-18,0,6,4
2023-05-19,0,3,3
2023-05-20,3,0,4
2023-05-21,0,7,1
2023-05-22,0,13,4
2023-05-23,0,8,1
2023-05-24,0,12,11
2023-05-25,0,6,4
2023-05-26,0,3,7
2023-05-27,0,3,0
2023-05-28,0,5,0
2023-05-29,0,3,0
2023-05-30,3,5,5
2023-05-31,0,5,1
2023-06-01,0,3,5
2023-06-02,0,3,3
2023-06-03,0,0,1
2023-06-04,1,0,0
2023-06-05,0,5,5
2023-06-06,0,18,5
2023-06-07,0,4,2
2023-06-08,0,21,6
2023-06-09,0,3,4
2023-06-10,0,5,1
2023-06-11,0,3,1
2023-06-12,0,13,5
2023-06-13,0,13,6
2023-06-14,2,6,2
2023-06-15,0,2,1
2023-06-16,0,8,2
2023-06-17,0,0,1
2023-06-18,0,0,0
2023-06-19,0,11,0
2023-06-20,1,7,5
2023-06-21,0,5,3
2023-06-22,0,3,4
2023-06-23,0,9,5
2023-06-24,0,2,1
2023-06-25,0,3,1
2023-06-26,0,6,9
2023-06-27,0,5,5
2023-06-28,1,8,2
2023-06-29,0,14,4
2023-06-30,0,7,6
2023-07-01,0,0,2
2023-07-02,0,2,0
2023-07-03,0,3,3
2023-07-04,0,1,1
2023-07-05,0,10,2
2023-07-06,0,9,4
2023-07-07,0,12,3
2023-07-08,0,2,1
2023-07-09,3,5,0
2023-07-10,0,9,3
2023-07-11,0,5,1
2023-07-12,0,12,4
2023-07-13,0,9,5
2023-07-14,0,3,2
2023-07-15,0,2,1
2023-07-16,9,2,0
2023-07-17,0,7,2
2023-07-18,0,3,3
2023-07-19,0,4,3
2023-07-20,0,6,7
2023-07-21,0,3,4
2023-07-22,0,4,1
2023-07-23,0,1,1
2023-07-24,0,10,6
2023-07-25,0,20,2
2023-07-26,0,9,3
2023-07-27,1,6,1
2023-07-28,0,7,6
2023-07-29,0,3,1
2023-07-30,2,2,0
2023-07-31,0,19,3
2023-08-01,0,10,2
2023-08-02,0,6,2
2023-08-03,0,7,6
2023-08-04,0,8,2
2023-08-05,0,8,4
2023-08-06,0,3,1
2023-08-07,0,12,7
2023-08-08,4,8,5
2023-08-09,0,11,5
2023-08-10,0,4,1
2023-08-11,0,7,2
2023-08-12,0,3,1
2023-08-13,1,1,0
2023-08-14,1,11,7
2023-08-15,0,8,8
2023-08-16,0,1,8
2023-08-17,0,4,4
2023-08-18,0,7,0
2023-08-19,0,2,1
2023-08-20,0,3,0
2023-08-21,0,5,1
2023-08-22,0,8,3
2023-08-23,0,5,8
2023-08-24,1,12,8
2023-08-25,1,3,2
2023-08-26,3,4,5
2023-08-27,2,0,0
2023-08-28,0,8,11
2023-08-29,0,6,4
2023-08-30,0,11,4
2023-08-31,0,7,2
2023-09-01,0,6,3
2023-09-02,0,6,1
2023-09-03,0,4,1
2023-09-04,1,3,0
2023-09-05,0,7,1
2023-09-06,0,8,4
2023-09-07,0,3,2
2023-09-08,0,7,2
2023-09-09,0,5,1
2023-09-10,0,1,0
2023-09-11,0,14,3
2023-09-12,0,12,5
2023-09-13,0,16,13
2023-09-14,0,7,4
2023-09-15,0,12,4
2023-09-16,0,10,1
2023-09-17,0,2,1
2023-09-18,0,13,2
2023-09-19,0,8,5
2023-09-20,0,9,5
2023-09-21,0,6,6
2023-09-22,0,8,11
2023-09-23,0,5,3
2023-09-24,0,5,1
2023-09-25,0,10,3
2023-09-26,3,13,5
2023-09-27,0,9,3
2023-09-28,0,2,2
2023-09-29,0,4,8
2023-09-30,3,3,1
2023-10-01,0,2,1
2023-10-02,0,15,4
2023-10-03,0,12,3
2023-10-04,0,20,5
2023-10-05,0,12,5
2023-10-06,0,9,2
2023-10-07,2,6,1
2023-10-08,0,7,1
2023-10-09,0,31,3
2023-10-10,0,22,4
2023-10-11,0,15,1
2023-10-12,0,15,4
2023-10-13,0,9,2
2023-10-14,0,5,1
2023-10-15,0,1,1
2023-10-16,1,5,4
2023-10-17,3,13,1
2023-10-18,3,18,1
2023-10-19,0,18,4
2023-10-20,0,6,2
2023-10-21,3,1,1
2023-10-22,0,6,0
2023-10-23,1,5,2
2023-10-24,1,5,5
2023-10-25,6,11,5
2023-10-26,1,11,5
2023-10-27,0,11,3
2023-10-28,0,2,5
2023-10-29,0,4,1
2023-10-30,1,14,4
2023-10-31,0,9,2
2023-11-01,0,8,1
2023-11-02,1,6,3
2023-11-03,0,12,10
2023-11-04,1,4,1
2023-11-05,0,5,1
