,apache/mxnet,tensorflow/tensorflow,pytorch/pytorch
2020-10-25,3,7,0
2020-10-26,4,65,17
2020-10-27,2,86,31
2020-10-28,0,78,31
2020-10-29,2,91,50
2020-10-30,1,86,26
2020-10-31,2,21,6
2020-11-01,0,6,3
2020-11-02,1,48,24
2020-11-03,2,84,45
2020-11-04,5,66,37
2020-11-05,4,77,35
2020-11-06,3,84,30
2020-11-07,3,17,13
2020-11-08,2,9,5
2020-11-09,3,72,25
2020-11-10,6,89,43
2020-11-11,3,92,47
2020-11-12,3,83,46
2020-11-13,1,88,47
2020-11-14,4,20,26
2020-11-15,0,5,6
2020-11-16,0,75,23
2020-11-17,5,92,30
2020-11-18,5,73,40
2020-11-19,3,120,39
2020-11-20,1,87,27
2020-11-21,0,37,22
2020-11-22,0,7,3
2020-11-23,1,65,1
2020-11-24,2,94,1
2020-11-25,1,63,11
2020-11-26,1,47,8
2020-11-27,2,27,6
2020-11-28,0,4,1
2020-11-29,2,4,2
2020-11-30,2,60,26
2020-12-01,1,74,39
2020-12-02,2,93,62
2020-12-03,2,86,39
2020-12-04,4,88,35
2020-12-05,0,18,22
2020-12-06,0,14,10
2020-12-07,2,69,16
2020-12-08,4,89,38
2020-12-09,2,97,36
2020-12-10,2,95,59
2020-12-11,1,78,46
2020-12-12,1,22,16
2020-12-13,0,7,1
2020-12-14,2,50,25
2020-12-15,2,129,30
2020-12-16,2,78,44
2020-12-17,0,99,51
2020-12-18,1,47,35
2020-12-19,1,8,16
2020-12-20,1,6,3
2020-12-21,1,49,28
2020-12-22,0,56,31
2020-12-23,2,67,27
2020-12-24,1,21,4
2020-12-25,0,6,1
2020-12-26,0,2,0
2020-12-27,0,6,0
2020-12-28,0,48,7
2020-12-29,0,42,8
2020-12-30,1,54,13
2020-12-31,1,20,5
2021-01-01,1,5,1
2021-01-02,0,7,0
2021-01-03,0,7,1
2021-01-04,1,27,21
2021-01-05,2,86,40
2021-01-06,0,85,46
2021-01-07,0,79,28
2021-01-08,0,91,43
2021-01-09,0,15,8
2021-01-10,0,8,4
2021-01-11,0,82,28
2021-01-12,1,112,43
2021-01-13,0,107,33
2021-01-14,0,74,27
2021-01-15,2,73,23
2021-01-16,1,21,11
2021-01-17,0,8,1
2021-01-18,0,28,7
2021-01-19,0,62,30
2021-01-20,2,100,44
2021-01-21,0,95,28
2021-01-22,0,104,45
2021-01-23,0,24,13
2021-01-24,0,17,2
2021-01-25,0,98,20
2021-01-26,0,75,30
2021-01-27,0,109,35
2021-01-28,1,90,49
2021-01-29,1,73,37
2021-01-30,0,44,9
2021-01-31,1,4,3
2021-02-01,0,74,23
2021-02-02,1,100,61
2021-02-03,3,86,44
2021-02-04,0,95,68
2021-02-05,2,78,37
2021-02-06,0,27,13
2021-02-07,2,6,3
2021-02-08,1,72,25
2021-02-09,0,79,28
2021-02-10,0,93,37
2021-02-11,0,71,42
2021-02-12,0,82,17
2021-02-13,0,38,11
2021-02-14,0,4,12
2021-02-15,2,48,3
2021-02-16,3,54,10
2021-02-17,0,92,40
2021-02-18,2,68,47
2021-02-19,1,41,47
2021-02-20,0,38,12
2021-02-21,2,15,3
2021-02-22,1,91,29
2021-02-23,0,113,30
2021-02-24,2,99,26
2021-02-25,0,114,40
2021-02-26,1,115,33
2021-02-27,1,33,8
2021-02-28,0,11,6
2021-03-01,2,66,38
2021-03-02,0,77,74
2021-03-03,0,98,59
2021-03-04,0,98,31
2021-03-05,0,133,48
2021-03-06,1,23,7
2021-03-07,0,12,3
2021-03-08,0,60,28
2021-03-09,2,79,44
2021-03-10,1,116,48
2021-03-11,1,93,47
2021-03-12,4,105,73
2021-03-13,0,43,10
2021-03-14,1,22,7
2021-03-15,2,75,30
2021-03-16,2,135,27
2021-03-17,0,89,35
2021-03-18,1,107,41
2021-03-19,1,132,28
2021-03-20,0,41,7
2021-03-21,2,17,3
2021-03-22,1,71,28
2021-03-23,0,113,43
2021-03-24,3,89,31
2021-03-25,0,91,30
2021-03-26,3,33,33
2021-03-27,0,6,29
2021-03-28,0,8,6
2021-03-29,0,62,46
2021-03-30,1,80,42
2021-03-31,1,101,46
2021-04-01,0,75,64
2021-04-02,1,81,53
2021-04-03,2,15,10
2021-04-04,0,12,1
2021-04-05,1,61,33
2021-04-06,1,52,56
2021-04-07,2,89,51
2021-04-08,0,93,38
2021-04-09,0,72,38
2021-04-10,0,14,17
2021-04-11,1,5,7
2021-04-12,1,47,30
2021-04-13,0,74,72
2021-04-14,1,79,58
2021-04-15,2,77,88
2021-04-16,0,70,54
2021-04-17,0,18,12
2021-04-18,0,9,6
2021-04-19,1,94,33
2021-04-20,2,104,51
2021-04-21,0,96,73
2021-04-22,2,95,56
2021-04-23,0,87,44
2021-04-24,0,15,12
2021-04-25,0,7,12
2021-04-26,3,61,38
2021-04-27,1,65,87
2021-04-28,0,86,43
2021-04-29,1,52,60
2021-04-30,6,75,56
2021-05-01,1,12,25
2021-05-02,0,7,15
2021-05-03,2,59,38
2021-05-04,1,71,46
2021-05-05,0,72,38
2021-05-06,0,83,62
2021-05-07,0,81,52
2021-05-08,1,31,14
2021-05-09,0,12,4
2021-05-10,0,62,35
2021-05-11,0,85,59
2021-05-12,0,89,73
2021-05-13,1,94,72
2021-05-14,1,61,61
2021-05-15,1,37,10
2021-05-16,0,12,2
2021-05-17,0,92,41
2021-05-18,1,76,39
2021-05-19,0,80,32
2021-05-20,0,76,40
2021-05-21,1,102,68
2021-05-22,0,21,24
2021-05-23,0,8,11
2021-05-24,1,53,24
2021-05-25,1,82,46
2021-05-26,0,101,43
2021-05-27,0,94,39
2021-05-28,0,39,16
2021-05-29,0,6,6
2021-05-30,0,4,6
2021-05-31,0,23,7
2021-06-01,1,53,30
2021-06-02,1,70,52
2021-06-03,0,85,33
2021-06-04,0,70,55
2021-06-05,0,12,22
2021-06-06,0,5,6
2021-06-07,0,51,21
2021-06-08,1,89,47
2021-06-09,0,100,48
2021-06-10,0,80,38
2021-06-11,0,84,37
2021-06-12,0,17,9
2021-06-13,0,6,5
2021-06-14,1,58,20
2021-06-15,1,92,38
2021-06-16,0,71,33
2021-06-17,1,97,54
2021-06-18,0,114,29
2021-06-19,0,15,8
2021-06-20,0,10,4
2021-06-21,2,79,28
