,davisking/dlib,opencv/opencv,scikit-image/scikit-image
2010-06-11,3,13,0
2010-06-12,1,12,0
2010-06-13,9,3,0
2010-06-14,5,5,0
2010-06-15,0,1,0
2010-06-16,0,4,0
2010-06-17,0,3,0
2010-06-18,0,1,0
2010-06-19,0,5,0
2010-06-20,0,3,0
2010-06-21,1,1,0
2010-06-22,0,1,0
2010-06-23,0,5,0
2010-06-24,0,10,0
2010-06-25,0,2,1
2010-06-26,0,2,0
2010-06-27,4,0,0
2010-06-28,0,4,0
2010-06-29,0,7,0
2010-06-30,0,2,0
2010-07-01,2,2,0
2010-07-02,6,2,3
2010-07-03,0,2,5
2010-07-04,0,1,0
2010-07-05,2,2,0
2010-07-06,4,1,0
2010-07-07,14,4,0
2010-07-08,6,4,0
2010-07-09,0,7,0
2010-07-10,0,2,0
2010-07-11,0,1,0
2010-07-12,0,8,0
2010-07-13,0,7,0
2010-07-14,1,3,0
2010-07-15,0,6,0
2010-07-16,0,19,0
2010-07-17,9,6,0
2010-07-18,4,0,0
2010-07-19,0,6,0
2010-07-20,0,6,0
2010-07-21,0,4,0
2010-07-22,0,11,0
2010-07-23,6,8,0
2010-07-24,19,0,0
2010-07-25,5,0,0
2010-07-26,1,11,0
2010-07-27,0,17,0
2010-07-28,5,13,0
2010-07-29,2,13,0
2010-07-30,0,6,0
2010-07-31,0,4,0
2010-08-01,0,1,0
2010-08-02,0,8,0
2010-08-03,0,2,0
2010-08-04,0,1,0
2010-08-05,0,4,0
2010-08-06,0,4,0
2010-08-07,0,0,0
2010-08-08,0,0,0
2010-08-09,0,3,0
2010-08-10,0,5,0
2010-08-11,0,1,0
2010-08-12,0,8,0
2010-08-13,0,8,0
2010-08-14,5,1,0
2010-08-15,2,1,0
2010-08-16,0,10,0
2010-08-17,0,4,0
2010-08-18,0,10,0
2010-08-19,0,4,0
2010-08-20,0,2,0
2010-08-21,0,1,0
2010-08-22,0,0,0
2010-08-23,0,1,4
2010-08-24,0,5,0
2010-08-25,0,5,0
2010-08-26,1,2,0
2010-08-27,1,0,0
2010-08-28,1,0,0
2010-08-29,1,0,0
2010-08-30,0,7,0
2010-08-31,0,5,0
2010-09-01,0,0,0
2010-09-02,0,1,0
2010-09-03,0,1,0
2010-09-04,0,0,0
2010-09-05,0,0,0
2010-09-06,0,2,0
2010-09-07,0,1,0
2010-09-08,0,2,0
2010-09-09,0,1,0
2010-09-10,1,4,0
2010-09-11,8,0,0
2010-09-12,9,1,0
2010-09-13,6,2,0
2010-09-14,4,7,0
2010-09-15,2,6,0
2010-09-16,2,2,0
2010-09-17,0,6,0
2010-09-18,0,0,0
2010-09-19,1,2,0
2010-09-20,0,7,0
2010-09-21,0,5,0
2010-09-22,0,12,1
2010-09-23,0,5,0
2010-09-24,0,7,0
2010-09-25,5,2,0
2010-09-26,2,1,0
2010-09-27,0,6,0
2010-09-28,0,5,1
2010-09-29,0,1,0
2010-09-30,0,5,0
2010-10-01,0,4,0
2010-10-02,0,0,0
2010-10-03,0,1,0
2010-10-04,0,5,0
2010-10-05,0,0,0
2010-10-06,0,2,0
2010-10-07,0,0,0
2010-10-08,0,2,0
2010-10-09,0,3,0
2010-10-10,0,0,0
2010-10-11,0,5,0
2010-10-12,0,14,2
2010-10-13,0,9,0
2010-10-14,0,0,0
2010-10-15,0,1,0
2010-10-16,0,3,0
2010-10-17,0,1,0
2010-10-18,0,10,0
2010-10-19,0,8,0
2010-10-20,0,11,0
2010-10-21,0,18,0
2010-10-22,0,5,1
2010-10-23,0,5,0
2010-10-24,0,2,0
2010-10-25,0,10,0
2010-10-26,0,6,0
2010-10-27,0,2,0
2010-10-28,1,0,0
2010-10-29,0,6,0
2010-10-30,0,2,0
2010-10-31,7,2,0
2010-11-01,0,7,0
2010-11-02,0,3,0
2010-11-03,0,3,0
2010-11-04,3,3,0
2010-11-05,0,1,3
2010-11-06,1,5,5
2010-11-07,2,6,0
2010-11-08,0,4,0
2010-11-09,1,4,1
2010-11-10,9,9,0
2010-11-11,0,7,0
2010-11-12,11,10,1
2010-11-13,9,5,0
2010-11-14,0,2,0
2010-11-15,0,16,0
2010-11-16,0,9,0
2010-11-17,1,5,0
2010-11-18,5,5,0
2010-11-19,2,5,0
2010-11-20,1,11,0
2010-11-21,2,3,0
2010-11-22,0,15,0
2010-11-23,0,14,1
2010-11-24,0,22,1
2010-11-25,0,23,0
2010-11-26,4,17,0
2010-11-27,0,12,0
2010-11-28,3,9,2
2010-11-29,0,40,0
2010-11-30,0,18,0
2010-12-01,6,19,0
2010-12-02,8,12,17
2010-12-03,2,26,0
2010-12-04,9,66,0
2010-12-05,11,4,0
2010-12-06,0,11,0
2010-12-07,0,7,0
2010-12-08,0,7,0
2010-12-09,0,6,0
2010-12-10,0,7,2
2010-12-11,1,6,0
2010-12-12,2,2,0
2010-12-13,8,11,0
2010-12-14,5,6,0
2010-12-15,3,8,0
2010-12-16,0,2,0
2010-12-17,0,5,0
2010-12-18,1,0,0
2010-12-19,0,1,0
2010-12-20,0,8,0
2010-12-21,13,16,0
