,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2018-05-22,2.0,0.0,32
2018-05-23,-0.20000000000000018,0.0,28
2018-05-24,1.91,0.0,20
2018-05-25,-0.25700000000000023,0.0,17
2018-05-26,-0.13132499999999991,0.0,3
2018-05-27,-0.08923349999999994,0.0,1
2018-05-28,-0.06764902499999977,0.0,7
2018-05-29,0.9455791075000002,0.0,17
2018-05-30,-0.14546065103124994,0.0,34
2018-05-31,-0.08398509757187492,0.0,24
2018-06-01,-0.047636626031249976,0.0,25
2018-06-02,-0.03746020507187488,0.0,5
2018-06-03,-0.016116749999999947,0.0,1
2018-06-04,0.9868379875000001,0.0,38
2018-06-05,-0.11109369625000005,0.0,30
2018-06-06,-0.05456831301562501,0.0,28
2018-06-07,-0.0368988525359375,0.0,28
2018-06-08,0.9793375000000001,0.0,17
2018-06-09,0.88388325,0.0,6
2018-06-10,-0.1581620125000001,0.0,2
2018-06-11,-0.08459369625000002,0.0,18
2018-06-12,-0.058730813015624925,0.0,30
2018-06-13,-0.04517810253593735,0.0,37
2018-06-14,-0.02927876249999991,0.0,22
2018-06-15,-0.024255708749999928,0.0,36
2018-06-16,-0.02066200926562494,0.0,2
2018-06-17,-0.017967165551562456,0.0,2
2018-06-18,-0.008398852535937478,0.0,18
2018-06-19,0.0,0.0,20
2018-06-20,0.0,0.0,21
2018-06-21,0.0,0.0,20
2018-06-22,0.0,0.0,19
2018-06-23,0.0,0.0,5
2018-06-24,0.0,1.0,3
2018-06-25,0.0,0.0,18
2018-06-26,0.0,0.0,16
2018-06-27,0.0,0.0,14
2018-06-28,0.0,0.0,27
2018-06-29,0.0,0.0,22
2018-06-30,0.0,0.0,1
2018-07-01,0.0,0.0,3
2018-07-02,0.0,0.0,10
2018-07-03,0.0,0.0,20
2018-07-04,0.0,0.0,11
2018-07-05,0.0,0.0,20
2018-07-06,0.0,0.0,18
2018-07-07,0.0,0.0,2
2018-07-08,0.0,0.0,3
2018-07-09,0.0,0.0,14
2018-07-10,0.0,0.0,16
2018-07-11,0.0,0.0,21
2018-07-12,0.0,0.0,23
2018-07-13,0.0,0.0,30
2018-07-14,0.0,0.0,3
