,NativeScript/NativeScript,ionic-team/ionic-framework,flutter/flutter
2019-04-16,0,9,16
2019-04-17,1,9,13
2019-04-18,0,1,18
2019-04-19,0,0,13
2019-04-20,0,0,1
2019-04-21,0,0,0
2019-04-22,0,2,19
2019-04-23,1,2,15
2019-04-24,0,3,17
2019-04-25,0,3,29
2019-04-26,0,3,17
2019-04-27,0,0,6
2019-04-28,0,0,1
2019-04-29,0,1,21
2019-04-30,0,0,17
2019-05-01,2,1,23
2019-05-02,0,0,22
2019-05-03,6,0,17
2019-05-04,0,0,9
2019-05-05,0,0,0
2019-05-06,3,1,16
2019-05-07,11,7,8
2019-05-08,9,6,9
2019-05-09,10,1,13
2019-05-10,6,1,20
2019-05-11,1,0,2
2019-05-12,0,0,3
2019-05-13,2,0,13
2019-05-14,2,7,19
2019-05-15,4,2,14
2019-05-16,1,0,13
2019-05-17,2,1,10
2019-05-18,0,0,3
2019-05-19,0,0,2
2019-05-20,1,4,20
2019-05-21,6,8,22
2019-05-22,9,12,8
2019-05-23,1,2,8
2019-05-24,0,4,9
2019-05-25,0,0,3
2019-05-26,0,1,2
2019-05-27,0,0,2
2019-05-28,0,0,13
2019-05-29,0,5,15
2019-05-30,0,1,31
2019-05-31,3,1,14
2019-06-01,0,0,8
2019-06-02,0,0,1
2019-06-03,5,7,25
2019-06-04,2,0,23
2019-06-05,3,0,14
2019-06-06,4,0,23
2019-06-07,2,0,19
2019-06-08,0,0,13
2019-06-09,0,0,6
2019-06-10,1,7,19
2019-06-11,0,18,18
2019-06-12,1,10,15
2019-06-13,1,1,16
2019-06-14,0,0,16
2019-06-15,0,0,7
2019-06-16,0,0,4
2019-06-17,2,0,5
2019-06-18,2,0,16
2019-06-19,0,1,23
2019-06-20,1,1,19
2019-06-21,5,4,11
2019-06-22,0,0,7
2019-06-23,0,1,4
2019-06-24,3,1,9
2019-06-25,8,3,13
2019-06-26,8,5,14
2019-06-27,6,5,17
2019-06-28,9,5,26
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,1,6,8
2019-07-02,0,5,5
2019-07-03,5,3,13
2019-07-04,2,0,2
2019-07-05,0,3,1
2019-07-06,0,1,0
2019-07-07,0,0,0
2019-07-08,2,2,17
2019-07-09,5,7,16
2019-07-10,11,8,13
2019-07-11,1,1,15
2019-07-12,0,3,16
2019-07-13,0,0,5
2019-07-14,0,0,0
2019-07-15,1,1,7
2019-07-16,13,0,13
2019-07-17,11,3,27
2019-07-18,4,3,14
2019-07-19,5,1,23
2019-07-20,1,0,3
2019-07-21,0,0,6
2019-07-22,4,5,19
2019-07-23,0,6,16
2019-07-24,1,10,17
2019-07-25,4,6,11
2019-07-26,4,4,15
2019-07-27,0,0,9
2019-07-28,2,0,2
2019-07-29,1,1,11
2019-07-30,2,4,16
2019-07-31,3,1,15
2019-08-01,4,0,19
2019-08-02,9,1,19
2019-08-03,0,0,5
2019-08-04,0,0,3
2019-08-05,2,1,8
2019-08-06,0,9,25
2019-08-07,6,13,19
2019-08-08,2,9,18
2019-08-09,0,0,22
2019-08-10,0,0,5
2019-08-11,0,0,0
2019-08-12,2,2,13
2019-08-13,2,4,6
2019-08-14,5,0,23
2019-08-15,5,1,30
2019-08-16,1,2,28
2019-08-17,0,0,5
2019-08-18,2,0,3
2019-08-19,5,1,14
2019-08-20,4,4,32
2019-08-21,2,6,20
2019-08-22,4,3,19
2019-08-23,3,6,16
2019-08-24,0,0,3
2019-08-25,0,0,2
2019-08-26,1,4,14
2019-08-27,0,11,17
2019-08-28,4,3,31
2019-08-29,3,2,15
2019-08-30,2,3,15
2019-08-31,0,0,10
2019-09-01,0,0,0
2019-09-02,0,0,13
2019-09-03,0,2,25
2019-09-04,1,5,5
2019-09-05,0,4,21
2019-09-06,0,0,17
2019-09-07,0,0,5
2019-09-08,0,0,0
2019-09-09,0,1,2
2019-09-10,5,4,21
2019-09-11,1,2,21
2019-09-12,3,3,19
2019-09-13,3,0,16
2019-09-14,0,0,10
2019-09-15,0,0,0
2019-09-16,0,4,27
2019-09-17,2,0,12
2019-09-18,1,0,20
2019-09-19,3,0,20
2019-09-20,0,7,13
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,0,0,4
2019-09-24,1,4,25
2019-09-25,1,4,21
2019-09-26,0,3,27
2019-09-27,1,10,23
2019-09-28,1,0,7
2019-09-29,0,0,4
2019-09-30,1,1,18
2019-10-01,2,0,14
2019-10-02,6,7,23
2019-10-03,1,0,9
2019-10-04,3,2,28
2019-10-05,0,0,5
2019-10-06,0,0,2
2019-10-07,2,6,13
2019-10-08,5,8,14
2019-10-09,3,7,23
2019-10-10,6,21,35
