,seaweedfs/seaweedfs,minio/minio,ceph/ceph
2018-11-30,0,4,47.0
2018-12-01,0,1,9.0
2018-12-02,1,0,13.0
2018-12-03,8,2,20.0
2018-12-04,10,2,30.0
2018-12-05,5,6,38.0
2018-12-06,4,3,73.0
2018-12-07,5,1,36.0
2018-12-08,2,0,8.0
2018-12-09,6,0,4.0
2018-12-10,0,1,35.0
2018-12-11,4,1,114.0
2018-12-12,0,6,33.0
2018-12-13,0,2,46.0
2018-12-14,1,6,20.0
2018-12-15,2,2,1.0
2018-12-16,2,0,3.0
2018-12-17,9,0,33.0
2018-12-18,3,7,63.0
2018-12-19,2,8,27.0
2018-12-20,0,2,38.0
2018-12-21,3,0,75.0
2018-12-22,8,1,13.0
2018-12-23,1,2,7.0
2018-12-24,1,0,7.0
2018-12-25,2,0,2.0
2018-12-26,2,1,4.0
2018-12-27,13,3,1.0
2018-12-28,7,2,1.0
2018-12-29,8,2,2.0
2018-12-30,3,0,3.0
2018-12-31,5,1,8.0
2019-01-01,3,0,17.0
2019-01-02,8,1,36.0
2019-01-03,0,0,109.0
2019-01-04,2,1,105.0
2019-01-05,3,1,5.0
2019-01-06,5,0,5.0
2019-01-07,2,1,18.0
2019-01-08,1,2,38.0
2019-01-09,3,4,38.0
2019-01-10,7,3,33.0
2019-01-11,1,1,54.0
2019-01-12,1,0,15.0
2019-01-13,2,0,3.0
2019-01-14,0,2,44.0
2019-01-15,2,3,49.0
2019-01-16,3,8,52.0
2019-01-17,3,3,31.0
2019-01-18,7,2,57.0
2019-01-19,0,0,8.0
2019-01-20,0,5,17.0
2019-01-21,0,1,13.0
2019-01-22,3,5,13.0
2019-01-23,2,6,68.0
2019-01-24,0,3,31.0
2019-01-25,2,2,54.0
2019-01-26,4,0,27.0
2019-01-27,0,0,23.0
2019-01-28,5,1,35.0
2019-01-29,0,6,42.0
2019-01-30,0,5,39.0
2019-01-31,0,3,85.0
2019-02-01,0,4,33.0
2019-02-02,0,1,18.0
2019-02-03,0,0,17.0
2019-02-04,0,1,19.0
2019-02-05,0,4,29.0
2019-02-06,2,7,24.0
2019-02-07,0,2,123.0
2019-02-08,0,1,31.0
2019-02-09,3,4,5.0
2019-02-10,2,2,1.0
2019-02-11,0,3,31.0
2019-02-12,0,7,61.0
2019-02-13,0,5,82.0
2019-02-14,2,3,57.0
2019-02-15,5,2,40.0
2019-02-16,4,1,23.0
2019-02-17,0,0,8.0
2019-02-18,3,0,28.0
2019-02-19,7,1,68.0
2019-02-20,4,5,63.0
2019-02-21,0,4,119.0
2019-02-22,0,0,39.0
2019-02-23,0,2,8.0
2019-02-24,0,2,3.0
2019-02-25,6,2,55.0
2019-02-26,2,3,25.0
2019-02-27,2,4,49.0
2019-02-28,2,3,54.0
2019-03-01,0,1,59.0
2019-03-02,1,0,11.0
2019-03-03,1,1,8.0
2019-03-04,5,1,40.0
2019-03-05,0,4,27.0
2019-03-06,3,4,28.0
2019-03-07,0,2,41.0
2019-03-08,0,2,46.0
2019-03-09,1,1,14.0
2019-03-10,0,0,27.0
2019-03-11,5,0,42.0
2019-03-12,0,1,52.0
2019-03-13,0,2,34.0
2019-03-14,2,6,29.0
2019-03-15,7,0,81.0
2019-03-16,5,0,29.0
2019-03-17,0,2,10.0
2019-03-18,8,3,21.0
2019-03-19,3,3,31.0
2019-03-20,10,4,94.0
2019-03-21,2,3,109.0
2019-03-22,0,0,88.0
2019-03-23,5,1,9.0
2019-03-24,0,0,6.0
2019-03-25,3,7,45.0
2019-03-26,6,2,51.0
2019-03-27,2,4,36.0
2019-03-28,3,1,29.0
2019-03-29,0,0,162.0
2019-03-30,2,0,6.0
2019-03-31,5,1,4.0
2019-04-01,3,1,27.0
2019-04-02,2,5,49.0
2019-04-03,1,2,49.0
2019-04-04,1,5,36.0
2019-04-05,11,2,63.0
2019-04-06,17,0,4.0
2019-04-07,3,0,7.0
2019-04-08,1,2,62.0
2019-04-09,12,4,40.0
2019-04-10,2,3,17.0
2019-04-11,10,0,37.0
2019-04-12,3,4,54.0
2019-04-13,0,1,21.0
2019-04-14,0,0,8.0
2019-04-15,3,0,23.0
2019-04-16,14,0,55.0
2019-04-17,2,2,46.0
2019-04-18,4,7,27.0
2019-04-19,9,1,13.0
2019-04-20,4,0,13.0
2019-04-21,12,0,2.0
2019-04-22,1,2,34.0
2019-04-23,0,3,33.0
2019-04-24,9,2,58.0
2019-04-25,4,1,48.0
2019-04-26,2,2,23.0
2019-04-27,0,1,7.0
2019-04-28,0,0,35.0
2019-04-29,3,4,45.0
2019-04-30,4,1,28.0
2019-05-01,0,2,95.0
2019-05-02,1,5,28.0
2019-05-03,7,2,13.0
2019-05-04,8,0,6.0
2019-05-05,1,0,4.0
2019-05-06,13,1,47.0
2019-05-07,1,4,40.0
2019-05-08,0,0,39.0
2019-05-09,0,1,54.0
2019-05-10,1,1,45.0
2019-05-11,2,1,3.0
2019-05-12,1,1,4.0
2019-05-13,0,2,32.0
2019-05-14,0,4,18.0
2019-05-15,4,1,13.0
2019-05-16,1,3,8.0
2019-05-17,3,2,11.0
2019-05-18,5,0,0.0
2019-05-19,3,0,2.0
2019-05-20,6,1,6.0
2019-05-21,0,0,19.0
2019-05-22,1,7,3.0
2019-05-23,3,1,13.0
2019-05-24,5,1,8.0
2019-05-25,2,0,1.0
2019-05-26,6,0,1.0
2019-05-27,2,0,16.0
2019-05-28,8,2,37.0
2019-05-29,3,6,58.0
2019-05-30,6,3,43.0
2019-05-31,4,3,35.0
2019-06-01,5,1,2.0
2019-06-02,0,0,1.0
2019-06-03,4,4,43.0
2019-06-04,5,4,48.0
2019-06-05,10,1,43.0
2019-06-06,5,1,39.0
2019-06-07,1,2,19.0
2019-06-08,0,1,19.0
2019-06-09,0,2,5.0
2019-06-10,0,1,13.0
2019-06-11,5,5,44.0
2019-06-12,0,4,43.0
2019-06-13,1,2,22.0
2019-06-14,3,0,40.0
2019-06-15,1,5,6.0
2019-06-16,3,0,2.0
2019-06-17,3,1,18.0
2019-06-18,1,3,26.0
2019-06-19,0,3,34.0
2019-06-20,5,3,46.0
2019-06-21,10,4,31.0
2019-06-22,7,0,4.0
2019-06-23,9,1,7.0
2019-06-24,2,2,57.0
2019-06-25,1,5,28.0
2019-06-26,3,1,23.0
2019-06-27,3,6,22.0
2019-06-28,3,0,25.0
2019-06-29,1,1,21.0
2019-06-30,2,0,6.0
2019-07-01,4,1,22.0
2019-07-02,0,1,116.0
2019-07-03,6,5,36.0
2019-07-04,0,1,25.0
2019-07-05,0,7,32.0
2019-07-06,0,2,1.0
2019-07-07,0,0,3.0
2019-07-08,4,1,33.0
2019-07-09,0,2,38.0
2019-07-10,1,5,36.0
2019-07-11,3,4,27.0
2019-07-12,0,4,50.0
2019-07-13,0,1,17.0
2019-07-14,0,0,0.0
2019-07-15,1,3,33.0
2019-07-16,1,1,49.0
2019-07-17,3,4,49.0
2019-07-18,5,3,25.0
2019-07-19,0,2,56.0
2019-07-20,0,2,11.0
2019-07-21,7,1,1.0
2019-07-22,4,0,52.0
2019-07-23,0,5,33.0
2019-07-24,4,4,33.0
2019-07-25,2,5,61.0
2019-07-26,1,4,66.0
2019-07-27,0,0,10.0
2019-07-28,2,1,7.0
2019-07-29,0,2,156.0
2019-07-30,1,2,45.0
2019-07-31,4,4,53.0
2019-08-01,3,5,38.0
2019-08-02,0,4,27.0
2019-08-03,0,0,70.0
2019-08-04,0,0,5.0
2019-08-05,2,3,48.0
2019-08-06,1,1,65.0
2019-08-07,0,2,34.0
2019-08-08,0,3,44.0
2019-08-09,1,3,26.0
2019-08-10,2,3,0.0
2019-08-11,0,1,3.0
2019-08-12,1,2,41.0
2019-08-13,0,9,23.0
2019-08-14,1,5,22.0
2019-08-15,4,3,58.0
2019-08-16,2,0,36.0
2019-08-17,0,1,5.0
2019-08-18,0,0,1.0
2019-08-19,2,4,52.0
2019-08-20,0,1,49.0
2019-08-21,2,6,28.0
2019-08-22,0,2,31.0
2019-08-23,4,3,97.0
2019-08-24,0,1,23.0
2019-08-25,0,1,10.0
2019-08-26,1,0,46.0
2019-08-27,0,1,54.0
2019-08-28,0,4,81.0
2019-08-29,0,3,22.0
2019-08-30,8,4,40.0
2019-08-31,0,3,2.0
2019-09-01,2,1,0.0
2019-09-02,4,0,15.0
2019-09-03,13,1,44.0
2019-09-04,3,2,36.0
2019-09-05,9,6,62.0
2019-09-06,4,1,42.0
2019-09-07,0,0,5.0
2019-09-08,0,1,2.0
2019-09-09,2,1,42.0
2019-09-10,2,3,49.0
2019-09-11,3,6,68.0
2019-09-12,3,8,40.0
2019-09-13,1,3,114.0
2019-09-14,2,0,6.0
2019-09-15,0,0,6.0
2019-09-16,2,5,64.0
2019-09-17,0,7,51.0
2019-09-18,0,5,68.0
2019-09-19,2,3,44.0
2019-09-20,1,5,25.0
2019-09-21,0,0,3.0
2019-09-22,0,5,27.0
2019-09-23,0,6,35.0
2019-09-24,0,2,34.0
2019-09-25,0,5,41.0
2019-09-26,0,5,52.0
2019-09-27,0,5,61.0
2019-09-28,0,0,35.0
2019-09-29,4,0,14.0
2019-09-30,0,4,37.0
2019-10-01,2,11,53.0
2019-10-02,0,3,47.0
2019-10-03,0,2,27.0
2019-10-04,0,2,57.0
2019-10-05,0,0,62.0
2019-10-06,1,1,12.0
2019-10-07,3,2,20.0
2019-10-08,0,2,47.0
2019-10-09,4,1,30.0
2019-10-10,2,3,64.0
2019-10-11,0,4,37.0
2019-10-12,3,5,8.0
2019-10-13,0,0,0.0
2019-10-14,5,2,17.0
2019-10-15,0,0,40.0
2019-10-16,0,5,35.0
2019-10-17,0,2,16.0
2019-10-18,4,3,24.0
2019-10-19,0,0,14.0
2019-10-20,0,0,3.0
2019-10-21,0,2,37.0
2019-10-22,8,1,44.0
2019-10-23,2,4,60.0
2019-10-24,7,1,43.0
2019-10-25,9,1,48.0
2019-10-26,0,0,5.0
2019-10-27,1,1,23.0
2019-10-28,0,4,53.0
2019-10-29,3,2,44.0
2019-10-30,8,6,39.0
2019-10-31,3,3,23.0
2019-11-01,0,2,63.0
2019-11-02,0,0,17.0
2019-11-03,0,0,17.0
2019-11-04,1,2,74.0
2019-11-05,1,2,51.0
2019-11-06,0,0,55.0
2019-11-07,0,0,58.0
2019-11-08,2,1,66.0
2019-11-09,5,2,23.0
2019-11-10,5,0,10.0
2019-11-11,4,2,47.0
2019-11-12,7,4,66.0
2019-11-13,1,4,46.0
2019-11-14,0,5,37.0
2019-11-15,1,2,34.0
2019-11-16,0,2,11.0
2019-11-17,1,0,22.0
2019-11-18,0,0,42.0
2019-11-19,4,2,43.0
2019-11-20,2,6,103.0
2019-11-21,0,6,69.0
2019-11-22,3,6,43.0
2019-11-23,2,0,7.0
2019-11-24,0,0,21.0
2019-11-25,2,1,26.0
2019-11-26,0,4,59.0
2019-11-27,9,2,40.0
2019-11-28,3,1,35.0
2019-11-29,9,3,8.0
