,RevenueCat/purchases-ios,apphud/ApphudSDK,bizz84/swiftystorekit
2019-07-04,0.0,0,0
2019-07-05,0.0,0,0
2019-07-06,0.0,0,0
2019-07-07,0.0,0,0
2019-07-08,0.0,0,0
2019-07-09,2.0,0,0
2019-07-10,1.4,0,0
2019-07-11,-0.8099999999999999,0,1
2019-07-12,1.6710000000000003,0,0
2019-07-13,-0.7993250000000001,0,0
2019-07-14,-0.34976549999999984,0,7
2019-07-15,-0.22500222499999992,0,0
2019-07-16,0.8351987275,0,0
2019-07-17,2.57089151896875,0,0
2019-07-18,-1.1104819849968752,0,0
2019-07-19,-0.4395813739656248,0,0
2019-07-20,-0.25041593353125,0,0
2019-07-21,-0.17737457646562504,0,0
2019-07-22,-0.11244161249999998,0,0
2019-07-23,-0.08879986124999999,1,0
2019-07-24,-0.07274853801562506,4,0
2019-07-25,-0.06121356352968765,0,0
2019-07-26,-0.04075023969843757,0,0
2019-07-27,0.0,0,0
2019-07-28,0.0,0,0
2019-07-29,0.0,0,0
2019-07-30,1.0,0,0
2019-07-31,0.7,0,0
2019-08-01,-0.40499999999999997,0,0
2019-08-02,-0.1644999999999999,0,0
2019-08-03,-0.09966249999999996,0,0
2019-08-04,-0.06988275,0,0
2019-08-05,-0.05300111249999999,0,0
2019-08-06,-0.04223813625,1,0
2019-08-07,-0.03483399051562505,12,0
2019-08-08,-0.02946012999843757,0,0
2019-08-09,-0.013583413232812524,0,0
2019-08-10,0.0,0,0
2019-08-11,0.0,0,0
2019-08-12,0.0,0,0
2019-08-13,0.0,0,0
2019-08-14,0.0,0,0
2019-08-15,0.0,4,0
2019-08-16,0.0,0,0
2019-08-17,0.0,0,0
2019-08-18,0.0,0,0
2019-08-19,1.0,0,0
2019-08-20,2.7,0,0
2019-08-21,2.995,0,0
2019-08-22,-1.5745,0,1
2019-08-23,-0.6386624999999996,0,0
2019-08-24,-0.38820774999999985,1,0
2019-08-25,-0.27309161249999997,0,0
2019-08-26,-0.20768086124999996,0,0
2019-08-27,0.834128011984375,0,0
2019-08-28,-0.4370426585296877,0,0
2019-08-29,-0.20925710676093767,0,0
2019-08-30,-0.11383365293125006,0,0
2019-08-31,-0.0401625,0,0
2019-09-01,-0.029720249999999997,0,0
2019-09-02,-0.023280862499999996,0,0
2019-09-03,-0.018957273750000003,0,0
2019-09-04,-0.015876716765625045,0,0
2019-09-05,-0.013583413232812524,0,1
2019-09-06,0.0,3,0
2019-09-07,0.0,0,0
2019-09-08,0.0,0,0
2019-09-09,0.0,1,0
2019-09-10,0.0,1,0
2019-09-11,0.0,0,0
2019-09-12,0.0,0,0
2019-09-13,0.0,0,0
2019-09-14,0.0,0,0
2019-09-15,0.0,0,0
2019-09-16,0.0,0,0
2019-09-17,0.0,0,0
2019-09-18,0.0,0,0
2019-09-19,0.0,1,0
2019-09-20,0.0,0,0
2019-09-21,0.0,0,0
2019-09-22,0.0,0,0
2019-09-23,0.0,1,0
2019-09-24,0.0,2,0
2019-09-25,0.0,1,0
2019-09-26,1.0,2,0
2019-09-27,-0.30000000000000004,1,0
2019-09-28,-0.10499999999999993,0,0
2019-09-29,-0.05949999999999997,1,0
2019-09-30,-0.0401625,0,9
2019-10-01,-0.029720249999999997,1,0
2019-10-02,-0.023280862499999996,0,0
2019-10-03,-0.018957273750000003,0,0
2019-10-04,-0.015876716765625045,2,0
2019-10-05,-0.013583413232812524,0,0
2019-10-06,0.0,0,0
2019-10-07,0.0,0,0
2019-10-08,1.0,0,0
2019-10-09,1.7,0,0
2019-10-10,-0.7050000000000001,5,0
2019-10-11,-0.26949999999999985,0,0
2019-10-12,-0.15916249999999993,6,0
2019-10-13,-0.11004524999999998,0,0
2019-10-14,-0.08272136249999999,0,0
2019-10-15,-0.06551899875,0,0
2019-10-16,-0.053791264265625055,1,0
2019-10-17,-0.04533684676406261,0,0
2019-10-18,-0.027166826465625047,2,0
2019-10-19,0.0,0,0
2019-10-20,0.0,0,0
2019-10-21,0.0,0,0
2019-10-22,0.0,0,0
2019-10-23,0.0,1,0
2019-10-24,0.0,0,0
2019-10-25,0.0,0,0
2019-10-26,0.0,0,0
2019-10-27,0.0,0,0
2019-10-28,0.0,0,0
2019-10-29,0.0,1,0
2019-10-30,0.0,0,2
2019-10-31,0.0,4,0
2019-11-01,0.0,0,0
2019-11-02,0.0,0,0
2019-11-03,0.0,0,0
2019-11-04,0.0,0,0
2019-11-05,4.0,0,0
2019-11-06,-1.2000000000000002,0,0
2019-11-07,-0.4199999999999997,0,0
2019-11-08,-0.23799999999999988,0,0
2019-11-09,-0.16065,0,0
2019-11-10,-0.11888099999999999,0,0
2019-11-11,-0.09312344999999998,0,0
2019-11-12,-0.07582909500000001,0,0
2019-11-13,2.9364931329374997,0,0
2019-11-14,-0.9543336529312503,0,0
2019-11-15,0.6850000000000003,0,0
2019-11-16,-0.4784999999999999,1,0
2019-11-17,-0.22548749999999992,0,0
2019-11-18,-0.14866074999999995,0,0
2019-11-19,-0.11000508749999999,0,0
2019-11-20,-0.08659207125000001,0,0
2019-11-21,-0.07091101279687513,0,0
2019-11-22,-0.059707513448437576,0,0
2019-11-23,-0.015876716765625045,0,0
2019-11-24,-0.013583413232812524,1,0
2019-11-25,0.0,0,0
2019-11-26,0.0,0,0
2019-11-27,0.0,0,0
2019-11-28,0.0,0,0
2019-11-29,0.0,0,0
2019-11-30,0.0,0,0
2019-12-01,0.0,3,0
2019-12-02,0.0,0,0
2019-12-03,0.0,0,0
2019-12-04,0.0,0,0
2019-12-05,0.0,0,0
2019-12-06,0.0,0,0
2019-12-07,0.0,0,0
2019-12-08,0.0,0,0
2019-12-09,0.0,2,0
2019-12-10,0.0,0,0
2019-12-11,0.0,0,0
2019-12-12,0.0,0,0
2019-12-13,1.0,0,0
2019-12-14,-0.30000000000000004,0,0
2019-12-15,-0.10499999999999993,0,0
2019-12-16,-0.05949999999999997,1,0
2019-12-17,2.9598375,0,0
2019-12-18,-0.9297202500000001,0,0
2019-12-19,-0.3382808624999998,0,0
2019-12-20,-0.1974572737499999,0,0
2019-12-21,-0.13636421676562505,0,0
2019-12-22,-0.1027441632328125,0,0
2019-12-23,-0.06984258749999998,0,0
2019-12-24,-0.05687182125000001,0,0
2019-12-25,-0.04763015029687513,0,0
2019-12-26,-0.04075023969843757,0,0
2019-12-27,0.0,0,0
