,apache/superset,getredash/redash,metabase/metabase
2019-09-02,2,5,2
2019-09-03,2,1,2
2019-09-04,2,2,9
2019-09-05,2,0,4
2019-09-06,2,0,2
2019-09-07,0,0,2
2019-09-08,5,0,1
2019-09-09,5,6,0
2019-09-10,7,0,0
2019-09-11,3,2,3
2019-09-12,1,2,4
2019-09-13,2,1,9
2019-09-14,0,0,0
2019-09-15,0,2,0
2019-09-16,0,3,2
2019-09-17,5,0,2
2019-09-18,8,2,4
2019-09-19,5,0,3
2019-09-20,1,1,16
2019-09-21,0,0,2
2019-09-22,2,6,1
2019-09-23,5,1,2
2019-09-24,1,2,2
2019-09-25,1,2,1
2019-09-26,0,0,3
2019-09-27,2,1,8
2019-09-28,1,0,1
2019-09-29,2,0,0
2019-09-30,2,1,2
2019-10-01,4,0,10
2019-10-02,2,2,10
2019-10-03,0,1,4
2019-10-04,6,0,3
2019-10-05,0,1,1
2019-10-06,3,6,0
2019-10-07,0,2,9
2019-10-08,1,0,7
2019-10-09,1,0,10
2019-10-10,3,3,2
2019-10-11,2,2,0
2019-10-12,1,0,0
2019-10-13,0,0,0
2019-10-14,0,1,0
2019-10-15,2,5,7
2019-10-16,1,2,1
2019-10-17,3,3,1
2019-10-18,1,0,0
2019-10-19,0,2,1
2019-10-20,0,0,0
2019-10-21,3,0,6
2019-10-22,2,2,0
2019-10-23,4,3,2
2019-10-24,3,5,0
2019-10-25,3,1,0
2019-10-26,1,0,0
2019-10-27,0,1,0
2019-10-28,5,3,1
2019-10-29,2,1,0
2019-10-30,5,1,3
2019-10-31,5,1,8
2019-11-01,1,0,0
2019-11-02,2,1,0
2019-11-03,0,0,0
2019-11-04,7,0,3
2019-11-05,7,1,0
2019-11-06,3,1,2
2019-11-07,2,2,4
2019-11-08,2,0,8
2019-11-09,0,0,1
2019-11-10,2,1,0
2019-11-11,0,4,1
2019-11-12,8,0,2
2019-11-13,5,4,2
2019-11-14,2,4,0
2019-11-15,9,0,1
2019-11-16,1,0,2
2019-11-17,0,0,0
2019-11-18,3,1,3
2019-11-19,7,0,4
2019-11-20,13,2,0
2019-11-21,3,1,2
2019-11-22,3,0,0
2019-11-23,2,0,0
2019-11-24,1,5,0
2019-11-25,2,1,4
2019-11-26,3,2,1
2019-11-27,8,6,3
2019-11-28,2,0,0
2019-11-29,1,0,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,5,1,7
2019-12-03,13,1,5
2019-12-04,15,4,1
2019-12-05,6,3,2
2019-12-06,5,0,4
2019-12-07,0,0,0
2019-12-08,7,0,0
2019-12-09,1,0,4
2019-12-10,8,1,1
2019-12-11,4,6,11
2019-12-12,3,1,5
2019-12-13,2,1,5
2019-12-14,0,1,9
2019-12-15,0,0,0
2019-12-16,4,1,2
2019-12-17,5,1,4
2019-12-18,3,0,6
2019-12-19,2,0,7
2019-12-20,4,1,3
2019-12-21,0,0,0
2019-12-22,1,0,0
2019-12-23,0,0,0
2019-12-24,0,5,0
2019-12-25,0,7,0
2019-12-26,0,3,1
2019-12-27,0,0,1
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,5,0
2019-12-31,3,1,0
2020-01-01,0,1,0
2020-01-02,1,0,0
2020-01-03,3,0,2
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,2,2,6
2020-01-07,1,0,4
2020-01-08,2,2,5
2020-01-09,0,1,3
2020-01-10,5,1,13
2020-01-11,0,0,4
2020-01-12,0,3,0
2020-01-13,4,3,14
2020-01-14,2,3,13
2020-01-15,6,0,1
2020-01-16,4,2,8
2020-01-17,1,0,6
2020-01-18,0,0,3
2020-01-19,0,0,0
2020-01-20,0,4,0
2020-01-21,2,4,8
2020-01-22,4,2,12
2020-01-23,6,7,9
2020-01-24,6,0,7
2020-01-25,3,0,3
2020-01-26,2,1,0
2020-01-27,2,0,3
2020-01-28,4,1,2
2020-01-29,7,1,0
2020-01-30,4,0,1
2020-01-31,3,0,8
2020-02-01,1,0,0
2020-02-02,3,0,0
2020-02-03,5,1,3
2020-02-04,4,0,6
2020-02-05,6,0,5
2020-02-06,2,1,3
2020-02-07,4,0,0
2020-02-08,2,0,0
2020-02-09,0,11,0
2020-02-10,1,4,2
2020-02-11,1,2,0
2020-02-12,2,0,0
2020-02-13,0,1,5
2020-02-14,6,0,4
2020-02-15,0,0,6
2020-02-16,0,1,0
2020-02-17,4,0,1
2020-02-18,3,3,2
2020-02-19,5,1,1
2020-02-20,4,2,3
2020-02-21,0,0,8
2020-02-22,1,0,0
2020-02-23,1,2,0
2020-02-24,9,3,1
2020-02-25,2,1,5
2020-02-26,5,4,5
2020-02-27,2,2,2
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,6,0
2020-03-02,3,0,6
2020-03-03,4,3,3
2020-03-04,2,3,7
