,vercel/next.js,gohugoio/hugo,gatsbyjs/gatsby
2020-12-05,0,1,0.0
2020-12-06,0,0,0.0
2020-12-07,5,0,5.0
2020-12-08,5,0,6.5
2020-12-09,5,1,16.075
2020-12-10,3,0,7.842499999999998
2020-12-11,1,0,2.9321874999999986
2020-12-12,4,0,-1.6597212500000005
2020-12-13,0,0,-1.0398898124999985
2020-12-14,5,0,2.229287681250002
2020-12-15,0,0,13.086268348671876
2020-12-16,6,4,10.955230834960938
2020-12-17,5,3,13.586299685982812
2020-12-18,4,1,3.0600803954828115
2020-12-19,0,2,-1.1599553404374996
2020-12-20,0,0,-1.4017273001796862
2020-12-21,3,0,2.0263329862500026
2020-12-22,11,1,3.934534150953127
2020-12-23,0,1,-0.2663261910765611
2020-12-24,0,0,0.07494003029375118
2020-12-25,1,0,-0.6914897812171866
2020-12-26,0,0,-0.428047964918749
2020-12-27,2,0,-0.22919371573124941
2020-12-28,19,1,-0.14426925378593705
2020-12-29,13,0,6.886547817203125
2020-12-30,19,2,0.2027061685640621
2020-12-31,13,8,-0.4776562719453127
2021-01-01,7,1,-0.26246716555156263
2021-01-02,2,1,-0.18153635253593697
2021-01-03,4,1,-0.13347974999999956
2021-01-04,36,0,15.8917491625
2021-01-05,11,0,8.30918211375
2021-01-06,19,0,0.20192811264062382
2021-01-07,7,0,2.8256397192328118
2021-01-08,0,3,10.886001147464063
2021-01-09,0,0,-0.9014929999999997
2021-01-10,1,0,-1.1670846999999993
2021-01-11,20,0,12.188997235
2021-01-12,2,0,7.068729004250001
2021-01-13,7,0,-0.003963713231249777
2021-01-14,6,0,10.702939163609376
2021-01-15,10,0,4.983530175365625
2021-01-16,1,0,-1.8519891125812493
2021-01-17,5,0,-1.124836455946874
2021-01-18,4,1,9.249241483714064
2021-01-19,11,1,5.411406139546876
2021-01-20,5,2,5.361751307392188
2021-01-21,3,1,1.3800152586453125
2021-01-22,8,4,3.769601664990626
2021-01-23,4,1,-1.3080694215406243
2021-01-24,3,0,-0.7583668427515613
2021-01-25,14,0,9.479624200000002
2021-01-26,16,0,4.58286415859375
2021-01-27,2,0,6.60130762228125
2021-01-28,2,0,7.420138689889062
2021-01-29,9,0,0.2194096119515625
2021-01-30,2,0,-1.191180622685937
2021-01-31,0,0,-0.7821148876796864
2021-02-01,5,4,-0.5618055374999983
2021-02-02,4,0,3.5460828423437514
2021-02-03,7,0,3.2191604140468755
2021-02-04,5,3,4.166893089409375
2021-02-05,6,0,5.030506970071875
2021-02-06,1,3,-0.1163762988546877
2021-02-07,5,0,-0.6764147050718747
2021-02-08,0,2,7.563572450000001
2021-02-09,5,3,13.869918415
2021-02-10,0,0,7.874178900437499
2021-02-11,5,0,7.874574031543749
2021-02-12,4,0,7.796038834778124
2021-02-13,0,0,-2.284369337023437
2021-02-14,0,1,-0.3486337782312485
2021-02-15,2,2,6.952628889964064
2021-02-16,6,4,3.4126354271250015
2021-02-17,3,0,9.497059896978126
2021-02-18,7,18,5.9621144943046875
2021-02-19,6,5,20.090474631984375
2021-02-20,1,1,-1.2985801680156261
2021-02-21,1,0,2.0737504283906256
2021-02-22,5,1,18.376287804484377
2021-02-23,3,4,11.894295024589063
2021-02-24,10,1,7.747747355884375
2021-02-25,6,1,12.014556949148439
2021-02-26,2,0,12.660463775479688
2021-02-27,3,0,1.426698350868751
2021-02-28,0,1,-0.6280651668218735
2021-03-01,7,0,21.157403180365627
2021-03-02,9,0,17.358999498293752
2021-03-03,8,3,3.815856907796876
2021-03-04,5,1,0.8693593750390627
2021-03-05,4,0,9.654807724370315
2021-03-06,0,0,-2.77346605253906
2021-03-07,1,0,-1.664888635653122
2021-03-08,11,0,7.853727835039065
2021-03-09,7,1,6.2124503743187525
2021-03-10,3,0,5.066093198345314
2021-03-11,3,1,5.228258657620312
2021-03-12,6,0,-1.6675509273499998
2021-03-13,0,2,-0.9732659163312489
2021-03-14,1,4,-0.6923158429312486
2021-03-15,8,0,7.537405883750002
2021-03-16,9,0,1.8201842753593753
2021-03-17,5,0,3.018073861801563
2021-03-18,11,0,5.025175114853125
2021-03-19,10,0,2.843429841139063
2021-03-20,2,3,-0.033713467751562254
2021-03-21,0,11,-0.6872963499999996
2021-03-22,8,0,4.524322392500001
2021-03-23,11,0,6.129673857125001
2021-03-24,10,0,0.770627880665625
2021-03-25,1,0,5.143703212829688
2021-03-26,6,0,5.8586454142625
2021-03-27,0,0,-1.3519813135281247
2021-03-28,3,1,-0.7491160356593745
2021-03-29,12,1,4.488290078714064
2021-03-30,3,2,12.106840536171877
2021-03-31,4,0,-1.8479491712890628
2021-04-01,7,2,3.0358751412171876
2021-04-02,7,0,2.9743240430843754
2021-04-03,0,0,-1.046567556324999
2021-04-04,2,0,-0.6281197802515617
2021-04-05,4,0,3.5767753562500006
2021-04-06,6,1,8.260823383671875
2021-04-07,4,1,5.636502618117188
2021-04-08,8,0,3.574792082032812
2021-04-09,3,2,10.763201962937499
2021-04-10,0,0,-1.9467981622062505
2021-04-11,2,0,0.9415682898562507
2021-04-12,10,2,11.0790373525
2021-04-13,5,0,4.1512156441875
2021-04-14,5,0,2.346422836465625
2021-04-15,7,3,1.5906945048171879
2021-04-16,4,1,3.8290586121703134
2021-04-17,6,0,-0.24951404386718656
2021-04-18,6,0,-0.8707682729312489
2021-04-19,11,0,6.454812443968751
2021-04-20,34,13,12.869009561240626
2021-04-21,8,2,3.9416968189749992
2021-04-22,9,2,12.366625731471874
2021-04-23,5,3,6.655431657059374
2021-04-24,1,0,-2.1872240689359375
2021-04-25,3,3,-1.2973061631953116
2021-04-26,3,1,6.087201598714064
2021-04-27,3,1,1.5871409863906267
2021-04-28,8,0,5.796370547529689
2021-04-29,3,2,6.516736326403125
2021-04-30,7,3,7.370669736315625
2021-05-01,1,11,3.1619964973562498
2021-05-02,0,5,-1.4937115103234373
2021-05-03,2,2,8.12324083875
2021-05-04,1,1,4.450210132640626
2021-05-05,10,0,4.4761878694515636
2021-05-06,5,0,15.493533818782813
2021-05-07,14,0,0.37204569937343734
2021-05-08,0,1,-1.7137998686781244
2021-05-09,0,1,-1.0820648504015615
2021-05-10,14,1,1.2457273960703148
2021-05-11,6,0,11.232378680359377
2021-05-12,6,0,5.238333809082812
2021-05-13,9,0,4.367118132940625
2021-05-14,10,1,-1.5446605252312502
2021-05-15,1,0,-0.9211689321578114
2021-05-16,5,0,-0.5605590826078113
