,opencv/opencv,scikit-image/scikit-image,davisking/dlib
2018-08-11,0,2,0
2018-08-12,0,1,0
2018-08-13,5,3,0
2018-08-14,8,0,0
2018-08-15,3,0,0
2018-08-16,14,5,0
2018-08-17,7,0,0
2018-08-18,2,0,0
2018-08-19,0,1,0
2018-08-20,10,2,0
2018-08-21,11,4,1
2018-08-22,7,9,1
2018-08-23,5,2,2
2018-08-24,14,0,0
2018-08-25,4,0,0
2018-08-26,2,0,1
2018-08-27,9,0,0
2018-08-28,9,5,0
2018-08-29,2,4,0
2018-08-30,24,0,4
2018-08-31,22,6,0
2018-09-01,8,16,0
2018-09-02,10,1,0
2018-09-03,20,3,1
2018-09-04,16,0,0
2018-09-05,13,1,0
2018-09-06,13,3,0
2018-09-07,12,2,1
2018-09-08,6,2,0
2018-09-09,8,1,0
2018-09-10,11,2,2
2018-09-11,11,0,0
2018-09-12,16,7,0
2018-09-13,14,9,1
2018-09-14,10,4,0
2018-09-15,3,1,0
2018-09-16,0,3,0
2018-09-17,15,4,0
2018-09-18,16,2,0
2018-09-19,14,4,0
2018-09-20,3,0,0
2018-09-21,7,0,0
2018-09-22,2,0,0
2018-09-23,3,2,3
2018-09-24,10,7,0
2018-09-25,8,2,0
2018-09-26,11,6,0
2018-09-27,8,0,0
2018-09-28,16,4,0
2018-09-29,11,3,6
2018-09-30,6,22,0
2018-10-01,11,1,0
2018-10-02,9,4,0
2018-10-03,5,4,0
2018-10-04,9,6,0
2018-10-05,8,3,0
2018-10-06,0,3,0
2018-10-07,2,0,0
2018-10-08,9,2,0
2018-10-09,5,10,0
2018-10-10,17,15,0
2018-10-11,18,5,0
2018-10-12,6,2,0
2018-10-13,6,0,0
2018-10-14,8,1,0
2018-10-15,27,6,0
2018-10-16,4,1,0
2018-10-17,12,9,0
2018-10-18,3,0,0
2018-10-19,3,1,0
2018-10-20,2,0,0
2018-10-21,3,3,0
2018-10-22,1,5,1
2018-10-23,4,2,0
2018-10-24,24,5,0
2018-10-25,23,6,0
2018-10-26,10,1,1
2018-10-27,3,6,0
2018-10-28,1,9,0
2018-10-29,13,3,0
2018-10-30,10,1,0
2018-10-31,12,0,0
2018-11-01,11,9,0
2018-11-02,10,5,0
2018-11-03,3,14,0
2018-11-04,4,2,1
2018-11-05,1,3,0
2018-11-06,21,8,0
2018-11-07,25,3,0
2018-11-08,19,0,0
2018-11-09,19,1,1
2018-11-10,10,1,0
2018-11-11,4,1,2
2018-11-12,25,0,2
2018-11-13,9,1,1
2018-11-14,13,0,1
2018-11-15,12,0,0
2018-11-16,27,1,0
2018-11-17,10,0,0
2018-11-18,5,0,0
2018-11-19,9,17,0
2018-11-20,9,1,2
2018-11-21,11,0,0
2018-11-22,6,1,0
2018-11-23,6,0,0
2018-11-24,3,1,0
2018-11-25,5,5,2
2018-11-26,14,3,0
2018-11-27,11,0,0
2018-11-28,9,1,0
2018-11-29,8,1,0
2018-11-30,4,0,0
2018-12-01,0,3,0
2018-12-02,0,1,0
2018-12-03,15,4,0
2018-12-04,6,2,0
