,bitcoin/bitcoin,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj
2023-08-19,0,0,0
2023-08-20,0,1,0
2023-08-21,5,0,0
2023-08-22,17,0,0
2023-08-23,30,0,15
2023-08-24,30,0,0
2023-08-25,11,0,10
2023-08-26,2,0,0
2023-08-27,8,0,0
2023-08-28,8,0,0
2023-08-29,9,0,0
2023-08-30,10,0,0
2023-08-31,7,0,0
2023-09-01,8,0,9
2023-09-02,1,0,5
2023-09-03,1,0,0
2023-09-04,5,0,0
2023-09-05,14,0,3
2023-09-06,9,0,1
2023-09-07,19,0,6
2023-09-08,7,0,0
2023-09-09,2,0,0
2023-09-10,5,0,0
2023-09-11,3,0,0
2023-09-12,23,0,23
2023-09-13,28,0,0
2023-09-14,21,0,8
2023-09-15,16,0,0
2023-09-16,2,0,9
2023-09-17,0,0,0
2023-09-18,1,0,0
2023-09-19,16,0,1
2023-09-20,16,0,0
2023-09-21,6,0,7
2023-09-22,3,0,0
2023-09-23,2,0,0
2023-09-24,1,0,0
2023-09-25,1,0,7
2023-09-26,2,0,0
2023-09-27,13,0,0
2023-09-28,6,0,0
2023-09-29,10,0,0
2023-09-30,24,0,6
2023-10-01,0,0,6
2023-10-02,32,0,8
2023-10-03,29,0,1
2023-10-04,31,0,0
2023-10-05,29,0,1
2023-10-06,14,0,0
2023-10-07,2,0,0
2023-10-08,31,0,0
2023-10-09,18,0,1
2023-10-10,12,0,0
2023-10-11,8,0,1
2023-10-12,15,0,1
2023-10-13,27,0,0
2023-10-14,0,0,0
2023-10-15,3,0,1
2023-10-16,10,0,0
2023-10-17,11,0,0
2023-10-18,7,0,0
2023-10-19,14,0,0
2023-10-20,25,0,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,17,0,0
2023-10-24,18,0,13
2023-10-25,8,0,0
2023-10-26,10,0,0
2023-10-27,2,0,0
2023-10-28,0,0,0
2023-10-29,3,0,0
2023-10-30,18,0,0
2023-10-31,11,0,0
2023-11-01,12,0,0
2023-11-02,11,0,0
2023-11-03,21,0,0
2023-11-04,1,0,0
2023-11-05,6,0,0
2023-11-06,7,0,0
2023-11-07,16,0,0
2023-11-08,17,0,0
2023-11-09,15,0,0
2023-11-10,18,0,2
2023-11-11,1,0,0
2023-11-12,0,0,0
2023-11-13,25,0,0
2023-11-14,11,0,0
2023-11-15,6,0,0
2023-11-16,20,0,2
2023-11-17,17,0,0
2023-11-18,0,0,0
2023-11-19,1,0,3
2023-11-20,6,0,0
2023-11-21,4,0,1
2023-11-22,23,0,0
2023-11-23,10,0,0
2023-11-24,6,0,0
2023-11-25,4,0,0
2023-11-26,2,0,0
2023-11-27,2,0,0
2023-11-28,21,0,0
2023-11-29,13,0,0
2023-11-30,14,0,0
2023-12-01,7,0,0
2023-12-02,1,0,0
2023-12-03,1,0,0
2023-12-04,20,0,0
2023-12-05,14,0,1
2023-12-06,11,0,0
2023-12-07,15,0,0
2023-12-08,22,0,1
2023-12-09,6,0,0
2023-12-10,1,0,0
2023-12-11,20,0,0
2023-12-12,14,0,0
2023-12-13,10,0,0
2023-12-14,12,0,0
2023-12-15,13,0,0
2023-12-16,0,0,0
2023-12-17,1,0,0
2023-12-18,6,0,4
2023-12-19,3,0,2
2023-12-20,4,0,3
2023-12-21,9,0,0
2023-12-22,4,0,0
2023-12-23,1,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,0
2023-12-27,4,0,0
2023-12-28,0,0,0
2023-12-29,0,0,0
2023-12-30,0,0,0
2023-12-31,1,0,0
2024-01-01,0,0,0
2024-01-02,7,0,0
2024-01-03,2,0,0
2024-01-04,9,0,0
2024-01-05,14,0,0
2024-01-06,2,0,0
2024-01-07,2,0,0
2024-01-08,12,0,0
2024-01-09,12,0,0
2024-01-10,7,0,1
2024-01-11,22,0,0
2024-01-12,9,0,0
2024-01-13,1,0,0
2024-01-14,0,0,0
2024-01-15,11,0,0
2024-01-16,20,0,2
2024-01-17,7,0,0
2024-01-18,10,0,0
2024-01-19,9,0,0
2024-01-20,2,0,0
2024-01-21,0,0,0
2024-01-22,6,0,0
2024-01-23,16,0,0
2024-01-24,6,0,0
2024-01-25,23,0,0
2024-01-26,11,0,0
2024-01-27,0,3,0
2024-01-28,0,0,0
2024-01-29,11,10,0
2024-01-30,10,0,0
2024-01-31,13,0,4
2024-02-01,18,0,0
2024-02-02,3,0,0
2024-02-03,3,0,0
2024-02-04,0,0,0
2024-02-05,8,0,0
2024-02-06,11,0,0
2024-02-07,15,0,1
2024-02-08,15,2,0
2024-02-09,21,1,1
2024-02-10,3,0,0
2024-02-11,4,0,0
2024-02-12,14,3,0
2024-02-13,18,1,0
2024-02-14,1,5,0
2024-02-15,10,0,0
2024-02-16,11,0,0
2024-02-17,1,4,0
2024-02-18,1,5,0
2024-02-19,4,1,0
2024-02-20,14,2,0
2024-02-21,14,1,0
2024-02-22,2,1,0
2024-02-23,3,0,0
2024-02-24,0,8,1
2024-02-25,0,1,0
2024-02-26,15,2,0
2024-02-27,19,5,0
2024-02-28,24,0,0
2024-02-29,17,2,0
2024-03-01,25,1,0
2024-03-02,3,0,0
2024-03-03,1,0,0
2024-03-04,11,0,0
2024-03-05,16,2,0
2024-03-06,6,1,0
2024-03-07,9,0,0
2024-03-08,11,0,0
2024-03-09,3,0,0
2024-03-10,2,0,1
2024-03-11,20,8,2
2024-03-12,28,3,0
2024-03-13,10,0,0
2024-03-14,12,1,1
2024-03-15,7,1,1
2024-03-16,0,3,0
2024-03-17,5,4,0
2024-03-18,28,0,0
2024-03-19,10,0,0
2024-03-20,18,0,0
2024-03-21,12,0,0
2024-03-22,11,1,0
2024-03-23,3,2,0
2024-03-24,0,2,0
2024-03-25,13,0,0
2024-03-26,29,0,0
2024-03-27,14,0,0
2024-03-28,6,8,0
2024-03-29,7,9,0
2024-03-30,1,0,0
2024-03-31,1,0,0
2024-04-01,9,0,0
2024-04-02,15,0,0
2024-04-03,4,0,0
2024-04-04,12,0,0
2024-04-05,8,2,0
2024-04-06,9,0,0
2024-04-07,6,0,3
2024-04-08,5,0,0
2024-04-09,16,0,0
2024-04-10,10,3,1
2024-04-11,5,5,0
2024-04-12,5,1,0
2024-04-13,0,0,0
2024-04-14,1,2,0
2024-04-15,13,0,0
2024-04-16,22,2,0
2024-04-17,12,0,0
2024-04-18,12,0,0
2024-04-19,12,0,0
2024-04-20,0,1,0
2024-04-21,1,0,1
2024-04-22,14,0,0
2024-04-23,7,0,10
2024-04-24,20,0,0
2024-04-25,20,0,0
2024-04-26,16,0,0
2024-04-27,2,0,7
2024-04-28,9,4,0
2024-04-29,11,11,8
2024-04-30,15,0,0
2024-05-01,15,5,0
2024-05-02,10,0,0
2024-05-03,23,0,0
2024-05-04,6,0,0
2024-05-05,4,0,1
2024-05-06,11,0,0
2024-05-07,8,0,0
2024-05-08,10,2,1
2024-05-09,14,3,0
2024-05-10,6,0,0
2024-05-11,6,0,0
2024-05-12,4,0,0
2024-05-13,12,0,0
2024-05-14,26,0,4
2024-05-15,12,0,0
2024-05-16,34,3,0
2024-05-17,6,0,0
2024-05-18,1,0,0
2024-05-19,0,0,0
2024-05-20,5,0,0
2024-05-21,19,1,0
2024-05-22,18,5,0
