,meilisearch/meilisearch,elastic/elasticsearch,typesense/typesense
2022-07-22,0.0,28,2
2022-07-23,0.0,1,0
2022-07-24,0.0,0,1
2022-07-25,0.0,29,1
2022-07-26,0.0,30,2
2022-07-27,0.0,26,1
2022-07-28,5.0,17,1
2022-07-29,0.0,17,0
2022-07-30,0.0,1,0
2022-07-31,0.0,1,0
2022-08-01,0.0,27,1
2022-08-02,2.0,24,4
2022-08-03,1.0,31,1
2022-08-04,2.0,25,4
2022-08-05,0.0,3,3
2022-08-06,0.0,0,0
2022-08-07,0.0,1,2
2022-08-08,1.0,20,2
2022-08-09,0.0,17,1
2022-08-10,18.0,10,2
2022-08-11,3.0,16,0
2022-08-12,3.0,13,0
2022-08-13,0.0,2,1
2022-08-14,0.0,0,0
2022-08-15,0.0,15,0
2022-08-16,3.0,16,3
2022-08-17,52.0,32,2
2022-08-18,16.0,15,2
2022-08-19,1.0,0,1
2022-08-20,0.0,0,0
2022-08-21,0.0,0,0
2022-08-22,20.0,20,0
2022-08-23,13.0,16,0
2022-08-24,8.0,14,1
2022-08-25,0.0,11,2
2022-08-26,0.0,21,0
2022-08-27,1.0,1,2
2022-08-28,0.0,0,0
2022-08-29,3.0,15,2
2022-08-30,1.0,19,2
2022-08-31,5.0,12,2
2022-09-01,8.0,22,2
2022-09-02,3.0,3,2
2022-09-03,2.0,0,2
2022-09-04,3.0,0,0
2022-09-05,2.0,7,1
2022-09-06,2.0,17,2
2022-09-07,15.0,37,1
2022-09-08,3.0,34,2
2022-09-09,1.0,23,2
2022-09-10,0.0,1,1
2022-09-11,0.0,0,3
2022-09-12,1.0,25,1
2022-09-13,4.0,22,1
2022-09-14,4.0,16,1
2022-09-15,0.0,22,3
2022-09-16,0.0,1,1
2022-09-17,0.0,0,2
2022-09-18,0.0,0,0
2022-09-19,1.0,18,0
2022-09-20,0.0,28,2
2022-09-21,6.0,18,3
2022-09-22,4.0,15,2
2022-09-23,0.0,13,0
2022-09-24,0.0,1,0
2022-09-25,0.0,1,1
2022-09-26,0.0,33,0
2022-09-27,0.0,28,0
2022-09-28,1.0,18,0
2022-09-29,3.0,23,2
2022-09-30,1.0,17,0
2022-10-01,1.0,1,0
2022-10-02,2.0,0,0
2022-10-03,7.0,15,0
2022-10-04,8.0,21,0
2022-10-05,6.0,23,1
2022-10-06,12.0,15,1
2022-10-07,2.0,3,3
2022-10-08,0.0,0,0
2022-10-09,3.0,1,0
2022-10-10,5.0,25,0
2022-10-11,2.0,28,2
2022-10-12,11.0,31,0
2022-10-13,8.0,19,0
2022-10-14,4.0,38,0
2022-10-15,0.0,1,2
2022-10-16,0.0,0,0
2022-10-17,11.0,15,1
2022-10-18,15.0,21,3
2022-10-19,12.0,13,1
2022-10-20,3.0,19,1
2022-10-21,0.0,4,1
2022-10-22,0.0,0,0
2022-10-23,0.0,0,0
2022-10-24,7.0,15,1
2022-10-25,9.0,15,1
2022-10-26,80.0,13,0
2022-10-27,376.0,6,0
2022-10-28,6.0,7,0
2022-10-29,1.0,0,0
2022-10-30,4.0,0,1
2022-10-31,7.0,18,3
2022-11-01,0.0,25,1
2022-11-02,1.0,20,1
2022-11-03,5.0,25,1
2022-11-04,2.0,23,0
2022-11-05,0.0,3,0
2022-11-06,0.0,0,1
2022-11-07,0.0,19,0
2022-11-08,10.0,31,1
2022-11-09,1.0,28,2
2022-11-10,4.0,35,0
2022-11-11,0.0,9,1
2022-11-12,2.0,0,0
2022-11-13,2.0,0,0
