,square/okhttp,jetty/jetty.project,apache/httpcomponents-client
2023-08-25,0.0,35,0
2023-08-26,0.0,3,0
2023-08-27,0.0,1,0
2023-08-28,0.0,4,0
2023-08-29,0.0,28,0
2023-08-30,0.0,0,0
2023-08-31,0.0,8,4
2023-09-01,0.0,3,0
2023-09-02,0.0,4,0
2023-09-03,0.0,3,0
2023-09-04,0.0,2,0
2023-09-05,0.0,0,0
2023-09-06,0.0,1,0
2023-09-07,0.0,1,0
2023-09-08,0.0,0,0
2023-09-09,0.0,0,0
2023-09-10,0.0,0,0
2023-09-11,0.0,5,0
2023-09-12,0.0,1,0
2023-09-13,0.0,3,0
2023-09-14,0.0,16,0
2023-09-15,1.0,11,0
2023-09-16,0.8999999999999999,2,0
2023-09-17,-0.14500000000000013,0,0
2023-09-18,-0.07350000000000005,9,0
2023-09-19,-0.04916249999999994,2,0
2023-09-20,-0.036779249999999875,7,0
2023-09-21,-0.02927876249999991,3,0
2023-09-22,-0.024255708749999928,4,1
2023-09-23,-0.02066200926562494,2,1
2023-09-24,-0.017967165551562456,0,0
2023-09-25,-0.008398852535937478,6,0
2023-09-26,0.0,10,1
2023-09-27,0.0,17,0
2023-09-28,0.0,10,0
2023-09-29,0.0,1,1
2023-09-30,0.0,0,0
2023-10-01,0.0,4,0
2023-10-02,3.0,1,0
2023-10-03,-0.30000000000000027,3,1
2023-10-04,-0.1350000000000001,2,0
2023-10-05,-0.08550000000000006,9,0
2023-10-06,-0.06198749999999977,4,0
2023-10-07,-0.048350249999999845,1,0
2023-10-08,-0.03948603749999988,1,0
2023-10-09,-0.0332810887499999,13,0
2023-10-10,-0.028704939046874926,15,0
2023-10-11,-0.025196557607812434,1,0
2023-10-12,0.0,5,1
2023-10-13,0.0,6,0
2023-10-14,0.0,0,0
2023-10-15,1.0,0,0
2023-10-16,-0.10000000000000009,11,0
2023-10-17,1.955,14,0
2023-10-18,2.7714999999999996,12,0
2023-10-19,-0.41066250000000026,5,0
2023-10-20,-0.20811675000000007,3,0
2023-10-21,-0.13998701249999987,1,0
2023-10-22,-0.10531469624999963,0,0
2023-10-23,-0.08424258801562474,1,0
2023-10-24,-0.0700722825359373,7,0
2023-10-25,-0.052417714781249854,20,0
2023-10-26,-0.04550264411874988,13,0
2023-10-27,-0.025196557607812434,17,0
2023-10-28,0.0,0,0
2023-10-29,0.0,0,0
2023-10-30,0.0,7,0
2023-10-31,0.0,2,0
2023-11-01,0.0,8,0
2023-11-02,0.0,0,2
2023-11-03,0.0,0,0
2023-11-04,0.0,0,0
2023-11-05,0.0,1,0
2023-11-06,0.0,1,0
2023-11-07,0.0,3,0
2023-11-08,0.0,3,0
2023-11-09,1.0,4,0
2023-11-10,-0.10000000000000009,0,0
2023-11-11,-0.04500000000000003,2,0
2023-11-12,-0.028500000000000022,0,0
2023-11-13,-0.020662499999999924,4,0
2023-11-14,-0.016116749999999947,2,0
2023-11-15,-0.01316201249999996,7,0
2023-11-16,-0.011093696249999967,1,0
2023-11-17,-0.009568313015624975,4,0
2023-11-18,-0.008398852535937478,2,0
2023-11-19,0.0,4,1
2023-11-20,2.0,4,0
2023-11-21,-0.20000000000000018,2,0
2023-11-22,-0.09000000000000007,1,0
2023-11-23,-0.057000000000000044,7,1
2023-11-24,-0.04132499999999985,0,0
2023-11-25,-0.032233499999999894,0,0
2023-11-26,-0.02632402499999992,0,0
2023-11-27,0.9778126075000001,6,0
2023-11-28,-0.11913662603125004,5,3
2023-11-29,-0.061797705071874987,15,1
2023-11-30,-0.028500000000000022,8,1
2023-12-01,-0.020662499999999924,19,0
2023-12-02,0.9838832500000001,0,1
2023-12-03,1.8868379874999999,0,1
2023-12-04,1.7439063037499998,5,0
2023-12-05,-0.3280683130156252,3,0
2023-12-06,-0.17606135253593752,13,4
2023-12-07,0.8855582500000001,2,0
2023-12-08,-0.1867205124999998,1,0
2023-12-09,-0.11465122124999982,4,0
2023-12-10,-0.08657973051562486,0,1
2023-12-11,0.9296146289328127,3,1
2023-12-12,-0.15205108110312493,8,0
2023-12-13,-0.07495971757187495,14,77
2023-12-14,-0.03959369624999999,9,0
2023-12-15,-0.0302308130156249,15,2
2023-12-16,-0.024515602535937424,0,0
2023-12-17,4.9868379875,3,0
2023-12-18,1.4889063037499994,2,0
2023-12-19,0.5654316869843747,4,0
2023-12-20,0.6591011474640622,4,0
2023-12-21,1.6946875000000001,0,0
2023-12-22,-0.3954087499999998,0,0
2023-12-23,1.7627939375000004,0,5
2023-12-24,4.62442824375,0,4
2023-12-25,-0.7306327200781251,0,0
2023-12-26,-0.3996200974609374,0,3
2023-12-27,-0.24760873933749977,0,0
2023-12-28,-0.1757005580515619,0,0
2023-12-29,-0.1344432535671871,1,1
2023-12-30,-0.1047951600718747,0,0
2023-12-31,-0.07460510728124978,0,0
2024-01-01,-0.06463927014999983,51,0
2024-01-02,-0.041994262679687394,11,0
2024-01-03,1.0,26,1
2024-01-04,1.9,0,0
2024-01-05,-0.24500000000000022,0,1
2024-01-06,0.8815,0,1
2024-01-07,1.8223375,1,1
2024-01-08,0.6975582499999999,5,1
2024-01-09,0.7361044875,3,0
2024-01-10,-0.26008022124999997,0,0
2024-01-11,-0.16269745551562476,5,0
2024-01-12,-0.12209349106718723,3,4
2024-01-13,-0.09099467632187472,0,0
2024-01-14,0.9389655319843752,0,2
2024-01-15,-0.15179118731718744,7,0
2024-01-16,-0.08245971433749993,8,2
2024-01-17,-0.04646716555156248,2,1
2024-01-18,-0.029061352535937404,2,2
2024-01-19,0.9838832500000001,0,0
2024-01-20,2.8868379875,0,0
2024-01-21,-0.35609369625000026,0,0
2024-01-22,1.8269316869843748,0,1
2024-01-23,0.6854386474640624,1,0
2024-01-24,-0.2681042499999999,9,0
2024-01-25,0.8364877375000002,14,1
2024-01-26,-0.2204047337499998,12,7
2024-01-27,-0.14074540176562472,1,0
2024-01-28,-0.1080445665828123,0,0
2024-01-29,0.9187915373921878,16,4
2024-01-30,1.8536529277187501,7,0
2024-01-31,-0.2845280305875001,3,2
2024-02-01,-0.13799254878593753,1,3
2024-02-02,-0.08723081301562494,3,0
2024-02-03,0.9341593974640627,0,0
2024-02-04,-0.14539551249999993,0,0
2024-02-05,-0.08241772124999992,1,1
2024-02-06,-0.06025570551562494,6,0
2024-02-07,-0.048197978567187355,1,0
2024-02-08,-0.032914455071874904,3,0
2024-02-09,-0.01316201249999996,1,0
2024-02-10,0.98890630375,1,2
2024-02-11,1.890431686984375,0,0
2024-02-12,-0.2533988525359377,0,0
2024-02-13,-0.11850000000000009,0,0
2024-02-14,-0.07766249999999997,4,1
2024-02-15,-0.05744174999999979,4,0
2024-02-16,-0.04539551249999985,1,0
2024-02-17,-0.03741772124999989,0,0
