,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2023-06-16,0,13,0
2023-06-17,0,1,2
2023-06-18,0,0,0
2023-06-19,0,9,5
2023-06-20,5,25,0
2023-06-21,6,20,2
2023-06-22,0,21,4
2023-06-23,1,22,5
2023-06-24,0,12,0
2023-06-25,0,4,0
2023-06-26,4,16,0
2023-06-27,3,18,0
2023-06-28,3,18,0
2023-06-29,1,15,0
2023-06-30,1,20,0
2023-07-01,0,2,0
2023-07-02,0,0,0
2023-07-03,0,3,0
2023-07-04,0,2,0
2023-07-05,2,13,0
2023-07-06,5,14,0
2023-07-07,3,18,0
2023-07-08,0,10,0
2023-07-09,0,5,0
2023-07-10,1,19,2
2023-07-11,1,30,0
2023-07-12,5,22,0
2023-07-13,4,30,0
2023-07-14,2,34,0
2023-07-15,0,5,0
2023-07-16,0,1,0
2023-07-17,1,29,1
2023-07-18,2,33,1
2023-07-19,9,22,0
2023-07-20,2,32,0
2023-07-21,0,17,0
2023-07-22,0,10,0
2023-07-23,0,6,0
2023-07-24,0,21,3
2023-07-25,0,18,0
2023-07-26,5,23,0
2023-07-27,0,17,1
2023-07-28,0,24,0
2023-07-29,0,10,0
2023-07-30,0,5,0
2023-07-31,6,19,0
2023-08-01,5,16,0
2023-08-02,5,21,1
2023-08-03,0,15,3
2023-08-04,5,21,0
2023-08-05,0,12,0
2023-08-06,0,4,0
2023-08-07,0,18,0
2023-08-08,0,25,0
2023-08-09,7,20,0
2023-08-10,7,34,0
2023-08-11,0,16,2
2023-08-12,0,7,0
2023-08-13,0,5,0
2023-08-14,3,22,0
2023-08-15,3,24,0
2023-08-16,8,24,0
2023-08-17,1,22,0
2023-08-18,4,16,0
2023-08-19,0,2,0
2023-08-20,0,1,0
2023-08-21,0,20,0
2023-08-22,4,28,0
2023-08-23,5,20,0
2023-08-24,1,14,0
2023-08-25,4,23,2
2023-08-26,0,5,0
2023-08-27,0,4,1
2023-08-28,1,24,0
2023-08-29,3,28,0
2023-08-30,11,25,0
2023-08-31,6,42,0
2023-09-01,8,23,0
2023-09-02,0,6,1
2023-09-03,0,3,0
2023-09-04,0,0,0
2023-09-05,2,17,0
2023-09-06,6,23,1
2023-09-07,2,27,1
2023-09-08,0,30,0
2023-09-09,0,12,1
2023-09-10,0,7,0
2023-09-11,3,17,0
2023-09-12,0,30,0
2023-09-13,10,29,0
2023-09-14,5,19,1
2023-09-15,0,11,0
2023-09-16,0,13,0
2023-09-17,0,3,0
2023-09-18,2,23,0
2023-09-19,5,10,0
2023-09-20,7,39,0
2023-09-21,2,23,0
2023-09-22,3,29,0
2023-09-23,0,9,0
2023-09-24,0,12,0
2023-09-25,0,16,0
2023-09-26,2,13,0
2023-09-27,3,12,0
2023-09-28,6,29,5
2023-09-29,0,21,2
2023-09-30,0,15,0
2023-10-01,0,7,0
2023-10-02,0,18,1
2023-10-03,1,20,1
2023-10-04,9,16,1
2023-10-05,1,15,0
2023-10-06,0,15,0
2023-10-07,0,11,0
2023-10-08,0,5,0
2023-10-09,9,24,5
2023-10-10,5,25,2
2023-10-11,9,33,0
2023-10-12,4,22,0
2023-10-13,1,25,0
2023-10-14,0,13,3
2023-10-15,0,9,0
2023-10-16,0,22,1
2023-10-17,3,29,0
2023-10-18,11,32,0
2023-10-19,4,19,0
2023-10-20,1,23,0
2023-10-21,0,7,0
2023-10-22,0,6,0
2023-10-23,6,28,1
2023-10-24,1,23,3
2023-10-25,10,16,0
2023-10-26,1,41,0
2023-10-27,4,26,0
2023-10-28,0,9,0
2023-10-29,0,1,0
2023-10-30,2,5,0
2023-10-31,2,23,0
2023-11-01,5,17,0
2023-11-02,7,36,4
2023-11-03,1,29,0
2023-11-04,0,8,0
2023-11-05,0,3,0
2023-11-06,3,17,0
2023-11-07,2,23,0
2023-11-08,7,18,0
2023-11-09,6,16,0
2023-11-10,3,26,0
2023-11-11,0,5,0
2023-11-12,0,1,0
2023-11-13,6,12,0
2023-11-14,1,19,0
2023-11-15,9,22,0
2023-11-16,4,21,0
2023-11-17,2,8,0
2023-11-18,0,7,0
2023-11-19,0,4,1
2023-11-20,3,17,0
2023-11-21,4,18,0
2023-11-22,2,14,2
2023-11-23,0,7,0
2023-11-24,0,5,1
2023-11-25,0,1,7
2023-11-26,0,1,0
2023-11-27,4,23,0
2023-11-28,2,33,0
2023-11-29,10,28,0
2023-11-30,2,9,0
2023-12-01,5,14,0
2023-12-02,0,10,0
2023-12-03,0,4,0
2023-12-04,2,17,0
2023-12-05,7,23,0
2023-12-06,8,20,0
2023-12-07,2,18,0
2023-12-08,1,17,0
2023-12-09,0,6,0
2023-12-10,0,1,0
2023-12-11,4,20,0
2023-12-12,4,22,0
2023-12-13,9,10,0
2023-12-14,0,29,0
2023-12-15,0,26,0
2023-12-16,0,12,0
2023-12-17,0,2,2
2023-12-18,4,13,0
2023-12-19,6,16,1
2023-12-20,7,18,2
2023-12-21,3,14,0
2023-12-22,0,10,2
2023-12-23,0,2,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,3,0
2023-12-27,2,9,0
2023-12-28,1,3,0
2023-12-29,0,7,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,13,0
2024-01-03,5,33,2
2024-01-04,0,23,0
2024-01-05,2,17,0
2024-01-06,0,9,0
2024-01-07,0,3,0
2024-01-08,4,10,0
2024-01-09,4,28,0
2024-01-10,5,28,0
2024-01-11,0,14,0
2024-01-12,0,25,0
2024-01-13,0,3,0
2024-01-14,0,3,0
2024-01-15,2,1,0
2024-01-16,3,15,0
2024-01-17,8,19,0
2024-01-18,2,33,0
2024-01-19,2,20,9
2024-01-20,0,8,0
