,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2018-10-08,21,2,3
2018-10-09,15,5,9
2018-10-10,11,2,12
2018-10-11,16,4,6
2018-10-12,4,6,2
2018-10-13,0,0,2
2018-10-14,0,0,0
2018-10-15,10,2,0
2018-10-16,10,3,0
2018-10-17,5,3,0
2018-10-18,8,0,0
2018-10-19,7,11,11
2018-10-20,4,0,4
2018-10-21,6,0,3
2018-10-22,16,0,7
2018-10-23,9,5,5
2018-10-24,9,4,2
2018-10-25,12,0,6
2018-10-26,15,0,7
2018-10-27,1,0,2
2018-10-28,3,0,6
2018-10-29,14,0,4
2018-10-30,22,29,9
2018-10-31,46,5,1
2018-11-01,16,0,3
2018-11-02,15,7,3
2018-11-03,4,3,8
2018-11-04,0,0,2
2018-11-05,31,4,2
2018-11-06,17,0,1
2018-11-07,17,10,0
2018-11-08,19,6,0
2018-11-09,31,0,8
2018-11-10,14,0,1
2018-11-11,1,0,9
2018-11-12,23,12,6
2018-11-13,11,6,5
2018-11-14,4,5,0
2018-11-15,17,3,0
2018-11-16,16,0,0
2018-11-17,6,9,3
2018-11-18,0,0,10
2018-11-19,13,9,0
2018-11-20,13,4,8
2018-11-21,8,3,1
2018-11-22,1,0,8
2018-11-23,0,0,8
2018-11-24,0,0,3
2018-11-25,0,0,12
2018-11-26,4,5,7
2018-11-27,0,0,2
2018-11-28,8,6,8
2018-11-29,4,0,3
2018-11-30,9,8,11
2018-12-01,9,0,2
2018-12-02,0,0,16
2018-12-03,7,0,10
2018-12-04,13,7,5
2018-12-05,13,0,3
2018-12-06,26,2,0
2018-12-07,6,17,1
2018-12-08,9,1,0
2018-12-09,5,0,1
2018-12-10,11,0,6
2018-12-11,20,2,0
2018-12-12,5,0,5
2018-12-13,7,11,9
2018-12-14,3,0,5
2018-12-15,0,6,3
2018-12-16,4,0,1
2018-12-17,9,9,8
2018-12-18,19,5,0
2018-12-19,11,9,0
2018-12-20,25,0,0
2018-12-21,14,17,5
2018-12-22,1,0,3
2018-12-23,1,0,0
2018-12-24,0,0,0
2018-12-25,1,0,2
2018-12-26,3,5,0
2018-12-27,3,0,12
2018-12-28,10,2,11
2018-12-29,1,0,10
2018-12-30,0,0,2
2018-12-31,14,0,5
2019-01-01,4,0,11
2019-01-02,1,0,6
2019-01-03,15,2,1
2019-01-04,4,3,18
2019-01-05,0,0,3
2019-01-06,1,0,11
2019-01-07,4,7,0
2019-01-08,5,6,0
2019-01-09,13,5,15
2019-01-10,13,2,2
2019-01-11,18,12,7
2019-01-12,2,0,0
2019-01-13,1,0,0
2019-01-14,11,10,18
2019-01-15,18,7,6
2019-01-16,15,5,9
2019-01-17,19,7,5
2019-01-18,8,8,6
2019-01-19,12,0,0
2019-01-20,4,0,17
2019-01-21,0,0,10
2019-01-22,7,13,16
2019-01-23,7,7,10
2019-01-24,30,0,11
2019-01-25,38,11,13
2019-01-26,6,8,0
2019-01-27,4,0,0
2019-01-28,15,0,16
2019-01-29,15,15,1
2019-01-30,21,8,17
2019-01-31,21,3,7
2019-02-01,31,4,0
2019-02-02,13,3,0
2019-02-03,10,0,0
2019-02-04,19,2,6
2019-02-05,12,0,5
2019-02-06,23,15,7
2019-02-07,32,8,9
2019-02-08,7,14,7
2019-02-09,1,0,9
2019-02-10,7,0,1
2019-02-11,18,0,2
2019-02-12,0,12,4
2019-02-13,7,7,6
2019-02-14,9,4,9
2019-02-15,8,13,9
2019-02-16,1,0,1
2019-02-17,1,0,2
2019-02-18,2,0,5
2019-02-19,11,5,3
2019-02-20,14,0,6
2019-02-21,14,19,12
2019-02-22,15,5,3
2019-02-23,6,0,4
2019-02-24,0,0,0
2019-02-25,10,4,6
2019-02-26,21,6,0
2019-02-27,12,4,10
2019-02-28,16,8,0
2019-03-01,19,4,13
2019-03-02,7,0,11
2019-03-03,1,0,6
2019-03-04,8,3,0
2019-03-05,13,14,4
2019-03-06,10,9,3
2019-03-07,6,11,2
2019-03-08,19,6,0
2019-03-09,11,2,0
2019-03-10,2,0,0
2019-03-11,9,11,4
2019-03-12,15,0,0
2019-03-13,22,3,14
2019-03-14,16,7,16
2019-03-15,10,0,0
2019-03-16,2,11,0
2019-03-17,0,0,0
2019-03-18,12,0,3
2019-03-19,10,11,7
2019-03-20,6,10,1
2019-03-21,4,6,4
2019-03-22,5,3,0
2019-03-23,2,0,5
2019-03-24,37,0,12
2019-03-25,2,3,12
2019-03-26,9,4,1
2019-03-27,8,10,12
2019-03-28,7,10,1
2019-03-29,6,0,4
2019-03-30,1,0,3
2019-03-31,2,0,1
2019-04-01,5,0,6
2019-04-02,17,0,15
2019-04-03,15,17,0
2019-04-04,19,4,1
2019-04-05,9,8,1
2019-04-06,7,0,2
2019-04-07,2,0,3
2019-04-08,18,4,13
2019-04-09,2,6,2
2019-04-10,4,5,2
2019-04-11,9,11,5
2019-04-12,8,4,1
2019-04-13,3,0,0
2019-04-14,0,0,0
2019-04-15,8,10,14
2019-04-16,15,2,11
2019-04-17,25,0,5
2019-04-18,34,12,9
2019-04-19,16,12,0
2019-04-20,0,6,5
2019-04-21,0,0,5
2019-04-22,4,0,10
2019-04-23,20,0,7
2019-04-24,22,14,0
2019-04-25,26,13,2
2019-04-26,12,2,5
2019-04-27,9,0,2
2019-04-28,5,0,13
2019-04-29,29,3,7
2019-04-30,23,10,1
2019-05-01,19,9,0
2019-05-02,14,9,0
2019-05-03,6,4,0
2019-05-04,0,0,0
2019-05-05,3,0,0
2019-05-06,6,12,0
2019-05-07,10,10,0
2019-05-08,10,6,0
2019-05-09,4,6,0
2019-05-10,7,6,0
2019-05-11,4,0,0
2019-05-12,2,0,0
2019-05-13,11,10,0
2019-05-14,7,10,0
2019-05-15,7,2,0
2019-05-16,4,12,0
2019-05-17,5,9,0
2019-05-18,0,0,0
2019-05-19,0,0,1
2019-05-20,11,7,12
2019-05-21,13,11,4
2019-05-22,17,0,0
2019-05-23,15,6,0
2019-05-24,14,7,0
2019-05-25,0,9,0
2019-05-26,0,0,0
2019-05-27,1,0,3
2019-05-28,6,0,11
2019-05-29,5,10,14
2019-05-30,14,10,2
2019-05-31,33,6,7
2019-06-01,4,0,0
