,gorhill/ublock,brave/brave-browser,adblockplus/adblockplus
2021-02-09,0,4,0
2021-02-10,0,8,0
2021-02-11,2,4,1
2021-02-12,0,6,0
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,4,3,0
2021-02-16,0,3,0
2021-02-17,3,4,0
2021-02-18,0,4,32
2021-02-19,10,7,0
2021-02-20,3,2,0
2021-02-21,3,0,0
2021-02-22,6,2,0
2021-02-23,0,5,0
2021-02-24,0,9,4
2021-02-25,0,4,0
2021-02-26,1,2,0
2021-02-27,2,0,0
2021-02-28,0,0,0
2021-03-01,0,5,0
2021-03-02,8,3,0
2021-03-03,4,7,1
2021-03-04,2,3,1
2021-03-05,2,4,0
2021-03-06,4,0,0
2021-03-07,0,3,0
2021-03-08,0,4,0
2021-03-09,0,6,0
2021-03-10,3,4,0
2021-03-11,0,8,1
2021-03-12,0,4,0
2021-03-13,10,1,0
2021-03-14,3,0,0
2021-03-15,0,6,0
2021-03-16,0,5,1
2021-03-17,0,3,2
2021-03-18,0,5,0
2021-03-19,0,3,0
2021-03-20,1,0,0
2021-03-21,1,0,0
2021-03-22,0,3,0
2021-03-23,0,9,0
2021-03-24,0,14,0
2021-03-25,0,6,0
2021-03-26,0,5,0
2021-03-27,1,0,0
2021-03-28,0,0,0
2021-03-29,0,3,1
2021-03-30,0,3,0
2021-03-31,1,5,0
2021-04-01,0,8,1
2021-04-02,0,3,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,4,0
2021-04-06,3,3,0
2021-04-07,0,7,1
2021-04-08,0,4,0
2021-04-09,0,3,0
2021-04-10,0,0,0
2021-04-11,4,0,0
2021-04-12,0,5,0
2021-04-13,6,3,0
2021-04-14,4,10,0
2021-04-15,0,6,0
2021-04-16,3,3,0
2021-04-17,0,0,0
2021-04-18,1,0,0
2021-04-19,3,3,0
2021-04-20,0,5,0
2021-04-21,3,11,0
2021-04-22,0,5,0
2021-04-23,0,7,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,0,5,0
2021-04-27,5,3,0
2021-04-28,2,6,0
2021-04-29,7,6,0
2021-04-30,1,1,0
2021-05-01,0,0,0
2021-05-02,0,0,0
2021-05-03,0,1,0
2021-05-04,0,3,0
2021-05-05,0,2,0
2021-05-06,0,6,0
2021-05-07,0,2,0
2021-05-08,0,1,0
2021-05-09,4,0,0
2021-05-10,0,2,0
2021-05-11,0,2,0
2021-05-12,0,3,0
2021-05-13,1,4,0
2021-05-14,4,5,0
2021-05-15,8,0,0
2021-05-16,1,0,0
2021-05-17,0,2,0
2021-05-18,9,7,0
2021-05-19,2,10,3
2021-05-20,0,9,0
2021-05-21,0,4,0
2021-05-22,0,1,0
2021-05-23,0,0,0
2021-05-24,0,5,0
2021-05-25,0,4,0
2021-05-26,5,4,0
2021-05-27,0,6,0
2021-05-28,6,5,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,2,3,0
2021-06-01,0,3,0
2021-06-02,2,3,0
2021-06-03,0,5,0
2021-06-04,3,5,0
2021-06-05,1,0,0
2021-06-06,4,0,0
2021-06-07,0,5,0
2021-06-08,0,3,0
2021-06-09,0,7,0
2021-06-10,0,11,0
2021-06-11,0,6,0
2021-06-12,7,1,0
2021-06-13,0,0,0
2021-06-14,4,5,0
2021-06-15,0,6,0
2021-06-16,0,7,0
2021-06-17,4,7,0
2021-06-18,0,6,0
2021-06-19,2,0,0
2021-06-20,0,2,0
2021-06-21,0,5,0
2021-06-22,0,5,0
2021-06-23,0,6,0
2021-06-24,7,7,0
2021-06-25,3,4,0
2021-06-26,3,0,0
2021-06-27,0,0,0
2021-06-28,0,5,0
2021-06-29,0,13,0
2021-06-30,0,10,0
2021-07-01,0,7,0
2021-07-02,0,7,0
2021-07-03,5,0,0
2021-07-04,0,0,0
2021-07-05,0,4,0
2021-07-06,6,4,0
2021-07-07,3,6,0
2021-07-08,0,6,0
2021-07-09,0,5,0
2021-07-10,4,0,0
2021-07-11,1,0,0
2021-07-12,7,4,1
2021-07-13,1,3,0
2021-07-14,0,7,0
2021-07-15,4,5,0
2021-07-16,6,8,0
2021-07-17,10,0,0
2021-07-18,5,0,0
2021-07-19,6,2,0
2021-07-20,5,4,0
2021-07-21,0,6,0
2021-07-22,1,4,0
2021-07-23,8,5,0
2021-07-24,3,0,0
2021-07-25,1,0,0
2021-07-26,3,7,1
2021-07-27,1,8,0
2021-07-28,7,5,0
2021-07-29,13,3,0
2021-07-30,1,5,0
2021-07-31,17,0,0
2021-08-01,5,0,0
2021-08-02,9,4,0
2021-08-03,13,4,0
2021-08-04,3,5,0
2021-08-05,9,7,0
2021-08-06,6,8,0
2021-08-07,1,0,0
2021-08-08,6,0,0
2021-08-09,4,3,0
2021-08-10,8,4,0
2021-08-11,0,4,0
2021-08-12,3,5,1
2021-08-13,4,3,0
2021-08-14,6,0,0
2021-08-15,10,0,0
2021-08-16,11,2,0
2021-08-17,12,6,0
2021-08-18,2,17,0
2021-08-19,4,12,0
2021-08-20,2,5,0
2021-08-21,11,0,0
2021-08-22,6,0,0
2021-08-23,5,3,0
2021-08-24,7,5,0
2021-08-25,9,6,0
2021-08-26,4,5,0
2021-08-27,4,3,0
2021-08-28,1,1,0
2021-08-29,2,0,0
2021-08-30,0,3,0
2021-08-31,0,6,1
2021-09-01,4,5,0
2021-09-02,0,6,0
2021-09-03,0,5,0
2021-09-04,4,1,0
2021-09-05,0,0,0
2021-09-06,0,3,0
2021-09-07,2,3,0
2021-09-08,0,8,0
2021-09-09,3,3,0
2021-09-10,0,3,0
2021-09-11,5,0,0
2021-09-12,5,1,0
2021-09-13,5,15,0
2021-09-14,2,8,0
2021-09-15,3,3,0
2021-09-16,0,6,0
2021-09-17,2,5,0
2021-09-18,1,2,0
2021-09-19,0,0,0
2021-09-20,0,6,0
2021-09-21,0,5,0
2021-09-22,1,5,0
2021-09-23,2,3,0
2021-09-24,2,8,0
2021-09-25,3,0,0
2021-09-26,0,0,0
2021-09-27,1,5,0
2021-09-28,0,4,0
2021-09-29,0,3,0
2021-09-30,1,5,0
2021-10-01,0,10,0
2021-10-02,0,0,0
2021-10-03,2,0,0
2021-10-04,1,3,0
2021-10-05,0,10,0
2021-10-06,4,10,0
2021-10-07,1,7,1
2021-10-08,2,4,0
2021-10-09,1,1,0
2021-10-10,0,0,0
2021-10-11,3,4,0
2021-10-12,4,8,0
2021-10-13,7,6,0
2021-10-14,9,4,0
2021-10-15,10,3,0
2021-10-16,8,1,0
2021-10-17,6,1,0
2021-10-18,5,6,0
2021-10-19,0,5,0
2021-10-20,0,4,0
2021-10-21,0,4,0
2021-10-22,5,3,1
2021-10-23,0,0,0
2021-10-24,0,0,0
2021-10-25,0,3,1
2021-10-26,11,2,0
2021-10-27,8,4,0
2021-10-28,3,6,0
2021-10-29,1,7,0
2021-10-30,2,0,0
2021-10-31,2,0,0
2021-11-01,2,3,0
2021-11-02,0,14,1
2021-11-03,0,11,0
2021-11-04,12,9,0
2021-11-05,0,4,0
2021-11-06,2,0,0
2021-11-07,0,0,0
2021-11-08,8,5,0
2021-11-09,4,8,0
2021-11-10,3,5,0
2021-11-11,12,5,0
2021-11-12,4,3,0
2021-11-13,7,0,0
2021-11-14,8,2,0
2021-11-15,5,3,0
2021-11-16,7,5,1
2021-11-17,4,3,0
2021-11-18,5,5,0
2021-11-19,3,6,1
2021-11-20,4,0,0
2021-11-21,5,0,0
2021-11-22,3,3,0
2021-11-23,0,5,0
2021-11-24,1,5,0
2021-11-25,0,7,0
2021-11-26,5,5,0
2021-11-27,4,0,0
2021-11-28,4,0,0
2021-11-29,0,4,0
2021-11-30,3,7,0
2021-12-01,0,2,0
2021-12-02,2,3,0
2021-12-03,0,3,0
2021-12-04,15,0,0
2021-12-05,5,0,0
2021-12-06,8,4,0
2021-12-07,1,3,0
2021-12-08,9,8,0
2021-12-09,0,4,13
2021-12-10,7,3,0
2021-12-11,6,0,0
2021-12-12,4,0,0
2021-12-13,10,5,0
2021-12-14,4,6,0
2021-12-15,1,5,0
2021-12-16,4,7,0
2021-12-17,2,3,0
2021-12-18,7,1,0
2021-12-19,5,0,0
2021-12-20,0,2,0
2021-12-21,0,3,0
2021-12-22,3,3,0
2021-12-23,1,3,0
2021-12-24,0,3,0
2021-12-25,8,0,0
2021-12-26,3,0,0
2021-12-27,0,2,0
2021-12-28,4,5,0
2021-12-29,0,4,0
2021-12-30,5,3,0
2021-12-31,4,2,0
2022-01-01,4,0,0
2022-01-02,2,0,0
2022-01-03,0,4,0
2022-01-04,0,3,1
2022-01-05,0,3,25
2022-01-06,4,7,0
2022-01-07,7,5,0
2022-01-08,0,0,0
2022-01-09,2,0,0
2022-01-10,0,5,0
2022-01-11,6,3,12
2022-01-12,6,2,0
2022-01-13,3,3,0
2022-01-14,3,3,0
2022-01-15,2,0,0
2022-01-16,0,1,0
2022-01-17,0,3,0
2022-01-18,1,3,0
2022-01-19,3,6,2
2022-01-20,0,4,0
2022-01-21,1,6,0
2022-01-22,0,1,0
2022-01-23,1,1,0
2022-01-24,3,3,0
2022-01-25,0,7,0
2022-01-26,0,7,0
2022-01-27,0,9,0
2022-01-28,3,5,0
2022-01-29,3,1,0
2022-01-30,3,1,0
2022-01-31,10,4,0
2022-02-01,2,5,1
2022-02-02,11,5,1
2022-02-03,10,4,0
2022-02-04,7,4,0
2022-02-05,11,0,0
2022-02-06,11,1,0
2022-02-07,8,5,0
2022-02-08,2,3,0
