,eugeny/tabby,gnome-terminator/terminator,alacritty/alacritty
2021-03-23,0,1,0
2021-03-24,0,0,0
2021-03-25,0,0,0
2021-03-26,0,0,0
2021-03-27,0,0,0
2021-03-28,0,0,1
2021-03-29,0,0,0
2021-03-30,0,0,1
2021-03-31,0,0,1
2021-04-01,0,1,0
2021-04-02,0,1,1
2021-04-03,0,0,1
2021-04-04,12,0,0
2021-04-05,7,0,0
2021-04-06,1,0,0
2021-04-07,0,0,0
2021-04-08,4,1,2
2021-04-09,0,1,0
2021-04-10,0,0,0
2021-04-11,2,0,0
2021-04-12,0,3,0
2021-04-13,0,1,1
2021-04-14,0,0,3
2021-04-15,0,0,2
2021-04-16,6,0,1
2021-04-17,0,0,3
2021-04-18,0,0,0
2021-04-19,0,0,0
2021-04-20,0,0,0
2021-04-21,0,0,0
2021-04-22,0,0,1
2021-04-23,0,2,0
2021-04-24,6,0,0
2021-04-25,3,0,0
2021-04-26,0,0,1
2021-04-27,0,0,0
2021-04-28,0,0,0
2021-04-29,0,0,1
2021-04-30,0,0,4
2021-05-01,0,0,6
2021-05-02,6,0,0
2021-05-03,0,0,0
2021-05-04,0,0,0
2021-05-05,0,0,0
2021-05-06,0,0,0
2021-05-07,0,1,1
2021-05-08,0,0,1
2021-05-09,0,1,2
2021-05-10,0,0,1
2021-05-11,0,0,0
2021-05-12,40,0,0
2021-05-13,10,0,0
2021-05-14,0,0,0
2021-05-15,19,1,0
2021-05-16,29,1,0
2021-05-17,0,0,0
2021-05-18,0,0,0
2021-05-19,0,0,1
2021-05-20,0,0,2
2021-05-21,0,0,1
2021-05-22,0,0,1
2021-05-23,1,0,0
2021-05-24,15,0,0
2021-05-25,9,0,0
2021-05-26,0,0,0
2021-05-27,0,0,0
2021-05-28,10,0,1
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,0,0
2021-06-01,0,2,0
2021-06-02,0,1,0
2021-06-03,6,1,0
2021-06-04,3,0,0
2021-06-05,26,0,0
2021-06-06,4,0,0
2021-06-07,0,0,0
2021-06-08,2,0,0
2021-06-09,0,0,0
2021-06-10,0,0,0
2021-06-11,3,0,0
2021-06-12,3,0,0
2021-06-13,4,0,0
2021-06-14,1,0,0
2021-06-15,1,0,0
2021-06-16,1,0,1
2021-06-17,4,0,0
2021-06-18,3,0,0
2021-06-19,10,0,2
2021-06-20,5,1,1
2021-06-21,0,0,0
2021-06-22,5,2,0
2021-06-23,3,0,0
2021-06-24,0,1,0
2021-06-25,7,1,0
2021-06-26,1,0,1
2021-06-27,19,0,1
2021-06-28,12,0,1
2021-06-29,7,0,0
2021-06-30,1,1,0
2021-07-01,10,0,0
2021-07-02,0,8,0
2021-07-03,0,0,2
2021-07-04,14,0,2
2021-07-05,17,0,0
2021-07-06,23,0,0
2021-07-07,15,0,1
2021-07-08,14,0,2
2021-07-09,8,0,0
2021-07-10,9,0,1
2021-07-11,11,0,0
2021-07-12,6,0,2
2021-07-13,20,0,0
2021-07-14,0,0,2
2021-07-15,0,0,0
2021-07-16,9,0,1
2021-07-17,1,0,1
2021-07-18,4,0,4
2021-07-19,0,0,0
2021-07-20,0,0,0
2021-07-21,3,0,0
2021-07-22,2,1,1
2021-07-23,0,1,0
2021-07-24,14,2,1
2021-07-25,0,2,0
2021-07-26,0,0,0
2021-07-27,19,0,1
2021-07-28,1,0,0
2021-07-29,7,0,2
2021-07-30,0,0,0
2021-07-31,9,0,0
2021-08-01,3,0,2
2021-08-02,8,1,0
2021-08-03,1,1,0
2021-08-04,14,0,1
2021-08-05,1,0,0
2021-08-06,14,2,0
2021-08-07,3,1,0
2021-08-08,4,3,0
2021-08-09,0,1,0
2021-08-10,0,2,0
2021-08-11,3,0,0
2021-08-12,0,2,0
2021-08-13,0,2,0
2021-08-14,5,5,0
2021-08-15,12,0,1
2021-08-16,5,3,1
2021-08-17,0,0,1
2021-08-18,4,0,1
2021-08-19,8,0,0
2021-08-20,0,0,0
2021-08-21,7,1,0
2021-08-22,6,3,0
2021-08-23,2,0,1
2021-08-24,3,2,0
2021-08-25,5,1,0
2021-08-26,0,1,1
2021-08-27,8,2,2
2021-08-28,8,0,0
2021-08-29,6,1,0
2021-08-30,0,2,0
2021-08-31,0,3,0
2021-09-01,1,0,0
2021-09-02,11,0,0
2021-09-03,0,1,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,4,0,0
2021-09-07,1,0,0
2021-09-08,0,1,0
2021-09-09,9,2,0
2021-09-10,0,0,0
2021-09-11,0,2,0
2021-09-12,0,1,0
