,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2023-07-20,2,1,2.0
2023-07-21,2,1,15.6
2023-07-22,0,0,-2.3599999999999994
2023-07-23,0,0,1.4239999999999988
2023-07-24,1,2,25.4848
2023-07-25,5,0,4.723328
2023-07-26,3,0,1.012966399999998
2023-07-27,3,1,5.1369497599999985
2023-07-28,0,0,-1.111839744000001
2023-07-29,0,2,-0.0004272128000000208
2023-07-30,0,0,1.4292489215999993
2023-07-31,3,1,10.6230132736
2023-08-01,2,0,18.8707330048
2023-08-02,0,3,-1.7897648127999979
2023-08-03,0,2,-1.112124006400001
2023-08-04,5,0,0.040683929599999225
2023-08-05,0,0,5.5273493504
2023-08-06,1,0,-2.1531804672000003
2023-08-07,5,4,6.002651340799999
2023-08-08,3,1,10.030215782400001
2023-08-09,1,0,5.727653068800001
2023-08-10,4,0,-0.13268817920000053
2023-08-11,9,0,7.1619435519999985
2023-08-12,0,0,-1.6775017472
2023-08-13,0,0,-2.3928348672000004
2023-08-14,9,4,18.4551093248
2023-08-15,13,0,3.913949593600001
2023-08-16,5,3,7.7396625407999995
2023-08-17,2,4,-4.7090455551999995
2023-08-18,4,6,-1.456369152000001
2023-08-19,0,0,-0.8167279616
2023-08-20,1,1,-1.475068928
2023-08-21,7,3,1.0182356991999995
2023-08-22,9,6,2.833159680000001
2023-08-23,1,2,9.398866944000002
2023-08-24,4,0,0.05315850240000142
2023-08-25,12,3,0.07381227519999967
2023-08-26,2,0,6.615213568
2023-08-27,1,0,4.5565413376
2023-08-28,28,0,7.3542660096
2023-08-29,23,1,7.5909928959999995
2023-08-30,3,2,2.0141581312
2023-08-31,6,4,13.700732006399999
2023-09-01,0,0,1.6996381696
2023-09-02,0,0,-1.017558835200001
2023-09-03,0,0,-2.921311436800001
2023-09-04,0,0,10.1051312128
2023-09-05,1,1,4.246758707200001
2023-09-06,2,1,-0.5713602560000002
2023-09-07,6,0,-0.5468529664000004
2023-09-08,1,0,1.0736193536000005
2023-09-09,0,0,-0.8427051007999995
2023-09-10,0,0,-0.21668218880000012
2023-09-11,2,4,6.0282329088
2023-09-12,3,5,-1.0492247039999993
2023-09-13,0,2,2.7254203392000003
2023-09-14,1,1,-0.5131937791999999
2023-09-15,4,0,2.0338715648
2023-09-16,0,0,11.8101906432
2023-09-17,0,0,13.7403399168
2023-09-18,0,0,1.114483097599999
2023-09-19,2,1,0.47783874559999884
2023-09-20,4,0,0.200783155199999
2023-09-21,3,0,-1.2594013184000001
2023-09-22,1,1,1.3516683263999993
2023-09-23,0,0,4.265414553599999
2023-09-24,0,0,3.6742806528000007
2023-09-25,3,0,13.4758238208
2023-09-26,0,0,11.478365491200002
2023-09-27,3,0,2.7502160895999994
2023-09-28,1,0,-4.174069657600001
2023-09-29,1,0,-1.3239647232000014
2023-09-30,0,0,2.1900583935999993
2023-10-01,0,0,-2.1095314432
2023-10-02,2,0,0.6688813055999998
2023-10-03,2,0,2.635122585600001
2023-10-04,3,0,3.3149372416000014
2023-10-05,2,0,8.1468158976
2023-10-06,2,0,8.1424032768
2023-10-07,0,0,2.4924334079999997
2023-10-08,0,0,0.05897820159999956
2023-10-09,1,0,9.7628739584
2023-10-10,2,0,15.248413696
2023-10-11,5,0,9.242092851199999
2023-10-12,0,3,1.134184038399999
2023-10-13,1,0,-3.506798592000001
2023-10-14,0,0,-0.8706370560000005
2023-10-15,0,0,-1.3245988864000005
2023-10-16,4,3,7.2645129216
2023-10-17,2,1,13.9735477248
2023-10-18,3,0,-2.080637132799999
2023-10-19,0,0,-0.06832117759999967
2023-10-20,0,1,-0.32947455999999953
2023-10-21,0,0,-1.7409794048000002
2023-10-22,0,0,1.9190573055999995
2023-10-23,2,0,14.5876355072
2023-10-24,4,1,-0.07480739839999906
2023-10-25,1,0,1.2560461824000004
2023-10-26,4,1,5.6644201471999995
2023-10-27,5,2,9.1593673728
2023-10-28,0,0,-3.9024458752
2023-10-29,0,0,-1.9831236608000014
2023-10-30,1,1,8.657350143999999
2023-10-31,2,1,12.975478476800001
2023-11-01,1,0,19.205370265600003
2023-11-02,2,1,2.9520123904
2023-11-03,3,0,4.6079002623999985
2023-11-04,0,0,-4.0173673472
2023-11-05,0,0,-0.04889620480000101
2023-11-06,4,0,3.395007999999999
2023-11-07,5,0,-2.98435584
2023-11-08,1,0,2.121613824
2023-11-09,0,4,6.867294105600002
2023-11-10,0,1,18.9689544704
2023-11-11,0,0,-5.811999743999999
2023-11-12,0,0,-0.6388341760000014
2023-11-13,2,0,7.9822631936
2023-11-14,3,0,3.6655264768
2023-11-15,0,0,-2.1841741824000005
2023-11-16,5,1,0.033475071999998995
2023-11-17,0,0,0.2451733504000002
2023-11-18,0,0,-1.5681714175999986
2023-11-19,0,0,-0.9808191487999997
2023-11-20,4,1,0.47021977599999987
2023-11-21,4,1,2.3739963392000005
2023-11-22,4,1,0.985736192000001
2023-11-23,0,0,2.1356157952
2023-11-24,0,1,0.9873017856000001
2023-11-25,0,0,0.08394987519999997
2023-11-26,0,0,7.306824499199999
2023-11-27,2,0,3.99391488
