,apache/airflow,PrefectHQ/prefect,orchest/orchest
2021-10-12,17,2,11
2021-10-13,16,3,5
2021-10-14,14,13,5
2021-10-15,10,6,0
2021-10-16,3,0,0
2021-10-17,3,0,2
2021-10-18,1,0,8
2021-10-19,11,7,1
2021-10-20,11,6,0
2021-10-21,11,0,1
2021-10-22,11,3,0
2021-10-23,5,7,0
2021-10-24,3,0,0
2021-10-25,6,2,2
2021-10-26,9,0,8
2021-10-27,8,19,23
2021-10-28,10,12,13
2021-10-29,17,25,3
2021-10-30,9,1,0
2021-10-31,1,0,0
2021-11-01,9,9,0
2021-11-02,5,15,5
2021-11-03,13,12,5
2021-11-04,7,50,14
2021-11-05,11,26,6
2021-11-06,0,1,1
2021-11-07,11,0,0
2021-11-08,15,38,8
2021-11-09,6,26,4
2021-11-10,8,30,9
2021-11-11,7,23,2
2021-11-12,9,22,1
2021-11-13,2,2,0
2021-11-14,7,0,0
2021-11-15,12,24,2
2021-11-16,11,27,1
2021-11-17,13,9,1
2021-11-18,14,9,1
2021-11-19,8,28,0
2021-11-20,3,0,0
2021-11-21,2,0,0
2021-11-22,6,11,0
2021-11-23,14,7,8
2021-11-24,16,2,9
2021-11-25,7,0,8
2021-11-26,9,0,8
2021-11-27,4,0,4
2021-11-28,2,1,2
2021-11-29,16,24,6
2021-11-30,12,23,17
2021-12-01,10,5,11
2021-12-02,9,1,0
2021-12-03,11,19,2
2021-12-04,5,0,0
2021-12-05,14,0,0
2021-12-06,12,62,14
2021-12-07,18,31,14
2021-12-08,21,39,5
2021-12-09,11,58,10
2021-12-10,8,19,5
2021-12-11,6,5,2
2021-12-12,3,0,2
2021-12-13,33,21,11
2021-12-14,17,16,12
2021-12-15,25,7,13
2021-12-16,22,24,25
2021-12-17,11,44,30
2021-12-18,10,0,0
2021-12-19,9,0,2
2021-12-20,10,17,16
2021-12-21,19,28,20
2021-12-22,12,30,16
2021-12-23,3,33,55
2021-12-24,3,0,12
2021-12-25,0,0,0
2021-12-26,2,0,0
2021-12-27,6,2,4
2021-12-28,14,20,21
2021-12-29,18,42,6
2021-12-30,25,43,1
2021-12-31,12,0,7
2022-01-01,3,0,0
2022-01-02,6,0,0
2022-01-03,8,14,1
2022-01-04,9,40,10
2022-01-05,15,25,16
2022-01-06,31,45,11
2022-01-07,8,22,4
2022-01-08,5,16,3
2022-01-09,7,0,3
2022-01-10,11,26,21
2022-01-11,5,39,15
2022-01-12,10,71,9
2022-01-13,11,44,25
2022-01-14,15,48,18
2022-01-15,0,0,1
2022-01-16,2,2,0
2022-01-17,3,1,32
2022-01-18,16,15,18
2022-01-19,11,87,52
2022-01-20,15,16,23
2022-01-21,14,37,15
2022-01-22,1,9,2
2022-01-23,11,0,3
2022-01-24,15,5,15
2022-01-25,5,39,17
2022-01-26,12,64,36
2022-01-27,10,44,20
2022-01-28,9,98,0
2022-01-29,9,12,0
2022-01-30,9,1,0
2022-01-31,5,13,2
2022-02-01,18,9,23
2022-02-02,1,36,6
2022-02-03,12,29,26
2022-02-04,11,29,15
2022-02-05,4,0,0
2022-02-06,8,10,0
2022-02-07,7,22,15
2022-02-08,11,58,11
2022-02-09,7,67,21
2022-02-10,14,62,20
2022-02-11,21,60,15
2022-02-12,6,15,0
2022-02-13,5,27,4
2022-02-14,6,84,16
2022-02-15,33,86,18
2022-02-16,7,97,36
2022-02-17,12,83,12
2022-02-18,3,81,8
2022-02-19,8,13,0
2022-02-20,7,36,3
2022-02-21,4,85,26
2022-02-22,7,58,16
2022-02-23,12,76,11
2022-02-24,14,63,4
2022-02-25,17,97,6
2022-02-26,8,59,19
2022-02-27,10,19,16
2022-02-28,15,75,20
2022-03-01,25,28,23
2022-03-02,18,60,24
2022-03-03,13,35,20
2022-03-04,9,59,18
2022-03-05,3,13,4
2022-03-06,11,14,0
2022-03-07,20,45,23
2022-03-08,24,108,28
2022-03-09,15,60,27
2022-03-10,16,68,2
2022-03-11,19,70,15
2022-03-12,3,23,8
2022-03-13,10,2,0
2022-03-14,14,51,110
2022-03-15,14,62,93
2022-03-16,5,40,61
2022-03-17,3,44,37
2022-03-18,3,18,69
2022-03-19,4,5,6
