,mastodon/mastodon,diaspora/diaspora,friendica/friendica
2016-05-20,0,0,5
2016-05-21,0,3,2
2016-05-22,0,0,5
2016-05-23,0,0,8
2016-05-24,0,0,2
2016-05-25,0,0,6
2016-05-26,0,0,6
2016-05-27,0,1,5
2016-05-28,0,0,7
2016-05-29,0,0,14
2016-05-30,0,0,12
2016-05-31,0,3,4
2016-06-01,0,0,23
2016-06-02,0,0,5
2016-06-03,0,0,4
2016-06-04,0,0,8
2016-06-05,0,0,9
2016-06-06,0,1,20
2016-06-07,0,8,15
2016-06-08,0,2,9
2016-06-09,0,2,7
2016-06-10,0,0,15
2016-06-11,0,0,15
2016-06-12,0,3,24
2016-06-13,0,0,14
2016-06-14,0,1,4
2016-06-15,0,0,5
2016-06-16,0,24,4
2016-06-17,0,1,11
2016-06-18,0,10,7
2016-06-19,0,20,5
2016-06-20,0,9,13
2016-06-21,0,0,5
2016-06-22,0,0,4
2016-06-23,0,0,5
2016-06-24,0,0,3
2016-06-25,0,0,12
2016-06-26,0,115,4
2016-06-27,0,15,4
2016-06-28,0,7,2
2016-06-29,0,2,7
2016-06-30,0,1,11
2016-07-01,0,0,3
2016-07-02,0,0,19
2016-07-03,0,4,7
2016-07-04,0,1,4
2016-07-05,0,8,5
2016-07-06,0,1,0
2016-07-07,0,1,7
2016-07-08,0,2,5
2016-07-09,0,5,4
2016-07-10,0,0,11
2016-07-11,0,4,7
2016-07-12,0,1,2
2016-07-13,0,0,8
2016-07-14,0,0,5
2016-07-15,0,3,11
2016-07-16,0,3,1
2016-07-17,0,5,2
2016-07-18,0,2,1
2016-07-19,0,0,2
2016-07-20,0,2,0
2016-07-21,0,0,5
2016-07-22,0,0,2
2016-07-23,0,0,1
2016-07-24,0,0,3
2016-07-25,0,0,2
2016-07-26,0,0,9
2016-07-27,0,0,2
2016-07-28,0,0,7
2016-07-29,0,0,0
2016-07-30,0,0,3
2016-07-31,0,1,0
2016-08-01,0,4,12
2016-08-02,0,0,8
2016-08-03,0,0,9
2016-08-04,0,0,19
2016-08-05,0,1,3
2016-08-06,0,0,6
2016-08-07,0,6,2
2016-08-08,0,43,14
2016-08-09,0,15,6
2016-08-10,0,20,12
2016-08-11,0,30,7
2016-08-12,0,14,2
2016-08-13,0,11,9
2016-08-14,0,40,16
2016-08-15,0,7,0
2016-08-16,0,3,2
2016-08-17,1,3,5
2016-08-18,6,16,1
2016-08-19,0,0,2
2016-08-20,0,2,1
2016-08-21,0,22,0
2016-08-22,0,9,0
2016-08-23,0,0,8
2016-08-24,6,0,0
2016-08-25,1,0,0
2016-08-26,1,3,1
2016-08-27,0,0,5
2016-08-28,0,0,0
2016-08-29,0,0,2
2016-08-30,0,0,0
2016-08-31,5,0,3
2016-09-01,4,8,4
2016-09-02,1,0,1
2016-09-03,3,5,4
2016-09-04,9,37,2
2016-09-05,13,2,3
2016-09-06,1,4,10
2016-09-07,3,0,2
2016-09-08,4,4,0
2016-09-09,3,0,5
2016-09-10,9,12,0
2016-09-11,0,8,1
2016-09-12,4,8,1
2016-09-13,1,0,10
2016-09-14,0,0,2
2016-09-15,2,0,0
2016-09-16,1,0,0
2016-09-17,7,0,0
2016-09-18,10,12,3
2016-09-19,6,6,1
2016-09-20,6,10,5
2016-09-21,7,0,4
2016-09-22,5,0,9
2016-09-23,3,0,10
2016-09-24,7,0,15
2016-09-25,4,17,16
2016-09-26,4,0,1
2016-09-27,6,0,3
2016-09-28,0,8,8
2016-09-29,5,8,10
2016-09-30,3,6,8
2016-10-01,0,7,20
2016-10-02,11,0,17
2016-10-03,9,0,7
2016-10-04,0,0,9
2016-10-05,5,0,11
2016-10-06,20,0,2
2016-10-07,7,0,9
2016-10-08,1,0,2
2016-10-09,6,0,5
2016-10-10,19,0,1
2016-10-11,2,0,2
2016-10-12,14,0,0
2016-10-13,3,0,0
2016-10-14,8,0,1
2016-10-15,17,0,0
2016-10-16,11,0,2
2016-10-17,13,2,14
2016-10-18,8,29,0
2016-10-19,1,0,1
2016-10-20,4,0,4
2016-10-21,0,0,12
2016-10-22,1,0,12
2016-10-23,3,4,11
2016-10-24,3,0,11
2016-10-25,2,2,7
2016-10-26,0,2,3
2016-10-27,3,19,2
2016-10-28,5,0,10
2016-10-29,0,5,7
2016-10-30,5,0,0
2016-10-31,4,0,5
2016-11-01,2,0,4
2016-11-02,14,7,3
2016-11-03,12,3,4
2016-11-04,7,0,9
2016-11-05,5,0,7
2016-11-06,6,14,6
2016-11-07,9,0,4
2016-11-08,10,0,0
2016-11-09,6,0,6
2016-11-10,6,0,6
2016-11-11,0,0,0
2016-11-12,4,2,8
2016-11-13,13,8,13
2016-11-14,1,3,8
2016-11-15,7,6,33
2016-11-16,4,0,10
2016-11-17,4,4,5
2016-11-18,19,8,4
2016-11-19,9,3,31
2016-11-20,3,0,29
2016-11-21,27,0,5
2016-11-22,13,8,18
2016-11-23,18,6,5
2016-11-24,13,2,3
2016-11-25,26,6,4
2016-11-26,9,5,1
2016-11-27,1,2,10
2016-11-28,15,5,18
2016-11-29,8,5,17
2016-11-30,9,0,3
2016-12-01,9,4,13
2016-12-02,7,2,4
2016-12-03,9,0,4
2016-12-04,10,5,7
2016-12-05,5,0,2
2016-12-06,6,0,12
2016-12-07,6,0,0
2016-12-08,3,3,5
2016-12-09,3,0,11
2016-12-10,0,0,10
2016-12-11,8,0,4
2016-12-12,3,0,5
2016-12-13,1,7,7
2016-12-14,6,0,26
2016-12-15,1,0,20
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,4,0,7
2016-12-19,2,0,16
2016-12-20,6,0,116
2016-12-21,4,0,21
2016-12-22,13,0,33
2016-12-23,1,0,22
2016-12-24,5,0,4
2016-12-25,0,0,4
2016-12-26,7,0,4
2016-12-27,2,0,4
2016-12-28,1,0,4
2016-12-29,5,0,10
2016-12-30,0,0,10
2016-12-31,2,0,3
2017-01-01,2,0,7
2017-01-02,6,0,8
2017-01-03,7,2,5
2017-01-04,3,3,8
2017-01-05,40,0,14
2017-01-06,7,0,7
2017-01-07,12,4,17
2017-01-08,18,0,5
2017-01-09,8,0,11
2017-01-10,7,5,6
2017-01-11,4,3,14
2017-01-12,6,0,6
2017-01-13,4,6,5
2017-01-14,10,12,2
2017-01-15,14,17,7
2017-01-16,10,2,10
2017-01-17,6,0,4
2017-01-18,1,5,3
2017-01-19,6,0,6
2017-01-20,7,0,7
2017-01-21,16,0,5
2017-01-22,9,2,4
2017-01-23,16,5,0
2017-01-24,13,0,3
2017-01-25,13,0,4
2017-01-26,34,0,3
2017-01-27,9,0,17
2017-01-28,5,2,19
2017-01-29,11,4,4
2017-01-30,8,0,10
2017-01-31,5,4,6
2017-02-01,5,0,12
2017-02-02,13,0,5
2017-02-03,3,0,7
2017-02-04,3,0,4
2017-02-05,19,7,2
2017-02-06,9,0,1
2017-02-07,5,0,0
2017-02-08,2,4,10
2017-02-09,4,0,1
2017-02-10,16,0,5
2017-02-11,13,3,3
2017-02-12,7,12,0
2017-02-13,16,9,0
2017-02-14,7,4,1
2017-02-15,1,1,5
2017-02-16,4,3,6
2017-02-17,13,1,3
2017-02-18,1,7,5
2017-02-19,12,4,10
2017-02-20,2,0,1
2017-02-21,0,0,5
2017-02-22,5,0,8
2017-02-23,1,0,6
2017-02-24,0,0,10
2017-02-25,1,0,1
2017-02-26,13,0,9
2017-02-27,5,0,7
2017-02-28,6,0,6
2017-03-01,13,0,1
2017-03-02,6,4,11
2017-03-03,4,0,7
2017-03-04,3,80,9
2017-03-05,9,6,8
2017-03-06,2,6,8
2017-03-07,1,0,4
2017-03-08,0,0,3
2017-03-09,0,0,1
2017-03-10,0,0,1
2017-03-11,0,0,1
2017-03-12,0,4,21
2017-03-13,2,0,29
2017-03-14,1,0,15
2017-03-15,6,0,14
2017-03-16,1,2,9
2017-03-17,6,2,8
2017-03-18,1,3,57
2017-03-19,4,0,18
2017-03-20,1,0,17
2017-03-21,2,6,19
2017-03-22,12,0,7
2017-03-23,2,7,25
2017-03-24,4,3,15
2017-03-25,8,6,57
2017-03-26,13,15,21
2017-03-27,0,6,7
2017-03-28,3,5,5
2017-03-29,1,4,0
2017-03-30,6,2,16
2017-03-31,14,0,17
2017-04-01,9,0,14
2017-04-02,62,3,13
2017-04-03,57,0,11
2017-04-04,55,0,5
2017-04-05,132,2,20
2017-04-06,38,2,1
2017-04-07,45,5,14
2017-04-08,119,0,48
2017-04-09,22,0,8
2017-04-10,25,0,2
2017-04-11,31,2,11
2017-04-12,31,0,10
2017-04-13,66,0,15
2017-04-14,16,0,27
2017-04-15,50,0,7
2017-04-16,48,0,16
2017-04-17,50,0,9
2017-04-18,27,4,10
2017-04-19,34,0,19
2017-04-20,12,0,17
2017-04-21,35,0,17
2017-04-22,18,0,11
2017-04-23,31,0,10
2017-04-24,16,0,19
2017-04-25,22,0,9
2017-04-26,23,2,13
2017-04-27,25,0,19
2017-04-28,17,0,12
2017-04-29,12,0,15
2017-04-30,11,0,5
2017-05-01,8,0,17
2017-05-02,19,0,7
2017-05-03,27,7,21
2017-05-04,20,0,5
2017-05-05,15,4,12
2017-05-06,27,0,10
2017-05-07,26,0,34
2017-05-08,19,0,25
2017-05-09,13,0,5
2017-05-10,18,0,0
2017-05-11,14,3,4
2017-05-12,22,0,12
2017-05-13,8,2,4
2017-05-14,9,0,4
2017-05-15,8,2,7
2017-05-16,11,0,13
2017-05-17,10,0,21
2017-05-18,9,0,0
2017-05-19,25,0,6
