,apache/echarts,plotly/plotly.js,highcharts/highcharts
2021-08-31,0.0,17,11
2021-09-01,1.0,9,6
2021-09-02,5.0,9,13
2021-09-03,10.0,14,11
2021-09-04,0.0,0,0
2021-09-05,2.0,0,0
2021-09-06,1.0,0,11
2021-09-07,5.0,2,9
2021-09-08,4.0,2,12
2021-09-09,7.0,0,6
2021-09-10,3.0,0,8
2021-09-11,0.0,0,0
2021-09-12,0.0,0,0
2021-09-13,5.0,7,16
2021-09-14,7.0,5,5
2021-09-15,5.0,7,16
2021-09-16,3.0,3,4
2021-09-17,3.0,0,33
2021-09-18,0.0,0,0
2021-09-19,0.0,0,0
2021-09-20,0.0,0,9
2021-09-21,1.0,0,38
2021-09-22,4.0,0,14
2021-09-23,1.0,4,10
2021-09-24,2.0,0,9
2021-09-25,0.0,0,0
2021-09-26,0.0,0,0
2021-09-27,0.0,1,20
2021-09-28,2.0,1,9
2021-09-29,5.0,2,28
2021-09-30,0.0,13,21
2021-10-01,0.0,19,13
2021-10-02,0.0,0,0
2021-10-03,1.0,0,0
2021-10-04,2.0,9,18
2021-10-05,0.0,3,16
2021-10-06,3.0,0,21
2021-10-07,0.0,2,8
2021-10-08,2.0,16,20
2021-10-09,4.0,3,3
2021-10-10,0.0,0,0
2021-10-11,5.0,2,4
2021-10-12,7.0,2,6
2021-10-13,2.0,0,7
2021-10-14,4.0,0,5
2021-10-15,10.0,0,2
2021-10-16,0.0,0,0
2021-10-17,4.0,0,2
2021-10-18,1.0,27,32
2021-10-19,1.0,12,16
2021-10-20,4.0,4,16
2021-10-21,2.0,2,17
2021-10-22,0.0,6,10
2021-10-23,0.0,0,2
2021-10-24,1.0,0,5
2021-10-25,10.0,0,1
2021-10-26,3.0,7,9
2021-10-27,6.0,1,3
2021-10-28,0.0,0,16
2021-10-29,0.0,8,2
2021-10-30,0.0,0,1
2021-10-31,0.0,0,0
2021-11-01,5.0,0,11
2021-11-02,2.0,0,28
2021-11-03,2.0,6,8
2021-11-04,6.0,0,11
2021-11-05,0.0,4,9
2021-11-06,0.0,0,2
2021-11-07,0.0,0,2
2021-11-08,1.0,0,22
2021-11-09,2.0,0,18
2021-11-10,0.0,0,6
2021-11-11,1.0,13,19
2021-11-12,0.0,3,5
2021-11-13,0.0,0,12
2021-11-14,0.0,0,1
2021-11-15,3.0,0,4
2021-11-16,5.0,1,36
2021-11-17,0.0,10,10
2021-11-18,4.0,4,3
2021-11-19,7.0,4,6
2021-11-20,0.0,2,0
2021-11-21,1.0,0,5
2021-11-22,2.0,16,10
2021-11-23,4.0,8,13
2021-11-24,7.0,3,10
2021-11-25,4.0,2,3
2021-11-26,10.0,3,8
2021-11-27,0.0,0,1
2021-11-28,0.0,0,1
2021-11-29,12.0,2,14
2021-11-30,3.0,0,3
2021-12-01,2.0,2,18
2021-12-02,0.0,6,5
2021-12-03,3.0,6,14
2021-12-04,0.0,0,0
2021-12-05,1.0,2,0
2021-12-06,0.0,3,27
2021-12-07,4.0,1,13
2021-12-08,3.0,2,7
2021-12-09,9.0,10,11
2021-12-10,5.0,8,4
2021-12-11,4.0,0,5
2021-12-12,4.0,0,0
2021-12-13,2.0,0,22
2021-12-14,2.0,0,7
2021-12-15,2.0,3,7
2021-12-16,4.0,2,9
2021-12-17,3.0,0,20
2021-12-18,0.0,0,0
2021-12-19,0.0,0,0
2021-12-20,7.0,10,5
2021-12-21,6.0,0,12
2021-12-22,1.0,2,9
2021-12-23,3.0,1,6
2021-12-24,7.0,1,0
2021-12-25,0.0,0,0
2021-12-26,0.0,0,0
2021-12-27,0.0,0,0
2021-12-28,3.0,0,0
2021-12-29,7.0,0,5
2021-12-30,4.0,0,9
2021-12-31,2.0,0,0
2022-01-01,0.0,0,0
2022-01-02,0.0,0,0
2022-01-03,0.0,3,3
2022-01-04,13.0,5,21
2022-01-05,8.0,5,7
2022-01-06,8.0,6,17
2022-01-07,11.0,4,10
2022-01-08,4.0,1,0
2022-01-09,2.0,0,0
2022-01-10,8.0,3,2
2022-01-11,2.0,0,3
2022-01-12,1.0,3,5
2022-01-13,6.0,8,20
2022-01-14,6.0,0,35
2022-01-15,3.0,0,0
2022-01-16,0.0,0,3
2022-01-17,4.0,0,3
2022-01-18,2.0,0,16
2022-01-19,2.0,8,3
2022-01-20,5.0,0,5
2022-01-21,4.0,4,3
2022-01-22,2.0,0,0
2022-01-23,11.0,0,0
2022-01-24,0.0,5,3
2022-01-25,4.0,7,4
2022-01-26,3.0,1,14
2022-01-27,1.0,8,1
2022-01-28,0.0,3,12
2022-01-29,0.0,1,19
2022-01-30,0.0,2,0
2022-01-31,0.0,0,10
2022-02-01,0.0,3,10
2022-02-02,0.0,0,4
2022-02-03,0.0,15,17
2022-02-04,0.0,20,11
2022-02-05,0.0,0,3
2022-02-06,0.0,0,2
2022-02-07,3.0,4,12
2022-02-08,0.0,2,13
2022-02-09,0.0,0,14
2022-02-10,0.0,9,7
2022-02-11,6.0,3,8
2022-02-12,0.0,3,0
2022-02-13,0.0,0,0
2022-02-14,1.0,0,7
2022-02-15,8.0,3,7
2022-02-16,2.0,0,6
2022-02-17,4.0,0,6
2022-02-18,6.0,1,1
2022-02-19,0.0,0,0
2022-02-20,0.0,0,5
2022-02-21,0.0,0,1
2022-02-22,0.0,0,2
2022-02-23,0.0,0,0
2022-02-24,0.0,3,4
2022-02-25,2.0,0,0
2022-02-26,0.0,0,0
2022-02-27,1.0,0,0
2022-02-28,5.0,0,3
2022-03-01,0.0,1,2
2022-03-02,5.0,0,2
2022-03-03,1.0,0,0
2022-03-04,0.0,8,15
2022-03-05,0.0,3,0
2022-03-06,0.0,0,0
2022-03-07,4.0,10,9
2022-03-08,1.0,14,0
2022-03-09,2.0,1,2
2022-03-10,0.0,2,2
2022-03-11,3.0,18,6
2022-03-12,3.0,3,0
2022-03-13,1.0,0,0
2022-03-14,6.0,1,3
2022-03-15,5.0,6,7
2022-03-16,2.0,0,42
2022-03-17,2.0,5,4
2022-03-18,5.0,13,6
2022-03-19,1.0,2,0
2022-03-20,1.0,2,0
2022-03-21,1.0,0,1
2022-03-22,2.0,5,6
2022-03-23,3.0,20,24
2022-03-24,6.0,1,1
2022-03-25,2.0,0,6
2022-03-26,0.0,0,1
2022-03-27,3.0,0,0
2022-03-28,6.0,0,7
2022-03-29,3.0,0,4
2022-03-30,3.0,0,28
2022-03-31,0.0,0,4
2022-04-01,8.0,4,5
2022-04-02,0.0,0,0
2022-04-03,0.0,0,0
2022-04-04,0.0,0,6
2022-04-05,2.0,0,3
2022-04-06,0.0,2,3
2022-04-07,0.0,22,0
2022-04-08,1.0,0,18
2022-04-09,2.0,0,0
2022-04-10,0.0,0,0
2022-04-11,5.0,0,5
2022-04-12,3.0,0,3
2022-04-13,5.0,0,4
2022-04-14,5.0,2,2
2022-04-15,3.0,0,0
2022-04-16,1.0,0,0
2022-04-17,1.0,0,0
2022-04-18,0.0,0,0
2022-04-19,0.0,0,7
2022-04-20,0.0,5,20
2022-04-21,7.0,3,6
2022-04-22,3.0,6,15
2022-04-23,0.0,0,0
2022-04-24,1.0,0,0
2022-04-25,0.0,7,16
2022-04-26,5.0,4,10
2022-04-27,4.0,1,22
2022-04-28,2.0,1,10
2022-04-29,2.0,2,5
2022-04-30,0.0,1,0
2022-05-01,1.0,0,0
2022-05-02,2.0,10,5
2022-05-03,1.0,0,4
2022-05-04,3.0,3,0
2022-05-05,2.0,3,1
2022-05-06,0.0,17,13
2022-05-07,0.0,0,0
2022-05-08,0.0,0,1
2022-05-09,0.0,19,4
2022-05-10,0.0,0,5
2022-05-11,2.0,3,19
2022-05-12,1.0,2,6
2022-05-13,0.0,2,9
2022-05-14,0.0,5,3
2022-05-15,0.0,0,5
2022-05-16,1.0,0,9
2022-05-17,0.0,0,1
2022-05-18,1.0,0,21
2022-05-19,1.0,2,5
2022-05-20,5.0,1,24
2022-05-21,1.0,0,0
2022-05-22,0.0,0,0
2022-05-23,2.0,1,9
2022-05-24,5.0,2,4
2022-05-25,3.0,3,1
2022-05-26,1.0,6,2
2022-05-27,1.0,2,2
2022-05-28,3.0,0,0
2022-05-29,0.0,0,0
2022-05-30,0.0,2,16
2022-05-31,0.0,3,4
2022-06-01,0.0,7,5
2022-06-02,0.0,0,1
2022-06-03,3.0,0,10
2022-06-04,1.0,0,0
2022-06-05,0.0,0,0
2022-06-06,0.0,0,1
2022-06-07,6.0,0,9
2022-06-08,3.0,0,0
2022-06-09,5.0,11,0
2022-06-10,0.0,5,1
2022-06-11,0.0,0,0
2022-06-12,0.0,0,1
2022-06-13,6.0,0,13
2022-06-14,5.0,10,4
2022-06-15,2.0,8,11
2022-06-16,1.0,1,7
2022-06-17,1.0,0,10
2022-06-18,1.0,0,1
2022-06-19,3.0,0,0
2022-06-20,3.0,4,2
2022-06-21,1.0,5,17
2022-06-22,0.0,22,7
2022-06-23,0.0,0,16
2022-06-24,0.0,4,14
2022-06-25,0.0,0,2
2022-06-26,0.0,0,2
2022-06-27,0.0,7,9
2022-06-28,0.0,4,0
2022-06-29,0.0,1,0
2022-06-30,0.0,3,2
2022-07-01,0.0,2,0
2022-07-02,0.0,0,0
2022-07-03,0.0,0,0
2022-07-04,4.0,0,27
2022-07-05,3.0,20,9
2022-07-06,1.0,13,17
2022-07-07,1.0,13,5
2022-07-08,1.0,26,34
2022-07-09,0.0,2,14
2022-07-10,1.0,0,1
2022-07-11,4.0,9,9
2022-07-12,3.0,12,10
2022-07-13,1.0,3,6
2022-07-14,2.0,16,17
2022-07-15,3.0,14,2
2022-07-16,0.0,0,0
2022-07-17,0.0,0,0
2022-07-18,2.0,6,5
2022-07-19,3.0,0,6
2022-07-20,2.0,2,2
2022-07-21,1.0,2,2
2022-07-22,5.0,0,0
2022-07-23,1.0,0,0
2022-07-24,0.0,0,0
2022-07-25,3.0,6,2
2022-07-26,2.0,4,2
2022-07-27,0.0,1,4
2022-07-28,4.0,5,1
2022-07-29,1.0,0,0
2022-07-30,1.0,0,0
2022-07-31,0.0,0,0
2022-08-01,4.0,0,4
2022-08-02,1.0,3,2
2022-08-03,0.0,0,0
2022-08-04,7.0,0,35
2022-08-05,3.0,0,70
2022-08-06,3.0,0,0
2022-08-07,0.0,0,0
2022-08-08,2.0,2,14
2022-08-09,5.0,2,5
2022-08-10,0.0,4,12
2022-08-11,0.0,6,24
2022-08-12,0.0,3,2
2022-08-13,0.0,0,0
2022-08-14,2.0,0,0
2022-08-15,3.0,0,13
2022-08-16,3.0,3,19
2022-08-17,1.0,0,2
2022-08-18,1.0,0,19
2022-08-19,0.0,7,7
2022-08-20,0.0,0,0
2022-08-21,1.0,0,0
2022-08-22,7.0,1,5
2022-08-23,1.0,0,15
2022-08-24,0.0,0,17
2022-08-25,1.0,2,9
2022-08-26,1.0,3,4
2022-08-27,1.0,0,0
2022-08-28,0.0,0,0
2022-08-29,3.0,0,16
2022-08-30,2.0,3,6
