,django/django,expressjs/express,pallets/flask
2018-06-06,5.0,0,0
2018-06-07,2.0,3,0
2018-06-08,5.0,0,0
2018-06-09,3.0,0,0
2018-06-10,1.0,0,0
2018-06-11,1.0,0,0
2018-06-12,6.0,0,0
2018-06-13,2.0,0,3
2018-06-14,1.0,0,4
2018-06-15,4.0,0,2
2018-06-16,6.0,0,0
2018-06-17,1.0,0,1
2018-06-18,2.0,0,1
2018-06-19,1.0,0,0
2018-06-20,11.0,0,2
2018-06-21,8.0,0,0
2018-06-22,3.0,0,0
2018-06-23,0.0,0,0
2018-06-24,0.0,0,0
2018-06-25,5.0,0,0
2018-06-26,0.0,0,0
2018-06-27,4.0,0,2
2018-06-28,7.0,0,4
2018-06-29,8.0,0,4
2018-06-30,3.0,0,0
2018-07-01,0.0,0,0
2018-07-02,6.0,0,0
2018-07-03,0.0,0,0
2018-07-04,4.0,0,0
2018-07-05,4.0,0,0
2018-07-06,3.0,0,0
2018-07-07,2.0,0,0
2018-07-08,0.0,0,0
2018-07-09,13.0,0,0
2018-07-10,9.0,0,0
2018-07-11,12.0,0,2
2018-07-12,0.0,0,0
2018-07-13,3.0,0,0
2018-07-14,1.0,0,0
2018-07-15,0.0,0,0
2018-07-16,2.0,0,0
2018-07-17,1.0,0,0
2018-07-18,4.0,0,0
2018-07-19,8.0,0,0
2018-07-20,6.0,0,3
2018-07-21,2.0,0,0
2018-07-22,2.0,0,0
2018-07-23,1.0,0,0
2018-07-24,3.0,0,2
2018-07-25,6.0,0,0
2018-07-26,5.0,0,0
2018-07-27,5.0,0,0
2018-07-28,0.0,0,0
2018-07-29,0.0,0,0
2018-07-30,4.0,0,0
2018-07-31,4.0,1,0
2018-08-01,8.0,0,0
2018-08-02,10.0,0,0
2018-08-03,7.0,0,0
2018-08-04,5.0,0,0
2018-08-05,2.0,0,0
2018-08-06,3.0,0,0
2018-08-07,5.0,0,0
2018-08-08,4.0,0,0
2018-08-09,0.0,0,0
2018-08-10,2.0,0,0
2018-08-11,0.0,0,0
2018-08-12,1.0,0,0
2018-08-13,2.0,0,0
2018-08-14,0.0,0,0
2018-08-15,2.0,0,0
2018-08-16,9.0,0,0
2018-08-17,7.0,0,0
2018-08-18,6.0,0,0
2018-08-19,1.0,0,0
2018-08-20,8.0,0,0
2018-08-21,5.0,0,0
2018-08-22,4.0,0,0
2018-08-23,5.0,0,0
2018-08-24,0.0,0,1
2018-08-25,3.0,0,0
2018-08-26,0.0,0,0
2018-08-27,2.0,0,0
2018-08-28,7.0,0,0
2018-08-29,2.0,0,0
2018-08-30,1.0,0,0
2018-08-31,5.0,0,0
2018-09-01,1.0,0,0
2018-09-02,0.0,0,0
2018-09-03,1.0,0,0
2018-09-04,1.0,0,0
2018-09-05,0.0,0,0
2018-09-06,1.0,0,0
2018-09-07,0.0,0,0
2018-09-08,3.0,0,0
2018-09-09,0.0,0,1
2018-09-10,9.0,0,0
2018-09-11,7.0,0,0
2018-09-12,1.0,0,0
2018-09-13,3.0,5,0
2018-09-14,4.0,0,0
