,matteocrippa/awesome-swift,vsouza/awesome-ios,raywenderlich/swift-style-guide
2014-07-10,4,21,2
2014-07-11,1,3,0
2014-07-12,6,0,0
2014-07-13,8,0,0
2014-07-14,3,1,0
2014-07-15,1,2,0
2014-07-16,4,0,2
2014-07-17,2,2,0
2014-07-18,2,0,0
2014-07-19,2,0,0
2014-07-20,0,0,0
2014-07-21,0,0,0
2014-07-22,2,0,0
2014-07-23,1,0,3
2014-07-24,1,0,0
2014-07-25,2,0,0
2014-07-26,1,0,0
2014-07-27,0,0,0
2014-07-28,0,3,0
2014-07-29,8,1,0
2014-07-30,0,3,0
2014-07-31,0,6,0
2014-08-01,1,0,0
2014-08-02,0,1,0
2014-08-03,4,0,0
2014-08-04,0,0,0
2014-08-05,0,0,2
2014-08-06,0,2,0
2014-08-07,0,3,1
2014-08-08,0,0,2
2014-08-09,0,0,0
2014-08-10,0,0,0
2014-08-11,0,0,0
2014-08-12,0,2,0
2014-08-13,0,0,0
2014-08-14,0,0,0
2014-08-15,0,0,0
2014-08-16,0,0,0
2014-08-17,2,0,0
2014-08-18,1,0,0
2014-08-19,0,0,0
2014-08-20,7,0,0
2014-08-21,0,0,0
2014-08-22,0,0,0
2014-08-23,3,0,0
2014-08-24,1,0,0
2014-08-25,0,0,0
2014-08-26,2,2,0
2014-08-27,0,0,0
2014-08-28,0,0,0
2014-08-29,0,0,0
2014-08-30,1,0,0
2014-08-31,0,0,0
2014-09-01,0,0,0
2014-09-02,0,0,0
2014-09-03,0,0,0
2014-09-04,0,0,0
2014-09-05,0,0,0
2014-09-06,0,0,0
2014-09-07,0,0,0
2014-09-08,0,0,0
2014-09-09,0,0,0
2014-09-10,0,0,0
2014-09-11,0,0,0
2014-09-12,0,10,0
2014-09-13,0,0,0
2014-09-14,0,0,0
2014-09-15,0,0,0
2014-09-16,0,0,0
2014-09-17,0,2,0
2014-09-18,0,0,0
2014-09-19,0,0,0
2014-09-20,0,0,0
2014-09-21,0,0,0
2014-09-22,0,0,0
